IncLevel1	IncLevel2	IncLevelDifference
0.995,0.995	0.997,0.997	-0.002
1.0,1.0	0.96,1.0	0.02
0.989,0.993	0.965,1.0	0.009
0.937,1.0	0.991,1.0	-0.027
1.0,0.99	0.984,1.0	0.003
1.0,1.0	0.968,1.0	0.016
0.997,1.0	0.998,0.994	0.002
1.0,1.0	1.0,0.995	0.002
1.0,0.984	1.0,1.0	-0.008
0.017,0.058	0.0,0.0	0.038
1.0,0.998	1.0,1.0	-0.001
0.557,0.549	0.338,0.277	0.246
0.988,0.995	0.989,0.994	0.0
1.0,0.998	1.0,1.0	-0.001
0.483,0.681	0.466,0.64	0.029
1.0,1.0	0.922,1.0	0.039
0.988,1.0	1.0,1.0	-0.006
0.979,0.993	0.996,0.99	-0.007
1.0,0.994	1.0,0.967	0.013
1.0,1.0	1.0,0.98	0.01
0.176,0.0	0.0,NA	0.088
0.94,0.99	0.989,0.985	-0.022
1.0,0.978	0.989,1.0	-0.005
1.0,0.985	1.0,0.886	0.049
1.0,0.986	1.0,0.923	0.031
0.779,0.8	1.0,1.0	-0.21
0.637,1.0	NA,1.0	-0.181
0.265,1.0	NA,0.52	0.113
0.558,1.0	1.0,0.752	-0.097
1.0,1.0	0.999,1.0	0.0
1.0,1.0	0.994,1.0	0.003
1.0,0.997	0.998,0.986	0.006
1.0,0.996	1.0,1.0	-0.002
1.0,1.0	0.996,0.99	0.007
0.994,0.996	0.996,1.0	-0.003
0.987,1.0	0.967,1.0	0.01
0.981,1.0	0.956,0.98	0.022
0.041,0.019	0.049,0.044	-0.017
0.065,0.078	0.123,0.154	-0.067
1.0,0.99	0.989,0.99	0.005
1.0,0.983	0.981,0.984	0.009
0.981,1.0	1.0,1.0	-0.01
1.0,0.997	0.997,1.0	0.0
1.0,1.0	1.0,0.962	0.019
0.993,1.0	1.0,1.0	-0.004
0.897,1.0	1.0,1.0	-0.051
1.0,0.999	0.999,1.0	0.0
0.994,0.993	0.995,0.994	-0.001
0.017,0.014	0.007,0.0	0.012
0.914,1.0	1.0,1.0	-0.043
0.001,0.004	0.001,0.002	0.001
1.0,0.997	1.0,1.0	-0.002
1.0,0.991	1.0,1.0	-0.004
1.0,1.0	0.995,1.0	0.002
1.0,1.0	0.997,1.0	0.002
0.985,1.0	1.0,1.0	-0.008
0.6,0.536	0.467,0.403	0.133
0.203,0.178	0.178,0.265	-0.031
0.194,0.196	0.215,0.212	-0.018
1.0,0.999	1.0,1.0	-0.0
0.994,1.0	1.0,1.0	-0.003
1.0,0.988	1.0,1.0	-0.006
0.618,0.399	0.466,0.499	0.026
1.0,0.833	1.0,1.0	-0.084
1.0,1.0	0.929,1.0	0.035
0.936,0.981	0.965,1.0	-0.024
1.0,1.0	1.0,1.0	0.0
1.0,0.884	1.0,1.0	-0.058
1.0,0.935	1.0,1.0	-0.032
0.975,0.878	0.879,0.932	0.021
0.916,0.555	0.599,0.576	0.148
0.301,0.328	0.339,0.293	-0.002
0.978,1.0	0.978,1.0	0.0
0.988,1.0	0.987,1.0	0.0
0.997,1.0	1.0,1.0	-0.002
1.0,1.0	0.99,1.0	0.005
1.0,1.0	0.99,1.0	0.005
0.722,0.737	0.496,0.551	0.206
0.994,0.993	0.971,1.0	0.008
1.0,0.978	1.0,1.0	-0.011
1.0,0.894	1.0,0.779	0.058
0.997,1.0	1.0,1.0	-0.002
1.0,1.0	0.989,0.974	0.018
0.337,1.0	0.864,1.0	-0.263
0.44,1.0	0.797,NA	-0.077
0.937,1.0	1.0,1.0	-0.031
0.934,0.986	0.891,0.897	0.066
1.0,0.997	1.0,1.0	-0.002
0.985,1.0	0.989,0.984	0.006
0.758,0.617	0.805,0.676	-0.053
0.717,0.7	0.551,0.832	0.017
0.454,0.547	0.348,0.714	-0.03
0.422,0.434	0.469,0.434	-0.024
1.0,0.987	1.0,1.0	-0.006
0.991,0.994	1.0,1.0	-0.008
1.0,0.991	1.0,1.0	-0.004
0.997,1.0	1.0,1.0	-0.002
1.0,0.997	1.0,1.0	-0.002
0.0,0.022	0.0,0.0	0.011
0.955,0.92	0.895,0.971	0.004
1.0,0.928	1.0,0.777	0.075
0.987,1.0	1.0,1.0	-0.006
1.0,0.995	1.0,1.0	-0.002
1.0,1.0	1.0,0.621	0.19
0.936,0.895	0.971,0.967	-0.053
0.212,0.385	1.0,0.294	-0.349
1.0,0.992	1.0,1.0	-0.004
1.0,0.989	1.0,1.0	-0.006
0.696,0.731	0.812,0.871	-0.128
1.0,0.96	1.0,1.0	-0.02
1.0,1.0	1.0,0.954	0.023
0.0,0.092	0.035,0.497	-0.22
1.0,1.0	0.963,1.0	0.018
1.0,1.0	0.989,1.0	0.006
1.0,0.995	0.995,1.0	0.0
1.0,1.0	1.0,1.0	0.0
1.0,0.999	1.0,1.0	-0.0
0.078,0.142	0.104,0.11	0.003
0.776,0.653	0.647,0.722	0.03
0.986,0.988	1.0,0.971	0.001
0.99,0.989	1.0,0.993	-0.007
1.0,0.979	1.0,1.0	-0.01
1.0,1.0	0.99,1.0	0.005
NA,0.123	0.539,0.219	-0.256
1.0,0.993	1.0,1.0	-0.004
0.992,1.0	1.0,1.0	-0.004
1.0,0.805	1.0,1.0	-0.097
0.874,0.777	1.0,1.0	-0.174
1.0,0.991	1.0,1.0	-0.004
0.863,0.873	0.862,0.795	0.039
1.0,1.0	1.0,0.954	0.023
0.986,0.966	1.0,1.0	-0.024
1.0,0.813	1.0,1.0	-0.094
0.908,0.925	0.852,0.949	0.016
0.977,0.918	0.991,1.0	-0.048
0.914,1.0	1.0,1.0	-0.043
0.992,1.0	1.0,1.0	-0.004
0.986,1.0	1.0,1.0	-0.007
0.0,0.0	0.0,0.0	0.0
1.0,1.0	1.0,0.986	0.007
0.973,1.0	1.0,1.0	-0.014
0.056,0.033	0.0,0.253	-0.082
0.101,0.094	0.0,0.11	0.043
