ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	30,53	47,69	24,12	45,21	210	238	1	1.0
1	76,98	50,81	97,41	66,34	217	196	1	1.0
2	1,0	94,137	0,0	96,37	283	298	1	1.0
3	69,76	16,11	64,24	11,2	262	219	1	1.0
4	11,10	93,132	16,2	91,36	262	298	1	1.0
5	11,10	94,137	16,2	96,37	262	298	1	1.0
6	6,12	57,69	18,4	67,30	230	230	1	1.0
7	48,54	27,47	27,15	45,20	210	203	0.17954989896	1.0
10	540,667	12,19	516,216	26,21	216	167	1	1.0
11	124,138	120,159	145,73	204,76	249	219	1	1.0
13	100,110	131,151	57,27	73,29	231	213	1	1.0
14	101,120	151,266	146,49	217,100	198	264	1	1.0
15	6,13	135,167	4,5	145,52	256	232	1	1.0
16	91,116	135,167	94,62	145,52	217	232	1	1.0
17	150,180	80,139	215,71	135,63	250	222	1	1.0
18	183,235	113,148	75,84	29,25	298	234	0.325372040364	1.0
19	32,53	77,126	41,25	119,46	201	271	1	1.0
20	121,138	32,56	139,62	53,23	219	177	1	1.0
21	1790,1925	922,828	2662,1329	1263,711	176	173	1	1.0
22	54,92	72,67	92,43	104,56	197	218	1	1.0
23	38,31	86,91	48,9	141,61	169	202	1	1.0
24	154,174	123,133	112,68	152,55	247	225	1	1.0
25	81,114	216,241	90,43	266,106	220	290	1	1.0
26	33,41	56,94	35,11	86,50	208	263	0.970570920695	1.0
28	47,48	78,95	40,24	92,59	198	264	1	1.0
29	253,468	340,556	606,273	800,405	298	298	1	1.0
30	75,84	63,88	69,33	99,40	273	298	1	1.0
31	32,48	66,84	31,9	76,21	193	266	1	1.0
32	744,876	181,153	890,430	177,81	230	193	1	1.0
33	24,42	43,48	60,19	55,30	209	209	1	1.0
34	1609,2347	1556,2400	1917,731	2297,938	298	298	1	1.0
35	249,324	7,14	300,216	22,12	298	298	1	1.0
36	8,3	7,12	2,2	2,4	242	242	1	1.0
37	45,58	31,39	55,15	41,18	273	247	1	1.0
38	346,447	135,195	460,182	186,83	281	200	1	1.0
39	24,29	201,261	44,14	174,92	251	212	1	1.0
40	23,32	329,417	63,48	366,161	183	212	0.345230906477	1.0
41	121,156	112,167	144,66	157,63	212	202	1	1.0
42	79,100	195,174	47,21	111,54	252	247	1	1.0
43	2,5	15,42	1,2	9,11	298	298	1	1.0
44	156,188	87,120	196,102	150,74	298	234	1	1.0
45	140,172	155,205	225,100	192,108	298	298	1	1.0
46	107,113	117,130	105,33	178,102	212	209	0.242500964532	1.0
47	1140,1700	2081,2688	1315,575	2457,996	209	242	1	1.0
48	61,92	14,30	27,26	23,10	298	157	0.337370874667	1.0
49	95,90	14,30	58,33	23,10	298	157	1	1.0
50	76,96	14,30	66,39	23,10	298	157	1	1.0
51	581,749	747,1030	513,169	714,286	210	252	1	1.0
52	115,169	387,605	92,78	330,204	171	206	1	1.0
54	227,255	356,477	291,99	482,190	206	233	1	1.0
55	139,205	225,347	206,75	314,160	217	291	1	1.0
56	3,6	245,333	5,0	159,48	274	247	1	1.0
57	24,16	23,33	8,4	19,13	298	231	0.608366660837	1.0
58	1,0	31,27	0,0	17,16	244	231	1	1.0
59	16,9	31,27	10,12	17,16	231	231	0.9659707216	1.0
60	43,45	55,62	44,14	29,29	185	233	1	1.0
62	7880,11306	10354,14489	13212,5844	17238,7383	298	298	1	1.0
63	37,78	55,78	36,18	30,11	230	188	0.865161901356	1.0
64	39,61	54,51	71,14	61,16	190	214	1	1.0
66	6,13	1,5	6,3	0,0	298	298	0.312673000229	1.0
67	1048,1406	1667,2430	1076,470	1659,805	233	298	1	1.0
68	43,89	21,30	42,41	18,16	274	195	1	1.0
70	0,1	0,3	0,0	7,0	298	298	1	1.0
71	79,110	73,77	153,68	49,28	189	196	0.0565837841904	1.0
72	53,51	57,71	45,10	26,29	298	281	1	1.0
73	56,38	59,71	15,9	26,29	228	281	0.730657613762	1.0
75	17,34	98,140	5,4	151,56	292	242	0.461141574465	1.0
76	9,14	1,2	3,0	0,0	214	202	1	1.0
77	112,172	617,865	78,26	322,154	177	298	1	1.0
78	566,988	595,1118	894,370	909,364	197	197	1	1.0
79	282,449	491,824	385,157	889,300	197	197	1	1.0
80	279,450	517,740	384,157	789,309	197	197	1	1.0
81	279,452	316,576	384,157	477,198	197	197	1	1.0
82	455,783	645,1129	609,275	957,386	215	215	1	1.0
84	11,9	151,190	6,3	150,72	157	298	1	1.0
85	27,42	8,9	22,12	6,1	183	157	1	1.0
86	17,28	83,98	9,9	81,48	210	212	1	1.0
87	4,5	83,98	0,3	81,48	254	212	1	1.0
88	1,0	19,46	0,0	29,16	208	260	1	1.0
