IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2387,3049	7,10	2353,1064	5,2	238	149
52,30	0,0	35,16	1,0	215	149
181,250	1,1	271,116	5,0	298	149
113,123	6,0	136,39	1,0	190	149
120,158	0,1	100,49	1,0	238	149
105,144	0,0	86,47	2,0	210	149
612,707	1,0	647,271	1,1	229	149
570,710	0,0	675,304	0,1	230	149
89,117	0,1	77,32	0,0	281	149
1,4	51,57	0,0	40,17	170	149
1217,1596	0,2	902,382	0,0	213	149
161,233	92,138	80,34	113,64	207	149
868,1013	6,3	942,317	6,1	269	149
612,787	0,1	530,253	0,0	228	149
7,8	4,2	18,10	11,3	279	149
41,48	0,0	35,23	2,0	221	149
103,146	1,0	75,49	0,0	298	149
336,510	4,2	403,175	1,1	262	149
246,338	0,1	251,117	0,2	297	149
144,201	0,0	273,97	0,1	288	149
2,0	5,6	0,0	15,0	279	149
183,288	8,2	259,94	2,1	219	149
315,452	0,6	316,150	2,0	252	149
54,88	0,1	66,21	0,2	202	149
66,100	0,1	74,33	0,2	205	149
15,17	3,3	2,2	0,0	211	149
9,13	4,0	0,1	0,0	191	149
0,5	3,0	0,1	0,1	298	149
5,8	3,0	4,4	0,1	197	149
6977,9557	0,0	7182,3007	3,0	223	149
207,300	0,0	262,123	1,0	217	149
620,810	0,2	686,295	1,3	204	149
596,714	0,2	665,281	0,0	195	149
221,317	0,0	317,132	1,1	196	149
242,332	1,1	338,136	1,0	217	149
125,146	1,0	92,67	2,0	236	149
168,244	2,0	139,80	4,1	238	149
3,2	59,87	5,2	82,36	178	149
5,9	59,87	14,8	82,36	182	149
383,549	0,4	269,143	2,1	217	149
223,341	0,4	153,94	2,1	223	149
78,90	1,0	65,48	0,0	231	149
453,528	0,1	545,175	1,0	220	149
114,120	0,0	128,38	0,1	224	149
259,266	1,0	119,53	0,0	266	149
13,14	1,0	10,3	0,0	223	149
748,931	0,1	926,292	1,0	167	149
5852,9594	24,44	6510,2825	21,11	216	149
14,12	405,415	7,0	518,113	295	149
14,14	1,0	7,3	0,0	196	149
4,16	2128,3002	2,2	2027,835	214	149
555,549	0,1	535,208	0,0	247	149
248,217	0,1	190,95	0,0	286	149
983,1290	0,0	1467,605	4,0	281	149
624,860	0,0	828,396	2,0	181	149
165,196	2,0	134,88	0,0	188	149
97,154	38,64	111,44	69,35	298	149
47,56	133,186	46,33	153,66	207	149
45,64	133,186	59,25	153,66	210	149
1040,1108	0,1	1418,486	0,0	224	149
293,469	1,0	402,202	0,0	245	149
172,243	0,2	258,78	0,0	222	149
13,14	4,12	7,3	4,2	298	149
12,8	0,1	7,1	0,0	298	149
65,68	0,0	76,14	3,0	287	149
65,75	3,1	40,37	1,0	219	149
2308,4299	0,1	3675,2020	0,0	258	149
