IncLevel1	IncLevel2	IncLevelDifference
0.032,0.134	0.076,0.0	0.045
0.17,0.202	0.166,0.165	0.02
0.078,0.049	0.085,0.1	-0.029
0.116,0.132	0.169,0.09	-0.006
0.113,0.121	0.156,0.082	-0.002
0.04,0.045	0.066,0.115	-0.048
0.537,0.442	0.597,0.335	0.024
0.868,0.619	0.687,0.736	0.032
0.709,0.751	0.751,0.7	0.004
1.0,1.0	0.881,0.831	0.144
0.143,0.18	0.14,0.137	0.023
0.035,0.04	0.043,0.037	-0.002
0.311,0.218	0.361,0.223	-0.027
0.139,0.134	0.154,0.129	-0.005
0.067,0.121	0.068,0.091	0.014
0.106,0.168	0.258,0.241	-0.112
0.07,0.074	0.092,0.079	-0.013
0.685,0.728	0.664,0.721	0.014
0.0,0.0	0.048,0.007	-0.028
0.198,0.242	0.301,0.26	-0.06
0.025,0.04	0.05,0.103	-0.044
0.024,0.041	0.02,0.023	0.011
0.048,0.059	0.075,0.04	-0.004
0.042,0.234	0.08,0.0	0.098
0.377,0.388	0.262,0.267	0.118
0.4,0.386	0.354,0.415	0.009
0.01,0.001	0.009,0.013	-0.005
1.0,1.0	1.0,0.832	0.084
0.007,0.013	0.008,0.011	0.001
0.023,0.019	0.015,0.022	0.002
0.044,0.038	0.032,0.046	0.002
1.0,0.985	0.93,1.0	0.027
0.089,0.157	0.721,0.565	-0.52
0.108,0.074	0.117,0.109	-0.022
0.06,0.075	0.051,0.04	0.022
0.053,0.042	0.021,0.013	0.03
0.067,0.089	0.076,0.059	0.01
0.899,0.85	0.887,0.88	-0.009
0.409,0.275	0.267,0.481	-0.032
0.321,0.349	0.385,0.326	-0.021
0.396,0.33	NA,1.0	-0.637
0.757,0.145	NA,0.555	-0.104
0.125,0.117	0.0,0.0	0.121
1.0,0.799	NA,0.443	0.456
0.089,0.296	0.0,0.306	0.04
0.085,0.121	0.056,0.065	0.043
0.981,0.977	0.989,0.962	0.003
1.0,0.87	1.0,1.0	-0.065
0.226,0.307	0.213,0.326	-0.003
0.457,0.57	0.335,0.424	0.134
1.0,1.0	0.977,1.0	0.012
0.267,0.262	0.387,0.473	-0.165
0.068,0.092	0.111,0.114	-0.033
0.093,0.089	0.183,0.223	-0.112
0.37,0.196	0.389,0.299	-0.061
0.28,0.173	0.497,0.169	-0.107
0.149,0.087	0.548,0.511	-0.412
0.027,0.099	0.092,0.119	-0.042
0.28,0.234	0.224,0.299	-0.005
0.134,0.142	0.076,0.081	0.06
0.275,0.286	0.229,0.246	0.043
0.242,0.337	0.184,0.463	-0.034
0.463,0.617	0.399,0.394	0.144
0.062,0.068	0.102,0.107	-0.039
0.029,0.048	0.037,0.04	0.0
0.052,0.116	0.186,0.122	-0.07
0.037,0.063	0.129,0.07	-0.05
0.0,0.003	0.012,0.004	-0.007
0.25,0.258	0.24,0.19	0.039
0.109,0.092	0.155,0.172	-0.063
0.07,0.101	0.206,0.212	-0.123
0.62,0.571	0.586,0.583	0.011
0.063,0.056	0.092,0.047	-0.01
0.096,0.0	0.0,0.042	0.027
0.066,0.092	0.121,0.139	-0.051
0.05,0.045	0.068,0.044	-0.009
0.131,0.078	0.109,0.066	0.017
1.0,0.736	0.813,0.817	0.053
0.034,0.025	0.05,0.056	-0.024
0.196,0.219	0.209,0.193	0.007
0.032,0.007	0.123,0.337	-0.211
0.031,0.036	0.042,0.006	0.01
0.254,0.26	0.154,0.293	0.034
0.033,0.033	0.026,0.037	0.002
0.927,0.926	0.977,0.975	-0.049
0.139,0.105	0.215,0.145	-0.058
0.996,0.994	0.998,0.994	-0.001
0.82,0.81	0.828,0.83	-0.014
0.04,0.051	0.073,0.078	-0.03
0.733,0.551	0.363,0.6	0.161
0.0,0.0	0.0,0.042	-0.021
0.543,0.304	0.463,0.448	-0.032
0.36,0.321	0.25,0.313	0.059
0.056,0.038	0.0,0.089	0.003
0.198,0.243	0.235,0.205	0.001
0.059,0.05	0.1,0.174	-0.083
0.505,0.577	0.639,0.66	-0.109
0.048,0.054	0.029,0.072	0.001
0.01,0.013	0.021,0.013	-0.006
0.085,0.067	0.075,0.03	0.024
0.32,0.324	0.381,0.412	-0.074
0.248,0.212	0.197,0.182	0.04
0.756,0.709	0.673,0.609	0.091
0.212,0.235	0.206,0.187	0.027
0.9,0.758	0.964,0.962	-0.134
0.78,0.658	0.869,0.77	-0.1
0.057,0.022	0.051,0.078	-0.025
0.144,0.136	0.361,0.256	-0.168
0.0,0.0	0.038,0.0	-0.019
0.266,0.338	0.3,0.253	0.026
0.101,0.135	0.154,0.267	-0.093
0.42,0.419	0.777,0.833	-0.385
0.134,0.088	0.104,0.124	-0.003
0.212,0.185	0.331,0.215	-0.075
0.36,0.273	0.21,0.223	0.1
0.089,0.062	0.041,0.129	-0.01
0.134,0.263	0.601,0.183	-0.194
0.741,0.609	0.844,0.842	-0.168
1.0,1.0	0.817,0.822	0.181
0.629,0.83	0.814,0.762	-0.058
0.0,0.113	0.23,0.129	-0.123
0.58,0.512	0.527,0.361	0.102
0.079,0.081	0.214,0.182	-0.118
0.069,0.068	0.164,0.104	-0.066
0.118,0.201	0.439,0.273	-0.196
0.116,0.185	0.144,0.049	0.054
0.035,0.259	0.085,0.137	0.036
0.116,0.124	0.434,0.416	-0.305
0.062,0.093	0.068,0.05	0.018
0.055,0.025	0.063,0.03	-0.006
0.107,0.054	0.037,0.097	0.013
0.08,0.07	0.054,0.087	0.005
0.294,0.443	0.58,0.316	-0.079
0.148,0.179	0.17,0.178	-0.011
1.0,0.0	NA,0.104	0.396
0.078,0.04	0.096,0.061	-0.02
