IncLevel1	IncLevel2	IncLevelDifference
0.249,0.396	0.304,0.353	-0.006
1.0,1.0	0.938,1.0	0.031
0.057,0.033	0.029,0.058	0.001
0.889,0.919	0.934,0.932	-0.029
0.955,0.943	0.957,0.951	-0.005
1.0,1.0	1.0,1.0	0.0
1.0,1.0	1.0,0.996	0.002
0.978,0.991	1.0,1.0	-0.016
0.983,1.0	0.982,1.0	0.001
1.0,1.0	0.999,0.995	0.003
0.748,0.879	0.727,0.667	0.116
0.054,0.082	0.143,0.099	-0.053
0.012,0.019	0.03,0.021	-0.01
0.997,0.992	0.996,0.998	-0.003
0.991,0.988	0.992,0.989	-0.001
0.103,0.218	0.103,0.076	0.071
0.881,0.788	0.851,0.719	0.05
0.984,0.973	0.969,0.973	0.007
1.0,0.996	0.995,1.0	0.0
0.822,0.252	NA,0.0	0.537
1.0,0.932	1.0,0.669	0.131
0.865,0.871	0.801,0.818	0.058
0.386,0.329	0.485,0.485	-0.127
0.238,0.285	0.155,0.15	0.109
0.059,0.167	0.14,0.242	-0.078
0.538,0.588	0.284,0.337	0.252
0.129,0.166	0.163,0.176	-0.022
0.114,0.128	0.31,0.284	-0.176
0.017,0.007	0.01,0.026	-0.006
0.5,0.561	0.387,0.359	0.157
0.9,0.971	0.955,0.9	0.008
0.108,0.113	0.133,0.124	-0.018
0.929,0.956	0.953,0.982	-0.025
0.456,0.583	0.352,0.626	0.03
0.118,0.12	0.141,0.137	-0.02
0.885,0.901	0.909,0.857	0.01
0.059,0.067	0.11,0.369	-0.176
0.163,0.118	0.063,0.326	-0.054
0.0,0.015	0.049,0.0	-0.017
0.444,0.199	0.189,0.313	0.071
0.863,0.829	0.833,0.805	0.027
0.667,0.624	0.529,0.414	0.174
0.114,0.127	0.024,0.069	0.074
1.0,1.0	0.99,1.0	0.005
1.0,0.958	1.0,1.0	-0.021
0.323,0.372	0.648,0.473	-0.213
1.0,1.0	0.793,0.892	0.157
0.495,0.871	0.734,0.615	0.009
0.778,0.932	0.798,1.0	-0.044
0.241,0.076	0.353,0.416	-0.226
0.0,0.01	0.0,0.0	0.005
0.709,0.651	0.527,0.532	0.15
1.0,1.0	0.999,1.0	0.0
0.334,0.312	0.339,0.249	0.029
0.981,0.969	0.983,0.989	-0.011
0.882,0.884	0.89,0.841	0.018
0.739,0.745	0.729,1.0	-0.123
0.43,0.136	0.79,0.0	-0.112
0.119,1.0	0.32,0.0	0.399
0.861,0.662	0.922,0.925	-0.162
0.779,0.726	0.75,0.861	-0.053
1.0,1.0	0.724,1.0	0.138
0.577,0.469	0.531,0.514	0.0
1.0,0.945	1.0,0.979	-0.017
0.752,0.734	0.671,0.69	0.062
0.907,0.938	0.891,0.874	0.04
0.125,0.144	0.451,0.39	-0.286
0.036,0.025	0.069,0.033	-0.021
0.746,0.754	0.834,0.792	-0.063
0.682,0.716	0.764,0.782	-0.074
0.76,0.835	0.725,0.785	0.042
0.041,0.018	0.028,0.0	0.015
NA,0.513	0.0,0.29	0.368
0.106,0.068	0.099,0.109	-0.017
0.046,0.094	0.222,0.117	-0.1
0.999,0.999	1.0,1.0	-0.001
0.129,0.13	0.118,0.114	0.014
0.698,0.776	0.799,0.739	-0.032
0.042,0.08	0.025,0.039	0.029
0.855,1.0	1.0,0.956	-0.05
0.375,0.461	0.533,0.562	-0.13
1.0,1.0	0.973,0.995	0.016
0.006,0.003	0.0,0.002	0.004
0.948,0.974	0.966,0.957	-0.001
1.0,1.0	1.0,0.999	0.0
0.985,0.983	0.97,0.981	0.008
0.005,0.004	0.008,0.009	-0.004
0.645,0.936	0.797,0.909	-0.062
0.175,0.0	0.101,0.217	-0.072
0.939,0.907	0.969,0.971	-0.047
0.348,0.282	0.113,0.359	0.079
1.0,0.958	1.0,1.0	-0.021
0.0,0.0	0.109,0.0	-0.054
0.62,0.614	0.474,0.485	0.138
1.0,1.0	1.0,0.969	0.016
1.0,0.967	1.0,0.937	0.015
0.967,0.992	0.992,0.972	-0.002
0.103,0.16	0.164,0.11	-0.006
0.012,0.007	0.009,0.013	-0.001
0.997,0.997	0.997,0.997	0.0
0.932,0.971	1.0,0.879	0.012
0.077,0.071	0.182,0.256	-0.145
0.394,0.512	0.727,0.508	-0.164
1.0,0.984	1.0,1.0	-0.008
0.406,0.603	0.417,0.489	0.051
0.439,0.365	0.351,0.283	0.085
1.0,1.0	0.798,0.792	0.205
0.006,0.007	0.013,0.014	-0.007
0.846,0.835	0.871,0.828	-0.009
0.057,0.061	0.05,0.042	0.013
1.0,0.939	1.0,1.0	-0.03
0.601,0.592	0.633,0.746	-0.093
0.019,0.017	0.009,0.015	0.006
0.0,0.051	0.097,0.016	-0.031
0.329,0.0	0.0,NA	0.165
1.0,1.0	0.999,1.0	0.0
0.162,0.055	0.024,0.0	0.097
0.093,0.067	0.069,0.07	0.01
0.896,0.95	0.93,0.933	-0.008
0.021,0.005	0.003,0.012	0.006
0.656,0.679	0.683,0.639	0.006
0.999,1.0	0.999,0.999	0.001
0.884,0.842	0.906,0.891	-0.036
0.485,0.671	0.642,0.739	-0.112
0.693,0.731	0.314,0.348	0.381
1.0,1.0	0.714,1.0	0.143
1.0,0.676	0.8,0.911	-0.017
0.666,0.565	0.651,0.678	-0.049
0.102,0.151	0.092,0.088	0.037
1.0,0.97	1.0,1.0	-0.015
0.062,0.02	0.032,0.012	0.019
0.0,0.0	0.021,0.0	-0.011
1.0,0.871	1.0,1.0	-0.065
0.566,0.517	0.502,0.629	-0.024
0.982,0.97	0.971,0.969	0.006
0.095,0.057	0.046,0.107	-0.001
0.958,0.906	0.773,0.882	0.104
0.934,0.933	0.931,0.94	-0.002
0.221,0.2	0.186,0.276	-0.02
0.104,0.147	0.138,0.107	0.003
0.031,0.033	0.029,0.01	0.013
0.942,1.0	1.0,0.933	0.004
0.823,0.836	0.741,0.806	0.056
0.927,0.859	0.96,0.95	-0.062
0.066,0.027	0.06,0.063	-0.015
0.973,0.976	0.984,0.985	-0.01
1.0,0.987	0.967,0.99	0.015
0.958,0.974	0.977,0.98	-0.012
0.813,0.657	0.592,0.762	0.058
0.982,0.978	0.987,0.989	-0.008
0.871,0.773	0.828,0.895	-0.039
1.0,0.993	1.0,1.0	-0.004
0.087,0.136	0.178,0.154	-0.054
0.997,1.0	1.0,0.997	0.0
0.812,0.658	0.885,0.828	-0.121
0.173,0.173	0.358,0.0	-0.006
0.995,0.985	0.976,0.96	0.022
0.007,0.027	0.02,0.015	-0.001
0.353,0.361	0.246,0.302	0.083
0.114,0.064	0.094,0.09	-0.003
0.927,0.92	0.921,0.919	0.003
0.699,0.629	0.571,0.802	-0.023
0.115,0.111	0.068,0.034	0.062
0.127,0.101	0.115,0.076	0.019
0.74,0.757	0.651,0.717	0.065
0.967,1.0	0.765,0.935	0.133
0.974,1.0	0.837,0.956	0.091
0.758,1.0	0.862,1.0	-0.052
0.002,0.017	0.005,0.017	-0.001
0.401,0.39	0.343,0.594	-0.073
0.077,0.11	0.082,0.123	-0.009
0.033,0.016	0.02,0.036	-0.003
0.579,0.345	0.503,0.539	-0.059
0.345,0.406	0.258,0.188	0.152
0.995,0.961	0.99,0.974	-0.004
0.116,0.097	0.23,0.225	-0.121
