IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1,7	20,30	1,0	8,7	225	149
72,134	208,313	132,139	391,415	252	149
38,42	272,484	65,97	415,520	251	149
10,6	50,26	18,6	58,40	227	149
33,42	141,166	53,36	159,221	273	149
9,14	131,179	19,31	162,145	246	149
29,21	13,14	50,19	17,19	296	149
32,21	3,8	32,36	9,8	241	149
452,666	116,138	481,490	100,132	238	149
4,12	0,0	12,16	1,2	242	149
130,253	510,754	161,174	649,717	228	149
204,358	3953,5982	242,361	3750,6533	212	149
37,52	48,109	84,58	87,118	255	149
85,120	357,513	127,137	461,612	225	149
5,9	45,42	6,10	53,64	232	149
15,26	77,78	31,41	54,78	246	149
8,10	64,75	15,13	89,92	247	149
171,234	43,48	216,208	60,44	272	149
0,0	81,107	8,1	94,87	251	149
55,83	143,167	93,76	139,139	232	149
4,7	69,95	10,27	85,109	298	149
1,2	27,31	1,1	33,28	225	149
13,26	183,233	29,25	177,275	298	149
1,8	14,16	2,0	14,5	244	149
14,11	16,12	19,10	37,19	215	149
108,132	84,110	97,150	93,110	287	149
7,1	430,581	8,13	578,623	231	149
19,17	0,0	37,32	0,4	241	149
28,88	2821,4309	39,71	3209,4138	224	149
84,111	2255,3652	64,122	2557,3300	240	149
14,21	189,335	12,19	227,247	237	149
86,219	0,2	183,220	8,0	259	149
5,18	24,45	102,85	19,32	298	149
79,86	421,698	112,115	548,609	230	149
8,12	67,80	10,7	100,91	277	149
7,11	84,170	4,2	123,100	221	149
25,52	237,362	35,30	288,326	220	149
149,233	11,27	155,257	13,23	227	149
16,10	14,16	12,26	20,17	246	149
12,8	17,10	13,13	15,18	222	149
3,3	3,4	0,2	0,0	227	149
5,3	1,11	0,2	0,1	239	149
1,3	5,19	0,0	1,1	298	149
2,9	0,1	0,3	0,1	298	149
1,10	6,14	0,3	1,4	253	149
96,158	615,679	61,77	615,655	251	149
256,340	3,5	434,329	3,8	240	149
10,12	0,1	14,21	0,0	267	149
9,15	19,16	11,22	24,23	298	149
10,9	7,4	6,9	7,8	253	149
127,179	0,0	209,201	3,0	245	149
23,20	38,34	23,52	22,35	247	149
57,109	423,576	100,116	431,486	277	149
33,49	195,303	76,111	204,233	247	149
13,21	20,66	24,18	40,43	298	149
29,39	38,95	33,30	17,75	293	149
21,19	74,124	106,103	54,61	241	149
2,9	42,48	11,9	64,39	254	149
9,11	16,25	5,8	12,13	215	149
16,20	68,79	12,12	96,89	227	149
50,67	76,96	46,47	89,83	259	149
35,60	41,41	37,56	65,26	298	149
53,57	28,17	84,76	65,57	298	149
27,36	194,245	62,49	279,199	298	149
12,14	133,173	20,21	234,178	298	149
9,34	100,158	42,25	112,110	244	149
8,26	135,252	27,16	119,138	228	149
0,1	139,224	2,1	105,152	230	149
24,46	41,62	25,14	50,46	298	149
40,48	198,287	63,86	207,250	247	149
30,70	254,394	120,140	294,330	235	149
509,702	204,345	576,741	266,347	228	149
14,18	78,100	28,13	106,111	298	149
1,0	5,8	0,1	4,12	281	149
5,15	43,90	23,33	102,125	244	149
9,15	79,144	20,17	115,175	298	149
