ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	2401,3245	4,3	3015,3249	3,7	238	149	1
1	51,31	0,0	65,45	2,0	215	149	1
2	190,324	4,3	287,288	1,2	298	149	1
3	263,422	0,1	513,397	0,0	237	149	1
4	73,142	2,0	127,147	0,2	185	149	1
5	110,175	0,1	161,115	2,0	190	149	1
6	15,29	0,0	26,27	0,1	199	149	1
7	100,164	1,3	96,126	0,0	238	149	1
8	631,851	1,1	805,940	3,0	229	149	1
9	555,826	0,1	738,823	0,0	230	149	1
10	5,13	45,49	0,0	58,28	170	149	0.511125331195
11	973,1514	2,0	954,1347	0,0	213	149	1
12	149,221	81,143	93,128	149,155	207	149	0.00640425796046
13	124,152	0,0	144,156	2,0	286	149	1
15	905,1478	9,5	885,1009	10,8	269	149	1
16	9,10	8,6	17,27	14,7	279	149	0.90344697117
17	44,60	0,0	58,59	0,1	221	149	1
18	102,116	0,0	128,112	1,0	298	149	1
19	359,531	3,1	445,459	1,4	262	149	1
22	262,374	0,1	320,361	0,0	297	149	1
23	0,0	7,17	0,1	3,12	279	149	1
25	222,330	3,11	371,285	2,2	219	149	1
27	143,166	0,0	186,194	1,0	224	149	1
28	359,549	0,0	385,488	2,0	252	149	1
29	71,99	0,2	48,100	0,5	202	149	1
30	71,103	0,2	55,104	0,5	205	149	1
31	4,12	0,3	0,3	0,0	231	149	1
32	11,21	0,3	0,3	0,0	211	149	1
33	6,25	0,1	1,4	0,1	191	149	1
34	3,2	2,0	4,2	0,0	298	149	1
35	16,12	2,0	19,21	0,0	197	149	1
36	220,362	1,0	240,270	0,0	211	149	1
37	51,82	2,4	45,66	0,0	186	149	1
38	393,526	1,0	411,602	0,0	294	149	1
39	313,434	1,0	292,403	0,0	211	149	1
40	610,999	0,0	837,952	0,2	204	149	1
41	549,962	2,1	710,976	0,0	195	149	1
42	254,307	0,1	306,404	4,1	196	149	1
43	86,101	0,0	122,125	1,0	217	149	1
44	160,160	6,4	165,163	2,2	236	149	1
45	206,259	2,1	246,183	2,2	238	149	1
46	4850,6433	1,2	5827,6901	0,0	192	149	1
47	3,5	86,115	12,6	89,130	178	149	1
48	6,10	86,115	13,21	89,130	182	149	1
49	509,591	0,3	264,364	0,0	217	149	1
50	283,327	0,3	158,242	0,0	223	149	1
51	1105,1396	0,1	1210,1343	0,0	298	149	1
52	497,637	0,1	657,646	0,1	220	149	1
53	370,463	0,1	523,547	0,0	253	149	1
54	247,369	1,1	124,103	0,0	266	149	1
55	79,127	1,0	110,74	0,0	298	149	1
56	20,15	1,0	48,9	0,0	223	149	1
57	751,1110	1,3	1100,1059	1,3	167	149	1
58	6345,11601	25,49	4973,7802	28,31	216	149	1
59	4,9	405,594	12,12	455,422	295	149	1
60	513,807	0,1	576,721	0,0	298	149	1
61	90,133	0,2	93,76	0,0	223	149	1
62	7,2	2014,3224	11,9	1892,2607	214	149	1
63	853,981	0,0	815,843	0,2	298	149	1
64	31209,39324	1,0	25868,33895	0,0	298	149	1
65	560,712	1,1	716,728	0,0	247	149	1
66	221,237	1,1	305,268	0,0	286	149	1
67	1140,1484	0,0	1327,1990	4,1	281	149	1
68	652,938	0,0	848,1243	1,1	181	149	1
69	192,274	0,0	390,427	1,0	255	149	1
70	375,460	0,0	372,389	1,0	194	149	1
71	152,191	1,0	144,180	0,0	222	149	1
72	270,445	0,1	322,345	0,0	224	149	1
73	162,294	2,0	226,198	0,1	188	149	1
74	111,140	49,78	89,138	87,100	298	149	0.591475937787
75	42,78	151,200	52,75	205,160	207	149	1
76	27,63	151,200	69,69	205,160	210	149	1
77	68,105	0,1	120,80	0,0	298	149	1
78	386,492	2,0	444,533	1,0	245	149	1
79	177,344	1,0	235,322	0,0	222	149	1
80	18,15	9,2	10,23	13,6	298	149	0.647444940705
81	20,13	0,0	11,25	3,2	298	149	0.467532520371
82	86,91	0,0	72,102	2,0	287	149	1
84	89,106	0,1	98,79	2,0	219	149	1
85	3258,4722	0,0	4909,5278	0,2	258	149	1
86	85,99	12,7	64,86	7,1	262	149	1
87	66,74	52,73	32,40	48,68	219	149	0.436308075103
88	151,226	0,2	146,169	0,0	298	149	1
89	176,269	0,2	177,222	0,0	298	149	1
90	823,1213	0,0	809,1034	0,1	220	149	1
91	127,186	0,0	198,200	0,1	203	149	1
92	126,166	0,1	140,174	0,3	225	149	1
