ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	42,32,45	0,1,0	65,72,48	1,2,0	202	149	1
2	362,527,527	0,0,0	504,472,391	2,1,0	235	149	1
3	0,0,1	70,86,109	0,1,0	114,111,98	230	149	1
4	15,16,15	4,4,4	23,11,14	2,7,2	208	149	1
7	1072,1734,1711	0,0,4	1780,1615,1608	0,0,0	303	149	1
8	0,1,0	18,20,20	0,0,0	16,29,18	200	149	1
10	4,2,0	54,99,104	12,12,4	110,104,62	359	149	1
11	0,0,1	1,0,2	2,2,3	0,3,0	220	149	1
13	5,5,4	2,3,3	22,26,27	4,3,6	458	149	0.0860335774282
14	2,5,7	2,2,0	4,1,9	7,3,5	242	149	0.0847661177451
15	0,1,1	4,3,3	1,0,1	4,4,11	365	149	1
17	0,1,0	4,3,3	1,0,0	4,4,11	184	149	1
18	26,45,34	2,0,1	32,42,33	1,0,0	155	149	1
19	7,16,18	116,162,172	15,26,6	192,249,211	734	149	1
20	47,70,52	3,4,6	35,19,13	11,6,5	170	149	0.0819232366561
21	9,8,4	3,4,6	8,5,5	11,6,5	236	149	0.628839317793
22	3,3,2	41,65,50	4,4,1	31,18,9	215	149	1
23	68,91,102	1,2,0	101,97,98	0,0,0	736	149	1
24	19,23,25	1,6,1	14,13,16	1,4,1	153	149	1
25	339,448,423	0,1,0	708,691,575	0,1,0	152	149	1
26	1,1,11	66,72,92	10,2,4	140,150,113	293	149	1
28	112,197,255	0,2,1	136,101,114	1,0,0	421	149	1
29	196,316,310	8,0,2	336,349,314	1,0,1	161	149	1
30	8,4,13	27,40,43	3,5,4	58,49,45	179	149	1
31	4,15,5	88,121,128	4,4,2	104,125,87	359	149	1
32	5,8,9	65,97,108	15,15,15	65,95,61	188	149	1
33	2,13,10	111,114,121	8,8,10	95,105,97	308	149	1
34	5,7,8	107,193,196	10,0,2	177,178,142	395	149	1
35	3,5,2	40,58,35	2,7,5	58,55,65	161	149	1
36	82,113,132	13,11,18	77,95,81	3,8,5	374	149	0.722389040689
37	16,16,25	125,261,257	34,20,21	265,278,214	188	149	1
38	44,71,75	2,8,16	111,92,78	6,3,2	268	149	0.617844596378
39	167,246,242	4,9,18	180,246,213	14,4,11	161	149	1
40	124,193,239	1,1,0	339,352,355	0,0,0	155	149	1
41	0,8,2	29,37,61	2,1,5	31,19,23	316	149	1
42	1,3,4	67,102,104	3,2,4	110,77,110	177	149	1
43	13,20,52	59,80,73	32,30,23	66,92,73	359	149	1
44	4,5,8	219,358,363	12,10,14	339,248,249	157	149	1
45	25,29,34	0,2,1	16,28,34	4,4,0	984	149	0.097227985681
47	51,56,63	0,0,0	110,62,74	0,0,2	167	149	1
50	79,72,75	0,0,0	69,90,54	0,4,1	170	149	1
51	101,179,182	1,1,0	200,206,173	2,0,2	339	149	1
52	14,10,11	26,42,35	22,11,15	54,49,29	268	149	1
53	202,347,399	10,11,17	455,368,390	29,15,23	715	149	1
54	4,2,6	115,178,211	4,0,1	202,193,154	311	149	1
55	88,120,126	0,0,0	153,137,143	2,0,0	157	149	1
56	0,3,0	44,89,142	0,0,3	124,122,101	151	149	1
57	7,8,2	20,17,25	4,8,6	60,53,40	204	149	1
58	8,20,19	554,726,937	16,20,12	828,820,765	373	149	1
59	11,13,15	0,1,1	21,9,7	12,3,6	169	149	2.45627582954e-05
60	5,13,3	0,0,0	3,5,6	0,2,0	153	149	1
61	7,6,2	1,7,2	2,7,2	8,8,10	161	149	0.0887553156239
62	17,34,34	2,4,0	49,59,51	0,1,0	190	149	1
63	36,34,52	65,108,128	6,7,7	98,107,87	167	149	4.70467556853e-05
64	0,0,1	14,31,30	0,0,0	52,30,32	157	149	1
65	8,25,18	35,45,39	24,20,13	18,26,25	525	149	1
66	12,4,16	6,18,16	21,17,18	33,41,32	233	149	1
68	18,24,3	1,6,7	7,4,17	5,2,4	343	149	1
69	47,89,81	0,0,0	58,56,52	2,0,0	325	149	1
70	415,492,474	0,0,1	505,560,460	1,3,0	847	149	1
71	439,520,516	0,0,1	551,606,481	1,3,0	875	149	1
73	50,45,71	5,4,5	39,54,69	6,7,4	542	149	1
74	17,17,10	575,815,885	25,17,18	727,670,656	153	149	1
75	1,2,3	18,33,34	8,14,1	22,33,22	177	149	0.394625795951
76	19,37,34	13,13,12	24,37,26	13,12,6	278	149	1
77	2,2,2	5,9,13	2,2,0	15,13,19	177	149	1
78	251,296,364	0,0,0	306,319,313	0,0,1	389	149	1
79	0,1,0	0,0,1	2,2,2	3,2,1	181	149	1
81	15,17,27	545,761,788	28,36,26	943,1083,884	153	149	1
82	175,255,221	7,4,2	385,353,323	0,0,0	406	149	1
83	2,11,4	165,320,347	4,3,9	255,275,208	152	149	1
85	12,16,15	65,74,113	26,26,14	105,96,68	343	149	1
86	2,2,3	6,10,13	0,3,4	10,8,11	167	149	1
87	12,5,15	6,10,13	26,32,39	10,8,11	209	149	0.0687874375139
88	10,5,12	0,2,0	26,29,35	0,0,0	191	149	1
89	201,284,352	1,2,1	305,259,199	5,1,0	189	149	1
90	50,44,58	4,0,1	48,65,45	0,0,0	408	149	1
92	0,1,0	49,49,70	0,0,0	68,70,71	154	149	1
94	3,4,3	7,21,25	0,0,0	67,40,35	155	149	0.794867145398
95	0,0,0	10,8,19	3,2,2	16,29,25	175	149	1
96	110,139,148	0,0,2	146,170,152	0,0,0	783	149	1
97	8,12,14	25,34,30	4,2,3	13,20,7	206	149	1
98	1,3,3	155,188,223	3,5,3	283,266,238	242	149	1
99	51,94,82	7,6,1	143,177,132	9,4,5	191	149	1
102	99,139,156	0,0,0	132,146,126	2,0,2	271	149	1
103	115,157,150	3,0,5	236,249,214	1,0,1	272	149	1
104	1,1,0	424,542,640	9,7,6	897,976,701	412	149	1
105	84,109,125	4,9,6	145,141,99	0,7,1	346	149	1
106	3,1,11	21,35,54	10,4,1	50,66,45	169	149	1
108	380,472,423	9,3,6	354,383,380	2,2,0	176	149	1
109	3,9,5	4,14,13	3,3,0	16,17,19	171	149	0.0441955175926
110	8,8,20	125,182,237	17,17,5	272,234,224	154	149	1
111	6,10,12	0,0,0	222,224,184	4,2,3	251	149	1
112	24,21,19	424,593,598	31,29,25	509,537,405	685	149	1
115	2,3,2	11,23,25	15,11,8	23,21,20	165	149	0.0120404716927
116	0,0,1	54,80,77	1,6,1	105,111,93	231	149	1
117	0,0,1	109,193,254	1,0,2	180,196,154	182	149	1
118	2,5,4	386,555,592	2,0,0	586,613,506	368	149	1
119	60,89,83	2,14,5	78,89,92	0,5,1	297	149	0.934221214762
120	20,28,21	2,6,8	46,44,37	8,3,7	737	149	0.808695962366
121	312,459,512	1,1,5	428,463,336	3,7,4	155	149	1
123	21,31,52	0,0,0	19,19,23	2,2,1	163	149	1
124	2,5,7	27,44,50	7,21,16	61,65,45	160	149	1
125	5,16,32	3,2,3	28,32,31	4,0,1	152	149	1
126	19,22,21	62,71,90	24,33,15	168,197,166	683	149	1
127	50,50,76	0,0,0	66,73,47	0,2,2	299	149	1
128	1,0,0	58,107,88	0,3,0	66,91,74	336	149	1
129	50,75,106	4,0,0	95,79,86	0,0,0	711	149	1
130	12,1,8	28,46,44	3,7,3	32,28,43	285	149	1
131	70,125,133	2,2,5	109,113,111	4,1,6	153	149	1
133	0,0,1	16,27,13	0,2,0	26,37,41	188	149	1
134	3,3,4	3,2,5	1,6,5	12,3,3	245	149	0.826032824892
136	196,238,285	0,2,0	186,250,205	0,0,0	209	149	1
137	13,15,25	179,222,324	28,25,18	297,312,268	847	149	1
138	17,22,34	17,12,13	25,27,14	61,56,62	214	149	0.00046416821598
139	2,2,3	32,30,27	0,4,3	21,27,18	396	149	1
141	7,5,13	17,35,21	14,8,4	36,37,37	249	149	1
142	7,20,19	82,138,142	4,1,5	236,218,201	158	149	1
143	0,5,4	957,1741,1885	1,0,0	1741,1681,1532	151	149	1
144	0,0,7	6,5,19	2,4,2	21,23,12	507	149	1
145	23,9,24	6,15,12	24,39,27	4,4,9	401	149	0.0882712823091
146	16,7,15	231,349,462	11,10,14	387,396,366	303	149	1
147	5,3,3	251,381,393	3,1,3	450,432,432	180	149	1
148	1,2,2	60,56,56	1,2,0	54,45,45	345	149	1
149	9,6,0	17,17,20	2,1,2	17,6,17	393	149	1
150	4,4,6	0,2,0	8,4,18	0,1,0	185	149	1
151	3,4,5	0,2,3	1,2,0	2,2,2	173	149	0.00872999232524
152	4,3,16	266,504,471	8,14,18	658,642,532	369	149	1
154	4,13,4	5,12,5	19,28,10	6,1,5	230	149	0.0102887809701
156	97,162,194	25,32,20	173,193,147	16,41,20	519	149	1
158	6,7,6	3,0,1	12,6,2	2,8,3	243	149	0.0958876420569
159	6,7,7	531,728,784	12,6,4	841,751,666	420	149	1
160	3,0,2	531,728,784	2,8,5	841,751,666	326	149	1
