ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	42,32,45	0,1,0	65,72,48	1,2,0	202	149	1	1.0	1.0,0.959,1.0	0.98,0.964,1.0	0.005
2	361,527,527	0,0,0	504,472,391	2,1,0	235	149	1	1.0	1.0,1.0,1.0	0.994,0.997,1.0	0.003
3	0,0,1	70,86,109	0,1,0	114,111,98	230	149	1	1.0	0.0,0.0,0.006	0.0,0.006,0.0	0.0
4	15,16,15	4,4,4	23,11,14	2,7,2	208	149	1	1.0	0.729,0.741,0.729	0.892,0.53,0.834	-0.019
7	1070,1730,1711	0,0,4	1779,1615,1606	0,0,0	298	149	1	1.0	1.0,1.0,0.995	1.0,1.0,1.0	-0.002
8	0,1,0	18,20,20	0,0,0	16,29,18	200	149	1	1.0	0.0,0.036,0.0	0.0,0.0,0.0	0.012
10	3,2,0	54,99,104	7,6,3	110,104,62	298	149	1	1.0	0.027,0.01,0.0	0.031,0.028,0.024	-0.015
11	0,0,1	1,0,2	2,2,3	0,3,0	220	149	1	1.0	0.0,NA,0.253	1.0,0.311,1.0	-0.644
13	5,5,3	2,3,3	18,21,20	4,3,6	298	149	0.223356933561	1.0	0.556,0.455,0.333	0.692,0.778,0.625	-0.25
14	2,5,7	2,2,0	4,1,9	7,3,5	242	149	0.0847661177451	0.8703762808990333	0.381,0.606,1.0	0.26,0.17,0.526	0.344
15	0,1,1	4,3,3	1,0,0	4,4,11	298	149	1	1.0	0.0,0.143,0.143	0.111,0.0,0.0	0.058
17	0,1,0	4,3,3	1,0,0	4,4,11	184	149	1	1.0	0.0,0.213,0.0	0.168,0.0,0.0	0.015
18	26,45,34	2,0,1	32,42,33	1,0,0	155	149	1	1.0	0.926,1.0,0.97	0.969,1.0,1.0	-0.024
19	7,7,13	116,162,172	11,9,2	192,249,211	298	149	1	1.0	0.029,0.021,0.036	0.028,0.018,0.005	0.012
20	47,70,52	3,4,6	35,19,13	11,6,5	170	149	0.0819232366561	0.8637678173606248	0.932,0.939,0.884	0.736,0.735,0.695	0.196
21	8,8,4	3,4,6	8,5,5	11,6,5	236	149	0.701177287319	1.0	0.627,0.558,0.296	0.315,0.345,0.387	0.145
22	3,3,2	41,65,50	4,4,1	31,18,9	215	149	1	1.0	0.048,0.031,0.027	0.082,0.133,0.071	-0.06
23	61,87,97	1,2,0	99,93,91	0,0,0	298	149	1	1.0	0.968,0.956,1.0	1.0,1.0,1.0	-0.025
