ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	3598,5217,4290,3606,4885,4562	8,6,5,7,6,12	3489,2386,3125,4454,4805,1592	11,8,6,3,8,2	238	149
1	1803,2728,2326,1833,2686,2342	0,0,0,0,0,0	1767,1225,1483,2460,2643,776	2,0,0,0,0,0	279	149
2	0,0,2,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,0,2,0,0,0	241	149
3	70,74,44,68,48,47	0,0,0,0,0,2	56,22,26,96,79,19	1,0,0,3,0,0	215	149
4	301,524,420,337,583,434	1,0,2,4,6,2	489,323,406,485,533,192	7,3,1,1,6,0	346	149
5	444,656,528,407,675,479	0,0,0,1,1,0	495,411,425,761,616,182	0,0,0,0,0,0	237	149
6	7823,12452,9163,8220,10646,9782	0,0,1,0,0,0	10092,7189,8906,13014,13687,4236	0,0,0,0,0,0	227	149
7	7989,12741,10276,9587,14176,10893	0,0,0,0,0,0	13759,9510,9750,8620,15220,5851	0,0,1,0,0,0	223	149
8	61,80,98,63,118,100	0,0,0,0,0,0	79,48,63,105,119,33	1,0,0,0,0,0	217	149
9	147,188,208,120,204,239	0,0,0,4,0,0	138,118,124,195,207,70	0,0,0,0,2,0	185	149
10	167,305,237,166,257,184	6,1,0,0,2,0	193,124,158,236,192,66	2,1,3,2,0,1	190	149
11	43,57,55,28,41,46	0,0,0,0,0,0	31,25,36,37,42,20	0,0,1,0,1,0	199	149
12	184,258,177,145,238,243	0,1,0,1,3,3	137,104,115,153,204,71	1,2,0,0,0,0	238	149
13	151,236,172,125,235,218	0,0,0,0,0,0	131,129,123,199,236,72	2,0,0,0,0,0	210	149
14	189,240,156,152,164,154	1,0,0,0,0,0	163,120,114,169,191,52	0,0,0,0,0,0	207	149
15	1151,1771,1409,1260,1647,1616	0,0,1,0,0,0	1515,1202,1258,1739,1999,639	0,0,0,0,1,0	285	149
16	808,1116,1008,746,1150,987	0,0,1,0,0,0	958,654,824,1133,1338,430	0,0,0,0,0,0	210	149
17	880,1213,1049,937,1262,1049	1,2,4,1,1,0	941,752,862,1203,1343,418	3,2,0,6,5,2	229	149
18	1026,1438,1168,1059,1512,1280	1,0,0,0,0,0	1186,873,1014,1329,1520,505	0,0,0,1,0,0	218	149
19	843,1190,970,858,1216,1080	0,3,0,0,1,0	1030,672,858,1076,1235,452	0,0,0,0,0,1	230	149
20	116,169,152,129,160,173	0,0,0,0,0,1	104,68,95,152,83,43	0,0,0,0,0,0	281	149
21	2,5,5,5,15,5	68,88,71,65,76,79	0,0,0,0,0,1	53,38,38,86,48,24	170	149
22	1802,2539,1819,1461,2358,2404	0,0,0,2,0,2	1350,831,1166,1384,1986,548	1,0,0,0,0,0	213	149
23	252,322,269,219,336,326	132,221,207,136,201,199	115,95,83,130,190,42	175,143,183,229,247,98	207	149
24	99,171,126,107,158,137	0,4,0,0,0,0	103,97,69,178,158,67	0,0,0,0,0,0	243	149
25	129,230,185,178,244,197	0,0,0,0,0,0	157,122,150,232,228,89	0,0,0,2,0,0	286	149
27	1302,2119,1466,1386,2240,1546	7,10,11,10,9,3	1419,981,1055,1344,1534,455	7,9,6,12,13,3	269	149
28	914,1362,1022,919,1525,1195	0,0,2,0,0,1	822,611,686,966,1215,398	0,0,0,1,0,0	228	149
29	7,39,15,13,13,14	4,11,10,10,10,2	27,19,31,29,47,12	19,13,3,17,13,11	279	149
30	4371,7124,5755,5007,7543,6057	0,0,0,0,0,0	5425,3842,4531,5715,7344,2400	0,4,0,0,0,0	210	149
31	66,105,119,68,98,83	0,0,0,0,0,0	56,53,35,95,92,31	2,0,0,0,1,0	221	149
32	349,444,496,326,436,424	0,1,0,0,0,0	336,227,251,430,404,135	0,0,0,0,0,0	299	149
33	2650,3784,2982,2326,3330,3600	2,0,2,0,0,0	2052,1592,1917,3064,3167,1234	0,2,0,1,0,2	3005	149
34	513,868,742,545,845,718	5,7,1,5,2,6	628,388,533,663,691,263	3,5,0,3,9,1	262	149
35	479,668,571,549,726,732	0,0,0,0,0,0	551,384,450,630,743,253	0,0,0,0,2,0	225	149
36	229,309,258,221,252,239	0,0,0,0,0,0	168,119,123,319,199,34	0,1,0,0,0,0	183	149
37	0,0,0,0,0,0	6,11,6,10,4,2	2,0,0,0,0,0	4,4,2,5,6,2	248	149
39	305,367,363,256,426,383	0,0,0,0,0,0	258,165,221,329,350,138	1,0,0,0,0,0	229	149
40	359,576,574,408,588,519	0,0,0,0,1,1	403,228,339,481,542,186	0,1,0,0,0,2	297	149
41	232,380,378,256,353,307	0,0,0,0,0,0	436,306,261,338,448,136	0,1,0,0,0,1	288	149
42	2,0,4,0,0,0	12,6,6,9,25,13	0,2,0,0,1,0	18,2,9,3,16,1	279	149
43	0,0,2,0,0,0	12,6,6,9,25,13	0,0,0,0,0,0	18,2,9,3,16,1	208	149
44	263,456,391,321,477,422	13,13,6,4,12,2	351,241,343,564,456,161	2,3,3,2,2,2	219	149
