ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	3,6,3,1,11,4	16,34,18,31,39,28	0,1,1,2,1,0	37,13,17,12,15,6	225	149	1	1.0
1	152,223,193,108,187,177	340,528,467,323,477,492	96,89,82,208,186,57	458,419,358,583,607,234	252	149	1	1.0
2	39,91,98,69,72,58	454,721,623,419,736,693	87,59,77,99,141,27	518,458,421,628,751,284	251	149	1	1.0
3	13,10,14,14,7,18	60,75,37,62,41,38	21,14,23,27,8,4	43,22,23,86,59,17	227	149	1	1.0
4	46,95,63,57,73,71	243,302,244,225,288,244	38,46,42,78,50,17	225,163,181,251,309,114	273	149	1	1.0
5	38,34,29,16,23,32	178,337,201,213,261,271	19,14,24,30,39,21	167,169,148,245,227,79	246	149	1	1.0
6	14,29,45,41,38,56	19,13,19,18,21,32	42,29,54,70,28,23	21,9,15,25,25,10	296	149	1	1.0
7	46,61,43,53,40,54	9,5,12,3,11,8	44,28,31,45,50,26	3,2,2,12,10,5	241	149	1	1.0
8	720,1043,831,697,1035,686	148,206,198,155,199,183	665,483,529,683,728,228	142,128,113,151,206,84	238	149	1	1.0
9	9,26,23,11,16,2	0,0,0,0,0,1	20,24,10,23,23,4	1,4,1,2,2,2	242	149	1	1.0
10	230,320,247,217,391,357	693,985,937,746,1114,974	225,149,166,249,271,165	846,684,748,968,1099,438	228	149	1	1.0
11	288,438,317,318,535,364	4863,7980,6408,5902,8969,6930	516,382,328,375,533,253	8432,6065,6113,5582,9703,3770	212	149	1	1.0
12	79,96,80,57,79,71	111,148,156,79,160,190	61,55,42,113,83,49	98,90,108,139,163,47	255	149	1	1.0
13	138,223,152,124,182,135	496,776,637,513,729,630	138,105,106,178,204,53	627,500,561,717,885,259	225	149	1	1.0
14	1,14,2,7,9,7	81,104,69,65,67,106	6,8,9,8,12,3	66,56,46,90,91,30	232	149	1	1.0
15	42,44,38,17,47,37	110,106,126,102,125,127	24,16,23,50,57,16	62,53,70,98,115,36	246	149	1	1.0
16	20,5,19,12,14,19	92,143,146,91,117,117	7,9,9,23,14,5	86,75,76,126,145,35	247	149	1	1.0
