IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3598,5217,4289,3606,4883,4561	8,6,5,7,6,12	3488,2386,3124,4454,4804,1590	11,8,6,3,8,2	238	149
1787,2710,2314,1830,2680,2331	0,0,0,0,0,0	1759,1224,1474,2456,2625,766	2,0,0,0,0,0	279	149
0,0,2,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,0,2,0,0,0	241	149
70,74,44,68,48,47	0,0,0,0,0,2	56,22,26,96,79,19	1,0,0,3,0,0	215	149
254,413,324,281,483,347	1,0,2,4,6,2	409,247,334,410,408,160	7,3,1,1,6,0	298	149
444,654,526,406,674,479	0,0,0,1,1,0	495,411,425,759,616,182	0,0,0,0,0,0	237	149
7823,12450,9160,8220,10644,9782	0,0,1,0,0,0	10090,7187,8905,13013,13686,4236	0,0,0,0,0,0	227	149
7988,12740,10274,9584,14171,10891	0,0,0,0,0,0	13758,9509,9748,8618,15218,5851	0,0,1,0,0,0	223	149
61,80,98,63,118,100	0,0,0,0,0,0	79,48,63,105,119,33	1,0,0,0,0,0	217	149
147,188,208,120,204,239	0,0,0,4,0,0	138,118,124,195,207,70	0,0,0,0,2,0	185	149
167,305,237,166,257,184	6,1,0,0,2,0	193,124,158,236,192,66	2,1,3,2,0,1	190	149
43,57,55,28,41,46	0,0,0,0,0,0	31,25,36,37,42,20	0,0,1,0,1,0	199	149
184,258,177,145,238,243	0,1,0,1,3,3	137,104,115,152,204,71	1,2,0,0,0,0	238	149
151,236,172,125,235,218	0,0,0,0,0,0	131,129,123,199,236,72	2,0,0,0,0,0	210	149
189,240,156,152,164,154	1,0,0,0,0,0	163,120,114,169,191,52	0,0,0,0,0,0	207	149
1147,1762,1404,1255,1645,1609	0,0,1,0,0,0	1514,1202,1251,1735,1998,638	0,0,0,0,1,0	285	149
808,1116,1007,746,1150,987	0,0,1,0,0,0	958,654,824,1133,1338,430	0,0,0,0,0,0	210	149
