IncLevel1	IncLevel2	IncLevelDifference
1.0,1.0,1.0,0.954,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
0.022,0.004,0.003,0.0,0.009,0.002	0.0,0.0,0.018,0.003,0.0,0.0	0.003
0.135,0.909,0.556,0.61,0.295,0.653	1.0,1.0,0.485,0.413,0.505,0.485	-0.122
0.0,0.0,0.105,0.0,0.0,0.0	0.292,0.0,0.0,0.0,0.0,0.0	-0.031
0.07,0.08,0.0,0.115,0.0,0.0	0.083,0.0,0.0,0.0,0.0,NA	0.028
0.0,0.0,0.0,0.0,0.025,0.0	0.035,0.0,0.057,0.018,0.0,0.0	-0.014
0.898,0.865,0.879,0.828,0.891,0.857	0.853,0.865,0.863,0.858,0.875,0.869	0.006
1.0,0.991,1.0,1.0,1.0,1.0	1.0,1.0,0.988,1.0,1.0,1.0	0.001
0.01,0.009,0.012,0.006,0.011,0.005	0.016,0.037,0.033,0.053,0.039,0.021	-0.024
0.003,0.004,0.002,0.0,0.003,0.0	0.001,0.002,0.001,0.0,0.001,0.0	0.001
1.0,0.974,0.992,1.0,0.978,1.0	1.0,1.0,0.992,0.992,0.989,0.961	0.002
0.606,0.736,1.0,1.0,0.889,1.0	1.0,0.548,NA,1.0,1.0,1.0	-0.038
0.34,0.462,0.317,0.492,0.314,0.256	0.162,0.147,0.205,0.34,0.358,0.508	0.077
0.112,0.276,0.252,0.187,0.295,0.155	0.146,0.402,0.178,0.117,0.272,0.112	0.008
0.414,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.098
0.129,0.137,0.095,0.047,0.09,0.0	0.0,0.297,0.085,0.124,0.034,0.0	-0.007
1.0,1.0,0.961,1.0,1.0,1.0	0.962,1.0,1.0,0.97,0.982,1.0	0.008
0.023,0.038,0.015,0.025,0.032,0.017	0.038,0.041,0.061,0.017,0.028,0.084	-0.02
0.872,0.84,0.875,0.883,0.92,0.884	0.842,0.771,0.834,0.789,0.768,0.868	0.067
