ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	54,80,78,46,79,79	83,92,75,65,97,107	38,48,32,78,74,20	51,44,34,43,55,26	160	188	1	1.0
1	404,521,474,396,546,532	228,332,285,224,344,281	461,309,392,500,560,215	266,203,224,311,363,122	180	168	1	1.0
2	97,162,143,106,214,157	129,253,163,181,200,185	133,98,143,138,162,57	171,137,167,138,224,68	167	161	1	1.0
3	114,177,129,126,173,135	98,100,93,95,101,117	134,117,128,186,190,65	131,83,87,98,126,41	167	146	1	1.0
4	11,9,6,10,23,12	232,386,280,269,425,297	3,9,7,9,9,5	224,185,218,328,342,96	233	341	1	1.0
5	103,109,112,135,159,141	22,29,20,37,40,16	110,78,107,124,141,38	17,6,10,14,23,7	212	169	1	1.0
6	75,82,71,95,116,98	230,411,289,264,436,309	65,55,69,90,91,24	228,198,224,337,358,101	212	489	1	1.0
7	75,82,71,95,116,98	232,386,280,269,425,297	65,55,69,90,91,24	224,185,218,328,342,96	212	341	1	1.0
8	35,50,39,47,60,74	69,84,71,63,80,49	51,27,39,62,60,12	49,44,77,113,102,41	139	144	1	1.0
9	5,30,14,10,19,19	74,151,143,92,190,92	17,10,18,27,17,10	92,73,74,135,148,36	180	180	1	1.0
10	178,304,198,150,263,208	91,142,121,71,125,117	141,104,100,176,199,77	67,45,41,83,106,23	179	152	1	1.0
11	58,81,45,40,73,54	79,96,65,64,87,95	37,39,38,53,48,20	78,46,49,84,77,30	160	153	1	1.0
12	1,5,1,2,3,3	9,4,5,3,5,6	0,0,2,0,0,0	0,4,0,5,12,2	213	292	1	1.0
13	498,854,628,558,735,609	198,303,189,168,265,242	611,398,505,706,696,224	231,136,186,249,248,78	189	153	1	1.0
15	204,182,116,131,185,233	325,370,237,228,371,381	101,60,72,52,155,44	256,135,193,123,270,127	176	222	1	1.0
16	280,549,371,389,487,516	263,400,297,292,403,405	354,363,360,550,500,196	307,263,318,367,422,149	205	166	1	1.0
17	452,777,372,336,573,479	439,802,419,379,619,531	753,540,635,830,1110,372	737,575,658,826,1045,347	181	168	1	1.0
18	77,75,97,86,126,133	186,268,239,243,281,316	68,31,78,130,100,29	140,166,172,328,271,86	144	207	1	1.0
19	66,99,90,60,122,72	43,49,70,39,82,67	71,50,68,86,96,37	57,34,55,68,64,26	147	146	1	1.0
21	6,11,5,8,6,7	4,12,19,15,15,11	3,3,1,7,13,3	10,9,13,4,14,7	210	203	1	1.0
22	635,1037,775,597,1026,817	68,119,86,52,87,59	683,480,593,722,964,265	58,41,52,68,91,31	166	117	1	1.0
23	97,146,109,106,160,135	388,556,517,392,660,562	99,61,90,110,145,52	362,288,337,499,639,239	178	602	1	1.0
24	499,753,682,550,954,734	392,673,476,462,660,570	657,538,573,858,861,283	472,333,349,548,725,186	174	147	1	1.0
25	649,987,857,703,966,932	288,417,382,312,428,480	772,492,620,956,947,303	342,252,270,418,482,158	182	147	1	1.0
26	28,46,51,23,39,48	66,106,99,84,74,115	18,19,15,37,52,22	56,45,72,109,72,41	151	253	1	1.0
28	572,878,700,559,909,712	284,372,305,296,382,362	633,459,519,689,833,318	267,224,256,323,358,141	149	133	1	1.0
29	0,2,5,3,2,1	109,199,135,140,195,95	0,1,0,0,0,1	103,76,83,147,131,47	180	180	1	1.0
30	73,137,97,99,108,102	108,199,136,139,195,95	67,79,47,117,93,40	103,76,83,147,131,47	180	180	1	1.0
31	89,121,94,94,125,103	107,166,126,110,192,135	81,80,43,94,78,24	112,111,84,133,127,44	180	180	1	1.0
32	146,223,197,178,262,181	176,239,208,191,308,217	95,71,101,158,122,42	113,88,98,150,179,50	181	163	1	1.0
33	8,12,6,3,4,7	205,336,202,184,309,224	9,4,10,11,11,7	194,125,199,202,227,77	206	182	1	1.0
34	116,175,109,120,124,151	205,336,202,184,309,224	114,71,89,105,162,43	194,125,199,202,227,77	167	182	1	1.0
35	46,66,57,50,67,85	48,103,98,49,99,90	51,44,38,67,76,25	82,44,72,102,83,32	138	156	1	1.0
36	231,374,259,243,401,387	76,115,94,99,157,114	263,239,263,399,396,157	116,74,87,127,127,51	561	235	1	1.0
37	249,427,273,279,415,295	113,205,143,176,290,215	317,244,273,273,346,132	177,116,119,134,211,85	200	172	1	1.0
38	135,219,138,154,241,196	196,363,245,240,326,276	171,97,116,139,180,57	247,186,210,231,321,87	177	170	1	1.0
39	1495,2073,1798,1593,2101,1967	1163,1886,1540,1300,1604,1583	1701,1241,1372,2026,1994,700	1330,961,1156,1781,1816,574	160	153	1	1.0
40	597,676,580,559,824,718	159,220,148,207,232,254	187,332,384,722,584,228	52,75,83,189,160,47	389	184	1	1.0
41	1186,1932,1670,1509,2201,1734	1317,2341,2025,1747,2561,2080	1745,1297,1523,2165,2341,755	1941,1556,1738,2759,2684,852	177	213	1	1.0
