ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	56,76,71,54,55,78	105,176,128,135,157,141	67,27,53,54,68,31	121,86,107,147,159,51	230	218
1	0,2,0,0,0,0	82,138,96,96,168,96	0,1,1,0,0,0	84,67,69,105,124,40	283	391
2	26,35,36,26,50,36	4,10,9,11,12,5	27,26,33,37,52,14	6,1,3,2,6,1	262	219
3	6,10,6,11,12,5	82,145,99,90,169,98	8,9,14,6,10,1	89,74,75,110,133,41	262	539
4	6,10,6,11,12,5	82,138,96,96,168,96	8,9,14,6,10,1	84,67,69,105,124,40	262	391
5	5,11,4,4,10,3	34,75,63,41,84,33	4,4,5,9,13,6	30,32,29,44,44,18	230	230
6	185,324,207,204,249,226	80,88,54,57,78,75	236,149,168,240,235,82	74,48,57,91,71,30	239	203
8	95,99,61,45,91,89	115,140,75,71,130,125	52,34,31,18,45,28	85,48,59,39,78,46	226	272
9	104,213,143,156,215,223	64,117,75,87,132,107	161,140,130,212,212,61	85,79,100,133,123,39	255	216
10	175,282,127,121,200,154	78,111,55,53,121,88	270,215,255,271,418,133	118,71,108,144,144,69	231	218
11	22,20,17,21,19,16	19,22,33,31,37,23	34,6,14,20,22,5	26,13,21,24,34,15	197	196
13	1,5,2,1,2,1	3,5,6,7,15,2	3,2,0,2,3,0	1,3,5,3,4,6	260	253
14	251,383,317,261,414,336	6,19,22,10,22,10	299,218,241,270,357,110	8,3,13,14,7,11	216	167
15	31,28,28,32,30,37	15,11,18,20,24,22	36,22,26,37,33,16	17,14,14,29,28,7	245	200
16	159,230,188,195,263,201	110,221,152,154,200,155	170,165,187,275,250,77	134,108,127,149,222,58	224	197
17	16,23,33,9,12,8	28,31,39,33,31,29	7,10,8,17,27,8	26,12,21,41,29,15	201	303
18	5,6,8,5,11,7	14,28,13,21,27,15	4,2,1,0,10,0	4,9,6,17,11,9	266	259
19	24,55,34,33,54,44	39,59,39,57,62,28	18,31,22,37,34,23	30,26,24,54,39,8	230	230
20	12,21,23,31,31,20	41,65,43,32,60,35	23,10,15,15,8,8	30,29,29,54,42,13	230	230
21	3,5,3,0,0,8	61,111,76,52,116,81	2,2,2,1,4,5	63,43,61,64,95,29	256	232
22	54,87,51,43,57,61	61,111,76,52,116,81	46,24,37,46,68,33	63,43,61,64,95,29	217	232
23	20,21,18,21,19,17	20,31,30,14,38,29	16,16,18,19,25,9	30,18,36,41,24,15	188	206
24	61,114,77,74,110,105	19,37,30,38,53,38	77,93,63,102,116,44	37,28,22,51,43,20	611	285
25	87,140,81,106,136,101	33,65,30,60,90,69	107,81,91,67,102,39	70,37,46,42,75,30	250	222
26	15,27,22,25,24,30	47,70,42,41,77,56	24,24,23,38,34,19	49,38,47,87,101,25	201	271
27	61,82,94,57,108,56	20,23,25,25,23,22	69,47,39,66,77,23	24,21,17,33,50,11	219	177
30	20,21,24,27,46,46	9,33,7,7,19,20	48,18,33,47,52,19	6,4,4,6,19,4	251	260
31	518,678,564,540,740,668	129,157,147,133,166,193	523,390,494,784,685,263	136,87,113,170,210,70	566	234
32	29,33,34,15,46,51	30,63,40,32,47,30	50,35,34,41,52,23	45,31,33,43,68,23	197	218
33	14,32,26,15,39,19	42,76,53,31,59,46	26,21,13,25,36,6	71,60,48,58,83,24	169	202
34	8,32,16,16,19,37	155,293,231,193,251,288	38,10,21,18,39,9	231,195,220,237,296,100	244	234
35	96,113,76,72,98,101	60,146,80,57,93,69	62,47,46,86,87,32	77,59,57,96,77,28	247	225
36	41,52,38,37,65,59	117,137,101,104,160,116	45,29,43,74,83,28	129,112,106,163,216,69	220	290
37	20,32,56,26,40,41	16,47,48,34,51,52	26,27,29,51,48,18	24,46,34,82,68,24	193	201
38	19,34,24,22,21,21	25,68,37,52,41,59	15,12,17,49,29,10	42,50,35,49,54,15	208	263
40	52,94,61,58,86,52	50,63,55,59,71,60	40,33,38,66,79,29	30,27,43,60,36,18	208	216
41	25,32,22,21,23,16	37,39,40,39,61,41	20,11,33,32,42,12	55,37,50,43,63,28	198	264
42	24,27,24,14,14,15	23,32,34,13,32,30	15,13,13,24,22,8	29,12,22,25,36,5	248	271
43	395,522,617,579,854,636	461,761,772,813,1186,801	842,731,857,1296,1086,406	1217,1006,1122,1899,1596,645	575	575
44	464,891,597,490,706,529	358,568,400,391,536,403	569,337,531,538,644,188	402,243,318,440,457,118	195	206
45	39,45,49,22,57,43	28,47,53,36,65,50	26,16,38,40,53,20	49,41,39,85,60,22	273	301
46	15,23,12,23,21,14	37,45,40,39,51,35	18,9,16,8,31,4	50,26,27,39,41,17	193	266
47	30,71,55,40,58,61	237,325,273,187,356,326	54,42,50,40,61,21	241,178,198,285,331,119	220	230
48	405,524,438,345,580,439	78,122,73,48,88,76	417,278,334,412,576,215	97,63,87,105,124,41	230	193
49	418,677,439,366,572,378	438,633,584,462,743,541	602,451,456,514,600,206	629,463,496,730,714,300	226	272
50	36,54,42,40,50,60	40,51,57,47,52,75	43,30,19,55,59,19	55,35,49,63,58,16	226	220
51	147,234,195,187,236,221	147,195,198,209,235,240	246,186,244,287,309,116	239,204,218,264,319,133	253	265
