IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
12,21,14,3,20,13	0,1,0,0,0,0	11,7,11,5,18,4	0,0,0,0,0,0	202	149
69,74,68,45,81,90	0,0,0,2,0,0	40,47,43,92,56,32	0,0,0,0,1,0	291	149
4,3,0,0,1,1	67,135,81,102,112,121	0,1,5,3,1,2	42,53,65,98,87,23	230	149
0,8,0,4,1,2	2,0,0,2,3,0	1,5,0,0,4,0	0,0,1,0,3,0	208	149
0,0,1,1,0,0	2,11,5,3,4,13	0,0,0,0,0,0	2,5,4,3,7,0	170	149
0,0,1,0,0,1	4,19,14,14,17,8	0,0,0,0,0,0	10,10,5,14,16,13	200	149
19,48,35,41,54,32	2,9,10,6,9,13	42,34,44,58,57,16	6,6,6,11,13,6	184	149
17,40,29,28,38,24	0,0,1,0,0,0	32,34,36,52,37,13	0,0,0,0,0,2	184	149
1,1,2,2,1,0	67,133,120,109,144,157	1,2,3,4,6,1	95,46,55,122,99,36	298	149
2,1,1,1,2,1	275,485,357,285,505,406	1,0,0,1,1,0	424,295,291,366,512,165	156	149
0,0,0,0,0,0	0,0,0,1,0,0	0,0,2,1,1,0	0,0,0,0,0,0	154	149
116,194,134,114,158,175	0,1,0,0,2,1	103,53,139,97,171,51	0,0,0,1,1,1	283	149
2,21,4,4,11,4	1,1,0,0,0,0	0,0,0,0,0,1	0,0,0,0,0,0	298	149
3,3,7,2,2,2	3,2,8,4,3,6	1,1,1,4,8,1	4,3,2,6,4,1	242	149
0,4,3,4,3,1	6,4,6,7,7,8	0,2,2,1,3,0	8,1,3,17,9,3	298	149
0,4,2,0,2,1	1,0,2,0,0,0	0,1,2,0,2,0	0,0,0,0,0,0	298	149
1,0,3,4,1,0	6,4,6,7,7,8	0,1,0,1,1,0	8,1,3,17,9,3	184	149
2,0,1,4,2,0	22,35,47,21,32,26	2,2,0,0,5,0	28,31,19,49,51,13	298	149
101,136,98,108,120,145	14,17,10,14,11,17	113,68,91,145,111,55	17,19,13,28,19,8	170	149
12,21,12,18,11,14	14,17,10,14,11,17	13,14,16,14,21,6	17,19,13,28,19,8	236	149
6,2,3,5,0,4	95,117,89,95,109,135	2,4,3,4,5,2	102,58,78,135,95,51	215	149
31,54,45,54,49,47	0,0,1,3,0,0	26,25,24,49,39,21	1,1,0,1,1,0	298	149
2,9,4,0,10,5	0,0,2,0,1,0	4,7,3,5,11,3	3,0,1,5,0,1	153	149
35,44,43,49,50,41	0,0,0,0,0,0	27,15,24,41,52,18	0,0,0,0,1,0	152	149
2,0,0,0,0,2	33,55,54,34,30,46	0,0,0,0,0,0	33,19,35,62,32,7	293	149
57,91,101,62,86,67	1,0,1,0,0,0	41,21,31,43,59,9	0,0,0,0,0,0	298	149
340,516,424,393,488,403	1,1,3,2,0,2	330,224,331,424,481,140	0,0,0,2,0,0	161	149
4,9,4,1,9,9	13,14,15,15,22,11	2,2,1,8,1,3	19,15,16,25,20,9	179	149
2,2,1,3,5,2	114,146,106,79,171,157	0,0,0,2,2,0	128,93,65,147,132,48	298	149
19,14,4,3,19,4	99,163,117,86,173,156	18,13,9,26,18,8	121,85,69,128,136,44	188	149
1,2,2,1,3,3	17,62,35,24,45,25	1,8,1,4,1,0	28,11,23,38,29,15	298	149
1,1,1,0,1,0	57,101,73,70,112,127	1,0,0,2,7,4	47,49,79,92,116,53	298	149
0,4,2,0,1,0	8,6,13,16,6,6	0,0,0,2,2,0	4,3,6,9,13,5	161	149
67,73,65,62,101,62	7,6,5,3,10,6	48,23,40,68,84,50	4,3,4,6,7,4	298	149
1,6,4,1,4,1	151,255,177,164,262,161	3,1,4,7,4,0	178,126,161,214,259,58	188	149
13,31,36,15,34,22	5,0,5,3,0,4	18,16,4,29,14,2	0,0,0,1,2,0	268	149
60,90,107,67,97,112	4,9,1,5,3,6	86,54,81,93,95,31	2,0,2,7,4,0	161	149
9,19,11,13,20,21	108,173,132,137,224,124	12,13,10,28,19,6	116,107,139,173,184,68	298	149
3,12,3,6,3,4	90,186,135,91,131,141	3,3,3,2,8,6	94,66,77,96,103,48	177	149
21,43,54,22,38,32	59,105,94,80,95,96	31,17,25,41,49,18	71,36,65,90,84,32	298	149
2,1,3,1,2,2	74,151,106,87,168,150	2,4,0,4,5,1	124,109,113,157,198,63	157	149
1,1,1,2,1,6	1,0,3,0,0,0	5,4,1,7,5,2	0,2,0,2,2,0	298	149
67,95,53,62,111,62	0,0,0,0,0,0	57,50,48,58,88,27	1,0,0,0,0,0	298	149
24,51,67,53,45,55	0,1,3,0,2,1	24,29,43,90,66,24	0,0,0,0,0,0	167	149
31,44,57,41,56,58	0,0,0,0,0,0	63,43,50,65,48,22	2,0,1,0,0,0	170	149
51,67,62,64,87,69	0,1,0,0,0,0	59,45,63,95,112,32	0,0,0,0,0,0	298	149
50,67,41,50,96,67	0,0,2,0,1,0	51,39,37,92,92,28	1,0,0,0,1,0	298	149
14,15,19,8,13,18	42,55,44,49,48,41	15,12,7,16,23,2	44,50,34,65,58,17	268	149
97,164,121,97,146,134	9,5,0,3,3,1	104,90,100,161,155,46	12,11,5,11,13,1	298	149
4,5,5,1,6,2	117,138,127,138,143,138	0,0,1,1,0,0	57,69,61,163,92,55	298	149
112,149,151,133,188,168	0,0,0,0,2,0	168,122,135,159,186,61	0,0,0,0,1,0	157	149
7,2,1,4,2,1	72,129,109,107,158,152	2,4,2,5,1,2	132,66,99,155,175,68	151	149
4,12,1,1,3,9	21,38,37,31,30,34	3,7,4,2,7,1	39,12,29,48,39,15	204	149
7,10,2,2,2,5	6,4,5,2,5,6	4,4,1,2,5,1	3,3,7,14,16,5	204	149
0,0,0,0,0,0	106,169,156,133,146,157	0,0,0,1,0,0	157,98,114,178,221,76	298	149
12,19,8,9,14,7	0,1,0,0,3,0	5,2,3,3,1,2	2,4,1,8,3,0	169	149
5,6,6,10,21,6	0,3,2,0,0,1	7,3,4,8,8,4	1,0,0,0,0,0	153	149
0,8,3,6,7,8	1,0,0,0,0,0	7,2,4,4,6,4	1,0,0,0,0,0	153	149
5,10,10,7,11,3	5,13,6,8,8,10	1,0,0,7,5,4	17,12,8,19,24,4	161	149
12,28,10,14,24,11	1,0,4,2,2,0	19,10,14,8,9,9	0,0,0,0,0,0	190	149
21,42,24,21,49,26	100,136,109,87,182,134	10,9,3,10,8,4	91,97,92,149,158,84	167	149
2,2,4,0,4,4	135,167,142,149,236,186	3,1,3,2,1,1	151,96,109,139,206,71	157	149
10,12,3,10,13,6	44,60,50,25,78,54	8,1,5,5,10,2	28,15,38,40,48,21	298	149
1,1,3,3,14,9	4,15,7,12,20,9	0,0,1,1,4,2	10,8,7,5,4,1	233	149
2633,3815,3540,3259,4754,4132	0,0,0,0,1,0	3996,2678,3209,3616,5113,1754	0,0,0,0,0,0	155	149
