IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
56,76,70,54,55,78	105,176,128,135,157,141	67,27,53,54,68,31	121,86,107,147,159,51	230	218
0,1,0,0,0,0	63,92,53,67,114,66	0,0,0,0,0,0	55,49,46,61,85,27	283	298
26,34,36,26,50,36	4,10,9,11,12,5	27,25,32,37,52,14	6,1,3,2,6,1	262	219
6,9,6,11,12,5	63,92,53,61,109,63	8,8,13,6,10,1	55,49,46,58,83,26	262	298
6,9,6,11,12,5	63,92,53,67,114,66	8,8,13,6,10,1	55,49,46,61,85,27	262	298
5,11,4,4,10,3	34,75,63,41,84,33	4,4,5,9,13,6	30,32,29,44,44,18	230	230
185,324,207,204,249,226	80,88,54,57,78,75	236,149,168,240,235,82	74,48,57,91,71,30	239	203
95,98,61,45,90,89	115,140,75,71,129,124	52,34,31,18,44,28	85,48,57,39,75,46	226	272
102,213,143,154,215,222	64,117,75,87,132,107	161,139,130,212,212,61	85,79,100,133,123,39	255	216
166,262,121,118,192,147	78,109,55,53,121,88	256,206,239,258,399,126	118,71,108,144,143,69	231	218
22,20,17,21,19,16	19,22,33,31,37,23	34,6,14,20,22,5	26,13,21,24,34,15	197	196
0,5,1,1,2,0	3,5,6,7,15,2	3,2,0,2,3,0	1,3,5,3,4,6	260	253
251,382,317,261,414,336	6,19,22,10,22,10	298,217,241,270,357,110	8,3,13,14,7,11	216	167
31,28,28,32,30,37	15,11,18,20,24,22	36,22,26,37,33,16	17,14,14,29,28,7	245	200
159,230,188,195,262,201	110,221,152,154,200,155	170,165,187,274,250,77	134,108,127,149,222,58	224	197
16,23,33,9,12,8	28,28,38,32,31,26	7,10,8,17,27,8	23,12,21,38,29,15	201	298
5,6,8,5,11,5	14,28,13,21,27,15	4,2,1,0,10,0	4,9,6,17,11,9	266	259
24,54,33,33,54,44	39,59,39,57,62,28	18,31,22,37,34,23	30,26,24,54,39,8	230	230
12,21,23,31,31,20	41,64,42,32,60,35	23,10,15,15,8,8	30,29,29,54,42,13	230	230
3,4,3,0,0,8	61,110,76,52,116,81	2,2,2,1,4,5	63,43,61,64,95,29	256	232
54,87,51,43,57,61	61,110,76,52,116,81	46,24,37,46,68,33	63,43,61,64,95,29	217	232
20,21,18,21,19,17	20,31,30,14,38,29	16,16,18,19,25,9	30,18,36,41,24,15	188	206
5,13,6,5,9,7	19,37,29,38,53,36	8,15,7,8,7,2	37,28,22,50,43,20	298	285
87,140,81,106,136,101	33,65,30,60,90,69	107,81,91,67,102,39	70,37,46,42,75,30	250	222
15,27,22,25,24,30	47,70,42,41,75,56	24,24,23,38,34,19	49,38,47,87,101,25	201	271
61,82,94,57,108,56	20,23,25,25,23,22	69,47,39,66,77,23	24,21,17,33,50,11	219	177
