ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	1157,1775,1382,1162,1698,1477	3,1,1,2,0,2	1107,780,1013,1414,1641,528	3,4,1,1,1,0	238	149	1
1	599,978,726,636,908,743	0,0,0,0,0,0	531,399,518,834,829,264	2,0,0,0,0,0	279	149	1
2	0,0,1,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	241	149	1
3	21,29,16,24,17,22	0,0,0,0,0,1	19,8,8,39,24,5	1,0,0,2,0,0	215	149	1
4	82,140,117,109,164,116	1,0,2,2,5,0	141,81,99,139,158,56	6,2,0,1,2,0	298	149	1
5	144,204,153,129,231,162	0,0,0,1,0,0	182,129,151,266,201,67	0,0,0,0,0,0	237	149	1
6	20,29,32,21,46,27	0,0,0,0,0,0	25,16,25,38,35,12	1,0,0,0,0,0	217	149	1
7	52,61,60,34,81,86	0,0,0,2,0,0	33,34,37,75,54,23	0,0,0,0,1,0	185	149	1
8	52,97,89,50,88,69	2,0,0,0,1,0	60,26,54,72,67,17	1,0,0,0,0,0	190	149	1
9	55,93,49,48,82,80	0,0,0,0,1,0	50,28,39,56,87,25	0,0,0,0,0,0	238	149	1
10	289,363,353,235,378,327	0,0,1,0,0,0	326,235,268,402,419,133	0,0,0,0,0,0	210	149	1
11	270,444,355,327,408,379	0,2,2,1,0,0	327,267,272,435,441,145	0,1,0,4,0,1	229	149	1
12	345,515,398,377,505,412	1,0,0,0,0,0	375,291,316,439,483,182	0,0,0,0,0,0	218	149	1
13	294,415,340,295,401,350	0,3,0,0,0,0	320,233,263,345,393,163	0,0,0,0,0,0	230	149	1
14	1,1,1,3,4,1	24,28,26,29,27,22	0,0,0,0,0,0	13,16,16,30,18,3	170	149	1
15	611,872,621,445,770,829	0,0,0,1,0,0	450,315,398,454,693,173	0,0,0,0,0,0	213	149	1
16	78,110,79,92,101,104	43,70,61,34,51,67	43,30,31,45,67,15	65,56,56,89,84,22	207	149	3.40188542736e-06
17	29,67,49,44,62,48	0,2,0,0,0,0	31,31,25,67,51,12	0,0,0,0,0,0	243	149	1
18	45,65,61,67,87,61	0,0,0,0,0,0	45,30,48,76,87,30	0,0,0,2,0,0	286	149	1
20	446,695,480,467,745,533	1,4,2,2,2,2	443,344,360,427,526,154	2,1,3,2,8,0	269	149	1
21	299,444,346,292,510,414	0,0,1,0,0,1	278,218,245,311,391,134	0,0,0,0,0,0	228	149	1
