IncLevel1	IncLevel2	IncLevelDifference
1.0,1.0,1.0,0.936,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
0.041,0.005,0.0,0.0,0.0,0.0	0.0,0.0,0.039,0.014,0.0,0.0	-0.001
0.0,1.0,0.0,0.417,0.417,0.589	1.0,1.0,0.518,0.489,0.472,1.0	-0.343
0.0,0.0,0.081,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.013
0.0,0.0,0.073,0.0,0.105,0.199	0.0,0.0,0.0,0.033,0.0,0.0	0.057
0.895,0.752,0.756,0.789,0.924,0.802	0.735,0.86,0.791,0.874,0.724,0.91	0.004
1.0,0.964,0.97,1.0,1.0,0.953	1.0,1.0,1.0,1.0,1.0,1.0	-0.019
0.032,0.003,0.029,0.008,0.003,0.006	0.009,0.031,0.054,0.027,0.067,0.024	-0.022
0.003,0.004,0.0,0.008,0.004,0.008	0.002,0.0,0.0,0.0,0.0,0.0	0.004
1.0,1.0,1.0,1.0,0.961,1.0	1.0,1.0,0.983,1.0,0.989,1.0	-0.002
0.494,0.67,0.619,1.0,0.83,1.0	1.0,0.0,NA,NA,1.0,NA	0.102
0.451,0.381,0.133,0.621,0.15,0.0	0.0,0.17,0.0,0.316,0.27,0.381	0.1
0.0,0.075,0.254,0.086,0.214,0.17	0.0,1.0,0.214,0.0,0.25,0.075	-0.123
0.0,0.0,0.0,0.0,0.0,0.0	0.0,1.0,0.0,0.0,0.269,0.0	-0.212
1.0,1.0,1.0,1.0,1.0,1.0	0.962,1.0,1.0,0.942,0.964,1.0	0.022
0.02,0.067,0.029,0.013,0.062,0.01	0.051,0.046,0.066,0.0,0.046,0.063	-0.012
0.909,0.863,0.898,0.892,0.949,0.867	0.857,0.765,0.852,0.825,0.736,0.875	0.078
0.486,0.424,0.275,0.525,0.558,0.29	0.303,0.278,0.265,0.257,0.256,0.296	0.15
0.017,0.035,0.007,0.021,0.0,0.006	0.007,0.034,0.008,0.026,0.036,0.0	-0.004
1.0,1.0,0.905,0.878,0.656,1.0	0.85,1.0,1.0,0.823,1.0,1.0	-0.039
1.0,1.0,1.0,NA,0.796,1.0	0.709,1.0,0.796,0.327,1.0,1.0	0.154
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.981,1.0	0.003
0.0,0.0,0.0,0.019,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.003
1.0,1.0,1.0,0.949,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
1.0,0.99,0.993,1.0,0.998,0.99	0.993,1.0,1.0,0.998,1.0,1.0	-0.003
0.156,0.329,0.077,0.322,0.225,0.138	0.06,0.25,0.172,0.156,0.116,0.238	0.042
0.022,0.003,0.014,0.004,0.01,0.002	0.008,0.017,0.009,0.006,0.003,0.021	-0.001
0.136,0.044,0.053,0.019,0.066,0.047	0.087,0.107,0.111,0.142,0.082,0.137	-0.05
0.065,0.018,0.0,0.022,0.0,0.046	0.0,0.185,0.023,0.063,0.033,0.069	-0.037
0.029,0.012,0.004,0.0,0.006,0.009	0.0,0.008,0.009,0.011,0.02,0.021	-0.002
0.0,0.0,0.0,0.0,0.0,0.209	0.0,0.0,0.0,0.335,0.0,0.0	-0.021
0.911,0.799,0.969,0.934,0.784,0.944	0.622,0.614,0.818,0.972,0.901,0.888	0.088
