ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	17,16,12,12,17,17	11,30,22,16,26,25	12,7,12,13,17,2	16,16,26,27,13,7	232	149	1	1.0	0.498,0.255,0.259,0.325,0.296,0.304	0.325,0.219,0.229,0.236,0.456,0.155	0.053
1	19,21,17,13,10,18	0,0,0,0,0,1	17,6,21,26,18,3	0,0,0,2,0,0	293	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.902	1.0,1.0,1.0,0.869,1.0,1.0	0.006
2	2,7,5,6,4,9	51,78,70,94,92,90	5,1,1,7,8,1	82,59,47,96,102,31	178	149	1	1.0	0.032,0.07,0.056,0.051,0.035,0.077	0.049,0.014,0.017,0.058,0.062,0.026	0.016
3	210,303,254,252,309,226	17,16,25,26,40,21	275,140,200,234,283,112	11,14,15,16,24,5	158	149	1	1.0	0.921,0.947,0.905,0.901,0.879,0.91	0.959,0.904,0.926,0.932,0.917,0.955	-0.022
4	194,359,273,242,369,317	5,13,3,18,19,15	224,172,195,246,296,102	20,12,9,14,12,4	155	149	1	1.0	0.974,0.964,0.989,0.928,0.949,0.953	0.915,0.932,0.954,0.944,0.96,0.961	0.015
5	1551,2429,1810,1620,2064,2125	1,0,0,0,0,0	1866,1256,1684,2343,2658,890	0,0,0,1,0,0	154	149	1	1.0	0.999,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
6	78,154,141,87,144,126	0,0,0,0,0,2	87,74,81,107,105,45	0,0,0,0,0,0	155	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.984	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
7	40,64,56,51,60,72	0,0,0,1,0,1	27,25,21,59,40,18	0,0,0,0,1,0	152	149	1	1.0	1.0,1.0,1.0,0.98,1.0,0.986	1.0,1.0,1.0,1.0,0.975,1.0	-0.001
8	80,95,98,59,73,113	0,1,0,0,0,0	59,34,53,128,79,21	0,0,0,1,0,0	159	149	1	1.0	1.0,0.989,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.992,1.0,1.0	-0.001
10	458,667,463,375,590,654	2,0,1,0,0,0	366,238,336,378,496,159	1,1,5,2,2,0	153	149	1	1.0	0.996,1.0,0.998,1.0,1.0,1.0	0.997,0.996,0.985,0.995,0.996,1.0	0.004
