ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1	10,16,8,7,24,9	0,1,0,0,0,0	13,6,10,8,12,5	0,0,0,0,0,0	202	149	1
3	68,79,93,50,69,71	0,0,0,2,0,0	61,42,41,91,73,37	0,0,0,0,1,0	291	149	1
4	5,3,0,1,1,1	83,128,88,90,128,105	0,0,2,1,0,2	56,57,70,105,90,24	230	149	1
5	0,5,1,3,0,3	1,1,2,0,7,0	4,1,1,5,7,0	0,0,2,3,4,0	208	149	1
6	0,0,0,1,0,0	4,5,4,4,8,11	0,0,0,0,0,0	7,3,6,7,7,2	170	149	1
8	0,0,2,0,4,0	4,18,12,18,20,15	0,0,0,0,0,0	4,11,6,15,11,5	200	149	1
9	27,39,42,36,51,29	0,8,6,5,8,6	31,24,42,43,66,19	6,5,6,9,20,3	184	149	1
10	25,29,34,25,39,23	0,1,1,0,0,1	29,20,30,37,42,10	0,0,0,0,0,1	184	149	1
11	4,1,4,2,2,1	67,132,117,109,148,130	2,4,7,23,9,2	91,47,62,114,106,39	359	149	1
12	0,2,3,1,0,3	290,480,366,305,544,362	1,1,0,0,0,0	440,290,347,348,450,161	156	149	1
15	111,204,123,102,160,188	0,2,1,0,3,1	125,93,139,119,176,51	0,0,1,0,2,1	283	149	1
16	5,25,9,9,17,9	1,2,1,0,0,0	0,4,0,0,2,1	0,1,0,0,1,0	458	149	1
17	2,1,3,5,1,1	1,4,2,0,6,2	0,0,1,2,5,0	2,4,4,5,6,1	242	149	0.0280803266692
18	1,4,2,4,9,1	1,6,5,3,9,3	0,6,4,0,5,1	3,3,6,11,9,3	365	149	0.931323519682
19	1,4,2,1,7,1	1,0,0,0,0,0	0,5,3,0,3,1	0,0,0,0,0,0	330	149	1
20	1,0,0,3,2,0	1,6,5,3,9,3	0,1,1,0,2,0	3,3,6,11,9,3	184	149	1
22	5,5,5,0,8,2	17,39,47,30,41,33	6,5,15,4,8,4	14,16,16,42,42,13	734	149	1
23	96,105,91,120,111,134	16,17,12,17,13,17	130,75,99,152,127,34	18,20,14,42,27,6	170	149	1
24	12,14,10,23,14,9	16,17,12,17,13,17	16,15,10,23,20,2	18,20,14,42,27,6	236	149	1
25	5,5,3,4,0,2	89,96,84,101,97,127	1,3,1,5,4,1	115,63,90,134,111,33	215	149	1
26	42,62,47,57,43,40	1,0,0,5,2,1	21,31,25,62,55,24	1,0,0,1,0,0	736	149	1
27	1,5,5,2,5,5	0,0,0,1,1,1	6,8,4,6,4,3	4,0,0,7,1,1	153	149	0.474328724041
29	1,2,0,1,0,0	33,44,61,36,54,54	0,0,0,0,0,0	33,16,35,57,20,2	293	149	1
31	70,106,88,73,83,83	1,0,1,0,0,0	33,28,25,50,40,11	0,2,0,0,0,0	421	149	1
32	317,516,417,361,450,385	2,3,6,1,2,2	312,236,312,420,509,168	2,0,0,1,0,0	161	149	1
33	8,15,1,9,11,8	8,20,13,16,17,20	1,1,3,7,1,1	15,12,15,21,28,5	179	149	0.0189356638201
34	2,1,6,2,3,1	87,150,119,92,209,153	3,0,1,2,0,0	131,103,88,147,129,50	359	149	1
35	15,17,10,10,18,1	101,157,124,100,218,155	28,20,11,21,21,5	114,93,88,134,128,52	188	149	1
36	1,2,0,0,2,2	25,52,25,18,37,36	0,7,4,7,2,2	31,9,20,39,32,10	308	149	1
37	5,2,0,2,3,2	56,92,88,82,107,143	4,2,0,3,6,1	60,68,94,86,121,46	395	149	1
38	0,1,0,0,0,0	9,9,20,17,13,8	0,0,0,3,0,0	6,9,2,14,11,5	161	149	1
39	80,95,65,69,124,71	6,3,3,6,4,0	49,24,64,72,83,43	5,7,4,6,8,4	374	149	0.806037283107
40	1,3,3,2,2,0	164,233,191,172,270,171	2,2,3,2,2,1	185,119,154,211,243,59	188	149	1
41	16,20,31,22,35,17	4,0,4,3,0,4	8,18,11,27,20,7	0,0,0,0,0,0	268	149	1
42	75,106,86,88,75,112	6,9,5,0,5,3	77,57,81,99,94,38	1,0,0,6,5,0	161	149	1
44	11,20,18,15,23,19	108,213,148,143,190,125	15,12,16,24,17,11	121,105,119,166,193,53	316	149	1
45	2,6,8,3,5,2	94,174,156,97,131,120	7,7,2,7,9,4	87,63,63,129,113,34	177	149	1
46	33,35,34,31,45,38	55,105,101,81,100,116	46,19,21,47,50,14	74,43,49,92,83,21	359	149	1
47	1,1,2,4,6,0	75,155,101,119,161,149	1,1,0,5,6,1	118,104,111,135,166,56	157	149	1
48	8,16,25,10,15,7	0,0,2,0,0,1	7,7,6,24,18,11	0,0,0,1,0,0	984	149	1
50	107,162,130,118,173,128	0,0,0,0,1,0	81,86,97,167,177,68	0,0,0,0,0,0	1909	149	1
51	29,58,56,36,46,50	0,0,1,0,0,0	32,29,49,80,54,28	0,0,0,0,0,0	167	149	1
52	0,2,0,0,0,0	69,110,83,92,105,120	0,0,0,0,0,0	45,56,80,129,83,41	152	149	1
54	21,53,62,44,55,53	0,0,0,0,0,0	45,59,29,72,47,21	1,0,2,0,0,0	170	149	1
55	47,43,56,52,81,79	0,0,2,0,1,1	57,35,56,78,97,26	2,2,0,0,0,1	339	149	1
56	4,23,11,11,9,12	31,62,38,68,49,47	11,7,10,20,34,1	57,38,42,52,62,27	268	149	1
57	156,228,199,120,187,157	5,4,0,2,7,2	208,165,168,318,309,98	11,18,17,12,12,5	715	149	0.0783510813771
58	4,5,2,2,3,2	115,152,120,111,135,143	3,2,2,1,0,1	62,74,74,130,106,45	311	149	1
59	107,183,140,135,180,156	0,0,0,0,1,0	140,110,122,194,171,72	2,0,0,0,2,0	157	149	1
60	4,1,0,4,2,1	63,133,117,100,137,129	0,1,2,0,2,1	122,98,101,162,158,68	151	149	1
61	2,15,11,2,6,15	24,30,35,29,30,30	5,6,6,3,13,4	42,21,27,57,39,14	204	149	1
62	2,8,9,1,3,8	7,3,2,4,9,10	4,5,3,3,3,4	3,5,6,15,8,6	204	149	0.91958174181
63	2,0,0,0,0,1	119,163,156,110,172,140	3,0,1,3,0,0	148,110,125,168,224,84	373	149	1
64	11,14,8,14,19,12	1,0,1,1,2,0	2,3,3,7,4,5	1,0,1,7,3,0	169	149	1
65	3,9,5,8,17,5	0,1,2,0,1,0	9,7,6,6,8,3	0,0,0,1,0,0	153	149	1
66	4,12,14,9,20,6	3,14,8,5,8,6	2,1,0,2,7,5	18,10,7,10,27,5	161	149	9.69827077391e-06
67	11,16,19,20,18,11	3,2,4,5,0,1	21,11,12,15,11,4	0,0,0,0,0,0	190	149	0.696601024257
68	21,44,12,26,57,37	95,113,94,89,158,132	9,6,4,10,13,2	122,106,95,151,154,63	167	149	0.00471733197322
69	5,1,3,1,9,2	154,167,135,138,239,206	1,1,1,3,0,0	148,88,101,165,190,52	157	149	1
70	5,10,16,13,19,22	43,51,48,27,73,55	6,6,11,10,9,2	28,18,35,33,44,17	525	149	1
71	7,1,3,2,11,5	11,19,17,11,8,9	0,0,0,0,3,2	7,2,8,3,5,1	233	149	0.200661819028
73	3,18,5,15,14,4	0,3,0,1,2,2	5,8,5,4,8,5	3,3,0,3,0,2	343	149	0.0911591412939
74	203,202,190,209,265,250	0,2,3,1,2,0	137,160,168,310,254,96	0,0,0,2,0,1	847	149	1
75	224,244,214,234,299,273	0,2,3,1,2,0	153,181,194,345,276,115	0,0,0,2,0,1	875	149	1
77	525,808,690,629,831,783	0,1,0,0,0,0	723,534,620,843,904,351	0,0,0,0,0,0	690	149	1
78	41,45,36,33,67,48	3,2,2,2,5,1	48,18,34,45,44,9	4,5,2,10,8,5	542	149	0.0371777028063
79	9,14,13,11,9,13	381,487,491,426,538,507	12,15,13,24,28,6	369,253,297,426,517,183	153	149	1
