IncLevel1	IncLevel2	IncLevelDifference
0.997,1.0,0.998,0.997,0.998,0.997	0.999,0.988,1.0,1.0,1.0,1.0	0.0
NA,NA,1.0,NA,NA,NA	NA,NA,0.0,NA,NA,NA	1.0
1.0,1.0,1.0,1.0,1.0,0.933	1.0,1.0,1.0,0.907,1.0,1.0	0.004
0.98,1.0,0.982,0.957,0.963,1.0	0.964,0.953,1.0,0.987,1.0,1.0	-0.004
1.0,1.0,1.0,0.99,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
1.0,1.0,1.0,0.934,1.0,1.0	1.0,1.0,1.0,1.0,0.983,1.0	-0.008
0.962,0.986,1.0,1.0,0.988,1.0	0.984,1.0,1.0,0.983,1.0,0.937	0.005
1.0,1.0,1.0,1.0,0.97,1.0	0.966,0.954,1.0,1.0,1.0,1.0	0.008
0.994,0.996,0.99,1.0,0.996,1.0	0.99,1.0,1.0,0.996,0.994,0.976	0.003
1.0,0.996,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.0,0.042,0.035,0.04,0.174,0.081	0.0,0.0,0.0,0.0,0.0,0.089	0.047
1.0,1.0,1.0,0.994,1.0,0.997	0.997,1.0,1.0,1.0,1.0,1.0	-0.001
0.585,0.489,0.444,0.519,0.49,0.543	0.291,0.281,0.201,0.241,0.311,0.194	0.259
1.0,0.952,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
0.996,0.992,0.975,0.993,0.998,0.996	0.989,0.989,1.0,0.996,0.973,0.987	0.003
1.0,1.0,0.996,1.0,1.0,0.996	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.516,0.781,0.263,0.348,0.516,1.0	0.416,0.097,1.0,0.581,0.728,0.299	0.05
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.958,1.0	0.007
0.958,1.0,1.0,1.0,1.0,1.0	1.0,0.931,1.0,0.981,1.0,1.0	0.008
0.981,0.977,1.0,0.981,0.994,1.0	0.992,0.986,1.0,0.979,0.97,1.0	0.001
1.0,1.0,1.0,1.0,1.0,0.989	1.0,0.968,1.0,1.0,1.0,0.966	0.009
0.118,0.0,0.0,0.0,0.0,0.0	0.0,1.0,0.0,NA,0.063,NA	-0.246
0.951,0.982,0.979,0.983,0.973,1.0	1.0,0.982,0.987,1.0,0.99,1.0	-0.015
1.0,1.0,1.0,1.0,1.0,0.967	0.988,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,0.959,0.964,1.0,0.917,0.973	1.0,1.0,0.962,1.0,0.943,0.906	0.0
1.0,0.952,0.969,1.0,0.926,0.975	1.0,1.0,0.97,1.0,0.947,0.936	-0.005
1.0,0.75,0.795,1.0,0.832,0.795	NA,0.261,NA,NA,1.0,NA	0.231
0.757,0.854,0.886,1.0,1.0,1.0	NA,0.757,NA,NA,0.609,1.0	0.127
0.153,1.0,1.0,1.0,1.0,1.0	NA,1.0,1.0,NA,1.0,0.265	0.043
0.0,1.0,1.0,1.0,1.0,1.0	1.0,NA,1.0,1.0,1.0,0.602	-0.087
