ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	16,23,19,11,22,14	12,22,20,23,24,33	7,6,10,16,17,1	14,17,20,21,22,11	232	149
1	15,18,13,11,14,13	0,0,0,0,0,1	16,9,13,33,13,2	1,0,0,2,0,0	293	149
2	2,4,4,5,7,5	49,99,61,68,83,77	4,0,1,5,5,1	78,58,57,77,80,23	178	149
3	185,277,275,248,313,221	26,30,16,25,30,14	259,171,205,227,295,94	12,10,8,12,9,9	158	149
4	218,349,245,263,387,300	6,16,9,14,15,12	228,190,194,264,298,109	16,5,12,21,15,6	155	149
7	58,62,39,42,38,56	0,0,0,2,0,0	31,35,22,61,25,23	0,0,0,0,0,0	152	149
8	73,91,90,78,86,106	0,0,0,0,0,0	50,33,59,130,110,37	0,1,0,0,0,0	159	149
10	37,71,43,31,66,43	15,21,11,12,16,13	35,19,32,58,45,21	0,4,2,4,11,1	574	149
11	506,716,465,334,616,636	2,0,0,0,0,1	350,228,354,352,517,159	0,0,1,2,4,0	153	149
12	17,20,17,17,27,20	6,7,3,5,3,12	10,11,8,15,20,6	2,1,3,1,10,0	182	149
13	24,34,48,29,39,33	0,4,0,0,0,0	10,15,22,38,25,7	0,0,0,0,0,0	200	149
14	4,18,17,6,9,13	89,123,113,97,146,120	7,3,8,17,19,6	114,77,98,120,145,47	160	149
15	3,1,3,4,3,0	68,128,119,93,131,145	2,4,0,4,10,3	81,47,66,114,95,40	310	149
16	173,246,218,197,264,218	0,2,2,1,0,1	198,198,186,252,298,96	0,0,3,0,0,2	154	149
18	291,485,380,297,540,395	3,1,3,1,11,4	451,300,367,387,500,203	1,2,3,3,12,0	156	149
19	3,12,10,5,15,8	35,28,44,42,44,44	3,2,1,8,1,0	21,11,27,55,55,19	152	149
20	43,46,59,61,42,35	8,18,6,8,13,7	24,29,28,43,32,9	14,7,4,6,11,5	157	149
22	103,152,152,122,164,133	2,5,2,2,4,4	144,67,96,150,150,59	7,2,7,5,4,2	167	149
23	61,96,86,96,124,98	0,0,1,0,1,0	98,77,73,117,113,36	0,1,2,0,0,0	152	149
24	4,5,3,1,3,2	5,8,3,0,1,1	1,0,0,0,0,0	5,0,0,1,1,0	161	149
25	5,9,7,6,21,5	4,3,0,0,0,0	1,3,0,1,1,1	0,0,0,0,1,0	295	149
26	235,318,296,266,355,353	0,0,0,0,0,0	248,173,201,275,311,105	0,0,0,1,0,0	343	149
27	1292,2194,1642,1594,2454,2031	221,319,212,230,344,325	1986,1579,1813,2558,2924,933	450,340,395,587,629,211	155	149
28	2,6,7,6,8,3	9,5,4,4,9,11	2,3,4,8,7,1	4,4,3,6,5,1	158	149
29	4,12,15,14,11,2	30,37,46,37,44,49	5,5,5,9,2,4	32,31,32,46,45,15	161	149
30	11,11,10,3,12,5	46,60,49,52,63,54	18,6,10,6,30,7	43,27,38,43,57,22	170	149
31	21,33,23,23,44,27	12,9,11,6,15,19	20,14,27,25,46,15	21,15,15,33,30,10	347	149
32	22,40,23,24,46,28	67,95,110,59,97,75	22,15,28,29,49,15	57,44,38,101,89,30	359	149
33	13,16,11,7,17,20	67,95,110,59,97,75	23,16,16,37,33,10	57,44,38,101,89,30	161	149
35	2,4,1,0,5,5	81,115,90,66,99,78	1,2,0,6,3,2	94,61,68,130,120,33	332	149
36	16,33,17,18,36,25	16,17,20,14,42,31	10,8,14,17,17,7	20,20,18,15,22,6	156	149
37	104,144,150,90,147,129	0,2,0,0,0,0	110,104,96,149,144,52	0,0,1,0,0,0	332	149
39	64,88,80,65,74,87	3,11,4,7,2,1	36,31,52,46,74,21	6,2,3,4,7,2	152	149
40	0,17,3,6,16,9	46,55,40,41,66,51	18,8,11,6,6,3	101,53,65,57,95,32	186	149
41	71,127,102,75,112,115	1,8,4,4,2,3	85,45,72,111,127,33	3,0,0,5,0,1	152	149
42	5,12,11,10,19,7	13,8,11,12,10,15	14,2,8,4,9,2	14,3,9,6,5,6	169	149
46	31,68,42,42,52,40	150,283,160,168,251,228	43,26,38,72,60,15	184,121,142,235,241,78	236	149
47	46,63,71,63,81,86	8,5,7,5,3,5	38,18,40,64,42,16	7,3,7,6,4,0	180	149
48	0,0,4,0,0,4	6,7,6,4,11,5	4,2,2,2,2,0	12,6,4,16,3,5	159	149
49	4,1,2,5,4,7	10,26,16,13,24,28	10,1,7,3,8,2	17,8,15,27,31,5	164	149
50	4,1,0,0,0,0	19,36,27,6,27,14	0,0,0,0,0,0	26,9,17,27,21,9	166	149
51	3,3,5,8,4,6	11,17,17,7,22,14	11,9,6,5,11,9	12,15,17,22,11,6	167	149
52	65,112,110,69,106,111	7,5,3,7,12,5	49,34,52,90,78,45	9,6,3,6,11,7	458	149
53	53,57,71,33,63,54	7,5,3,7,12,5	21,18,30,37,29,25	9,6,3,6,11,7	499	149
54	11,14,5,11,11,4	17,63,42,40,52,60	1,1,1,0,7,6	29,17,23,53,56,22	190	149
55	36,51,41,42,44,45	0,0,0,0,0,0	33,16,36,48,33,10	0,0,3,0,0,0	152	149
57	11,20,22,12,16,25	14,26,9,20,26,19	28,12,25,17,19,7	12,8,18,11,24,11	152	149
58	31,46,26,24,30,28	0,1,0,0,0,2	18,16,19,43,42,13	0,0,0,0,0,0	747	149
59	3,6,8,4,11,5	1,0,1,2,0,0	3,1,5,6,8,4	0,0,1,1,2,0	243	149
60	3,16,7,5,9,4	2,0,0,1,0,0	7,3,4,21,11,4	1,0,0,0,1,0	227	149
61	3,5,2,3,2,3	9,13,14,20,20,15	12,4,11,9,3,3	16,3,6,24,6,10	152	149
62	0,1,0,0,1,0	27,42,16,17,38,15	1,0,0,0,0,0	12,26,21,40,33,16	197	149
64	27,28,40,43,23,34	10,28,8,11,24,25	21,20,12,15,22,13	16,9,6,17,15,7	152	149
65	622,927,838,658,904,749	0,2,0,0,0,0	913,654,647,1081,1002,326	1,0,0,0,0,0	154	149
66	16,29,16,19,32,34	29,26,18,31,24,41	28,16,13,31,24,11	26,15,17,24,37,15	297	149
67	0,0,0,1,0,0	1,1,0,1,0,0	0,0,0,0,0,2	1,0,0,0,0,0	155	149
70	54,75,69,49,67,84	3,3,1,0,2,0	42,45,48,94,100,30	0,4,0,1,0,0	164	149
72	104,205,176,160,206,160	28,28,14,21,33,24	155,137,134,211,164,55	21,20,15,22,36,9	152	149
73	11,21,19,9,17,20	0,2,0,3,4,1	7,6,8,7,11,4	2,2,0,5,0,0	210	149
76	2,1,1,1,2,2	3,2,1,1,4,3	1,1,1,0,1,2	2,0,5,0,4,1	158	149
77	0,0,3,0,1,0	0,1,2,6,1,1	0,2,0,1,2,0	0,0,1,2,2,1	158	149
78	11,8,12,11,9,13	7,0,1,2,6,3	7,6,7,31,13,6	0,0,1,4,2,0	152	149
79	5,3,9,3,8,6	0,2,2,2,3,1	6,2,4,12,21,1	0,0,0,3,4,0	211	149
80	1,2,0,0,0,3	0,0,0,0,0,0	3,2,1,2,2,0	0,0,0,1,0,0	170	149
81	6,31,9,13,18,16	3,6,4,9,14,10	22,16,24,22,34,17	13,8,5,9,24,5	234	149
82	61,91,81,69,105,93	0,0,0,0,2,1	85,47,55,109,116,41	1,1,0,0,1,0	356	149
83	22,38,31,30,41,30	7,7,10,6,14,18	41,37,34,43,48,10	12,5,13,11,17,9	170	149
85	99,127,129,82,170,121	4,8,3,5,6,3	117,90,111,155,164,71	12,13,11,11,9,2	298	149
86	7,6,4,7,6,4	18,41,33,36,62,40	7,5,3,17,18,3	27,19,14,16,21,9	152	149
87	4,4,7,5,5,4	71,80,63,59,84,79	2,4,4,9,4,4	46,24,47,75,92,19	165	149
88	137,197,187,155,181,188	28,74,57,56,42,64	121,99,123,189,180,69	38,24,28,35,59,12	152	149
