ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1,2,1,0,1,4	7,9,8,13,11,15	0,0,0,0,0,0	6,6,6,3,3,2	225	149
1	48,73,69,32,54,54	104,201,161,114,151,155	30,33,33,52,55,19	164,160,112,201,200,79	252	149
2	16,33,30,30,17,12	139,271,211,141,263,240	17,21,32,32,47,18	178,164,130,220,241,108	251	149
3	6,5,4,4,2,4	16,29,12,21,19,16	8,8,6,14,1,2	10,6,11,26,22,2	227	149
4	14,29,25,13,21,28	89,103,76,80,101,77	19,11,19,20,15,7	62,47,59,71,89,31	273	149
5	21,9,7,6,6,8	57,113,76,65,87,93	7,4,13,7,14,9	54,56,50,71,79,31	246	149
6	6,17,19,14,9,12	7,4,4,8,9,4	14,6,16,20,8,10	6,2,2,8,9,3	296	149
7	15,20,18,16,17,13	3,1,4,1,4,3	18,12,5,14,18,6	2,1,0,3,3,4	241	149
8	255,366,277,198,363,215	54,71,61,54,67,69	198,166,169,265,214,71	42,44,29,49,73,31	238	149
9	3,7,5,1,5,1	0,0,0,0,0,0	6,7,1,5,11,2	1,0,1,0,0,0	242	149
10	77,97,93,60,116,137	217,334,328,238,378,346	61,49,60,73,82,63	274,196,264,306,343,155	228	149
11	94,134,109,99,168,129	1589,2620,2160,1973,3051,2314	183,141,106,125,191,81	2810,2107,2059,1942,3266,1186	212	149
12	25,35,28,22,27,30	34,46,53,27,46,74	26,15,15,26,28,9	35,20,31,43,64,14	255	149
13	47,76,42,46,67,49	170,265,223,176,246,196	50,39,36,65,66,14	183,164,221,239,267,84	225	149
14	1,2,2,3,2,5	13,45,17,19,19,40	2,2,0,3,5,1	19,21,15,23,34,9	232	149
15	12,9,17,7,23,12	31,31,43,38,46,39	11,8,9,12,12,6	23,16,16,30,40,17	246	149
16	5,2,7,1,5,8	30,46,42,34,40,38	1,2,1,5,7,2	36,29,19,43,51,4	247	149
17	80,117,102,89,131,93	21,13,16,21,27,24	86,60,60,121,92,28	14,18,10,22,20,9	272	149
18	0,0,1,0,0,1	28,48,54,53,57,50	0,0,0,4,1,1	24,24,21,45,43,18	251	149
19	25,23,27,21,38,32	55,59,74,58,87,94	28,25,27,55,38,14	54,38,49,72,76,30	232	149
20	5,2,8,4,2,4	30,41,35,37,31,45	8,2,1,0,11,4	52,37,30,44,53,23	335	149
21	1,0,0,2,1,0	16,23,19,16,12,19	1,2,0,2,2,1	11,7,14,15,11,9	225	149
22	14,27,10,7,21,20	93,137,119,94,124,99	15,5,17,22,18,3	83,70,95,87,146,45	457	149
23	3,7,2,1,7,0	6,13,14,6,5,8	5,2,2,3,0,1	0,5,3,7,4,3	244	149
24	5,1,3,1,4,3	4,12,13,10,7,7	1,3,4,6,6,0	3,6,4,12,4,3	215	149
