IncLevel1	IncLevel2	IncLevelDifference
0.461,0.402,0.379,0.235,0.371,0.214	0.243,0.185,0.243,0.329,0.332,0.055	0.112
1.0,1.0,1.0,1.0,1.0,0.869	0.891,1.0,1.0,0.894,1.0,1.0	0.014
0.033,0.033,0.052,0.058,0.066,0.052	0.041,0.0,0.014,0.052,0.05,0.035	0.017
0.87,0.897,0.942,0.903,0.908,0.937	0.953,0.942,0.96,0.947,0.969,0.908	-0.037
0.972,0.954,0.963,0.948,0.961,0.96	0.932,0.973,0.94,0.924,0.95,0.946	0.016
1.0,1.0,1.0,0.954,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.969,1.0,1.0,1.0,1.0	0.005
0.302,0.354,0.405,0.226,0.396,0.409	1.0,0.385,0.789,0.619,0.214,0.714	-0.272
0.996,1.0,1.0,1.0,1.0,0.998	1.0,1.0,0.997,0.994,0.992,1.0	0.002
0.699,0.701,0.823,0.736,0.88,0.577	0.804,0.9,0.686,0.925,0.621,1.0	-0.087
1.0,0.864,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.023
0.04,0.12,0.123,0.054,0.054,0.092	0.054,0.035,0.071,0.117,0.109,0.106	-0.001
0.022,0.0,0.012,0.021,0.011,0.0	0.012,0.031,0.0,0.013,0.05,0.036	-0.013
1.0,0.992,0.991,0.995,1.0,0.995	1.0,1.0,0.984,1.0,1.0,0.979	0.002
0.989,0.998,0.992,0.996,0.979,0.99	0.998,0.993,0.992,0.992,0.975,1.0	-0.001
0.078,0.296,0.182,0.105,0.25,0.151	0.123,0.151,0.035,0.125,0.018,0.0	0.102
0.836,0.708,0.903,0.879,0.754,0.826	0.619,0.797,0.869,0.872,0.734,0.631	0.064
0.979,0.964,0.985,0.982,0.973,0.967	0.948,0.968,0.924,0.964,0.971,0.963	0.019
1.0,1.0,0.988,1.0,0.992,1.0	1.0,0.987,0.973,1.0,1.0,1.0	0.003
0.425,0.366,0.481,1.0,0.735,0.649	0.156,NA,NA,0.0,0.0,NA	0.557
0.387,0.602,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,0.336,1.0	-0.036
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.993,1.0,1.0	0.001
0.849,0.869,0.882,0.869,0.873,0.857	0.809,0.817,0.815,0.807,0.817,0.81	0.054
0.173,0.531,0.623,0.586,0.456,0.205	0.32,0.414,0.557,0.557,0.569,0.485	-0.055
0.11,0.231,0.232,0.259,0.188,0.036	0.126,0.13,0.126,0.153,0.04,0.198	0.047
0.173,0.138,0.152,0.048,0.143,0.075	0.268,0.163,0.187,0.109,0.316,0.218	-0.089
0.4,0.609,0.463,0.6,0.583,0.397	0.288,0.211,0.434,0.258,0.406,0.412	0.174
0.113,0.156,0.079,0.139,0.185,0.148	0.143,0.083,0.224,0.118,0.198,0.189	-0.022
0.152,0.135,0.085,0.099,0.14,0.198	0.272,0.252,0.28,0.253,0.255,0.236	-0.123
