IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1252,1717,1461,1216,1673,1479	3,2,3,1,3,6	1140,803,1024,1494,1634,525	3,2,4,2,0,0	238	149
615,928,805,621,792,796	0,0,0,0,0,0	573,408,530,836,866,258	2,0,0,0,0,0	279	149
96,131,115,116,163,115	1,0,1,0,2,1	133,69,131,135,143,53	2,1,0,1,4,0	298	149
2563,4333,3590,3197,4688,3629	0,0,0,0,0,0	4675,3152,3300,2973,5005,1973	0,0,1,0,0,0	223	149
14,27,37,14,39,27	0,0,0,0,0,0	29,21,23,29,52,16	1,0,0,0,0,0	217	149
50,58,71,41,81,72	0,0,0,2,0,0	47,39,50,56,80,28	0,0,0,0,1,0	185	149
60,102,84,50,90,68	2,1,0,0,0,0	61,32,44,92,84,24	2,1,2,0,0,0	190	149
56,90,51,51,85,81	0,0,0,0,1,0	40,29,37,55,74,29	1,1,0,0,0,0	238	149
384,610,450,408,560,531	0,0,1,0,0,0	533,393,444,537,632,195	0,0,0,0,0,0	285	149
267,424,350,287,414,366	0,0,0,0,0,0	334,259,302,408,440,140	1,1,0,4,1,1	229	149
327,466,380,333,504,485	1,0,0,0,0,0	391,293,322,457,523,188	0,0,0,1,0,0	218	149
275,377,313,275,398,421	0,2,0,0,0,0	335,217,267,372,416,167	0,0,0,0,0,0	230	149
0,3,0,0,4,2	22,27,28,22,17,23	0,0,0,0,0,0	20,12,12,28,15,4	170	149
613,826,608,498,793,775	0,0,0,0,0,1	420,261,379,475,665,161	1,0,0,0,0,0	213	149
87,136,92,77,110,111	55,72,79,53,74,76	47,26,28,45,63,12	71,46,50,82,86,36	207	149
30,60,31,38,54,39	0,2,0,0,0,0	25,32,25,57,51,28	0,0,0,0,0,0	243	149
448,731,485,441,749,519	2,1,7,4,2,2	457,330,349,448,475,163	2,4,3,0,5,0	269	149
4,14,6,5,2,5	1,5,2,4,2,1	5,7,7,5,13,4	7,6,0,9,4,6	279	149
44,70,42,49,63,68	0,0,0,0,0,0	41,40,44,67,74,32	0,0,0,1,0,2	298	149
165,282,242,155,287,255	0,4,0,2,1,2	214,130,163,226,242,86	1,1,0,3,2,0	262	149
158,212,193,207,227,240	0,0,0,0,0,0	185,130,147,198,248,88	0,0,0,0,2,0	225	149
0,0,0,0,0,0	1,3,2,3,4,1	2,0,0,0,0,0	1,2,0,0,3,0	248	149
114,165,186,135,213,169	0,0,0,0,0,1	151,70,106,174,176,63	0,1,0,0,0,1	297	149
91,165,153,109,162,136	6,6,3,1,4,0	121,68,120,205,164,64	1,1,3,0,2,1	219	149
19,27,27,15,23,23	0,0,0,0,0,0	14,12,17,20,33,7	0,0,2,0,0,0	285	149
53,85,80,63,71,114	0,0,0,0,0,0	72,46,61,105,116,46	0,0,0,1,0,0	224	149
158,316,211,197,293,222	0,0,0,0,0,0	152,91,129,242,218,60	0,0,0,1,0,0	252	149
31,46,40,38,59,53	0,3,0,0,4,0	32,17,31,25,46,10	0,0,1,0,0,1	202	149
37,56,42,37,69,61	0,3,0,0,4,0	37,19,39,35,52,15	0,0,1,0,0,1	205	149
7,14,5,3,2,1	0,0,0,0,2,0	0,5,0,0,1,0	0,0,0,0,0,0	231	149
7,20,9,4,9,11	3,3,2,0,0,0	0,0,0,0,2,1	0,2,0,0,0,0	211	149
4,19,8,3,13,4	3,1,2,0,0,0	0,2,0,1,0,1	0,0,0,0,1,0	191	149
0,1,0,1,2,1	2,0,0,0,0,0	0,0,0,0,1,1	0,0,0,0,0,0	298	149
4,1,3,6,5,2	2,0,0,0,0,0	3,3,1,6,10,3	0,0,0,0,0,0	197	149
2437,3960,2918,2937,4326,3394	0,0,0,0,0,0	3801,3044,3331,4653,5341,1699	0,0,1,1,0,0	239	149
25,55,32,19,51,43	0,0,1,1,1,0	34,11,10,23,34,10	0,0,0,0,0,1	186	149
158,262,272,214,294,315	0,1,0,0,0,0	218,163,193,367,285,88	0,0,0,0,0,0	221	149
3453,5172,3966,3684,5575,4696	0,0,1,0,0,0	3584,2264,3128,3614,4667,1509	2,0,0,0,0,0	223	149
178,243,234,210,291,261	0,2,0,1,0,0	164,123,192,210,237,73	0,0,0,0,0,2	294	149
311,453,351,327,481,419	0,1,0,0,0,2	329,245,320,407,459,139	1,0,0,0,0,1	204	149
296,406,293,289,479,387	0,3,0,2,0,1	325,257,304,361,497,125	0,0,0,0,0,0	195	149
127,137,138,126,167,169	0,0,0,0,0,0	131,116,109,161,183,80	0,0,1,1,0,0	196	149
56,108,73,75,66,87	0,0,3,8,4,1	36,28,28,71,73,29	0,0,0,4,1,0	236	149
88,112,99,97,129,118	1,2,0,2,0,0	61,43,69,125,87,37	0,0,0,0,0,0	238	149
2485,3903,3060,2336,3158,2978	0,2,2,0,0,0	2529,1620,1920,2922,3459,1044	0,0,0,0,0,0	192	149
1,1,4,2,2,2	36,79,53,42,59,36	1,1,5,2,1,3	27,17,26,41,64,17	178	149
2,9,6,3,8,5	36,79,53,42,59,36	5,4,8,5,7,8	27,17,26,41,64,17	182	149
92,129,120,100,129,126	0,0,0,0,0,0	111,71,80,84,163,35	0,0,1,0,0,0	247	149
170,284,216,250,292,241	0,6,1,0,1,0	146,122,111,141,205,77	2,0,0,0,2,0	217	149
102,152,125,148,143,147	0,6,1,0,1,0	82,62,71,87,123,44	2,0,0,0,2,0	223	149
454,682,535,506,704,676	0,0,2,1,0,0	490,311,408,451,604,194	0,0,0,0,0,0	198	149
460,788,614,561,654,480	0,3,0,0,0,0	510,373,489,601,635,237	0,0,0,0,0,0	298	149
166,251,221,176,227,170	0,0,0,0,0,0	132,118,139,175,206,57	0,0,1,0,0,0	298	149
30,61,29,31,46,44	1,0,0,0,0,0	38,30,42,45,72,26	0,0,0,0,0,0	231	149
242,331,306,232,308,243	0,0,0,0,0,0	268,207,222,303,285,93	1,0,0,0,1,0	220	149
155,277,220,192,238,259	0,0,0,0,1,0	165,128,145,256,258,87	0,0,0,0,0,0	253	149
44,90,66,48,80,57	0,0,0,0,0,0	56,47,54,61,71,24	0,0,0,0,0,1	224	149
125,158,180,109,183,109	0,0,0,1,0,0	63,31,57,58,48,21	0,0,0,0,0,0	266	149
515,792,795,653,778,827	0,2,0,0,0,0	591,440,448,833,734,233	0,0,0,0,0,0	237	149
11,9,20,8,4,7	0,0,0,1,0,0	5,3,9,21,5,1	0,0,0,0,0,0	223	149
9,20,18,12,19,6	0,0,0,0,0,0	14,17,18,30,26,9	0,1,0,0,0,0	275	149
378,670,464,357,546,443	0,5,0,1,0,0	425,345,357,566,510,122	0,1,0,0,0,0	167	149
2930,4339,3390,3115,5897,4838	14,20,11,15,17,16	3312,1852,2697,2510,3754,1388	11,7,16,13,18,8	216	149
7,11,6,4,5,5	209,352,221,173,299,214	2,2,2,3,4,0	264,127,171,208,239,51	295	149
1,7,1,6,0,5	1056,1648,1295,997,1650,1504	1,5,1,5,7,2	1083,635,769,928,1344,405	214	149
453,613,513,408,473,613	0,0,0,0,0,0	303,213,304,403,453,124	0,0,0,0,2,0	298	149
297,346,297,258,407,271	0,0,0,1,3,0	259,204,264,349,393,102	0,0,0,0,0,0	247	149
138,135,106,114,124,100	0,0,0,1,3,0	95,80,100,140,145,43	0,0,0,0,0,0	286	149
445,792,615,555,707,679	0,0,0,0,0,0	760,487,582,656,884,290	1,0,1,4,0,0	281	149
282,414,354,308,444,381	0,0,0,0,0,0	437,290,346,356,508,183	0,0,0,0,1,0	280	149
168,206,177,147,213,142	0,1,0,0,0,0	205,127,179,183,267,85	0,0,0,0,0,0	235	149
288,478,380,339,481,420	0,1,0,0,0,0	378,260,381,430,615,190	2,0,0,0,0,0	181	149
122,118,137,109,142,110	0,0,1,0,0,0	172,135,146,176,170,67	0,0,0,0,0,0	293	149
122,215,157,127,251,205	0,0,0,0,1,0	115,100,123,139,152,63	0,0,0,0,0,0	224	149
60,123,85,69,165,110	1,0,0,0,0,0	81,52,66,95,92,36	0,0,0,0,0,0	188	149
