ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	332,508,384,336,413,369	168,297,255,188,307,232	396,256,362,412,458,173	222,176,178,268,314,110	130	118
1	77,121,100,64,131,101	128,189,127,121,196,141	80,68,67,87,117,39	143,101,130,115,183,77	117	111
2	103,164,153,127,170,157	65,113,55,78,105,93	138,113,126,181,223,66	82,87,65,84,87,43	117	96
3	27,29,33,27,43,42	234,374,280,264,430,294	25,24,26,24,40,22	224,189,209,329,350,101	183	291
4	88,94,80,94,120,116	234,374,280,264,430,294	74,60,67,90,104,38	224,189,209,329,350,101	162	291
5	8,23,11,10,15,9	58,97,93,55,132,58	11,5,13,15,15,6	63,44,60,82,101,30	130	130
6	119,203,147,117,200,172	93,120,112,76,140,92	99,96,80,151,148,63	76,51,51,87,117,31	129	102
7	0,1,0,0,2,3	3,3,8,6,6,4	1,0,0,2,0,0	6,7,6,4,7,3	94	127
8	319,632,404,481,548,586	223,436,313,308,409,391	396,423,424,606,590,244	309,289,314,436,421,156	155	116
9	0,1,0,0,0,0	5,10,19,27,12,17	0,0,0,4,0,0	8,6,17,22,17,2	118	58
10	12,19,9,9,14,13	6,14,16,11,16,9	10,8,5,15,20,5	11,9,16,5,11,7	160	153
11	775,1173,907,648,1191,946	188,267,211,149,285,236	815,588,710,850,1145,337	193,117,173,196,266,104	116	67
12	29,34,43,23,39,34	71,123,97,90,76,120	22,29,17,33,54,15	63,49,67,111,96,43	101	203
14	37,101,57,40,64,93	181,280,177,173,275,192	53,34,38,66,72,19	165,113,167,177,203,80	156	132
15	89,194,112,91,151,158	181,280,177,173,275,192	121,62,90,105,154,35	165,113,167,177,203,80	117	132
16	240,400,277,252,424,410	77,129,104,103,164,132	292,252,286,428,410,170	126,81,107,152,137,56	511	185
17	126,230,123,174,235,186	164,310,206,202,298,221	162,90,131,151,199,58	208,151,178,204,290,69	127	120
18	1360,1919,1571,1346,1866,1759	1191,1803,1646,1357,1766,1716	1583,1131,1281,1738,1807,601	1337,1077,1140,1780,1900,636	110	103
19	3137,5800,3081,2990,4799,3343	2027,3886,1940,1975,2890,2522	4383,3332,4371,3439,6885,2252	2868,2295,2727,2182,4716,1563	76	73
20	67,116,107,59,118,128	82,148,113,89,160,124	110,92,79,155,157,58	126,118,108,179,216,86	97	118
21	30,56,36,32,53,23	113,189,134,119,207,109	52,35,32,54,61,13	204,108,166,177,225,100	69	102
22	656,925,772,730,1079,980	975,1562,1370,1206,1631,1539	788,575,734,836,1143,339	1288,983,1157,1735,1685,657	103	127
23	124,160,135,149,199,209	311,396,312,297,462,325	131,131,153,234,252,84	344,304,358,461,605,161	120	190
24	92,139,138,84,127,126	107,137,139,116,169,142	95,98,108,171,184,59	132,118,143,258,239,97	93	101
25	41,92,66,62,65,57	103,196,135,130,151,129	49,55,61,85,70,25	133,121,122,188,145,66	108	163
27	62,68,48,53,67,63	114,143,113,122,196,158	37,61,48,74,99,30	160,116,185,214,219,84	98	164
28	1155,1655,1747,1855,2652,2054	1426,2384,2346,2504,3458,2534	2725,2075,2504,4085,3559,1311	3766,2868,3534,5446,4809,1994	475	475
29	769,1236,960,721,1114,981	1078,1763,1213,1077,1639,1063	771,486,783,872,1043,280	1158,820,904,1227,1395,357	95	106
30	45,76,54,56,86,64	86,153,109,120,124,113	43,35,49,58,81,24	88,66,77,101,114,45	93	166
31	455,647,490,427,640,587	576,872,673,520,904,725	534,382,466,550,720,252	654,479,591,699,949,328	120	130
32	127,204,159,109,171,147	1772,2716,2499,1954,2769,2180	108,79,121,157,190,45	2186,1574,1855,2611,2730,819	74	229
33	47,79,54,51,68,70	24,68,31,32,65,50	55,44,36,61,96,19	27,27,24,48,73,8	150	121
34	62,112,132,73,136,71	78,86,99,95,87,116	99,71,81,105,119,43	78,72,80,153,130,40	109	109
35	5,14,10,4,8,15	6,10,5,3,8,7	11,3,5,4,9,3	6,2,8,10,7,0	94	101
36	24,25,22,18,32,26	6,10,5,3,8,7	15,13,12,20,18,5	6,2,8,10,7,0	301	101
37	107,172,125,124,149,117	90,170,129,111,179,126	111,90,97,125,177,51	128,67,109,132,151,54	148	139
38	370,643,426,393,593,463	17,24,20,9,28,35	508,522,604,675,874,285	27,24,19,23,47,24	254	199
39	5,10,6,3,1,6	7,7,7,8,2,15	5,5,6,6,13,5	3,1,5,16,12,5	142	142
40	103,129,109,93,126,133	88,135,106,73,119,142	66,63,63,129,98,21	75,48,65,87,90,33	117	138
41	15,30,45,28,21,34	38,25,31,18,40,41	10,17,13,9,28,3	8,17,12,13,9,6	115	110
42	145,193,177,133,184,163	128,186,146,110,156,128	107,84,140,181,221,72	94,101,107,157,203,51	138	121
43	51,75,89,65,56,84	53,69,77,53,71,81	68,44,30,161,84,29	50,33,40,123,81,33	173	147
44	723,1219,1032,1156,1838,1300	7022,12431,9575,10879,16952,10766	1556,1015,1263,1274,2053,787	15704,11306,12252,11879,18973,7101	123	509
45	103,138,144,95,159,157	464,599,542,428,728,587	102,74,112,156,174,53	511,401,483,655,722,229	81	181
46	404,558,483,361,654,516	203,257,260,160,291,246	446,338,434,585,637,213	204,154,165,250,307,102	181	100
47	36,44,46,46,82,51	168,234,187,169,242,201	65,58,60,98,117,38	156,123,156,234,225,91	151	112
48	22,39,12,19,28,17	279,383,287,298,411,364	43,35,36,48,52,20	322,200,272,338,478,158	83	112
49	193,239,178,178,308,261	140,176,158,169,214,176	196,144,212,246,333,105	164,120,152,167,260,79	112	102
50	162,203,166,107,210,159	176,321,200,170,285,201	81,66,99,152,171,58	133,121,101,184,183,69	152	147
51	37,51,38,32,38,34	336,562,391,338,454,482	36,27,32,18,54,17	344,301,340,504,501,173	604	775
52	665,825,738,662,923,849	343,487,490,391,583,470	680,541,728,894,1115,350	389,364,410,495,641,213	152	104
53	382,680,517,467,762,674	1439,2504,1914,1757,2944,2516	419,370,327,521,651,218	1575,1425,1361,1831,2441,840	87	273
54	442,637,484,458,779,568	129,243,176,171,289,202	599,538,605,700,909,327	228,231,199,275,427,117	295	134
55	71,116,118,56,124,81	142,253,170,146,258,144	81,54,66,116,92,40	193,177,192,230,254,86	112	109
56	4,13,15,8,10,20	19,16,9,17,10,9	9,2,4,3,8,7	9,2,3,6,23,5	109	109
57	1830,3090,2268,2218,3549,2728	3455,5916,4232,4099,6293,4568	2109,1589,1815,2035,2803,858	4089,2768,3448,3584,4970,1750	109	142
58	5490,8233,6372,5984,7917,6633	14,26,21,14,16,27	4826,3580,4526,6191,6656,2134	14,15,12,19,19,5	1746	57
59	5514,8259,6390,5997,7942,6657	14,26,21,14,16,27	4833,3590,4541,6198,6682,2143	14,15,12,19,19,5	1749	57
60	5557,8301,6429,6028,8000,6689	14,26,21,14,16,27	4854,3617,4575,6247,6722,2163	14,15,12,19,19,5	1786	57
61	34,72,67,49,92,77	14,35,30,23,31,20	102,75,69,111,116,56	19,18,29,40,40,10	135	105
62	77,91,82,65,87,106	333,481,370,350,432,372	80,44,69,109,77,34	355,278,296,375,360,107	78	139
63	375,525,453,458,657,601	548,877,678,754,965,952	299,214,277,447,523,163	511,330,448,639,707,286	71	106
65	241,350,233,218,369,284	368,558,466,341,661,471	303,226,227,281,366,121	469,315,396,442,613,231	117	191
66	42,45,53,36,71,64	55,31,47,26,36,42	29,16,33,58,51,15	34,23,26,33,54,19	296	131
67	59,97,64,66,79,63	92,113,94,98,136,74	55,46,29,58,50,19	57,62,60,80,88,45	85	133
68	2,2,0,4,1,3	92,113,94,98,136,74	0,0,2,2,2,0	57,62,60,80,88,45	100	133
69	81,128,113,105,160,126	71,109,75,64,85,102	77,56,71,130,118,31	42,35,28,77,70,24	130	88
70	28,62,31,26,38,51	38,62,72,43,42,47	55,25,33,39,50,21	57,42,47,72,73,15	90	114
72	10,20,15,6,18,16	7,11,12,10,12,18	3,7,11,21,9,3	5,4,9,10,4,1	238	238
73	303,446,337,290,370,394	106,154,138,101,189,126	296,208,241,333,369,135	123,79,102,137,146,48	102	78
74	1835,3030,2416,2070,2956,2533	3069,4675,3852,3494,4933,4423	1914,1307,1655,2157,2555,773	3199,2088,2846,3607,4319,1434	133	202
75	88,110,99,88,109,132	90,153,142,101,124,168	43,81,83,132,138,36	69,77,77,121,121,62	102	110
77	657,1052,879,678,896,731	95,99,113,69,130,95	769,473,597,712,987,309	102,65,62,116,122,49	441	110
78	0,0,7,9,3,12	0,5,13,5,7,8	3,1,4,8,18,0	4,6,0,19,7,0	437	470
79	63,106,99,76,99,110	225,368,292,244,378,333	93,88,62,130,112,46	275,269,269,405,402,151	149	293
80	0,0,1,0,0,0	0,0,0,0,0,0	2,2,1,1,3,0	0,0,1,0,0,0	92	85
81	77,92,71,78,88,81	101,120,147,102,120,131	55,50,84,76,116,29	51,62,72,113,145,27	188	194
82	108,154,107,97,153,102	84,108,111,79,101,54	106,115,90,149,104,34	67,50,59,105,100,36	162	138
83	0,1,0,1,0,0	544,796,654,642,927,689	0,0,0,0,0,0	701,411,517,674,848,280	99	135
84	69,89,99,92,112,70	114,214,153,145,196,172	37,53,41,72,75,33	157,116,147,135,210,61	192	142
85	6,8,9,4,14,12	1,3,0,1,0,2	4,7,5,1,14,1	0,0,0,0,0,0	114	102
86	243,428,356,307,484,375	97,162,131,94,134,138	290,221,278,314,413,153	125,80,92,129,178,44	200	115
