ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1890,2867,2333,1970,2722,2654	0,0,1,5,2,5	1929,1310,1774,2416,2719,877	0,0,1,0,0,0	138	49
1	0,0,0,0,1,0	0,0,0,0,0,0	0,0,0,0,0,0	2,0,2,0,0,0	141	49
2	32,45,18,38,29,18	0,0,0,0,0,0	37,18,24,63,46,10	1,0,0,0,0,0	115	49
3	218,376,315,255,426,298	1,0,1,2,1,0	329,264,287,366,398,144	0,0,1,0,0,0	246	49
4	230,372,313,229,391,284	0,0,0,0,1,0	280,241,249,445,340,117	0,0,0,0,0,0	137	49
5	81,121,92,84,97,90	3,0,0,0,0,0	81,44,76,95,77,33	0,1,1,0,0,1	90	49
6	121,160,108,105,143,138	0,0,0,0,0,0	104,73,93,119,127,50	0,2,0,0,0,0	138	49
7	607,989,765,684,917,918	0,0,0,0,0,0	804,623,692,969,1122,391	0,0,0,0,1,0	185	49
8	498,697,570,556,733,595	1,2,0,0,1,0	523,447,497,668,734,227	0,2,0,4,0,0	129	49
9	295,486,389,329,508,441	1,0,0,0,0,0	371,278,337,448,515,184	0,0,0,0,0,0	118	49
10	458,699,518,477,615,578	0,2,0,0,1,0	545,358,521,592,659,247	0,0,0,0,0,0	130	49
11	3,3,5,4,5,0	16,31,25,28,16,23	0,0,0,0,0,1	13,6,9,32,16,7	70	49
12	1009,1423,995,782,1353,1316	0,0,0,0,1,0	760,474,625,753,1160,329	0,0,0,0,0,0	113	49
13	135,148,137,110,178,163	27,55,67,42,61,46	63,41,40,88,82,24	49,27,36,64,64,31	107	49
15	736,1143,863,793,1272,845	2,1,0,4,1,0	804,527,618,730,847,271	6,3,2,3,3,2	169	49
16	5,26,11,6,14,10	2,8,1,2,3,0	20,10,22,21,29,10	8,1,2,10,4,4	179	49
17	41,65,68,39,69,55	0,0,0,0,0,0	40,27,26,59,56,16	1,0,0,0,0,0	121	49
18	136,188,199,148,157,144	0,0,1,0,0,0	108,100,88,184,186,40	0,0,0,0,0,0	132	49
19	345,525,460,339,543,452	1,1,0,1,1,1	406,251,339,433,462,170	1,1,0,1,0,0	162	49
20	74,82,83,67,76,62	0,0,0,0,0,0	38,32,47,111,58,11	0,1,0,0,0,0	83	49
21	0,0,0,0,0,0	1,0,1,2,0,0	1,0,0,0,0,0	2,2,1,1,1,2	148	49
23	0,0,2,0,0,0	6,4,5,1,7,5	0,1,0,0,1,0	7,2,3,3,7,0	179	49
25	139,235,207,155,222,195	5,2,3,1,3,0	172,125,156,293,236,88	1,2,1,0,2,0	119	49
26	0,0,0,0,0,0	99,170,150,141,192,174	1,0,0,1,0,0	122,46,104,184,146,39	124	49
27	87,162,115,106,134,147	0,0,0,0,0,0	102,84,85,145,148,59	0,0,0,1,0,0	124	49
28	219,414,332,279,433,294	0,0,0,0,0,3	218,165,174,291,349,102	0,0,0,2,0,0	152	49
29	73,156,98,83,98,116	0,1,0,0,1,0	73,61,79,86,130,25	0,0,1,0,2,1	102	49
30	85,161,100,83,111,129	0,1,0,0,1,0	87,62,95,87,140,32	0,0,1,0,2,1	105	49
31	16,36,11,5,14,17	0,0,0,0,4,0	1,5,1,0,3,0	0,0,0,0,0,0	131	49
32	11,37,17,14,17,18	2,3,5,0,1,0	1,0,1,0,0,2	0,0,0,0,0,0	111	49
33	7,24,10,7,19,6	0,0,0,0,1,0	1,4,0,2,3,1	0,1,0,0,0,0	91	49
34	12,20,16,16,20,7	0,1,0,1,0,0	7,15,12,15,34,2	0,0,0,0,0,1	313	49
35	9,6,8,14,9,6	0,1,0,1,0,0	7,4,10,23,18,4	0,0,0,0,0,1	97	49
36	38,52,38,36,64,64	0,0,0,3,0,0	29,17,13,29,38,10	0,0,0,0,0,0	86	49
37	6863,10290,8054,7403,11112,9338	0,0,1,0,0,0	7270,4649,5952,7106,9618,2855	3,0,0,0,0,0	123	49
38	157,243,194,154,258,193	0,0,0,0,0,0	146,143,144,188,227,93	1,0,0,0,0,0	117	49
39	208,311,221,212,323,233	0,0,0,1,0,0	208,176,207,216,293,131	0,0,0,0,0,0	111	49
40	562,817,673,604,885,708	0,4,0,0,0,0	572,421,547,702,795,255	0,0,0,1,1,1	104	49
41	441,589,449,422,676,529	0,0,0,0,1,0	529,336,406,558,714,209	0,0,0,0,0,0	95	49
42	137,199,139,153,190,209	0,0,0,0,2,0	186,158,123,217,220,102	1,1,0,3,0,1	96	49
43	65,113,55,78,105,93	0,0,0,0,0,0	82,87,65,84,87,43	0,0,0,2,0,0	96	49
44	103,164,153,127,170,157	0,0,0,0,0,0	138,113,126,181,223,66	0,0,0,2,0,0	117	49
45	176,250,237,202,253,273	1,0,0,0,0,0	241,183,185,311,356,124	0,0,0,0,0,0	117	49
46	99,150,125,126,118,132	0,0,0,0,0,0	58,57,60,145,138,53	0,0,0,0,1,0	136	49
