IncLevel1	IncLevel2	IncLevelDifference
1.0,1.0,0.999,0.993,0.998,0.995	1.0,1.0,0.998,1.0,1.0,1.0	-0.002
NA,NA,NA,NA,1.0,NA	0.0,NA,0.0,NA,NA,NA	1.0
1.0,1.0,1.0,1.0,1.0,1.0	0.94,1.0,1.0,1.0,1.0,1.0	0.01
0.977,1.0,0.984,0.962,0.988,1.0	1.0,1.0,0.983,1.0,1.0,1.0	-0.012
1.0,1.0,1.0,1.0,0.993,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.936,1.0,1.0,1.0,1.0,1.0	1.0,0.96,0.976,1.0,1.0,0.947	0.009
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.928,1.0,1.0,1.0,1.0	0.012
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.997,1.0	0.001
0.995,0.993,1.0,1.0,0.996,1.0	1.0,0.988,1.0,0.984,1.0,1.0	0.002
0.992,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,0.992,1.0,1.0,0.996,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.116,0.063,0.123,0.091,0.179,0.0	0.0,0.0,0.0,0.0,0.0,0.091	0.08
1.0,1.0,1.0,1.0,0.998,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
0.696,0.552,0.484,0.545,0.572,0.619	0.371,0.41,0.337,0.386,0.37,0.262	0.222
0.991,0.997,1.0,0.983,0.997,1.0	0.975,0.981,0.989,0.986,0.988,0.975	0.012
0.406,0.471,0.751,0.451,0.561,1.0	0.406,0.732,0.751,0.365,0.665,0.406	0.053
1.0,1.0,1.0,1.0,1.0,1.0	0.942,1.0,1.0,1.0,1.0,1.0	0.01
1.0,1.0,0.987,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.991,0.994,1.0,0.99,0.994,0.993	0.992,0.987,1.0,0.992,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.95,1.0,1.0,1.0,1.0	0.008
0.0,NA,0.0,0.0,NA,NA	0.142,0.0,0.0,0.0,0.0,0.0	-0.024
0.0,0.0,0.099,0.0,0.0,0.0	0.0,0.12,0.0,0.0,0.038,NA	-0.015
0.92,0.98,0.966,0.985,0.968,1.0	0.986,0.963,0.985,1.0,0.98,1.0	-0.016
0.0,0.0,0.0,0.0,0.0,0.0	0.003,0.0,0.0,0.002,0.0,0.0	-0.001
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.983,1.0,1.0	0.003
1.0,1.0,1.0,1.0,1.0,0.969	1.0,1.0,1.0,0.979,1.0,1.0	-0.002
1.0,0.987,1.0,1.0,0.979,1.0	1.0,1.0,0.974,1.0,0.969,0.923	0.017
1.0,0.987,1.0,1.0,0.981,1.0	1.0,1.0,0.978,1.0,0.97,0.937	0.014
1.0,1.0,1.0,1.0,0.567,1.0	1.0,1.0,1.0,NA,1.0,NA	-0.072
0.708,0.845,0.6,1.0,0.882,1.0	1.0,NA,1.0,NA,NA,1.0	-0.161
1.0,1.0,1.0,1.0,0.911,1.0	1.0,0.683,NA,1.0,1.0,1.0	0.049
1.0,0.758,1.0,0.715,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.238	0.039
1.0,0.752,1.0,0.876,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.669	-0.007
1.0,1.0,1.0,0.872,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.021
1.0,1.0,1.0,1.0,1.0,1.0	0.999,1.0,1.0,1.0,1.0,1.0	0.0
1.0,1.0,1.0,1.0,1.0,1.0	0.984,1.0,1.0,1.0,1.0,1.0	0.003
1.0,1.0,1.0,0.989,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,0.99,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.997,0.997,0.992	0.001
1.0,1.0,1.0,1.0,0.997,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0,0.98,1.0	0.99,0.988,1.0,0.974,1.0,0.981	0.008
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.955,1.0,1.0	0.007
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.974,1.0,1.0	0.004
0.987,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.98,1.0	0.003
1.0,1.0,1.0,0.966,1.0,0.986	1.0,0.969,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,0.999,1.0,0.999,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
0.048,0.088,0.086,0.062,0.023,0.088	0.103,0.056,0.132,0.139,0.065,0.295	-0.066
0.087,0.179,0.123,0.086,0.1,0.109	0.127,0.166,0.171,0.121,0.102,0.309	-0.052
1.0,0.987,1.0,1.0,0.994,0.971	1.0,1.0,1.0,1.0,1.0,1.0	-0.008
1.0,0.983,1.0,1.0,0.992,0.963	1.0,1.0,1.0,1.0,1.0,1.0	-0.01
1.0,1.0,0.997,0.997,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.958,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.007
1.0,1.0,1.0,1.0,0.993,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0,0.993,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,1.0,0.986,0.984,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.005
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.995,1.0,1.0	0.001
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.994,1.0,1.0	0.001
1.0,1.0,1.0,1.0,0.998,0.997	1.0,0.992,1.0,0.998,0.998,1.0	0.001
0.996,0.994,0.996,0.997,0.996,0.996	0.995,0.998,0.996,0.995,0.995,0.994	0.0
0.016,0.024,0.024,0.016,0.027,0.018	0.033,0.024,0.014,0.039,0.016,0.0	-0.0
1.0,1.0,1.0,0.987,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,0.938,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.01
1.0,1.0,0.993,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.004,0.004,0.003,0.003,0.002,0.002	0.003,0.004,0.003,0.006,0.003,0.005	-0.001
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
1.0,1.0,1.0,0.982,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,1.0,0.963,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
1.0,1.0,1.0,1.0,1.0,0.996	1.0,1.0,1.0,0.993,1.0,1.0	0.001
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.998,1.0	0.0
1.0,1.0,0.99,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,0.994,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.972,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.988,1.0	-0.003
0.686,0.541,0.486,0.635,0.613,0.566	0.558,0.529,0.492,0.493,0.612,0.564	0.046
0.299,0.218,0.23,0.261,0.335,0.263	0.381,0.305,0.273,0.24,0.234,0.296	-0.02
0.262,0.19,0.243,0.227,0.258,0.251	0.394,0.282,0.297,0.272,0.241,0.272	-0.054
1.0,1.0,1.0,1.0,0.966,1.0	0.869,1.0,1.0,1.0,1.0,1.0	0.016
1.0,0.994,1.0,0.982,1.0,1.0	1.0,0.989,1.0,0.993,1.0,1.0	-0.001
0.762,0.711,0.689,0.798,1.0,0.67	0.85,0.615,0.633,0.663,0.689,1.0	0.03
1.0,0.908,1.0,1.0,1.0,0.787	1.0,1.0,1.0,1.0,1.0,1.0	-0.051
1.0,1.0,1.0,1.0,0.969,1.0	0.963,1.0,1.0,0.955,1.0,1.0	0.008
0.916,1.0,1.0,1.0,1.0,0.965	1.0,1.0,1.0,0.895,1.0,1.0	-0.002
0.967,0.941,0.937,0.793,0.807,0.874	0.854,1.0,0.869,0.764,0.949,0.929	-0.008
0.526,0.572,0.458,0.497,0.492,0.327	0.244,0.27,0.311,0.386,0.292,0.198	0.195
1.0,1.0,1.0,1.0,0.962,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
1.0,1.0,1.0,1.0,0.974,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
1.0,0.997,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0,0.987,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	0.981,1.0,1.0,1.0,1.0,1.0	0.003
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.985,1.0,1.0,1.0	0.003
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.981,1.0,1.0,1.0	0.003
1.0,0.99,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.989,1.0,1.0,1.0,1.0	0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.979,1.0,1.0	0.003
0.914,0.647,0.847,1.0,0.422,0.68	0.669,0.657,0.787,0.732,0.811,0.639	0.036
1.0,1.0,1.0,1.0,0.952,0.984	1.0,1.0,1.0,0.97,0.969,1.0	-0.001
1.0,1.0,0.815,1.0,1.0,0.756	1.0,1.0,1.0,0.799,0.815,0.638	0.053
1.0,0.992,1.0,0.989,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,1.0,1.0,0.974,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
1.0,0.973,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.005
1.0,0.961,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
1.0,1.0,1.0,1.0,0.97,1.0	1.0,0.903,1.0,1.0,1.0,1.0	0.011
1.0,1.0,0.718,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.047
1.0,1.0,0.434,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.094
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.97,1.0	0.005
1.0,1.0,1.0,0.926,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.012
0.957,0.994,1.0,0.976,0.985,0.992	0.938,0.907,0.888,0.959,0.926,0.922	0.061
1.0,1.0,1.0,1.0,0.985,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,0.996,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.992,1.0	0.001
1.0,1.0,1.0,1.0,1.0,0.994	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.0,0.0,0.0,0.004,0.0,0.0	0.006,0.0,0.0,0.003,0.0,0.0	-0.001
1.0,1.0,1.0,0.998,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
1.0,0.986,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,0.989,1.0,1.0,1.0,1.0	0.959,1.0,1.0,0.97,0.989,1.0	0.012
0.666,0.718,0.776,0.841,0.684,0.728	0.939,0.735,0.879,0.671,0.788,0.626	-0.038
0.791,0.828,0.741,0.6,0.679,0.692	0.766,0.754,0.803,0.648,0.808,0.86	-0.051
0.593,0.544,0.405,0.285,0.51,0.422	0.47,0.492,0.343,0.503,0.549,0.741	-0.056
0.51,0.275,0.381,0.582,0.43,0.401	0.482,0.385,0.696,0.54,0.519,0.51	-0.092
0.987,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.0,0.016,0.029,0.0,0.0,0.035	0.0,0.0,0.025,0.012,0.0,0.0	0.007
0.921,1.0,1.0,0.923,1.0,0.969	1.0,0.895,1.0,0.979,0.949,0.91	0.013
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.611	0.065
0.975,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
1.0,1.0,1.0,1.0,1.0,0.991	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.969,0.963,0.953,0.967,0.964,0.981	0.992,0.977,0.993,0.98,0.99,0.991	-0.021
1.0,1.0,0.47,0.516,0.262,1.0	1.0,1.0,0.516,0.262,1.0,0.0	0.078
1.0,0.986,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,0.988,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.835,0.795,0.798,0.802,0.798,0.766	0.978,0.885,0.88,0.91,0.92,0.883	-0.11
1.0,1.0,0.97,0.949,1.0,1.0	1.0,1.0,0.947,1.0,1.0,1.0	-0.005
0.0,0.025,0.0,0.104,0.021,0.115	0.163,0.0,0.333,0.232,0.046,0.237	-0.124
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.809,1.0,1.0,1.0,1.0	0.032
1.0,1.0,0.953,0.975,1.0,1.0	0.948,1.0,1.0,0.971,0.989,1.0	0.003
1.0,0.989,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.991,1.0	-0.0
1.0,0.992,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.992,1.0	0.0
1.0,1.0,1.0,0.999,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
1.0,1.0,1.0,0.998,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.974,1.0,1.0,1.0	0.004
0.103,0.162,0.163,0.124,0.137,0.137	0.206,0.171,0.143,0.125,0.149,0.086	-0.009
0.872,0.716,0.93,0.786,0.973,0.764	0.948,0.872,0.76,0.776,0.903,0.693	0.015
0.964,1.0,1.0,1.0,1.0,0.986	1.0,1.0,0.991,1.0,1.0,0.951	0.001
1.0,1.0,1.0,1.0,1.0,1.0	0.987,1.0,1.0,1.0,1.0,1.0	0.002
1.0,1.0,1.0,1.0,0.993,1.0	1.0,1.0,1.0,0.941,0.973,1.0	0.013
0.979,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,0.989,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1.0,1.0,0.982,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,1.0,0.988,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.304,0.32,0.754,0.724,0.36,0.2	0.636,1.0,0.778,1.0,0.754,0.686	-0.365
1.0,1.0,1.0,1.0,1.0,0.982	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,1.0,1.0,1.0,0.651	1.0,1.0,1.0,1.0,1.0,1.0	-0.058
1.0,0.928,0.795,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.046
1.0,1.0,1.0,1.0,0.936,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
1.0,1.0,1.0,1.0,0.98,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,1.0,1.0,0.981,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
1.0,1.0,1.0,1.0,0.987,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.901,0.867,0.918,0.898,0.927,0.852	0.905,0.908,0.892,0.951,0.842,0.823	0.007
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.923	0.013
0.976,0.961,1.0,1.0,1.0,0.982	1.0,1.0,1.0,1.0,0.935,1.0	-0.003
1.0,1.0,0.92,1.0,1.0,1.0	1.0,0.926,1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0,1.0,0.415	NA,1.0,NA,1.0,1.0,1.0	-0.098
0.799,0.828,0.972,0.884,0.978,0.935	0.791,1.0,1.0,0.975,0.95,1.0	-0.053
1.0,0.963,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.986,1.0,1.0,1.0	0.002
1.0,0.98,1.0,1.0,1.0,1.0	0.987,1.0,1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
1.0,0.973,0.952,0.979,0.975,0.969	1.0,0.977,0.98,0.986,0.976,1.0	-0.012
0.976,1.0,1.0,1.0,0.952,1.0	1.0,0.92,1.0,1.0,1.0,1.0	0.001
0.001,0.001,0.003,0.002,0.002,0.001	0.002,0.003,0.002,0.001,0.002,0.003	-0.001
0.0,0.0,0.0,0.0,0.001,0.001	0.0,0.0,0.0,0.001,0.0,0.0	0.0
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.973	0.005
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.998,1.0,1.0	0.0
1.0,1.0,0.969,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.005
0.975,0.972,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
0.45,0.45,0.417,0.45,0.428,0.161	0.536,0.45,0.671,0.386,0.483,0.45	-0.103
0.587,0.64,0.634,0.505,0.582,0.348	0.751,0.603,0.798,0.596,0.549,0.581	-0.097
