ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	25,31,21,12,40,28	17,23,26,28,36,47	12,7,21,29,27,7	28,22,23,33,21,12	98	49	1	1.0	0.424,0.403,0.288,0.176,0.357,0.23	0.176,0.137,0.313,0.305,0.391,0.226	0.055
1	20,14,16,21,13,9	0,0,0,0,0,0	26,12,19,32,19,4	1,0,0,0,0,0	98	49	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.929,1.0,1.0,1.0,1.0,1.0	0.012
2	4,7,8,6,8,8	51,72,65,71,88,66	6,5,6,7,17,2	49,56,45,64,92,25	78	49	1	1.0	0.047,0.058,0.072,0.05,0.054,0.071	0.071,0.053,0.077,0.064,0.104,0.048	-0.011
3	223,329,259,274,327,241	28,23,16,17,25,25	285,165,227,310,322,101	25,19,8,18,16,5	58	49	1	1.0	0.871,0.924,0.932,0.932,0.917,0.891	0.906,0.88,0.96,0.936,0.944,0.945	-0.017
4	230,416,290,316,429,321	30,82,57,51,82,88	232,198,225,280,377,124	59,39,41,55,85,27	55	49	1	1.0	0.872,0.819,0.819,0.847,0.823,0.765	0.778,0.819,0.83,0.819,0.798,0.804	0.016
7	33,54,52,52,54,51	1,3,1,3,1,0	31,29,22,78,36,13	1,0,2,1,1,3	52	49	1	1.0	0.969,0.944,0.98,0.942,0.981,1.0	0.967,1.0,0.912,0.987,0.971,0.803	0.029
8	70,95,82,47,89,90	0,0,0,0,0,0	46,33,58,128,80,29	0,1,2,2,0,0	59	49	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.965,0.96,0.982,1.0,1.0	0.015
10	420,690,430,395,631,606	2,0,0,0,0,1	358,205,313,351,483,185	1,0,2,0,4,0	53	49	1	1.0	0.995,1.0,1.0,1.0,1.0,0.998	0.997,1.0,0.993,1.0,0.991,1.0	0.002
11	35,70,51,32,74,33	5,5,5,9,7,12	25,22,27,36,68,12	3,4,0,5,11,0	82	49	1	1.0	0.807,0.893,0.859,0.68,0.863,0.622	0.833,0.767,1.0,0.811,0.787,1.0	-0.079
12	33,46,68,42,69,65	0,0,0,1,0,2	34,26,29,43,40,18	0,0,0,0,0,0	98	49	1	1.0	1.0,1.0,1.0,0.955,1.0,0.942	1.0,1.0,1.0,1.0,1.0,1.0	-0.017
13	5,10,7,2,11,8	53,76,67,57,82,81	7,5,8,13,13,1	70,51,42,55,79,23	60	49	1	1.0	0.072,0.097,0.079,0.028,0.099,0.075	0.076,0.074,0.135,0.162,0.118,0.034	-0.025
14	5,0,8,6,9,1	218,377,337,299,369,417	5,3,6,7,4,4	267,152,186,330,274,117	98	49	1	1.0	0.011,0.0,0.012,0.01,0.012,0.001	0.009,0.01,0.016,0.01,0.007,0.017	-0.004
15	152,247,203,159,258,162	0,2,1,2,2,1	167,163,161,210,220,75	1,0,2,0,0,1	54	49	1	1.0	1.0,0.991,0.995,0.986,0.992,0.993	0.993,1.0,0.986,1.0,1.0,0.986	-0.001
17	263,459,343,254,498,366	0,3,0,3,11,1	395,262,313,353,469,168	1,2,2,1,2,1	56	49	1	1.0	1.0,0.993,1.0,0.987,0.975,0.997	0.997,0.991,0.993,0.997,0.995,0.993	-0.002
18	7,13,10,10,9,5	42,59,64,44,61,41	8,3,5,8,9,1	32,15,35,76,55,16	52	49	1	1.0	0.136,0.172,0.128,0.176,0.122,0.103	0.191,0.159,0.119,0.09,0.134,0.056	0.015
19	29,26,32,17,18,26	2,2,6,7,6,7	9,19,21,19,20,6	8,2,2,7,1,5	57	49	1	1.0	0.926,0.918,0.821,0.676,0.721,0.762	0.492,0.891,0.9,0.7,0.945,0.508	0.065
21	131,217,192,163,210,172	5,2,7,7,2,7	133,96,119,176,185,71	3,2,9,4,7,0	67	49	1	1.0	0.95,0.988,0.953,0.945,0.987,0.947	0.97,0.972,0.906,0.97,0.951,1.0	0.0
22	55,80,71,60,89,80	0,4,3,0,3,1	68,70,37,75,88,43	2,3,1,1,0,1	52	49	1	1.0	1.0,0.95,0.957,1.0,0.965,0.987	0.97,0.956,0.972,0.986,1.0,0.976	-0.0
23	4,7,3,0,0,3	2,5,3,0,2,1	0,0,0,0,0,0	5,0,0,0,3,0	61	49	1	1.0	0.616,0.529,0.445,NA,0.0,0.707	0.0,NA,NA,NA,0.0,NA	0.459
24	5,16,6,2,14,5	0,0,0,0,1,0	1,0,0,2,1,1	0,1,0,0,0,0	98	49	1	1.0	1.0,1.0,1.0,1.0,0.875,1.0	1.0,0.0,NA,1.0,1.0,1.0	0.179
