IncLevel1	IncLevel2	IncLevelDifference
0.424,0.403,0.288,0.176,0.357,0.23	0.176,0.137,0.313,0.305,0.391,0.226	0.055
1.0,1.0,1.0,1.0,1.0,1.0	0.929,1.0,1.0,1.0,1.0,1.0	0.012
0.047,0.058,0.072,0.05,0.054,0.071	0.071,0.053,0.077,0.064,0.104,0.048	-0.011
0.871,0.924,0.932,0.932,0.917,0.891	0.906,0.88,0.96,0.936,0.944,0.945	-0.017
0.872,0.819,0.819,0.847,0.823,0.765	0.778,0.819,0.83,0.819,0.798,0.804	0.016
0.969,0.944,0.98,0.942,0.981,1.0	0.967,1.0,0.912,0.987,0.971,0.803	0.029
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.965,0.96,0.982,1.0,1.0	0.015
0.995,1.0,1.0,1.0,1.0,0.998	0.997,1.0,0.993,1.0,0.991,1.0	0.002
0.807,0.893,0.859,0.68,0.863,0.622	0.833,0.767,1.0,0.811,0.787,1.0	-0.079
1.0,1.0,1.0,0.955,1.0,0.942	1.0,1.0,1.0,1.0,1.0,1.0	-0.017
0.072,0.097,0.079,0.028,0.099,0.075	0.076,0.074,0.135,0.162,0.118,0.034	-0.025
0.011,0.0,0.012,0.01,0.012,0.001	0.009,0.01,0.016,0.01,0.007,0.017	-0.004
1.0,0.991,0.995,0.986,0.992,0.993	0.993,1.0,0.986,1.0,1.0,0.986	-0.001
1.0,0.993,1.0,0.987,0.975,0.997	0.997,0.991,0.993,0.997,0.995,0.993	-0.002
0.136,0.172,0.128,0.176,0.122,0.103	0.191,0.159,0.119,0.09,0.134,0.056	0.015
0.926,0.918,0.821,0.676,0.721,0.762	0.492,0.891,0.9,0.7,0.945,0.508	0.065
0.95,0.988,0.953,0.945,0.987,0.947	0.97,0.972,0.906,0.97,0.951,1.0	0.0
1.0,0.95,0.957,1.0,0.965,0.987	0.97,0.956,0.972,0.986,1.0,0.976	-0.0
0.616,0.529,0.445,NA,0.0,0.707	0.0,NA,NA,NA,0.0,NA	0.459
1.0,1.0,1.0,1.0,0.875,1.0	1.0,0.0,NA,1.0,1.0,1.0	0.179
0.849,0.85,0.864,0.86,0.874,0.85	0.798,0.789,0.765,0.787,0.795,0.793	0.07
0.458,0.559,0.861,0.585,0.575,0.679	0.22,0.585,0.717,0.514,0.491,NA	0.114
0.187,0.173,0.185,0.158,0.337,0.303	0.155,0.109,0.254,0.14,0.134,0.187	0.061
0.145,0.13,0.136,0.027,0.135,0.054	0.289,0.083,0.234,0.112,0.336,0.231	-0.11
0.3,0.628,0.434,0.481,0.59,0.579	0.257,0.357,0.298,0.278,0.277,0.463	0.18
0.145,0.151,0.118,0.106,0.224,0.134	0.196,0.248,0.223,0.198,0.161,0.25	-0.066
0.234,0.121,0.137,0.105,0.166,0.114	0.349,0.327,0.343,0.323,0.306,0.258	-0.171
NA,0.0,0.0,0.0,NA,0.0	0.485,NA,NA,0.0,0.0,NA	-0.162
0.027,0.045,0.053,0.05,0.077,0.098	0.01,0.02,0.032,0.044,0.06,0.104	0.013
0.509,0.632,0.497,0.516,0.491,0.448	0.481,0.382,0.427,0.504,0.381,0.505	0.069
1.0,1.0,1.0,1.0,1.0,1.0	0.975,1.0,1.0,1.0,1.0,1.0	0.004
0.98,0.95,0.949,0.962,0.89,0.951	0.912,0.819,0.902,0.914,0.886,0.883	0.061
0.107,0.139,0.128,0.151,0.122,0.156	0.16,0.056,0.163,0.222,0.112,0.16	-0.012
0.989,0.984,0.99,0.967,0.96,0.983	0.987,0.928,0.985,0.982,0.977,0.975	0.007
0.668,0.659,0.516,0.277,0.78,0.619	0.516,0.78,0.606,0.415,0.842,0.191	0.028
0.131,0.149,0.117,0.166,0.177,0.095	0.139,0.2,0.15,0.219,0.165,0.132	-0.028
0.888,0.819,0.929,0.961,0.902,0.925	0.892,0.833,0.833,0.869,0.835,0.948	0.036
NA,0.094,0.333,0.454,0.249,0.525	0.384,0.0,0.0,0.084,0.581,0.0	0.156
0.161,0.173,0.346,0.277,0.17,0.277	0.234,0.161,0.218,0.143,0.311,0.113	0.037
0.05,0.029,0.066,0.044,0.061,0.076	0.0,0.076,0.0,0.0,0.0,0.0	0.042
0.268,0.379,0.374,0.478,0.487,0.422	0.299,0.305,0.283,0.295,0.328,0.196	0.117
0.852,0.789,0.859,0.851,0.885,0.892	0.86,0.643,0.956,0.892,0.778,0.833	0.028
0.68,0.5,0.707,0.72,0.684,0.737	0.571,0.394,0.857,0.636,0.5,0.4	0.112
0.208,0.129,0.171,0.148,0.102,0.151	0.018,0.102,0.162,0.01,0.089,0.095	0.072
1.0,0.971,1.0,1.0,1.0,1.0	1.0,1.0,0.927,1.0,1.0,1.0	0.007
1.0,1.0,1.0,1.0,0.934,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
1.0,1.0,0.988,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
0.3,0.371,0.566,0.377,0.223,0.456	0.557,0.414,0.586,0.677,0.541,0.386	-0.145
1.0,0.905,1.0,1.0,1.0,0.818	1.0,1.0,1.0,1.0,1.0,1.0	-0.046
0.667,1.0,0.8,0.529,0.857,1.0	0.333,1.0,1.0,0.778,1.0,1.0	-0.043
1.0,1.0,1.0,1.0,1.0,1.0	0.714,1.0,0.778,0.943,1.0,1.0	0.094
0.225,0.0,0.32,0.191,0.068,0.047	0.687,0.485,0.485,0.472,0.551,0.136	-0.328
0.0,0.0,0.0,0.0,0.0,0.0	0.022,0.0,0.0,0.0,0.018,0.0	-0.007
0.593,0.501,0.687,0.717,0.653,0.715	0.545,0.605,0.534,0.594,0.569,0.515	0.084
1.0,1.0,1.0,1.0,1.0,1.0	0.999,1.0,0.996,0.999,1.0,1.0	0.001
0.286,0.442,0.397,0.245,0.273,0.228	0.164,0.444,0.25,0.37,0.167,0.286	0.032
0.979,0.969,0.961,0.965,0.986,0.959	0.979,0.975,1.0,0.989,1.0,0.948	-0.012
0.731,0.829,0.864,0.895,0.865,0.863	0.905,0.898,0.942,0.89,0.832,0.878	-0.05
1.0,0.857,0.895,0.833,0.81,0.784	0.867,1.0,1.0,0.857,1.0,1.0	-0.091
0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.006,0.0	-0.001
0.0,0.458,0.0,0.458,0.458,0.747	0.0,1.0,NA,1.0,0.0,1.0	-0.246
NA,0.241,0.559,0.174,0.458,0.717	0.0,NA,0.0,0.0,0.297,NA	0.356
0.653,0.919,1.0,1.0,0.815,1.0	1.0,0.611,0.895,0.952,0.809,1.0	0.02
1.0,0.8,1.0,1.0,0.643,0.895	1.0,1.0,1.0,0.875,0.778,1.0	-0.053
0.7,0.65,0.444,0.478,0.333,0.636	0.429,0.5,0.5,0.702,0.474,0.579	0.01
1.0,1.0,1.0,1.0,0.949,1.0	1.0,0.897,1.0,1.0,1.0,1.0	0.009
0.794,0.825,0.823,0.783,0.817,0.732	0.634,0.895,0.841,0.792,0.762,0.52	0.055
0.921,0.981,1.0,0.942,0.964,0.98	0.862,0.835,0.824,0.926,0.83,0.881	0.105
0.076,0.159,0.171,0.146,0.105,0.261	0.159,0.229,0.397,0.509,0.402,0.0	-0.13
0.068,0.094,0.009,0.021,0.035,0.01	0.04,0.151,0.103,0.029,0.02,0.077	-0.031
0.797,0.801,0.775,0.799,0.717,0.761	0.806,0.786,0.825,0.838,0.793,0.696	-0.016
0.769,0.782,0.83,0.741,0.741,0.747	0.727,0.865,0.832,0.743,0.802,0.766	-0.021
0.872,0.897,0.795,0.86,0.881,0.862	0.781,0.797,0.911,0.833,0.81,0.775	0.043
0.013,0.0,0.023,0.031,0.029,0.009	0.0,0.0,0.06,0.049,0.007,0.016	-0.005
0.0,0.544,1.0,0.0,0.374,1.0	1.0,0.499,1.0,1.0,0.193,1.0	-0.296
0.053,0.045,0.065,0.072,0.057,0.053	0.075,0.05,0.06,0.067,0.056,0.052	-0.003
0.078,0.085,0.0,0.065,0.11,0.095	0.08,0.047,0.056,0.131,0.059,0.205	-0.024
1.0,0.996,1.0,1.0,0.997,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
0.156,0.138,0.189,0.112,0.141,0.142	0.123,0.11,0.13,0.144,0.153,0.159	0.01
0.872,0.648,0.781,0.662,0.866,0.792	0.684,1.0,0.696,0.781,0.61,0.818	0.005
0.096,0.141,0.09,0.027,0.053,0.048	0.037,0.022,0.043,0.019,0.078,0.0	0.043
0.843,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.966,1.0,1.0	-0.021
0.393,0.392,0.354,0.432,0.455,0.357	0.523,0.553,0.523,0.497,0.432,0.543	-0.115
0.912,1.0,1.0,1.0,1.0,0.972	1.0,1.0,0.983,1.0,1.0,0.909	-0.001
0.015,0.053,0.036,0.027,0.031,0.052	0.03,0.009,0.039,0.02,0.017,0.01	0.015
0.963,0.972,0.949,0.943,0.967,0.954	0.947,0.979,0.964,0.965,0.956,0.949	-0.002
1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.99,1.0,1.0,0.999,1.0	0.002
0.986,0.99,0.976,1.0,0.98,0.972	1.0,1.0,1.0,0.974,0.967,1.0	-0.006
0.024,0.023,0.032,0.019,0.023,0.039	0.029,0.031,0.028,0.028,0.044,0.017	-0.003
0.894,0.843,0.909,0.535,0.929,0.86	0.775,0.161,1.0,0.754,0.768,1.0	0.085
0.0,0.601,0.059,0.35,0.0,0.086	0.07,0.0,0.0,0.0,0.0,0.0	0.171
1.0,1.0,0.968,0.958,0.974,1.0	1.0,0.949,1.0,0.979,1.0,1.0	-0.005
0.0,0.79,0.485,0.601,0.402,0.136	NA,0.0,0.0,0.274,0.282,0.0	0.291
1.0,1.0,1.0,1.0,0.875,1.0	1.0,1.0,0.824,1.0,1.0,0.538	0.085
0.0,0.0,NA,0.0,0.0,0.0	0.0,0.739,NA,0.0,NA,0.0	-0.185
0.641,0.725,0.743,0.559,0.603,0.655	0.667,0.487,0.441,0.444,0.388,1.0	0.083
0.966,0.962,1.0,1.0,0.983,0.966	1.0,0.958,1.0,1.0,1.0,1.0	-0.014
0.957,0.935,1.0,1.0,1.0,0.969	1.0,1.0,1.0,1.0,0.906,1.0	-0.007
1.0,0.982,0.966,0.968,1.0,0.979	1.0,1.0,1.0,0.983,1.0,1.0	-0.015
0.157,0.27,0.159,0.237,0.291,0.055	0.272,0.231,0.091,0.249,0.251,0.055	0.003
0.047,0.051,0.055,0.021,0.029,0.061	0.046,0.05,0.039,0.034,0.05,0.016	0.005
0.994,0.993,0.992,0.992,0.991,0.992	0.992,0.994,0.992,0.992,0.992,0.991	0.0
0.909,1.0,0.962,0.892,1.0,0.854	1.0,0.905,1.0,1.0,0.923,1.0	-0.035
0.333,0.226,0.111,0.111,0.143,0.171	0.333,0.0,0.231,0.235,0.391,0.231	-0.054
0.55,0.547,0.467,0.5,0.52,0.346	0.647,0.481,0.73,0.519,0.6,0.524	-0.095
1.0,1.0,1.0,1.0,0.949,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
0.708,0.675,0.731,0.52,0.606,0.663	0.573,0.531,0.537,0.483,0.535,0.478	0.128
0.846,0.455,0.365,0.325,0.524,0.333	0.269,0.312,0.214,0.414,0.4,0.375	0.144
0.918,1.0,1.0,1.0,1.0,1.0	1.0,0.77,0.922,0.851,0.846,1.0	0.088
0.028,0.021,0.001,0.017,0.005,0.026	0.023,0.013,0.009,0.01,0.011,0.016	0.003
0.966,0.847,0.942,0.865,0.798,0.848	0.711,0.853,0.903,0.884,0.859,0.757	0.05
0.071,0.063,0.068,0.054,0.087,0.059	0.052,0.065,0.037,0.076,0.037,0.02	0.019
1.0,0.922,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
0.495,0.653,0.521,0.598,0.566,0.584	0.694,0.487,0.476,0.635,0.672,0.507	-0.009
0.032,0.009,0.004,0.023,0.026,0.008	0.023,0.009,0.004,0.012,0.0,0.006	0.008
0.024,0.019,0.0,0.0,0.0,0.0	0.108,0.0,0.0,0.129,0.028,0.0	-0.037
0.0,NA,0.586,1.0,NA,1.0	NA,NA,0.239,0.0,NA,0.0	0.567
1.0,1.0,0.998,1.0,1.0,0.998	0.998,1.0,1.0,0.998,1.0,1.0	0.0
0.0,NA,1.0,1.0,1.0,NA	NA,1.0,0.645,1.0,1.0,NA	-0.161
0.138,0.041,0.0,0.445,0.11,0.0	0.091,0.091,0.0,0.063,0.118,0.0	0.062
0.09,0.113,0.133,0.149,0.069,0.055	0.063,0.077,0.129,0.094,0.108,0.173	-0.006
0.954,0.907,1.0,1.0,1.0,0.856	1.0,1.0,1.0,0.934,0.83,0.653	0.05
0.036,0.072,0.028,0.036,0.022,0.056	0.048,0.04,0.006,0.022,0.009,0.035	0.015
0.679,0.679,0.717,0.766,0.711,0.697	0.695,0.744,0.765,0.739,0.651,0.661	-0.001
0.999,1.0,0.999,1.0,0.999,0.999	0.999,0.999,0.999,0.999,0.999,0.999	0.0
0.857,0.83,0.933,0.859,0.855,0.871	0.823,1.0,0.851,0.923,0.875,0.952	-0.036
0.835,1.0,0.823,0.628,0.496,0.864	0.53,1.0,0.835,0.67,0.798,0.559	0.042
0.364,0.35,0.376,0.563,0.601,0.489	0.197,0.323,0.462,0.632,0.572,1.0	-0.074
0.667,1.0,0.778,1.0,1.0,1.0	1.0,1.0,1.0,0.692,0.8,1.0	-0.008
1.0,NA,0.828,1.0,1.0,0.572	0.349,0.849,0.616,0.401,1.0,1.0	0.177
0.584,0.493,0.486,0.65,0.544,0.588	0.597,0.626,0.631,0.648,0.606,0.559	-0.054
0.055,0.095,0.094,0.119,0.144,0.069	0.137,0.015,0.066,0.141,0.046,0.0	0.029
1.0,0.947,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.933,1.0	0.002
0.015,0.011,0.068,0.034,0.021,0.013	0.029,0.0,0.059,0.053,0.037,0.0	-0.003
0.0,0.0,0.0,0.016,0.0,0.054	0.0,0.0,0.0,0.012,0.0,0.0	0.01
1.0,1.0,1.0,1.0,1.0,0.977	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
0.557,0.615,0.481,0.52,0.65,0.657	0.671,0.304,0.682,0.509,0.489,0.605	0.037
1.0,1.0,1.0,1.0,0.97,1.0	1.0,0.943,0.967,0.915,1.0,1.0	0.024
0.145,0.109,0.09,0.042,0.049,0.073	0.07,0.046,0.071,0.063,0.058,0.172	0.005
0.88,0.884,0.844,0.953,0.889,0.974	0.957,0.909,0.644,0.76,0.875,0.778	0.084
0.904,0.973,0.951,0.959,0.892,0.927	0.942,0.948,0.924,0.95,0.976,0.983	-0.019
0.271,0.234,0.203,0.204,0.24,0.388	0.264,0.21,0.299,0.267,0.39,0.157	-0.008
0.241,0.134,0.094,0.107,0.133,0.185	0.148,0.133,0.132,0.16,0.151,0.132	0.006
0.1,0.019,0.023,0.059,0.099,0.073	0.0,0.032,0.026,0.099,0.0,0.077	0.023
1.0,1.0,0.946,0.879,1.0,1.0	0.85,1.0,1.0,1.0,1.0,1.0	-0.004
0.907,0.822,0.879,0.919,0.891,0.898	0.831,0.791,0.854,0.801,0.856,0.86	0.054
0.904,0.925,0.924,0.911,0.82,0.945	0.9,0.957,0.909,0.888,0.928,0.844	0.001
0.161,0.191,0.161,0.092,0.109,0.043	0.138,0.052,0.138,0.087,0.156,0.17	0.003
1.0,0.99,0.967,0.958,0.958,0.985	0.98,0.978,0.955,0.957,0.958,0.968	0.01
1.0,1.0,1.0,0.976,1.0,0.981	0.921,0.965,1.0,0.983,1.0,1.0	0.015
1.0,1.0,0.876,0.923,0.981,0.984	0.889,0.897,0.969,1.0,0.981,0.92	0.018
1.0,0.674,0.941,1.0,0.624,1.0	0.763,1.0,1.0,0.734,0.925,0.58	0.039
0.981,0.98,0.972,0.982,0.971,0.992	0.993,0.978,0.993,0.986,0.975,0.988	-0.006
0.827,0.831,0.832,0.82,0.752,0.8	0.766,0.764,0.776,0.774,0.891,0.759	0.022
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.994,1.0,1.0	0.001
0.304,0.224,0.167,0.214,0.148,0.13	0.273,0.231,0.0,0.171,0.222,0.4	-0.018
1.0,1.0,1.0,0.994,1.0,1.0	1.0,1.0,0.996,1.0,1.0,1.0	-0.0
1.0,1.0,1.0,1.0,1.0,1.0	0.983,1.0,1.0,1.0,1.0,1.0	0.003
1.0,1.0,1.0,1.0,1.0,0.728	1.0,NA,0.842,1.0,0.781,1.0	0.03
0.239,0.295,1.0,0.136,1.0,0.239	0.295,1.0,0.815,0.0,0.0,1.0	-0.034
0.985,0.99,1.0,0.982,0.976,1.0	0.973,1.0,1.0,1.0,1.0,1.0	-0.007
0.023,0.019,0.02,0.019,0.053,0.007	0.0,0.024,0.01,0.039,0.014,0.071	-0.003
0.328,0.254,0.446,0.299,0.426,0.48	0.222,0.356,0.326,0.293,0.352,0.265	0.07
0.047,0.079,0.113,0.077,0.081,0.106	0.064,0.083,0.0,0.077,0.05,0.117	0.019
0.968,0.916,0.965,0.918,0.906,0.95	0.916,0.928,0.953,0.922,0.931,0.957	0.003
0.723,0.636,0.744,0.848,0.562,0.609	0.695,0.816,0.787,0.7,0.721,0.815	-0.069
0.038,0.036,0.09,0.131,0.105,0.107	0.019,0.107,0.08,0.149,0.019,0.047	0.014
0.065,0.149,0.113,0.135,0.081,0.096	0.093,0.099,0.084,0.14,0.092,0.141	-0.002
1.0,1.0,1.0,1.0,0.957,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.007
0.639,0.692,0.617,0.829,0.654,0.615	0.756,0.595,0.718,0.627,0.714,0.778	-0.024
0.961,0.972,1.0,0.894,1.0,1.0	0.84,0.955,0.621,0.724,0.89,1.0	0.133
0.976,0.978,1.0,0.928,1.0,1.0	0.929,0.957,0.809,0.813,0.925,1.0	0.075
