IncLevel1	IncLevel2	IncLevelDifference
0.333,0.182,0.333,0.0,0.286,0.0	0.0,0.0,0.059,0.0,0.0,0.0	0.179
0.2,0.221,0.196,0.207,0.207,0.19	0.11,0.148,0.166,0.189,0.191,0.117	0.05
0.077,0.076,0.144,0.148,0.065,0.06	0.126,0.074,0.122,0.12,0.148,0.083	-0.017
0.263,0.115,0.353,0.292,0.212,0.308	0.37,0.357,0.415,0.186,0.053,0.2	-0.006
0.185,0.219,0.203,0.203,0.207,0.209	0.167,0.137,0.138,0.249,0.136,0.055	0.057
0.178,0.103,0.094,0.033,0.082,0.161	0.104,0.072,0.12,0.117,0.114,0.2	-0.013
0.478,0.767,0.738,0.593,0.767,0.826	0.758,0.588,0.822,0.714,0.738,0.8	-0.042
0.533,0.8,0.442,0.756,0.526,0.628	0.81,0.81,0.84,0.44,0.571,0.529	-0.052
0.628,0.686,0.641,0.623,0.655,0.619	0.626,0.562,0.632,0.617,0.599,0.486	0.055
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.789,1.0,0.5	0.119
0.167,0.174,0.122,0.141,0.156,0.171	0.135,0.12,0.108,0.136,0.127,0.167	0.023
0.083,0.081,0.081,0.076,0.077,0.072	0.077,0.084,0.076,0.088,0.083,0.098	-0.006
0.241,0.279,0.207,0.288,0.309,0.214	0.235,0.173,0.286,0.309,0.314,0.2	0.004
0.116,0.129,0.12,0.113,0.132,0.087	0.112,0.12,0.085,0.102,0.101,0.079	0.016
0.0,0.054,0.056,0.118,0.056,0.028	0.042,0.189,0.105,0.125,0.079,0.0	-0.038
0.145,0.208,0.146,0.043,0.077,0.165	0.098,0.294,0.143,0.313,0.265,0.273	-0.1
0.146,0.047,0.091,0.083,0.086,0.222	0.033,0.094,0.083,0.109,0.233,0.097	0.004
0.592,0.885,0.803,0.71,0.714,0.664	0.663,0.556,0.677,0.571,0.82,0.65	0.072
0.017,0.012,0.019,0.014,0.0,0.02	0.016,0.0,0.016,0.072,0.045,0.03	-0.016
0.276,0.274,0.185,0.161,0.281,0.198	0.152,0.156,0.238,0.29,0.249,0.275	0.003
0.156,0.026,0.062,0.015,0.039,0.101	0.04,0.03,0.059,0.057,0.13,0.15	-0.011
0.032,0.029,0.023,0.048,0.0,0.0	0.0,0.286,0.0,0.111,0.111,0.0	-0.063
0.113,0.095,0.095,0.04,0.074,0.136	0.077,0.051,0.123,0.194,0.072,0.129	-0.015
0.333,0.172,0.0,0.333,0.364,0.0	0.25,0.067,0.273,0.5,0.25,0.167	-0.051
0.636,0.263,0.053,0.259,0.4,0.4	0.067,0.667,0.25,0.222,0.375,0.0	0.072
0.307,0.391,0.453,0.458,0.39,0.339	0.48,0.5,0.449,0.413,0.585,0.489	-0.096
0.057,0.041,0.076,0.041,0.018,0.042	0.025,0.072,0.027,0.051,0.063,0.052	-0.003
1.0,1.0,1.0,1.0,1.0,1.0	0.833,1.0,1.0,1.0,0.926,0.857	0.064
0.018,0.027,0.024,0.024,0.022,0.026	0.02,0.023,0.017,0.016,0.029,0.017	0.003
0.025,0.026,0.021,0.024,0.021,0.029	0.019,0.017,0.014,0.021,0.029,0.014	0.005
0.033,0.02,0.027,0.033,0.025,0.068	0.048,0.026,0.027,0.027,0.054,0.021	0.001
1.0,0.855,0.897,1.0,1.0,0.898	0.972,1.0,0.971,1.0,1.0,0.961	-0.042
1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.984,1.0,1.0,1.0	0.003
0.037,0.07,0.143,0.172,0.478,0.083	0.55,0.532,0.784,0.707,0.463,0.783	-0.473
0.106,0.085,0.068,0.104,0.069,0.112	0.13,0.097,0.087,0.116,0.12,0.147	-0.026
0.064,0.196,0.163,0.074,0.109,0.208	0.059,0.123,0.099,0.05,0.063,0.034	0.064
0.015,0.071,0.022,0.019,0.04,0.029	0.023,0.0,0.014,0.0,0.0,0.0	0.026
NA,NA,1.0,NA,NA,NA	NA,1.0,0.0,0.333,NA,1.0	0.417
0.109,0.061,0.079,0.058,0.108,0.073	0.064,0.069,0.062,0.095,0.08,0.058	0.01
0.806,0.876,0.81,0.915,0.837,0.842	0.829,0.859,0.762,0.837,0.836,0.811	0.025
0.571,0.444,0.312,0.333,0.429,0.368	0.444,0.111,0.714,0.217,1.0,0.4	-0.072
0.692,0.375,0.444,0.538,0.429,0.448	0.467,0.407,0.667,0.417,0.412,0.714	-0.026
0.2,0.167,0.5,1.0,1.0,0.0	NA,NA,NA,NA,1.0,NA	-0.522
0.333,0.286,0.455,1.0,0.333,0.333	0.0,NA,NA,NA,0.25,NA	0.332
0.412,0.282,0.25,0.0,0.222,0.167	0.0,NA,NA,0.0,0.333,0.0	0.139
1.0,1.0,1.0,NA,0.8,NA	NA,0.0,NA,NA,NA,NA	0.95
0.273,0.224,0.0,0.0,0.2,0.0	1.0,0.0,NA,NA,0.0,NA	-0.217
0.079,0.085,0.066,0.08,0.117,0.07	0.066,0.042,0.033,0.066,0.074,0.051	0.027
0.971,0.992,1.0,1.0,0.966,0.946	0.972,0.946,0.99,0.994,0.969,0.973	0.005
1.0,1.0,1.0,1.0,1.0,0.538	1.0,1.0,1.0,1.0,1.0,1.0	-0.077
0.273,0.6,0.3,0.226,0.455,0.143	0.333,0.636,0.182,0.234,0.333,0.111	0.028
0.5,0.636,0.6,0.429,1.0,1.0	NA,0.5,0.6,0.444,0.273,1.0	0.131
1.0,1.0,1.0,1.0,1.0,0.984	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
0.25,0.289,0.459,0.243,0.37,0.319	0.241,0.171,0.4,0.385,0.36,0.3	0.012
0.062,0.077,0.083,0.077,0.083,0.063	0.093,0.128,0.067,0.106,0.078,0.099	-0.021
0.11,0.092,0.124,0.096,0.096,0.084	0.192,0.156,0.179,0.191,0.183,0.194	-0.082
0.362,0.306,0.5,0.527,0.434,0.437	0.333,0.362,0.38,0.311,0.366,0.333	0.08
0.739,0.394,0.356,0.389,0.275,0.3	0.429,0.302,0.345,0.826,0.333,0.882	-0.111
0.192,0.081,0.175,0.292,0.143,0.14	0.545,0.622,0.6,0.662,0.539,0.565	-0.418
0.022,0.078,0.06,0.059,0.156,0.048	0.152,0.153,0.122,0.017,0.108,0.158	-0.048
0.529,0.789,0.556,0.375,0.2,0.185	0.273,0.429,0.2,0.263,0.4,0.5	0.095
0.164,0.214,0.204,0.118,0.174,0.149	0.079,0.096,0.143,0.071,0.081,0.152	0.067
0.357,0.514,0.423,0.389,0.345,0.556	0.367,0.529,0.489,0.28,0.286,0.267	0.061
0.231,0.195,0.238,0.324,0.239,0.333	0.333,0.268,0.263,0.172,0.333,0.308	-0.02
0.455,1.0,1.0,0.667,1.0,1.0	0.333,NA,0.6,1.0,1.0,1.0	0.067
NA,1.0,NA,NA,NA,NA	NA,NA,NA,0.0,1.0,0.0	0.667
0.731,0.672,0.743,0.787,0.742,0.771	0.558,0.576,0.611,0.622,0.702,0.733	0.107
0.08,0.107,0.069,0.052,0.052,0.066	0.087,0.065,0.087,0.108,0.126,0.072	-0.02
0.714,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.048
0.107,0.091,0.129,0.113,0.087,0.108	0.165,0.16,0.123,0.144,0.138,0.207	-0.05
0.093,0.079,0.091,0.053,0.168,0.052	0.108,0.236,0.13,0.163,0.138,0.172	-0.069
0.171,0.15,0.087,0.065,0.115,0.176	0.125,0.2,0.088,0.179,0.092,0.161	-0.014
0.0,0.0,0.0,0.0,0.009,0.005	0.0,0.0,0.0,0.0,0.005,0.0	0.001
0.341,0.408,0.452,0.193,0.299,0.398	0.32,0.333,0.259,0.351,0.308,0.429	0.015
0.121,0.197,0.161,0.157,0.145,0.186	0.19,0.107,0.226,0.148,0.206,0.115	-0.004
0.151,0.208,0.163,0.104,0.164,0.133	0.255,0.189,0.204,0.284,0.234,0.216	-0.076
0.487,0.601,0.556,0.551,0.514,0.643	0.527,0.554,0.481,0.493,0.542,0.597	0.026
0.045,0.054,0.016,0.07,0.018,0.061	0.037,0.111,0.189,0.045,0.067,0.053	-0.04
0.5,0.0,0.0,0.0,0.0,0.143	0.0,0.0,0.0,NA,0.0,NA	0.107
0.1,0.117,0.123,0.108,0.118,0.189	0.111,0.088,0.106,0.133,0.125,0.121	0.012
0.136,0.115,0.151,0.123,0.128,0.129	0.143,0.086,0.109,0.176,0.126,0.25	-0.018
0.122,0.146,0.099,0.016,0.091,0.158	0.023,0.211,0.081,0.05,0.068,0.143	0.009
1.0,0.81,0.652,1.0,0.826,0.739	0.529,1.0,1.0,0.846,1.0,1.0	-0.058
0.101,0.11,0.099,0.064,0.097,0.045	0.096,0.123,0.091,0.061,0.092,0.06	-0.001
NA,NA,NA,NA,1.0,NA	NA,0.6,NA,1.0,1.0,0.0	0.35
0.392,0.423,0.323,0.28,0.331,0.272	0.286,0.32,0.278,0.226,0.303,0.253	0.059
0.0,0.043,0.07,0.016,0.0,0.022	0.235,0.071,0.0,0.2,0.405,0.067	-0.138
0.078,0.029,0.039,0.029,0.065,0.04	0.025,0.023,0.026,0.009,0.019,0.015	0.027
0.533,0.222,0.467,0.4,0.556,0.236	1.0,1.0,0.333,0.176,0.36,0.0	-0.076
0.037,0.041,0.033,0.03,0.034,0.029	0.029,0.05,0.042,0.027,0.04,0.039	-0.004
0.958,0.962,0.956,0.913,0.94,0.965	0.935,0.993,0.982,0.97,0.972,0.981	-0.023
0.186,0.062,0.21,0.128,0.156,0.193	0.133,0.152,0.238,0.286,0.222,0.205	-0.05
0.987,0.982,0.984,0.984,0.988,0.986	0.994,0.978,0.976,0.985,0.979,0.994	0.001
0.342,0.352,0.379,0.362,0.328,0.344	0.342,0.346,0.372,0.352,0.351,0.365	-0.004
0.061,0.082,0.057,0.072,0.058,0.076	0.108,0.132,0.17,0.128,0.043,0.051	-0.038
0.375,0.385,0.667,0.571,0.6,0.172	0.44,0.417,0.583,0.294,0.314,0.75	-0.005
0.059,0.034,0.0,0.0,0.2,0.333	0.158,0.0,0.0,0.111,0.2,0.0	0.026
0.556,0.636,0.704,0.667,0.7,0.29	0.353,0.818,0.333,0.45,0.515,0.778	0.051
0.277,0.343,0.272,0.292,0.296,0.37	0.198,0.147,0.297,0.188,0.223,0.231	0.094
0.0,0.2,0.091,0.231,0.0,0.182	0.125,0.333,0.111,0.25,0.053,0.091	-0.043
0.333,0.238,0.381,0.235,0.28,0.231	0.5,0.25,0.349,0.333,0.288,0.364	-0.064
0.02,0.115,0.043,0.0,0.08,0.035	0.172,0.083,0.059,0.033,0.083,0.095	-0.039
0.625,0.629,0.69,0.509,0.7,0.875	0.783,0.75,0.818,0.677,0.811,0.611	-0.07
0.115,0.1,0.097,0.04,0.042,0.133	0.115,0.091,0.067,0.178,0.088,0.167	-0.03
0.014,0.035,0.033,0.042,0.013,0.027	0.014,0.017,0.02,0.018,0.014,0.033	0.008
0.08,0.057,0.06,0.062,0.087,0.024	0.065,0.098,0.032,0.059,0.043,0.023	0.008
0.285,0.297,0.278,0.308,0.43,0.344	0.351,0.385,0.383,0.353,0.359,0.492	-0.064
0.363,0.237,0.282,0.431,0.308,0.328	0.22,0.562,0.235,0.31,0.222,0.127	0.046
0.771,0.66,0.774,0.745,0.782,0.811	0.647,0.474,0.909,0.75,0.569,0.684	0.085
0.301,0.241,0.244,0.183,0.193,0.231	0.065,0.213,0.235,0.096,0.194,0.224	0.061
1.0,1.0,0.92,0.793,0.937,1.0	1.0,0.9,1.0,1.0,0.946,1.0	-0.033
0.713,0.794,0.721,0.673,0.678,0.768	0.699,0.804,0.816,0.855,0.786,0.885	-0.083
0.12,0.212,0.077,0.2,0.111,0.125	0.0,0.059,0.176,0.111,0.385,0.2	-0.014
0.4,0.481,0.135,0.263,0.148,0.125	0.474,0.412,0.412,0.545,0.333,0.545	-0.195
NA,0.0,0.048,0.0,0.0,0.0	0.333,0.0,0.0,0.111,0.0,NA	-0.079
0.333,0.449,0.589,0.556,0.411,0.31	0.445,0.25,0.246,0.341,0.282,0.254	0.138
1.0,1.0,0.933,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
0.058,0.112,0.054,0.058,0.128,0.131	0.152,0.2,0.136,0.203,0.213,0.268	-0.105
0.689,0.7,0.675,0.606,0.582,0.704	0.919,0.91,0.804,0.808,0.86,0.852	-0.2
0.131,0.174,0.14,0.2,0.175,0.197	0.145,0.219,0.135,0.179,0.189,0.197	-0.008
0.185,0.238,0.187,0.125,0.22,0.077	0.217,0.36,0.0,0.5,0.273,0.25	-0.095
0.375,0.355,0.143,0.182,0.579,0.086	0.154,0.429,0.0,0.31,0.231,0.385	0.035
0.226,0.129,0.202,0.168,0.142,0.128	0.109,0.233,0.174,0.086,0.265,0.125	0.001
0.6,0.091,0.231,0.111,0.5,0.2	0.5,NA,0.143,0.714,0.118,1.0	-0.206
1.0,1.0,0.867,0.333,0.75,0.625	1.0,1.0,NA,0.765,0.765,0.714	-0.086
1.0,0.875,1.0,1.0,1.0,0.765	1.0,1.0,1.0,1.0,1.0,1.0	-0.06
0.818,1.0,0.867,0.5,0.857,1.0	0.714,1.0,1.0,0.8,1.0,1.0	-0.079
0.077,0.1,0.231,0.0,0.083,0.154	0.077,0.263,0.0,0.5,0.385,0.0	-0.097
0.419,0.744,0.455,0.419,0.452,0.649	0.4,0.478,0.714,0.476,0.395,0.6	0.012
0.3,0.2,0.105,0.154,0.125,0.0	0.167,0.143,0.182,0.077,0.647,0.429	-0.127
0.048,0.368,0.191,0.048,0.184,0.083	0.098,0.333,0.125,0.227,0.2,0.286	-0.058
0.032,0.375,0.24,0.061,0.22,0.286	0.2,0.727,0.385,0.667,0.419,0.714	-0.316
0.0,0.0,0.029,0.077,0.149,0.154	0.043,0.0,0.091,0.111,0.021,0.0	0.024
0.333,0.217,0.062,0.222,0.388,0.3	0.244,0.0,0.2,0.13,0.316,0.0	0.105
0.25,0.0,0.143,0.0,0.185,0.333	0.448,0.6,0.478,0.385,0.538,0.25	-0.298
0.091,0.034,0.059,0.0,0.13,0.029	0.063,0.185,0.12,0.099,0.032,0.167	-0.054
0.121,0.107,0.08,0.048,0.063,0.027	0.095,0.081,0.074,0.084,0.072,0.072	-0.005
1.0,1.0,0.935,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.011
0.0,0.333,0.25,0.667,0.13,0.3	0.0,0.2,0.6,0.226,0.273,0.0	0.063
0.4,0.333,0.0,0.1,0.231,0.333	0.043,0.2,0.333,0.286,0.13,NA	0.034
0.385,0.294,0.419,0.667,0.368,0.333	0.333,0.429,0.2,0.682,0.0,0.333	0.082
