ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	30,45,44,36,43,57	51,64,48,39,64,66	32,40,21,53,43,13	39,29,21,34,37,17	210	238	1	1.0	0.4,0.443,0.51,0.511,0.432,0.495	0.482,0.61,0.531,0.639,0.568,0.464	-0.084
1	72,110,87,84,114,98	47,78,71,61,62,85	102,93,88,119,119,43	57,64,84,60,115,32	217	196	1	1.0	0.58,0.56,0.525,0.554,0.624,0.51	0.618,0.568,0.486,0.642,0.483,0.548	0.001
2	142,130,172,123,138,120	60,141,164,95,139,105	174,151,133,169,188,59	151,133,122,218,221,73	293	255	1	1.0	0.673,0.445,0.477,0.53,0.464,0.499	0.501,0.497,0.487,0.403,0.425,0.413	0.06
3	0,0,0,0,0,0	155,300,192,184,306,210	1,1,0,0,2,0	156,145,145,231,248,55	283	391	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.009,0.009,0.0,0.0,0.011,0.0	-0.005
4	60,61,76,79,90,80	17,25,20,21,27,11	63,45,68,65,91,18	14,3,4,7,7,1	262	219	0.122805019991	1.0	0.747,0.671,0.761,0.759,0.736,0.859	0.79,0.926,0.934,0.886,0.916,0.938	-0.143
5	9,11,14,27,27,8	154,317,199,178,317,219	17,14,27,15,16,1	157,154,149,233,263,60	262	539	1	1.0	0.107,0.067,0.126,0.238,0.149,0.07	0.182,0.158,0.272,0.117,0.111,0.033	-0.019
6	9,11,14,27,27,8	155,300,192,184,306,210	17,14,27,15,16,1	156,145,145,231,248,55	262	391	1	1.0	0.08,0.052,0.098,0.18,0.116,0.054	0.14,0.126,0.217,0.088,0.088,0.026	-0.017
7	24,42,38,35,52,67	37,53,47,35,42,48	37,21,36,38,29,12	33,23,42,52,79,24	189	194	1	1.0	0.4,0.449,0.454,0.507,0.56,0.589	0.535,0.484,0.468,0.429,0.274,0.339	0.072
8	6,19,10,8,14,11	72,122,124,93,162,81	16,7,11,27,22,5	67,62,58,109,103,28	230	230	1	1.0	0.077,0.135,0.075,0.079,0.08,0.12	0.193,0.101,0.159,0.199,0.176,0.152	-0.069
9	114,171,112,112,153,121	56,69,47,41,62,56	96,78,66,118,133,43	38,23,34,50,56,15	229	202	1	1.0	0.642,0.686,0.678,0.707,0.685,0.656	0.69,0.749,0.631,0.676,0.677,0.717	-0.014
