IncLevel1	IncLevel2	IncLevelDifference
0.4,0.443,0.51,0.511,0.432,0.495	0.482,0.61,0.531,0.639,0.568,0.464	-0.084
0.58,0.56,0.525,0.554,0.624,0.51	0.618,0.568,0.486,0.642,0.483,0.548	0.001
0.673,0.445,0.477,0.53,0.464,0.499	0.501,0.497,0.487,0.403,0.425,0.413	0.06
0.0,0.0,0.0,0.0,0.0,0.0	0.009,0.009,0.0,0.0,0.011,0.0	-0.005
0.747,0.671,0.761,0.759,0.736,0.859	0.79,0.926,0.934,0.886,0.916,0.938	-0.143
0.107,0.067,0.126,0.238,0.149,0.07	0.182,0.158,0.272,0.117,0.111,0.033	-0.019
0.08,0.052,0.098,0.18,0.116,0.054	0.14,0.126,0.217,0.088,0.088,0.026	-0.017
0.4,0.449,0.454,0.507,0.56,0.589	0.535,0.484,0.468,0.429,0.274,0.339	0.072
0.077,0.135,0.075,0.079,0.08,0.12	0.193,0.101,0.159,0.199,0.176,0.152	-0.069
0.642,0.686,0.678,0.707,0.685,0.656	0.69,0.749,0.631,0.676,0.677,0.717	-0.014
0.178,0.245,0.0,0.302,0.394,0.342	NA,0.0,1.0,0.0,0.224,0.0	-0.001
0.713,0.76,0.721,0.739,0.733,0.704	0.74,0.76,0.706,0.699,0.767,0.698	0.0
0.487,0.47,0.419,0.483,0.485,0.49	0.433,0.458,0.44,0.325,0.397,0.445	0.056
0.63,0.612,0.636,0.588,0.584,0.623	0.596,0.643,0.587,0.645,0.619,0.6	-0.003
0.214,0.232,0.254,0.241,0.216,0.365	0.205,0.283,0.237,0.274,0.286,0.328	-0.015
0.658,0.701,0.693,0.705,0.646,0.659	0.699,0.724,0.701,0.683,0.705,0.691	-0.023
0.37,0.349,0.328,0.292,0.37,0.3	0.432,0.274,0.384,0.336,0.321,0.292	-0.005
0.122,0.448,0.081,0.393,0.218,0.108	0.369,0.0,0.098,0.619,0.443,0.218	-0.063
0.956,0.937,0.917,0.941,0.933,0.96	0.944,0.966,0.936,0.932,0.96,0.89	0.003
0.62,0.642,0.628,0.534,0.519,0.455	0.598,0.594,0.578,0.513,0.453,0.632	0.005
0.137,0.052,0.076,0.105,0.0,0.016	0.068,0.0,0.076,0.0,0.051,0.035	0.026
0.524,0.494,0.532,0.499,0.552,0.562	0.507,0.538,0.556,0.598,0.505,0.568	-0.018
0.52,0.405,0.417,0.429,0.452,0.454	0.381,0.416,0.458,0.424,0.444,0.481	0.012
0.583,0.604,0.645,0.572,0.595,0.608	0.602,0.561,0.606,0.615,0.614,0.662	-0.009
0.406,0.342,0.515,0.352,0.456,0.325	0.284,0.376,0.215,0.407,0.656,0.483	-0.004
0.477,0.481,0.46,0.47,0.469,0.449	0.484,0.48,0.471,0.458,0.446,0.439	0.005
0.575,0.596,0.591,0.611,0.58,0.592	0.599,0.589,0.599,0.572,0.593,0.607	-0.002
0.562,0.615,0.557,0.553,0.577,0.613	0.565,0.67,0.565,0.514,0.534,0.562	0.011
0.397,0.401,0.385,0.378,0.346,0.379	0.406,0.316,0.313,0.327,0.387,0.302	0.039
0.175,0.256,0.32,0.203,0.229,0.173	0.235,0.115,0.238,0.067,0.386,0.0	0.053
0.0,0.0,0.011,0.011,0.0,0.015	0.0,0.035,0.0,0.0,0.0,0.0	0.0
0.459,0.51,0.464,0.48,0.451,0.42	0.463,0.336,0.511,0.496,0.418,0.497	0.01
