ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	32,58,43,32,51,54	58,62,47,37,55,76	30,32,17,52,48,17	44,23,22,31,32,14	210	238	1	1.0
1	93,146,115,104,127,147	216,302,245,242,344,286	119,54,103,118,140,60	215,184,203,292,337,95	230	218	1	1.0
2	57,91,91,52,134,92	86,153,99,117,161,119	87,60,53,87,96,28	103,68,89,99,147,51	217	211	1	1.0
3	76,119,84,90,105,97	48,71,74,56,59,79	95,87,96,126,110,43	51,57,85,60,110,34	217	196	1	1.0
4	0,2,0,0,1,0	157,276,207,189,298,204	0,0,1,0,2,0	152,142,154,247,225,67	283	391	1	1.0
5	52,62,79,83,94,72	9,20,16,16,25,14	73,45,72,67,87,24	9,3,6,6,8,1	262	219	0.361384448018	1.0
6	10,12,15,28,20,13	155,295,212,184,307,211	18,11,33,12,13,2	152,148,161,248,238,68	262	539	1	1.0
7	10,12,15,28,20,13	157,276,207,189,298,204	18,11,33,12,13,2	152,142,154,247,225,67	262	391	1	1.0
8	21,41,35,39,48,71	31,49,54,31,57,43	34,21,32,39,43,15	29,19,58,61,72,19	189	194	1	1.0
9	6,23,10,5,13,15	68,125,103,77,131,71	14,7,10,18,19,7	64,66,56,116,124,33	230	230	1	1.0
10	52,64,45,39,57,48	30,46,40,29,56,42	29,44,31,54,49,15	34,42,26,29,29,21	210	203	1	1.0
11	0,3,0,1,1,3	1,3,7,2,2,3	0,0,1,0,2,0	0,3,0,4,7,2	263	342	1	1.0
12	380,687,444,381,490,461	124,188,136,110,148,162	470,331,341,496,496,155	134,72,101,190,133,48	239	203	1	1.0
14	207,167,101,101,192,165	195,255,152,150,241,251	107,69,74,34,101,45	167,96,110,72,179,79	226	272	1	1.0
15	235,403,311,316,388,444	133,236,149,182,248,212	299,293,282,441,416,134	160,155,181,196,258,84	255	216	1	1.0
16	139,259,159,175,195,241	521,843,425,586,727,408	170,185,186,257,270,119	673,542,602,674,658,230	216	229	1	1.0
17	310,582,297,251,403,336	141,236,137,92,217,150	594,441,467,613,864,249	220,173,219,266,331,99	231	218	1	1.0
18	53,79,51,45,79,70	143,201,151,165,178,221	48,29,60,90,68,28	90,107,113,223,178,57	194	257	1	1.0
19	32,48,42,39,51,42	30,59,62,45,75,63	66,27,42,38,39,16	43,27,32,46,69,25	197	196	1	1.0
20	46,74,45,66,54,94	30,64,77,45,82,55	39,42,44,59,72,22	57,29,46,57,73,22	235	234	1	1.0
22	1,9,2,2,1,4	6,11,9,9,18,8	4,2,0,3,9,0	5,8,10,2,9,7	260	253	1	1.0
23	493,809,633,492,784,663	18,35,43,20,47,31	563,390,491,577,796,209	29,11,30,26,22,15	216	167	1	1.0
24	12,9,11,7,1,1	230,340,303,222,422,334	6,0,5,0,10,4	212,160,208,274,383,140	228	652	1	1.0
25	287,469,401,354,573,434	238,407,284,312,419,300	357,306,322,536,501,191	294,231,218,350,441,131	224	197	1	1.0
26	134,192,155,124,181,145	121,200,190,146,201,158	151,103,140,187,226,81	191,116,144,248,218,65	249	219	1	1.0
27	26,32,58,24,27,29	44,77,66,62,57,76	18,16,6,36,55,22	45,28,47,82,53,33	201	303	1	1.0
28	197,340,253,287,372,338	139,171,162,166,210,187	247,177,235,267,326,107	134,71,153,206,218,63	259	206	1	1.0
29	74,98,89,82,77,100	746,1015,925,900,1095,971	78,62,71,129,104,31	827,778,900,1792,1272,497	278	1923	1	1.0
31	6,22,19,10,27,11	22,60,36,37,48,43	7,2,7,1,22,0	20,14,29,21,27,15	266	259	0.953803745114	1.0
32	261,449,357,284,410,399	148,229,154,163,231,203	292,220,245,333,448,169	168,133,160,173,221,87	199	183	1	1.0
33	106,167,111,133,153,128	163,257,244,177,240,262	128,111,125,138,177,44	222,193,197,287,312,102	198	264	1	1.0
34	25,41,32,39,37,35	54,75,60,33,72,64	25,24,27,33,43,18	69,33,65,50,48,30	188	206	1	1.0
35	1093,1562,1229,1279,1592,1541	99,159,130,137,175,144	860,760,940,1319,1517,565	112,108,106,131,192,50	721	197	1	1.0
36	132,208,152,132,240,206	50,72,55,60,93,78	142,139,155,225,232,87	73,59,61,91,89,35	611	285	1	1.0
37	88,123,77,90,153,103	130,244,170,172,264,209	115,70,63,89,129,50	157,126,152,181,241,56	227	220	1	1.0
38	395,465,402,391,561,507	101,139,101,107,149,150	121,214,267,464,399,150	26,48,64,124,100,36	439	234	1	1.0
39	853,1346,1216,1018,1515,1149	826,1414,1293,1089,1549,1241	1239,956,1113,1487,1689,555	1148,940,1082,1654,1610,497	227	263	1	1.0
40	1644,2494,1309,1371,2096,1496	514,667,406,379,576,447	1466,1572,1844,2234,2656,998	455,553,523,691,794,313	1227	482	1	1.0
41	26,58,54,28,50,49	83,130,102,111,156,117	52,34,54,54,64,22	110,67,109,159,204,56	201	271	1	1.0
42	237,349,251,203,321,227	257,397,243,244,388,204	202,143,146,255,225,81	248,170,168,248,239,79	366	249	1	1.0
43	241,383,277,240,365,234	257,397,243,244,388,204	217,152,146,277,253,91	248,170,168,248,239,79	353	249	1	1.0
44	159,248,179,136,208,137	257,397,243,244,388,204	133,91,91,180,158,46	248,170,168,248,239,79	330	249	1	1.0
45	52,70,75,48,79,67	31,44,37,24,48,50	54,65,43,64,78,25	38,25,20,55,62,21	215	202	1	1.0
