IncLevel1	IncLevel2	IncLevelDifference
0.057,0.099,0.062,0.0,0.206,0.105	0.0,0.0,0.0,0.076,0.045,0.0	0.068
0.211,0.18,0.213,0.168,0.189,0.187	0.109,0.111,0.131,0.172,0.163,0.105	0.06
0.048,0.071,0.071,0.094,0.062,0.05	0.084,0.057,0.108,0.078,0.091,0.041	-0.01
0.156,0.072,0.217,0.163,0.141,0.279	0.255,0.357,0.396,0.145,0.084,0.247	-0.076
0.089,0.157,0.129,0.11,0.116,0.122	0.071,0.145,0.089,0.139,0.08,0.082	0.02
0.124,0.075,0.051,0.041,0.064,0.045	0.064,0.044,0.103,0.058,0.085,0.132	-0.014
0.377,0.602,0.51,0.463,0.466,0.409	0.446,0.564,0.614,0.616,0.383,0.588	-0.064
0.739,0.842,0.793,1.0,0.658,0.801	0.848,1.0,0.913,0.684,0.691,0.746	-0.008
0.758,0.767,0.736,0.723,0.752,0.702	0.76,0.689,0.746,0.774,0.714,0.622	0.022
1.0,1.0,1.0,1.0,1.0,0.381	0.902,0.787,0.755,0.86,0.896,0.711	0.078
0.169,0.167,0.145,0.166,0.182,0.184	0.156,0.129,0.135,0.145,0.147,0.218	0.014
0.039,0.037,0.032,0.039,0.04,0.035	0.042,0.043,0.037,0.045,0.038,0.045	-0.005
0.302,0.296,0.218,0.316,0.253,0.162	0.217,0.29,0.194,0.327,0.228,0.429	-0.023
0.169,0.163,0.137,0.15,0.133,0.138	0.119,0.118,0.101,0.139,0.125,0.124	0.027
0.012,0.098,0.027,0.034,0.067,0.061	0.059,0.078,0.125,0.068,0.067,0.058	-0.026
0.155,0.221,0.133,0.112,0.19,0.181	0.168,0.164,0.162,0.238,0.291,0.154	-0.031
0.131,0.03,0.096,0.079,0.079,0.089	0.039,0.095,0.04,0.125,0.068,0.079	0.01
0.696,0.797,0.767,0.677,0.736,0.733	0.705,0.673,0.726,0.645,0.702,0.698	0.043
0.02,0.006,0.013,0.0,0.0,0.005	0.0,0.0,0.012,0.035,0.006,0.015	-0.004
0.245,0.204,0.189,0.218,0.218,0.148	0.223,0.238,0.217,0.331,0.247,0.318	-0.059
0.12,0.023,0.063,0.049,0.066,0.07	0.048,0.03,0.046,0.039,0.101,0.056	0.012
0.052,0.014,0.034,0.0,0.079,0.0	0.0,0.065,0.0,0.058,0.048,0.11	-0.017
0.053,0.044,0.056,0.052,0.051,0.058	0.054,0.039,0.056,0.083,0.05,0.037	-0.001
0.494,0.213,0.143,0.119,0.244,0.0	0.379,0.169,0.55,0.222,0.0,0.109	-0.036
0.272,0.316,0.09,0.39,0.442,0.257	0.122,0.217,0.454,0.192,0.24,0.0	0.09
0.339,0.347,0.364,0.45,0.332,0.282	0.319,0.418,0.289,0.369,0.453,0.418	-0.025
0.009,0.002,0.014,0.008,0.003,0.011	0.008,0.015,0.011,0.01,0.022,0.018	-0.006
1.0,1.0,1.0,1.0,1.0,1.0	0.65,1.0,1.0,1.0,0.934,0.872	0.091
0.013,0.012,0.014,0.007,0.012,0.012	0.009,0.011,0.01,0.007,0.011,0.014	0.001
0.016,0.019,0.019,0.018,0.017,0.02	0.019,0.018,0.016,0.014,0.024,0.019	-0.0
0.032,0.016,0.044,0.043,0.029,0.038	0.05,0.024,0.024,0.035,0.055,0.044	-0.005
1.0,0.971,0.972,1.0,0.983,0.962	0.933,0.963,0.948,0.921,1.0,0.921	0.034
1.0,0.992,0.978,1.0,1.0,0.989	1.0,1.0,1.0,1.0,1.0,0.985	-0.004
0.123,0.087,0.12,0.101,0.094,0.197	0.679,0.52,0.694,0.679,0.575,0.837	-0.544
0.075,0.08,0.059,0.086,0.072,0.079	0.106,0.102,0.093,0.124,0.103,0.134	-0.035
0.083,0.079,0.102,0.044,0.104,0.135	0.058,0.111,0.049,0.028,0.032,0.061	0.035
0.077,0.026,0.032,0.056,0.052,0.026	0.013,0.012,0.007,0.021,0.0,0.027	0.032
NA,NA,1.0,NA,NA,NA	0.0,1.0,0.0,0.238,NA,1.0	0.552
0.072,0.06,0.058,0.068,0.078,0.09	0.065,0.045,0.042,0.089,0.062,0.035	0.015
0.855,0.897,0.76,0.897,0.8,0.853	0.846,0.897,0.827,0.875,0.856,0.821	-0.01
0.526,0.288,0.299,0.414,0.335,0.272	0.335,0.168,0.595,0.361,0.463,0.195	0.003
0.374,0.314,0.144,0.335,0.381,0.402	0.472,0.166,0.535,0.331,0.296,0.472	-0.054
0.141,0.344,0.596,0.496,0.283,0.18	0.0,0.0,NA,NA,NA,0.0	0.34
0.211,0.238,0.555,0.757,0.189,0.555	0.0,NA,NA,0.0,0.0,NA	0.418
0.318,0.221,0.067,0.0,0.193,0.248	0.417,0.0,NA,0.0,0.0,1.0	-0.109
0.481,0.598,0.285,1.0,0.827,1.0	1.0,0.0,NA,NA,1.0,1.0	-0.051
0.282,0.105,0.0,0.078,0.261,0.105	1.0,0.0,NA,0.0,0.128,NA	-0.144
0.097,0.094,0.061,0.072,0.114,0.086	0.058,0.054,0.037,0.068,0.065,0.039	0.034
0.982,0.99,1.0,1.0,0.973,0.983	0.988,0.965,0.966,0.986,0.972,0.962	0.015
1.0,1.0,1.0,1.0,0.691,0.582	1.0,1.0,1.0,1.0,1.0,1.0	-0.121
0.223,0.399,0.393,0.178,0.34,0.156	0.164,0.607,0.371,0.153,0.376,0.209	-0.032
0.541,0.825,0.282,0.399,0.469,1.0	1.0,0.541,1.0,0.269,0.46,0.702	-0.076
0.966,0.99,0.982,1.0,1.0,1.0	1.0,1.0,1.0,0.992,1.0,1.0	-0.009
