ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	35,44,29,20,50,35	30,43,35,40,54,58	21,13,23,35,34,9	29,27,37,59,47,10	232	149	1	1.0	0.428,0.397,0.347,0.243,0.373,0.279	0.317,0.236,0.285,0.276,0.317,0.366	0.045
1	38,35,31,25,17,29	0,0,0,0,0,2	30,13,32,67,44,9	0,0,0,2,0,0	293	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.881	1.0,1.0,1.0,0.945,1.0,1.0	-0.011
2	3,13,18,10,7,16	102,165,131,142,182,161	8,5,6,6,16,2	123,101,96,179,194,59	178	149	1	1.0	0.024,0.062,0.103,0.056,0.031,0.077	0.052,0.04,0.05,0.027,0.065,0.028	0.015
3	430,593,479,440,597,468	36,57,37,54,54,43	514,302,404,510,535,187	33,23,17,29,44,9	158	149	1	1.0	0.918,0.908,0.924,0.885,0.912,0.911	0.936,0.925,0.957,0.943,0.92,0.951	-0.029
4	402,729,564,546,725,553	18,35,12,24,39,32	465,327,390,549,646,216	30,25,22,24,26,9	155	149	1	1.0	0.955,0.952,0.978,0.956,0.947,0.943	0.937,0.926,0.945,0.957,0.96,0.958	0.008
6	167,280,272,177,256,244	0,0,0,0,0,6	176,161,143,218,241,77	0,0,0,0,0,0	155	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.975	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
7	76,130,103,99,105,105	0,0,0,2,1,1	64,58,55,155,73,31	1,0,0,0,1,0	152	149	1	1.0	1.0,1.0,1.0,0.98,0.99,0.99	0.984,1.0,1.0,1.0,0.986,1.0	-0.002
8	147,183,179,126,188,222	1,3,0,2,0,0	117,79,127,238,175,63	0,1,2,2,0,0	159	149	1	1.0	0.993,0.983,1.0,0.983,1.0,1.0	1.0,0.987,0.983,0.991,1.0,1.0	-0.0
9	46,63,61,55,59,58	0,2,0,0,0,0	36,32,44,66,65,21	0,0,0,0,0,0	158	149	1	1.0	1.0,0.967,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.005
10	23,44,27,20,48,38	31,59,27,21,28,32	34,15,31,20,32,19	2,3,7,7,19,4	298	149	0.000315964324106	0.033584374616433585	0.271,0.272,0.333,0.323,0.462,0.373	0.895,0.714,0.689,0.588,0.457,0.704	-0.336
11	945,1462,955,780,1264,1259	4,0,1,0,1,1	706,456,623,734,1059,321	1,1,3,2,6,1	153	149	1	1.0	0.996,1.0,0.999,1.0,0.999,0.999	0.999,0.998,0.995,0.997,0.994,0.997	0.002
12	35,51,43,23,58,44	8,12,5,13,6,17	24,17,19,26,41,7	4,6,1,8,15,0	182	149	1	1.0	0.782,0.777,0.876,0.592,0.888,0.679	0.831,0.699,0.94,0.727,0.691,1.0	-0.049
13	53,67,71,53,80,80	0,2,0,0,0,1	34,36,34,53,73,21	0,0,0,0,0,0	200	149	1	1.0	1.0,0.961,1.0,1.0,1.0,0.983	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
14	18,28,34,9,25,23	163,240,217,191,270,245	17,16,12,36,37,11	219,153,178,220,296,66	160	149	1	1.0	0.093,0.098,0.127,0.042,0.079,0.08	0.067,0.089,0.059,0.132,0.104,0.134	-0.011
15	5,4,9,4,12,1	145,256,233,197,257,288	3,1,8,12,11,6	188,98,131,232,196,87	298	149	1	1.0	0.017,0.008,0.019,0.01,0.023,0.002	0.008,0.005,0.03,0.025,0.027,0.033	-0.008
16	316,496,485,371,486,444	0,4,4,2,3,1	396,326,391,504,552,178	2,1,1,1,2,0	154	149	1	1.0	1.0,0.992,0.992,0.994,0.994,0.998	0.995,0.997,0.997,0.998,0.996,1.0	-0.002
18	573,1000,726,599,1061,795	5,3,5,3,13,10	868,625,685,766,1037,365	5,0,7,6,13,0	156	149	1	1.0	0.991,0.997,0.993,0.995,0.987,0.987	0.994,1.0,0.989,0.992,0.987,1.0	-0.002
19	5,27,16,9,26,8	69,73,87,63,91,79	12,2,5,11,10,1	46,34,44,109,93,25	152	149	1	1.0	0.066,0.266,0.153,0.123,0.219,0.09	0.204,0.055,0.1,0.09,0.095,0.038	0.056
20	79,83,122,90,101,93	20,32,15,13,18,17	60,41,55,80,61,25	21,16,12,13,21,10	157	149	1	1.0	0.789,0.711,0.885,0.868,0.842,0.838	0.731,0.709,0.813,0.854,0.734,0.703	0.065
22	227,347,290,289,322,273	7,4,7,4,11,10	249,139,188,300,267,108	12,3,12,2,6,2	167	149	1	1.0	0.967,0.987,0.974,0.985,0.963,0.961	0.949,0.976,0.933,0.993,0.975,0.98	0.005
23	137,206,198,158,254,199	0,0,0,0,2,1	175,151,144,213,237,80	2,2,1,0,0,0	152	149	1	1.0	1.0,1.0,1.0,1.0,0.992,0.995	0.988,0.987,0.993,1.0,1.0,1.0	0.003
24	6,6,5,4,5,4	7,10,5,1,8,1	1,1,0,0,0,2	4,0,0,1,2,0	161	149	1	1.0	0.442,0.357,0.481,0.787,0.366,0.787	0.188,1.0,NA,0.0,0.0,1.0	0.099
25	13,37,15,7,23,13	4,5,2,0,1,0	1,2,0,3,2,0	0,1,0,0,0,0	295	149	1	1.0	0.621,0.789,0.791,1.0,0.921,1.0	1.0,0.503,NA,1.0,1.0,NA	-0.022
26	2735,4446,3268,3224,4988,4077	419,647,471,477,686,644	3975,3217,3624,5158,5807,1814	912,683,842,1241,1189,449	155	149	1	1.0	0.863,0.869,0.87,0.867,0.875,0.859	0.807,0.819,0.805,0.8,0.824,0.795	0.059
27	10,15,19,9,16,4	15,18,10,11,28,19	1,7,9,11,11,1	6,8,5,12,10,2	158	149	1	1.0	0.386,0.44,0.642,0.436,0.35,0.166	0.136,0.452,0.629,0.464,0.509,0.32	-0.015
28	9,23,26,19,29,19	58,89,89,66,80,70	8,9,8,14,13,5	69,55,63,91,86,30	161	149	1	1.0	0.126,0.193,0.213,0.21,0.251,0.201	0.097,0.132,0.105,0.125,0.123,0.134	0.08
29	16,19,19,7,32,13	102,122,92,105,131,125	38,14,20,23,47,18	74,45,70,112,114,48	170	149	0.610204444637	1.0	0.121,0.12,0.153,0.055,0.176,0.084	0.31,0.214,0.2,0.153,0.265,0.247	-0.113
30	25,54,33,34,87,51	25,18,25,12,28,22	27,33,47,47,72,34	45,33,31,71,55,18	298	149	0.202692572153	1.0	0.333,0.6,0.398,0.586,0.608,0.537	0.231,0.333,0.431,0.249,0.396,0.486	0.156
