IncLevel1	IncLevel2	IncLevelDifference
0.057,0.099,0.062,0.0,0.206,0.105	0.0,0.0,0.0,0.076,0.045,0.0	0.068
0.211,0.18,0.213,0.168,0.189,0.187	0.109,0.111,0.131,0.172,0.163,0.105	0.06
0.048,0.071,0.071,0.092,0.062,0.05	0.084,0.057,0.108,0.078,0.091,0.041	-0.011
0.156,0.072,0.217,0.163,0.141,0.279	0.255,0.357,0.396,0.145,0.084,0.247	-0.076
0.089,0.157,0.129,0.11,0.116,0.122	0.071,0.145,0.089,0.137,0.08,0.082	0.02
0.124,0.075,0.051,0.041,0.064,0.045	0.064,0.044,0.103,0.058,0.085,0.132	-0.014
0.377,0.602,0.51,0.463,0.456,0.409	0.446,0.564,0.614,0.616,0.383,0.588	-0.066
0.739,0.842,0.793,1.0,0.658,0.801	0.848,1.0,0.913,0.684,0.691,0.746	-0.008
0.756,0.767,0.735,0.723,0.752,0.702	0.76,0.689,0.746,0.774,0.713,0.622	0.022
1.0,1.0,1.0,1.0,1.0,0.381	0.902,0.787,0.755,0.86,0.896,0.711	0.078
0.169,0.167,0.145,0.166,0.182,0.184	0.155,0.129,0.135,0.145,0.147,0.218	0.014
0.039,0.037,0.032,0.039,0.04,0.035	0.042,0.043,0.037,0.045,0.038,0.045	-0.005
0.302,0.296,0.218,0.316,0.253,0.162	0.217,0.29,0.194,0.327,0.228,0.429	-0.023
0.169,0.163,0.137,0.15,0.133,0.138	0.119,0.118,0.101,0.139,0.125,0.124	0.027
0.012,0.098,0.027,0.034,0.067,0.061	0.059,0.078,0.125,0.068,0.067,0.058	-0.026
0.155,0.221,0.133,0.112,0.19,0.181	0.168,0.164,0.162,0.238,0.291,0.154	-0.031
0.131,0.03,0.096,0.079,0.079,0.089	0.039,0.095,0.04,0.125,0.068,0.079	0.01
0.696,0.797,0.766,0.677,0.736,0.733	0.705,0.667,0.724,0.645,0.702,0.698	0.044
0.02,0.006,0.013,0.0,0.0,0.005	0.0,0.0,0.012,0.035,0.006,0.015	-0.004
0.245,0.204,0.189,0.218,0.218,0.148	0.223,0.238,0.217,0.331,0.247,0.318	-0.059
0.109,0.021,0.071,0.055,0.064,0.072	0.03,0.026,0.052,0.044,0.108,0.062	0.012
0.052,0.014,0.034,0.0,0.079,0.0	0.0,0.065,0.0,0.058,0.048,0.11	-0.017
0.034,0.043,0.053,0.036,0.041,0.066	0.041,0.025,0.032,0.088,0.052,0.045	-0.002
0.494,0.213,0.143,0.119,0.244,0.0	0.379,0.169,0.55,0.222,0.0,0.109	-0.036
0.272,0.316,0.09,0.39,0.442,0.257	0.122,0.217,0.454,0.192,0.24,0.0	0.09
0.339,0.345,0.362,0.447,0.332,0.282	0.316,0.418,0.289,0.365,0.453,0.418	-0.025
0.009,0.002,0.014,0.008,0.003,0.011	0.008,0.015,0.011,0.01,0.022,0.018	-0.006
1.0,1.0,1.0,1.0,1.0,1.0	0.65,1.0,1.0,1.0,0.934,0.872	0.091
0.013,0.012,0.014,0.007,0.012,0.012	0.009,0.011,0.01,0.007,0.011,0.014	0.001
0.016,0.019,0.019,0.018,0.017,0.02	0.019,0.018,0.016,0.014,0.024,0.019	-0.0
0.032,0.016,0.044,0.043,0.029,0.038	0.05,0.024,0.024,0.035,0.055,0.044	-0.005
1.0,0.971,0.972,1.0,0.983,0.961	0.932,0.962,0.947,0.92,1.0,0.921	0.034
1.0,0.992,0.978,1.0,1.0,0.988	1.0,1.0,1.0,1.0,1.0,0.985	-0.005
0.13,0.093,0.128,0.108,0.1,0.192	0.687,0.525,0.691,0.688,0.573,0.841	-0.542
0.075,0.08,0.059,0.086,0.072,0.079	0.106,0.102,0.093,0.124,0.103,0.134	-0.035
0.083,0.079,0.102,0.044,0.104,0.125	0.058,0.111,0.049,0.028,0.032,0.061	0.033
0.077,0.026,0.032,0.056,0.052,0.026	0.013,0.012,0.007,0.021,0.0,0.027	0.032
NA,NA,1.0,NA,NA,NA	0.0,1.0,0.0,0.238,NA,1.0	0.552
0.072,0.06,0.058,0.068,0.078,0.09	0.065,0.045,0.042,0.089,0.062,0.035	0.015
0.855,0.897,0.76,0.897,0.8,0.853	0.845,0.897,0.827,0.875,0.856,0.821	-0.01
0.526,0.288,0.299,0.414,0.335,0.272	0.335,0.168,0.595,0.361,0.453,0.195	0.005
0.374,0.314,0.144,0.335,0.381,0.402	0.472,0.166,0.535,0.315,0.296,0.472	-0.051
0.141,0.344,0.596,0.496,0.283,0.18	0.0,0.0,NA,NA,NA,0.0	0.34
0.211,0.238,0.555,0.757,0.189,0.555	0.0,NA,NA,0.0,0.0,NA	0.418
0.31,0.181,0.091,0.0,0.118,0.278	0.333,0.0,NA,0.0,0.0,NA	0.08
0.5,0.583,0.333,1.0,0.846,1.0	NA,0.0,NA,NA,1.0,NA	0.21
0.282,0.105,0.0,0.078,0.261,0.105	1.0,0.0,NA,0.0,0.128,NA	-0.144
0.096,0.094,0.061,0.072,0.114,0.086	0.058,0.054,0.037,0.068,0.065,0.039	0.034
0.982,0.99,1.0,1.0,0.973,0.983	0.988,0.965,0.966,0.986,0.972,0.962	0.015
1.0,1.0,1.0,1.0,0.691,0.582	1.0,1.0,1.0,1.0,1.0,1.0	-0.121
0.176,0.333,0.355,0.184,0.348,0.091	0.185,0.556,0.267,0.111,0.371,0.222	-0.038
0.541,0.825,0.282,0.399,0.469,1.0	1.0,0.541,1.0,0.269,0.44,0.702	-0.073
0.966,0.99,0.982,1.0,1.0,1.0	1.0,1.0,1.0,0.992,1.0,1.0	-0.009
