IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
31,46,45,30,53,41	54,76,53,42,72,70	28,36,25,46,45,10	42,24,17,32,33,13	210	238
88,134,139,112,125,153	212,306,253,251,322,269	119,51,125,132,148,56	235,195,213,287,353,101	230	218
55,87,104,63,129,73	92,160,104,119,152,114	79,67,58,85,106,31	107,66,111,89,141,46	217	211
84,120,85,87,113,99	57,79,68,63,64,77	103,81,91,124,116,53	63,51,73,71,104,30	217	196
0,1,0,0,1,0	166,302,194,203,267,196	1,0,1,0,0,0	153,137,151,235,245,71	283	391
65,60,90,80,89,84	12,24,13,20,17,12	70,52,62,67,89,19	6,3,7,7,6,1	262	219
5,10,21,30,20,15	164,318,200,200,276,207	13,15,24,17,17,3	154,144,154,238,256,74	262	539
5,10,21,30,20,15	166,302,194,203,267,196	13,15,24,17,17,3	153,137,151,235,245,71	262	391
24,40,41,34,44,65	39,43,55,35,50,37	37,17,37,35,37,10	25,29,60,57,71,17	189	194
5,21,10,5,17,13	52,122,108,73,165,76	11,9,14,24,20,8	68,61,61,103,114,29	230	230
124,178,110,113,158,104	45,67,52,37,77,48	101,81,58,110,132,41	34,25,37,52,55,13	229	202
54,67,44,40,74,53	28,42,40,30,55,48	28,33,30,64,51,18	36,40,26,33,30,26	210	203
2,1,0,1,1,3	3,1,8,2,3,3	0,0,2,0,3,0	0,5,0,2,10,0	263	342
187,207,100,108,170,176	199,277,161,147,257,245	112,69,69,44,117,51	168,92,116,87,185,78	226	272
230,452,300,324,423,467	140,247,161,186,247,214	310,306,306,424,429,131	159,145,186,214,235,86	255	216
301,613,281,251,390,336	138,236,126,104,217,158	600,419,480,566,835,231	238,175,209,242,342,106	231	218
106,180,130,108,148,135	63,92,60,68,93,66	97,76,112,165,157,38	65,51,62,79,62,31	236	203
1,11,2,8,3,4	1,13,11,8,14,6	5,2,0,3,6,2	3,8,13,4,14,8	260	253
481,776,620,463,778,660	17,37,49,16,38,27	555,415,462,578,774,217	23,11,28,29,24,23	216	167
73,74,63,67,65,52	34,32,35,35,54,49	70,50,57,78,69,38	44,22,30,65,61,23	245	200
8,9,9,6,1,2	226,356,309,255,408,335	1,0,3,4,11,1	224,169,199,309,371,130	228	652
278,454,404,335,575,447	240,418,310,304,403,312	366,311,327,528,500,174	288,216,218,347,431,126	224	197
378,544,525,385,567,528	229,313,231,227,302,300	428,274,371,552,547,182	250,194,231,298,325,87	232	197
29,34,49,23,27,29	58,72,60,63,61,69	16,15,10,34,45,20	42,39,54,77,53,30	201	303
3449,5790,3767,3430,4869,3968	4083,6823,4598,4211,5664,5159	5050,3414,4303,5222,5907,2020	5689,4017,5074,6449,7778,2617	215	227
3544,5492,4176,3636,4826,4661	2155,3201,2453,2032,2979,2717	4510,3221,4392,5370,6406,2309	2603,1905,2402,3317,3824,1302	254	215
2,14,16,8,23,10	21,56,36,37,46,33	8,3,4,0,17,0	22,16,33,22,28,10	266	259
0,1,3,1,0,0	80,127,92,83,121,66	0,2,0,0,0,0	66,58,55,83,81,30	230	230
50,124,72,63,92,88	79,127,93,83,121,66	55,71,47,75,64,33	66,58,55,83,81,30	230	230
35,46,50,50,59,47	71,103,80,67,119,67	26,34,29,35,23,13	75,79,44,98,96,23	230	230
100,162,127,103,169,126	136,152,134,123,218,145	74,51,72,102,78,24	77,51,61,108,119,28	231	213
106,170,115,112,152,117	160,266,234,183,259,250	142,124,114,134,177,48	225,186,196,295,317,101	198	264
37,37,33,37,34,43	49,63,69,40,76,67	27,26,27,34,44,16	65,42,56,61,49,28	188	206
1056,1504,1204,1322,1604,1521	89,154,133,128,169,122	834,761,1006,1271,1544,571	107,100,110,139,185,54	721	197
126,203,149,137,222,222	51,89,56,51,100,68	150,149,135,242,238,84	76,56,59,98,90,31	611	285
142,253,173,190,289,179	73,140,86,117,151,135	221,167,183,169,209,70	127,74,67,94,132,44	250	222
84,140,91,98,140,116	120,269,165,174,262,193	117,70,61,84,121,30	163,124,161,179,225,55	227	220
976,1463,1155,1106,1482,1272	871,1447,1197,1044,1304,1249	1262,845,1026,1448,1255,458	1083,771,875,1319,1431,453	210	203
1622,2425,1304,1360,2014,1513	501,649,433,401,576,448	1445,1588,1809,2238,2633,1017	408,528,533,721,783,334	1227	482
32,53,51,36,55,47	90,130,101,96,127,115	47,39,53,66,66,25	109,70,114,163,203,42	201	271
64,71,75,46,81,74	34,43,42,19,53,56	66,63,48,59,82,32	33,25,22,51,55,25	215	202
1804,3161,1900,1739,2712,1905	930,1669,743,827,1314,804	2631,1962,2494,1932,3996,1309	1326,975,1277,1025,1769,720	176	173
180,280,278,220,361,248	75,105,95,117,128,108	192,164,184,314,336,110	89,96,78,186,144,53	341	218
255,444,320,298,441,321	127,252,199,173,236,215	398,297,289,317,400,154	202,159,165,170,236,68	251	215
80,166,109,87,121,142	27,47,36,27,66,41	62,33,46,47,84,18	16,12,18,27,24,7	248	202
34,80,49,42,84,68	60,102,79,52,99,74	20,10,14,19,30,11	39,10,26,43,43,13	202	223
35,67,37,45,65,59	29,64,25,18,27,49	74,34,69,76,97,39	11,9,4,13,30,7	251	260
78,128,135,81,131,112	105,188,170,147,174,178	163,103,81,163,162,39	193,128,132,203,220,57	198	225
43,84,65,59,83,84	71,126,81,56,89,73	94,73,68,99,112,39	109,56,77,83,157,46	197	218
40,44,31,33,65,28	84,114,109,73,137,88	54,37,37,56,64,10	142,103,106,125,176,63	169	202
481,760,576,526,758,697	932,1349,1194,1037,1518,1435	643,440,532,614,749,288	1176,866,1055,1578,1586,551	203	227
151,203,161,140,207,174	141,256,148,148,174,137	108,90,103,170,163,65	167,99,116,191,162,65	247	225
84,93,71,89,119,122	231,294,215,184,319,245	87,82,100,150,162,46	239,203,236,331,406,110	220	290
40,63,87,65,72,67	46,116,91,75,92,96	49,54,53,91,104,45	65,89,77,155,145,58	193	201
33,82,41,48,52,46	64,143,83,96,96,88	27,37,37,66,56,13	95,84,75,96,91,42	208	263
49,44,40,38,49,40	72,85,90,82,121,90	43,33,31,60,79,26	81,77,99,113,129,60	198	264
19,13,37,12,21,32	31,38,27,32,31,29	16,9,22,31,18,5	34,15,37,59,34,11	204	256
48,74,75,59,103,68	137,180,180,171,257,212	63,49,45,70,62,31	127,96,133,171,186,64	183	259
66,132,99,63,106,101	90,169,115,82,114,111	40,47,70,80,92,14	46,54,81,109,110,48	205	221
45,56,43,25,33,44	42,70,66,36,73,50	36,28,22,55,43,8	49,21,32,46,60,7	248	271
747,1054,1181,1182,1722,1362	960,1581,1544,1686,2360,1670	1685,1350,1646,2690,2292,814	2379,1927,2336,3703,3122,1341	575	575
112,178,110,101,143,117	126,168,122,97,128,139	114,69,122,150,157,47	109,75,110,178,154,46	203	215
1009,1762,1178,983,1476,1083	756,1137,833,746,1055,812	1250,720,1032,1172,1269,369	752,504,653,856,943,253	195	206
84,93,95,59,103,84	64,110,95,85,125,101	74,50,69,79,102,35	101,83,70,140,131,50	273	301
34,39,23,39,43,46	59,90,79,73,96,77	27,24,38,27,64,13	76,57,62,94,82,26	193	266
97,108,113,103,124,117	43,66,47,53,52,54	85,70,77,131,125,27	44,33,45,63,67,10	236	211
71,137,128,85,128,119	462,608,533,404,673,653	111,81,111,80,103,45	463,304,443,587,718,254	220	230
745,1119,815,704,1119,874	171,215,160,103,209,154	867,589,748,877,1164,429	160,133,142,200,263,91	230	193
47,94,69,39,88,73	37,59,52,50,63,60	84,77,53,106,104,42	69,55,46,69,80,31	297	228
866,1433,884,736,1182,776	910,1383,1111,864,1526,1080	1232,871,913,1031,1216,415	1234,836,972,1360,1432,622	226	272
170,306,199,193,269,202	34,76,68,65,73,60	201,140,155,233,224,90	54,29,56,64,82,26	243	183
289,468,361,354,509,415	274,431,397,395,490,508	477,433,458,586,688,237	440,386,410,527,721,248	253	265
24,37,24,22,46,22	16,32,17,25,33,31	21,18,19,33,53,9	23,21,15,26,36,5	250	221
27,45,52,31,54,48	49,87,66,65,77,58	61,26,35,51,59,22	56,49,46,109,91,30	209	209
25,45,52,33,51,48	55,69,62,59,107,64	59,25,35,51,60,22	63,52,51,107,106,27	209	209
134,216,207,139,224,211	263,434,314,249,406,299	160,138,146,259,240,89	365,225,259,340,468,150	251	293
2872,4460,3250,3175,4827,4169	3093,4823,3516,3455,5213,4541	3767,2246,2789,2511,4110,1405	4348,2787,3361,2728,4549,1793	416	419
10,18,11,9,15,14	1,4,2,2,6,3	5,5,6,8,6,3	3,1,6,8,2,0	194	201
15,20,17,16,24,14	1,4,2,2,6,3	6,3,9,14,15,3	3,1,6,8,2,0	401	201
376,654,432,373,610,466	9,11,7,2,16,17	489,489,619,647,872,263	20,15,12,9,24,9	354	299
370,656,519,480,659,511	607,918,736,745,1085,866	602,374,439,649,657,212	805,549,670,869,966,272	237	279
1,6,1,0,9,6	0,5,1,1,2,1	1,2,2,0,3,0	1,0,1,0,1,0	209	202
8,8,4,3,0,2	9,7,9,10,1,12	4,3,5,13,5,2	4,0,3,7,8,1	242	242
157,213,172,173,221,163	176,288,226,194,243,233	197,131,150,185,231,57	212,155,153,214,282,102	211	260
77,109,104,79,124,80	269,368,331,309,380,284	104,70,79,78,127,36	269,211,234,299,368,142	205	280
394,630,386,364,627,466	359,530,384,312,564,462	479,278,346,391,493,150	372,238,283,337,484,149	221	221
0,0,0,0,0,0	59,82,82,81,90,80	0,0,2,0,0,0	70,46,56,75,84,21	175	255
39,47,40,28,36,40	61,103,70,50,85,106	26,23,26,40,30,1	59,32,58,70,68,30	217	238
109,213,127,120,191,111	126,173,148,125,175,148	125,130,136,182,168,73	135,87,125,175,188,74	209	227
