IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3,4,3,1,6,4	8,18,10,19,31,18	0,1,1,2,1,0	29,12,16,9,9,4	225	149
103,139,134,65,121,109	238,343,294,207,310,337	65,57,62,132,120,36	293,289,234,392,418,159	252	149
26,57,67,44,47,39	298,487,384,272,475,463	63,37,55,64,96,19	335,325,282,406,495,177	251	149
10,9,9,8,5,14	40,49,25,44,28,26	14,7,19,14,7,4	36,12,19,62,35,15	227	149
28,66,30,41,58,49	164,202,157,148,184,166	18,34,26,47,31,9	156,118,128,160,205,75	273	149
31,21,19,11,20,22	119,218,135,145,169,180	9,13,16,22,18,15	119,118,98,161,144,57	246	149
9,18,36,26,32,35	14,10,10,12,17,25	24,12,35,53,14,17	13,6,12,13,18,7	296	149
33,41,27,35,28,37	5,2,9,1,9,7	26,19,20,34,26,18	3,0,1,9,4,3	241	149
489,689,551,471,685,469	92,141,125,89,147,128	447,335,357,454,497,155	89,89,72,97,142,62	238	149
6,15,10,8,9,1	0,0,0,0,0,0	17,13,8,18,15,2	1,3,0,1,2,1	242	149
159,218,162,165,266,238	464,678,617,491,754,653	160,94,129,156,177,128	534,443,506,680,765,274	228	149
188,281,213,218,338,237	3248,5394,4231,3947,6087,4641	322,262,228,242,343,165	5581,3994,4042,3701,6516,2484	212	149
46,62,48,43,50,47	66,102,96,43,108,121	42,37,24,84,49,36	66,63,65,106,111,32	255	149
99,145,97,82,124,96	330,518,399,331,494,417	91,67,73,116,110,36	422,324,385,480,589,185	225	149
1,12,0,7,7,3	52,70,51,45,43,74	4,6,7,3,10,2	45,37,28,61,63,25	232	149
23,36,28,10,31,22	75,65,82,67,83,92	14,7,18,37,34,11	46,41,41,65,67,22	246	149
18,2,14,9,7,16	65,98,101,73,85,73	5,7,6,15,9,5	62,56,41,74,102,24	247	149
139,237,201,174,259,199	39,31,42,47,56,39	132,98,128,236,180,59	33,30,23,58,39,15	272	149
2,0,2,0,0,1	58,92,94,87,98,125	0,0,1,7,2,1	64,65,50,95,80,39	251	149
51,67,57,47,80,47	87,145,164,143,178,153	45,33,45,103,88,25	96,67,98,132,164,37	232	149
11,6,6,8,13,14	55,83,91,71,91,82	14,4,5,8,30,6	89,58,63,81,109,31	335	149
2,0,2,3,3,0	39,50,38,29,26,28	1,3,0,1,4,0	35,17,16,32,23,16	225	149
29,41,33,26,34,40	183,327,248,188,238,231	35,11,24,39,43,18	199,133,167,157,268,84	457	149
5,4,6,2,13,0	10,18,22,12,15,9	6,3,3,5,1,2	5,4,6,10,6,1	244	149
4,5,4,8,21,13	10,20,23,17,15,9	3,4,3,15,14,0	13,14,8,35,19,5	215	149
74,119,89,96,117,83	85,119,90,86,129,91	95,81,63,101,155,55	88,50,89,107,84,29	287	149
6,5,13,3,1,9	351,580,493,436,540,546	6,12,9,12,13,3	519,374,381,603,630,179	231	149
14,12,16,14,24,20	0,0,0,0,0,0	36,27,32,38,31,14	3,0,0,0,3,1	241	149
42,69,83,38,90,69	2368,3911,3204,2848,4283,3781	40,44,34,31,62,29	2927,2019,2321,3186,4244,1323	224	149
60,90,70,77,113,99	1999,3123,2554,2302,3617,3024	65,39,49,68,133,27	2302,1619,1921,2544,3345,1089	240	149
