ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	2451,3507,2856,2456,3322,2990	6,1,4,3,5,7	2326,1600,2122,2987,3233,1092	6,7,3,0,2,2	238	149	1	1.0	0.996,1.0,0.998,0.998,0.998,0.996	0.996,0.993,0.998,1.0,0.999,0.997	0.001
1	1217,1832,1551,1208,1781,1584	0,0,0,0,0,0	1169,836,974,1662,1753,503	2,0,0,0,0,0	279	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.997,1.0,1.0,1.0,1.0,1.0	0.001
2	0,0,1,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,0,2,0,0,0	241	149	1	1.0	NA,NA,1.0,NA,NA,NA	0.0,NA,0.0,NA,NA,NA	1.0
3	42,47,32,49,36,33	0,0,0,0,0,2	48,11,22,67,51,17	0,0,0,2,0,0	215	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.92	1.0,1.0,1.0,0.959,1.0,1.0	-0.006
4	202,326,283,201,358,277	1,0,2,4,4,2	330,202,280,323,375,120	7,2,1,1,4,0	346	149	1	1.0	0.989,1.0,0.984,0.956,0.975,0.984	0.953,0.978,0.992,0.993,0.976,1.0	-0.001
5	310,451,358,276,454,335	0,0,0,1,1,0	336,283,284,475,398,118	0,0,0,0,0,0	237	149	1	1.0	1.0,1.0,1.0,0.994,0.997,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
6	5183,8432,6131,5390,7031,6491	0,0,1,0,0,0	6646,4810,5928,8693,9020,2871	0,0,0,0,0,0	227	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
7	89,129,126,71,141,155	0,0,0,2,0,0	96,85,75,141,147,48	0,0,0,0,2,0	185	149	1	1.0	1.0,1.0,1.0,0.966,1.0,1.0	1.0,1.0,1.0,1.0,0.983,1.0	-0.003
8	103,206,149,115,180,119	2,1,0,0,2,0	144,82,102,152,122,38	2,1,2,2,0,1	190	149	1	1.0	0.976,0.994,1.0,1.0,0.986,1.0	0.983,0.985,0.976,0.983,1.0,0.968	0.01
9	120,193,127,83,178,153	0,0,0,1,2,2	88,67,73,102,130,43	1,2,0,0,0,0	238	149	1	1.0	1.0,1.0,1.0,0.981,0.982,0.98	0.982,0.954,1.0,1.0,1.0,1.0	0.001
10	99,161,118,72,164,124	0,0,0,0,0,0	83,85,83,127,153,46	2,0,0,0,0,0	210	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.967,1.0,1.0,1.0,1.0,1.0	0.005
11	776,1164,936,838,1095,1053	0,0,1,0,0,0	1025,795,802,1168,1298,447	0,0,0,0,0,0	285	149	1	1.0	1.0,1.0,0.998,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
12	554,795,678,519,788,654	0,0,1,0,0,0	637,450,546,768,890,277	0,0,0,0,0,0	210	149	1	1.0	1.0,1.0,0.998,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.0
13	588,805,673,646,847,677	1,1,4,1,1,0	641,479,579,800,928,289	2,0,0,4,3,2	229	149	1	1.0	0.997,0.998,0.991,0.998,0.998,1.0	0.995,1.0,1.0,0.992,0.995,0.989	0.002
14	710,954,781,747,985,846	1,0,0,0,0,0	803,579,684,857,1029,337	0,0,0,1,0,0	218	149	1	1.0	0.998,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.998,1.0,1.0	0.0
15	585,777,669,608,790,729	0,1,0,0,1,0	687,436,598,702,827,292	0,0,0,0,0,0	230	149	1	1.0	1.0,0.998,1.0,1.0,0.998,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
16	79,121,115,86,95,106	0,0,0,0,0,1	79,45,61,102,49,29	0,0,0,0,0,0	281	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.983	1.0,1.0,1.0,1.0,1.0,1.0	-0.003
17	2,2,3,2,10,3	50,67,56,46,40,51	0,0,0,0,0,1	43,24,28,59,27,16	170	149	1	1.0	0.034,0.025,0.045,0.037,0.18,0.049	0.0,0.0,0.0,0.0,0.0,0.052	0.053
18	1166,1680,1195,942,1559,1635	0,0,0,2,0,2	929,566,797,968,1287,377	1,0,0,0,0,0	213	149	1	1.0	1.0,1.0,1.0,0.997,1.0,0.998	0.998,1.0,1.0,1.0,1.0,1.0	-0.001
19	170,201,176,149,209,214	100,149,131,91,146,129	78,56,59,88,127,26	114,100,125,163,167,73	207	149	1.31881413012e-07	0.00023584792693645998	0.55,0.493,0.492,0.541,0.507,0.544	0.33,0.287,0.254,0.28,0.354,0.204	0.236
20	56,109,72,75,113,89	0,4,0,0,0,0	68,73,40,127,108,41	0,0,0,0,0,0	243	149	1	1.0	1.0,0.944,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
21	88,158,129,113,160,127	0,0,0,0,0,0	103,81,89,162,148,62	0,0,0,2,0,0	286	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.977,1.0,1.0	0.004
23	866,1392,976,929,1528,1026	5,6,8,5,2,1	938,638,701,903,1033,317	4,9,3,5,11,1	269	149	1	1.0	0.99,0.992,0.985,0.99,0.998,0.998	0.992,0.975,0.992,0.99,0.981,0.994	0.005
24	625,953,676,605,960,780	0,0,2,0,0,1	528,408,453,664,788,274	0,0,0,1,0,0	228	149	1	1.0	1.0,1.0,0.995,1.0,1.0,0.998	1.0,1.0,1.0,0.998,1.0,1.0	-0.001
25	4,27,12,10,9,12	1,4,7,8,6,2	12,7,24,17,31,8	9,9,1,9,11,5	279	149	1	1.0	0.681,0.783,0.478,0.4,0.445,0.762	0.416,0.293,0.928,0.502,0.601,0.461	0.058
26	2858,4691,3835,3346,4972,4090	0,0,0,0,0,0	3676,2634,3011,3819,4837,1579	0,2,0,0,0,0	210	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.999,1.0,1.0,1.0,1.0	0.0
27	39,72,76,44,68,53	0,0,0,0,0,0	43,34,21,67,64,20	2,0,0,0,1,0	221	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.935,1.0,1.0,1.0,0.977,1.0	0.015
28	235,281,322,206,278,273	0,1,0,0,0,0	219,149,175,267,269,78	0,0,0,0,0,0	299	149	1	1.0	1.0,0.993,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
29	1792,2604,2011,1594,2182,2536	2,0,1,0,0,0	1347,1056,1235,2083,2065,816	0,2,0,1,0,0	3005	149	1	1.0	0.978,1.0,0.99,1.0,1.0,1.0	1.0,0.963,1.0,0.99,1.0,1.0	0.002
30	340,588,501,377,562,504	4,6,1,4,2,1	436,256,344,459,452,177	1,1,0,3,8,1	262	149	1	1.0	0.98,0.982,0.997,0.982,0.994,0.997	0.996,0.993,1.0,0.989,0.97,0.99	-0.001
31	151,201,178,137,174,173	0,0,0,0,0,0	108,85,91,228,143,20	0,1,0,0,0,0	183	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.986,1.0,1.0,1.0,1.0	0.002
32	0,0,0,0,0,0	4,5,4,8,3,1	2,0,0,0,0,0	3,4,1,3,3,1	248	149	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.286,0.0,0.0,0.0,0.0,0.0	-0.048
34	234,382,378,279,394,338	0,0,0,0,0,1	272,136,211,336,354,125	0,1,0,0,0,2	297	149	1	1.0	1.0,1.0,1.0,1.0,1.0,0.994	1.0,0.986,1.0,1.0,1.0,0.969	0.006
35	152,237,250,183,227,195	0,0,0,0,0,0	276,216,181,212,317,84	0,1,0,0,0,1	288	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,0.991,1.0,1.0,1.0,0.978	0.005
36	2,0,2,0,0,0	10,5,3,7,18,12	0,2,0,0,1,0	8,0,9,2,12,1	279	149	1	1.0	0.097,0.0,0.263,0.0,0.0,0.0	0.0,1.0,0.0,0.0,0.043,0.0	-0.114
37	0,0,1,0,0,0	10,5,3,7,18,12	0,0,0,0,0,0	8,0,9,2,12,1	208	149	1	1.0	0.0,0.0,0.193,0.0,0.0,0.0	0.0,NA,0.0,0.0,0.0,0.0	0.032
38	180,310,284,179,320,268	4,5,4,3,7,0	229,155,226,391,295,97	0,1,3,0,1,0	219	149	1	1.0	0.968,0.977,0.98,0.976,0.969,1.0	1.0,0.991,0.981,1.0,0.995,1.0	-0.016
39	40,54,44,28,53,45	0,0,0,0,0,0	28,21,30,41,69,11	0,0,2,0,0,0	285	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.887,1.0,1.0,1.0	0.019
41	109,197,142,149,185,193	0,0,0,0,0,0	131,102,114,200,194,67	0,0,0,1,0,0	224	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.993,1.0,1.0	0.001
42	315,584,430,390,553,468	0,1,0,0,0,4	304,222,255,396,484,148	1,0,0,1,0,0	252	149	1	1.0	1.0,0.997,1.0,1.0,1.0,0.986	0.994,1.0,1.0,0.996,1.0,1.0	-0.001
43	65,134,70,69,105,91	0,3,1,0,4,1	66,37,59,53,103,23	0,0,1,1,4,2	202	149	1	1.0	1.0,0.971,0.981,1.0,0.951,0.985	1.0,1.0,0.978,0.975,0.95,0.895	0.015
44	79,131,81,66,115,100	0,3,1,0,4,1	77,37,72,63,103,38	0,0,1,1,4,2	205	149	1	1.0	1.0,0.969,0.983,1.0,0.954,0.986	1.0,1.0,0.981,0.979,0.949,0.932	0.008
45	7,35,8,4,8,13	0,0,0,0,3,0	3,6,0,0,3,0	0,0,0,0,0,0	231	149	1	1.0	1.0,1.0,1.0,1.0,0.632,1.0	1.0,1.0,NA,NA,1.0,NA	-0.061
46	12,45,16,9,22,22	2,8,5,0,3,3	3,1,0,0,3,2	0,3,0,0,0,0	211	149	1	1.0	0.809,0.799,0.693,1.0,0.838,0.838	1.0,0.191,NA,NA,1.0,1.0	0.032
47	9,38,17,8,23,9	3,3,1,0,1,0	1,5,0,3,2,1	0,1,0,0,1,0	191	149	1	1.0	0.701,0.908,0.93,1.0,0.947,1.0	1.0,0.796,NA,1.0,0.609,1.0	0.033
48	3,8,4,7,12,4	3,1,0,0,0,0	1,6,4,4,9,2	0,0,0,0,0,1	413	149	1	1.0	0.265,0.743,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.419	-0.068
49	5,10,8,13,11,7	3,1,0,0,0,0	4,1,3,20,17,2	0,0,0,0,0,1	197	149	1	1.0	0.558,0.883,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.602	-0.027
50	196,326,296,216,348,325	0,0,0,1,0,0	171,133,196,260,279,103	0,0,0,0,0,0	211	149	1	1.0	1.0,1.0,1.0,0.993,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
51	4898,8080,5824,5730,8862,7102	0,0,0,0,0,0	7486,5941,6636,9270,10614,3465	0,0,1,1,0,0	239	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
52	51,97,60,38,92,96	0,0,0,2,4,2	56,26,38,61,74,12	0,0,0,0,0,1	186	149	1	1.0	1.0,1.0,1.0,0.938,0.949,0.975	1.0,1.0,1.0,1.0,1.0,0.906	-0.007
54	6880,10287,8154,7250,11179,9403	0,0,0,0,0,1	7189,4581,6145,7420,9338,2996	1,0,0,0,0,0	223	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.0
55	350,507,395,428,564,498	0,2,6,1,0,0	352,253,359,404,586,188	0,1,0,0,0,2	294	149	1	1.0	1.0,0.992,0.971,0.995,1.0,1.0	1.0,0.992,1.0,1.0,1.0,0.979	-0.002
56	223,319,298,254,396,294	0,0,0,0,0,0	252,207,233,290,335,138	1,0,0,0,0,0	217	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	0.994,1.0,1.0,1.0,1.0,1.0	0.001
57	265,398,302,316,424,338	0,0,0,1,0,0	286,208,287,299,378,155	0,0,0,0,0,0	211	149	1	1.0	1.0,1.0,1.0,0.996,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.001
