ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	47,44,33,23,53,31	29,45,36,38,52,55	26,16,20,32,35,5	35,27,38,53,45,17	232	149	1	1.0
1	35,31,28,25,19,31	0,0,0,0,0,1	36,16,30,64,38,7	1,0,0,3,0,0	293	149	1	1.0
2	7,8,13,7,16,11	107,178,131,141,183,151	5,3,3,12,12,3	140,114,103,155,173,58	178	149	1	1.0
3	419,573,498,449,612,460	45,47,37,50,53,33	514,325,406,507,553,186	33,22,19,21,27,10	158	149	1	1.0
4	418,701,537,545,746,580	21,30,18,25,37,32	455,377,382,534,617,241	31,17,19,33,27,7	155	149	1	1.0
5	3077,4698,3523,3193,4057,4239	0,0,0,0,0,0	3765,2640,3353,4851,5352,1862	0,0,0,1,0,0	154	149	1	1.0
7	92,124,96,86,97,119	0,0,0,2,0,2	70,58,51,137,69,37	0,0,0,0,0,0	152	149	1	1.0
8	147,206,182,126,194,236	0,2,0,0,0,0	109,70,114,254,191,67	0,1,0,3,0,0	159	149	1	1.0
9	37,64,66,45,72,78	0,2,0,0,0,0	37,37,45,61,67,20	0,0,0,0,0,0	158	149	1	1.0
10	71,119,83,53,119,113	25,45,30,22,31,29	90,53,78,115,102,40	4,7,6,8,15,2	574	149	3.9454661851e-06	0.0011156901601199446
11	971,1432,968,740,1220,1256	2,0,0,0,0,1	719,476,629,747,1037,322	0,3,4,3,6,0	153	149	1	1.0
12	30,41,35,25,61,45	11,13,6,12,5,19	21,21,15,27,41,12	4,4,3,3,19,0	182	149	1	1.0
13	50,60,79,51,78,70	0,6,0,0,0,0	40,27,39,62,64,22	0,0,0,0,0,0	200	149	1	1.0
14	14,30,31,7,15,27	171,256,247,191,272,243	12,11,18,35,31,13	224,153,173,230,308,73	160	149	1	1.0
15	5,6,7,6,10,1	140,272,240,197,267,310	3,5,5,10,14,5	192,100,120,232,198,81	310	149	1	1.0
16	324,504,461,380,507,453	0,5,2,3,3,1	394,360,386,508,544,202	2,0,4,1,1,2	154	149	1	1.0
18	590,963,739,608,1055,809	6,8,4,4,19,9	860,603,674,794,1056,399	5,2,6,7,16,1	156	149	1	1.0
19	4,24,17,9,22,13	66,65,97,75,92,70	9,2,4,10,7,1	40,27,53,114,93,29	152	149	1	1.0
20	88,87,116,96,90,80	19,34,14,18,23,17	60,52,52,84,72,24	20,16,10,13,23,9	157	149	1	1.0
22	207,319,294,265,315,290	5,7,9,6,9,7	260,137,178,311,301,114	13,3,11,9,7,2	167	149	1	1.0
23	136,200,186,167,255,206	0,0,1,0,1,1	191,157,140,218,239,92	1,3,2,0,0,0	152	149	1	1.0
