ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	3,5,2,1,7,4	10,22,12,21,23,23	0,1,1,2,1,0	20,10,15,7,10,6	225	149	1
1	97,139,136,71,116,113	216,363,308,207,316,337	60,64,63,133,122,38	305,281,209,375,417,144	252	149	1
2	26,59,70,51,43,36	275,475,431,287,497,479	47,34,60,71,89,23	345,300,270,415,509,187	251	149	1
3	12,6,10,7,4,13	35,47,21,41,25,26	17,13,16,22,4,2	25,12,17,57,46,9	227	149	1
4	28,59,44,43,51,50	175,214,152,165,204,164	29,28,34,55,29,11	126,105,123,164,191,71	273	149	1
5	27,18,18,10,18,16	127,219,133,146,165,168	13,10,18,22,27,13	107,110,97,162,153,57	246	149	1
6	10,23,37,21,21,36	15,9,13,12,15,22	23,17,26,46,15,17	16,5,8,17,18,8	296	149	1
7	31,40,31,34,27,34	6,3,6,2,6,3	32,19,15,24,27,14	2,1,1,9,7,5	241	149	1
8	490,695,553,436,681,443	103,140,124,103,136,124	442,341,358,461,440,144	95,94,71,103,139,63	238	149	1
9	9,12,15,7,11,1	0,0,0,0,0,1	17,13,8,12,14,2	1,3,1,1,2,1	242	149	1
10	154,221,172,151,248,251	433,661,602,505,753,641	146,97,115,152,180,103	545,437,513,646,715,280	228	149	1
11	200,297,213,217,355,249	3181,5288,4311,3940,6007,4612	356,265,226,257,355,158	5589,4067,4111,3746,6526,2541	212	149	1
12	49,69,59,42,49,46	73,99,105,49,104,135	45,33,31,67,54,25	71,52,73,100,113,32	255	149	1
13	89,154,87,77,139,90	347,530,426,339,494,409	94,78,70,123,135,33	401,337,393,471,567,160	225	149	1
14	1,6,2,5,3,6	43,71,39,46,40,71	3,6,2,5,10,2	39,36,34,59,59,18	232	149	1
15	29,26,34,12,38,22	70,67,83,65,85,86	19,11,15,32,35,11	45,31,39,64,75,26	246	149	1
16	15,4,13,4,8,11	59,95,102,60,77,90	4,3,6,14,12,4	61,55,49,87,106,22	247	149	1
17	160,243,191,178,261,182	42,27,30,44,35,43	142,107,115,225,198,62	33,33,22,59,43,14	272	149	1
18	1,1,1,0,0,1	62,96,100,85,111,114	0,0,0,8,2,1	58,60,47,88,80,44	251	149	1
19	46,60,60,53,77,55	96,125,158,141,164,160	45,36,41,107,78,23	98,70,107,135,145,51	232	149	1
20	13,4,12,8,11,12	59,87,76,73,89,77	14,4,4,11,24,5	91,66,65,85,106,39	335	149	1
21	1,1,1,3,3,1	31,45,40,35,25,40	1,6,0,3,2,3	30,17,17,26,20,16	225	149	1
22	29,43,37,29,29,43	178,285,260,175,251,211	27,13,31,42,33,11	173,156,186,168,275,84	457	149	1
23	5,8,6,2,10,0	12,23,25,10,17,16	5,3,3,7,1,3	6,8,4,13,6,5	244	149	1
24	9,6,5,7,16,7	14,16,27,17,14,16	1,5,4,12,14,0	11,8,6,36,16,6	215	149	1
26	83,122,89,85,136,95	76,109,79,93,109,95	91,79,72,100,146,50	94,53,83,104,103,36	287	149	1
27	5,5,13,5,0,5	390,600,532,418,535,529	6,9,5,9,20,4	532,362,394,615,611,188	231	149	1
28	15,15,12,19,15,15	0,0,0,0,0,0	39,29,31,24,21,15	8,0,0,0,1,1	241	149	1
29	49,62,62,39,81,59	2401,4018,3313,2767,4283,3727	33,33,33,38,60,30	2873,1921,2295,3241,4136,1318	224	149	1
30	64,89,87,66,110,102	1962,3177,2607,2232,3618,3021	57,43,55,63,122,36	2283,1555,1852,2552,3296,1034	240	149	1
31	11,10,16,12,19,13	171,253,205,183,313,194	16,5,6,15,17,8	171,165,178,243,247,67	237	149	1
32	90,182,131,104,209,136	0,6,4,0,2,4	137,93,128,188,212,106	5,3,2,5,0,3	259	149	1
33	133,249,182,145,290,172	0,0,1,0,0,0	196,138,195,270,284,144	0,0,1,0,0,0	294	149	1
34	9,8,16,9,10,14	32,46,30,19,49,25	54,58,64,104,87,55	13,18,17,23,24,6	319	149	0
35	56,85,49,73,92,67	437,623,468,407,671,585	90,73,60,104,116,62	489,368,425,544,661,215	230	149	1
36	17,21,17,5,11,22	91,97,102,66,84,90	5,8,5,9,5,0	60,38,64,102,88,33	277	149	1
37	6,10,7,8,8,4	76,115,110,74,152,128	3,1,0,5,2,2	102,53,85,110,95,42	221	149	1
39	0,0,1,0,0,0	0,0,0,0,0,0	0,3,2,1,0,1	1,0,2,3,0,0	238	149	1
40	19,32,32,21,48,39	187,357,340,252,340,311	20,13,17,44,31,9	263,224,228,295,332,128	220	149	1
41	159,256,156,141,222,257	15,18,32,5,36,27	171,109,168,155,276,69	15,12,28,15,28,10	227	149	1
43	11,14,13,13,7,10	4,18,21,13,11,14	7,9,11,9,24,4	10,11,7,22,20,3	246	149	1
44	10,15,6,10,7,13	5,28,24,14,9,13	12,12,10,9,12,3	12,26,5,17,22,4	222	149	1
45	3,8,6,3,0,1	5,5,5,3,5,3	0,0,0,0,2,0	1,2,2,0,1,1	227	149	1
46	5,9,6,5,0,1	11,15,7,1,7,1	0,0,0,0,2,0	5,0,0,1,1,0	239	149	1
47	6,34,6,2,6,6	8,32,12,9,26,14	2,0,0,0,0,4	1,4,0,2,1,1	416	149	1
48	9,40,7,3,15,6	4,5,1,0,0,0	2,0,0,0,2,4	0,0,0,0,1,0	562	149	1
49	6,13,1,1,10,2	6,26,10,9,18,12	1,0,0,0,2,0	0,4,0,2,4,1	253	149	1
50	87,124,72,90,141,105	485,732,668,605,691,732	52,38,24,73,84,18	461,395,478,589,673,216	251	149	1
51	272,354,253,256,350,295	1,1,0,2,5,5	242,213,241,432,320,106	3,5,2,6,6,6	240	149	1
52	9,11,10,11,12,11	0,1,0,0,4,3	10,9,8,17,25,2	0,0,0,0,0,0	267	149	1
53	13,23,18,22,24,13	9,14,11,20,16,11	11,18,19,21,41,3	10,6,9,24,16,8	483	149	1
54	1,5,1,14,5,1	1,2,2,6,2,2	1,5,7,6,11,5	0,3,0,6,7,0	253	149	0.3735675316
56	134,185,180,128,185,151	2,1,1,0,0,1	112,106,158,219,201,92	0,0,0,1,0,0	245	149	1
59	13,35,18,29,16,19	17,50,35,44,30,42	18,10,18,19,38,6	40,19,24,21,29,11	247	149	1
60	64,72,89,57,102,81	366,568,431,409,545,546	93,71,58,109,112,49	392,265,342,444,474,151	277	149	1
61	31,70,46,27,54,41	208,334,240,193,308,283	59,47,59,66,93,35	214,151,172,189,233,114	247	149	1
62	92,138,135,83,116,86	29,42,45,20,61,40	85,106,91,238,152,254	38,35,29,44,45,14	1192	149	1
64	23,51,27,31,45,31	35,67,40,28,104,55	29,13,16,26,28,21	48,39,47,21,71,13	293	149	1
65	13,18,24,23,23,18	43,100,97,72,123,105	47,56,64,103,99,46	57,35,35,53,64,18	241	149	1.11022302463e-16
66	4,7,10,2,15,11	46,70,62,44,50,50	10,22,7,11,12,4	32,28,42,70,41,14	254	149	1
67	13,16,12,6,11,3	7,15,22,21,19,14	6,1,5,6,12,1	6,5,6,6,7,4	215	149	1
68	19,26,22,16,20,7	55,91,91,74,85,77	9,3,11,14,17,5	76,68,66,98,90,35	227	149	1
69	51,52,40,59,75,67	55,68,62,63,110,100	49,31,44,48,41,20	59,35,49,92,85,30	259	149	1
70	34,51,42,50,66,35	32,44,47,45,40,37	46,30,34,49,65,13	28,18,20,66,23,11	478	149	1
71	9,1,7,8,4,8	3,1,0,1,0,0	3,1,3,19,4,0	0,0,1,0,0,0	417	149	1
73	0,0,0,0,0,0	0,1,0,0,0,0	0,0,0,0,2,0	0,0,0,4,0,3	225	149	1
74	56,77,49,53,68,65	23,30,26,26,20,27	52,60,49,97,90,21	33,40,24,76,44,12	370	149	1
75	36,49,26,22,40,40	183,222,185,208,237,264	30,43,29,63,57,13	211,104,170,285,215,62	349	149	1
76	32,45,26,14,39,37	2,1,0,0,0,0	29,38,22,55,47,12	0,0,0,0,0,0	283	149	1
77	15,15,27,17,28,21	132,145,192,142,151,167	19,15,16,35,23,10	149,116,126,238,189,75	516	149	1
78	16,16,16,9,37,8	116,173,136,96,157,120	25,30,18,42,16,5	74,69,81,107,125,35	244	149	1
79	25,41,18,13,18,37	117,161,154,129,230,162	12,10,10,29,16,3	84,59,100,121,139,47	228	149	1
80	0,0,0,0,2,0	154,225,160,149,239,182	0,0,0,1,1,0	112,56,100,112,160,50	230	149	1
81	73,101,99,56,79,63	40,52,38,35,79,53	44,28,41,53,39,28	36,32,29,37,51,11	622	149	1
