IncLevel1	IncLevel2	IncLevelDifference
0.339,0.425,0.471,0.461,0.523,0.475	0.41,0.627,0.541,0.636,0.544,0.454	-0.086
0.273,0.318,0.293,0.264,0.287,0.319	0.34,0.215,0.342,0.275,0.299,0.373	-0.015
0.546,0.582,0.542,0.617,0.609,0.58	0.583,0.601,0.493,0.67,0.47,0.603	0.009
0.01,0.006,0.0,0.0,0.005,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.004
0.773,0.822,0.742,0.777,0.734,0.877	0.826,0.923,0.933,0.894,0.925,0.924	-0.117
0.101,0.07,0.116,0.198,0.124,0.079	0.182,0.091,0.213,0.124,0.125,0.07	-0.02
0.099,0.07,0.114,0.187,0.12,0.075	0.179,0.091,0.21,0.115,0.124,0.069	-0.02
0.433,0.49,0.388,0.542,0.517,0.595	0.537,0.381,0.397,0.443,0.331,0.35	0.088
0.075,0.128,0.082,0.106,0.093,0.152	0.211,0.114,0.158,0.167,0.132,0.161	-0.051
0.716,0.686,0.618,0.719,0.682,0.678	0.722,0.723,0.646,0.685,0.665,0.739	-0.013
0.605,0.574,0.503,0.546,0.556,0.516	0.395,0.534,0.46,0.643,0.655,0.492	0.02
0.274,0.274,0.0,0.362,0.694,0.63	NA,0.0,NA,0.0,0.201,0.0	0.322
0.71,0.739,0.724,0.737,0.737,0.696	0.763,0.776,0.714,0.694,0.736,0.723	-0.01
0.202,0.251,0.259,0.235,0.224,0.372	0.214,0.266,0.237,0.282,0.276,0.372	-0.017
0.656,0.707,0.701,0.698,0.625,0.636	0.687,0.694,0.691,0.676,0.686,0.71	-0.02
0.583,0.542,0.367,0.635,0.425,0.626	0.407,0.535,0.488,0.528,0.478,0.518	0.037
0.327,0.347,0.14,0.405,0.196,0.493	0.378,0.0,0.0,0.493,0.357,0.163	0.086
0.97,0.936,0.919,0.956,0.914,0.951	0.942,0.966,0.938,0.946,0.964,0.873	0.003
0.503,0.485,0.562,0.527,0.55,0.55	0.488,0.547,0.569,0.571,0.487,0.549	-0.006
0.43,0.398,0.536,0.435,0.368,0.348	0.317,0.497,0.275,0.422,0.633,0.529	-0.026
