ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	36,42,28,24,41,30	31,44,37,34,47,52	29,8,21,45,44,6	36,39,46,57,47,15	232	149
1	38,37,31,29,21,34	0,0,0,0,0,1	35,15,27,62,35,6	1,0,0,1,0,0	293	149
2	6,10,12,10,13,12	96,175,145,150,190,148	9,4,4,9,14,1	123,112,105,173,172,63	178	149
3	407,573,479,438,603,459	39,56,40,45,54,42	544,317,405,514,551,181	36,27,16,33,41,10	158	149
4	410,680,570,513,733,552	16,31,14,23,33,29	447,372,399,560,638,231	32,14,23,30,24,6	155	149
5	3118,4716,3656,3205,4030,4194	1,0,0,0,0,0	3677,2657,3374,4853,5292,1854	0,0,0,1,0,0	154	149
6	170,269,247,184,269,249	0,0,0,0,0,6	160,132,146,198,256,70	0,0,0,0,0,0	155	149
7	91,121,96,94,110,105	0,0,0,2,1,2	62,57,57,142,79,28	1,0,0,0,0,0	152	149
8	138,207,184,125,180,207	1,2,0,2,0,0	117,71,124,252,189,62	0,0,0,4,0,0	159	149
9	50,61,56,54,56,68	0,2,0,0,0,0	33,35,47,56,79,22	0,0,0,0,0,0	158	149
10	953,1439,967,684,1208,1248	0,0,1,0,1,0	700,460,617,757,1039,321	1,3,4,0,4,1	153	149
11	33,50,45,30,55,47	9,16,8,14,5,19	23,19,15,20,40,7	5,8,4,6,17,0	182	149
12	45,60,77,57,72,85	0,6,0,0,0,1	40,27,35,53,60,24	0,0,0,0,0,0	200	149
13	18,33,28,10,23,20	165,253,234,192,263,244	12,10,17,34,37,13	227,140,176,220,304,79	160	149
14	5,5,9,4,11,2	148,262,235,198,269,287	4,2,9,8,12,7	190,107,127,215,196,88	298	149
15	319,516,459,364,504,470	0,4,3,2,5,0	387,319,385,486,578,182	2,1,3,2,2,2	154	149
17	571,995,743,632,1049,791	7,5,6,9,18,9	844,598,678,787,1088,370	4,2,3,4,12,1	156	149
18	8,22,19,5,21,9	63,70,96,69,74,65	11,3,7,11,9,1	47,29,50,111,75,27	152	149
19	76,84,123,92,83,91	16,37,23,14,25,18	65,45,53,82,67,15	14,14,14,9,22,11	157	149
21	203,313,308,286,327,290	8,4,9,6,10,9	234,137,180,294,287,110	14,2,14,7,4,1	167	149
22	142,229,195,152,238,217	0,0,1,0,2,1	197,169,123,216,241,87	0,2,1,1,0,0	152	149
23	7,6,7,2,5,4	10,11,6,1,7,1	0,1,2,0,1,1	5,0,0,1,3,0	161	149
24	12,29,18,5,30,10	4,5,2,0,1,0	1,4,0,1,4,1	0,0,0,0,1,0	295	149
25	2749,4433,3361,3201,5026,4058	435,674,445,503,729,651	4027,3232,3655,5196,5813,1866	902,691,807,1216,1226,448	155	149
26	13,15,16,12,14,4	19,16,14,12,27,18	3,7,7,15,12,2	5,10,4,7,10,3	158	149
27	7,30,20,22,32,16	60,88,84,69,80,71	10,12,13,14,19,6	71,64,58,90,87,38	161	149
28	16,21,15,6,23,12	105,119,113,104,138,110	41,9,25,14,47,22	72,51,79,117,124,32	170	149
29	35,57,35,22,98,55	25,17,30,17,29,29	29,32,39,49,68,30	44,33,29,62,64,21	298	149
30	37,67,35,23,99,59	122,189,200,128,211,166	30,35,41,56,75,34	82,87,103,170,174,46	298	149
31	27,28,30,19,33,33	122,189,200,128,211,166	45,38,33,70,72,25	82,87,103,170,174,46	161	149
32	1,0,0,0,0,0	1,8,1,6,3,2	1,0,0,0,0,0	2,0,0,2,3,1	152	149
33	8,7,8,5,6,9	137,207,193,146,205,186	2,2,0,8,5,5	170,120,128,277,236,74	298	149
34	40,71,58,35,86,36	43,62,39,37,69,59	42,11,21,27,26,11	27,36,26,48,47,16	156	149
35	128,210,211,125,207,169	0,3,0,0,0,0	156,155,119,207,181,71	0,0,0,0,0,0	298	149
36	182,287,278,186,348,265	0,0,0,0,0,0	225,186,222,241,316,111	1,0,0,0,0,0	298	149
38	101,160,137,118,166,180	6,14,7,6,8,5	99,80,97,102,144,47	12,9,9,7,13,4	152	149
39	5,29,16,17,24,23	69,119,75,73,136,93	28,22,21,26,27,3	162,120,118,106,192,57	186	149
40	163,232,203,151,253,243	5,11,6,12,6,11	175,87,149,224,207,84	1,0,0,10,6,1	152	149
41	17,25,27,22,31,25	21,25,24,15,21,24	29,10,16,7,21,3	17,6,10,13,15,11	169	149
45	75,135,74,73,107,96	305,546,367,322,504,469	87,60,76,120,121,42	398,262,311,450,518,182	236	149
46	86,171,153,127,197,166	18,17,10,7,19,8	83,47,62,110,104,25	11,6,11,13,10,4	180	149
47	0,2,6,1,1,2	16,9,19,11,16,14	4,2,3,3,6,0	15,8,12,35,8,9	159	149
48	5,7,9,9,9,11	22,62,39,34,57,61	10,3,9,9,16,2	21,15,18,57,39,12	164	149
49	3,1,2,0,0,1	34,64,48,29,66,33	0,0,0,1,0,0	35,28,28,44,47,23	166	149
50	10,9,15,20,10,15	17,28,37,18,38,31	13,12,10,17,23,13	25,24,30,58,43,19	167	149
51	82,156,132,101,166,168	7,14,5,11,16,9	85,47,65,135,132,58	12,9,8,7,17,5	298	149
52	23,39,48,40,58,50	7,14,5,11,16,9	8,18,18,30,22,15	12,9,8,7,17,5	298	149
