ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	3,5,0,0,8,2	7,21,10,23,22,18	0,1,1,1,1,0	23,9,17,10,12,2	225	149	1
1	106,153,132,88,132,111	239,368,296,224,339,332	60,61,56,150,120,30	307,289,244,386,427,161	252	149	1
2	28,71,63,42,48,38	314,488,403,299,515,440	63,48,52,67,98,20	336,302,287,407,503,166	251	149	1
3	11,6,7,9,5,15	33,56,23,34,29,29	18,13,14,18,5,1	29,14,15,59,40,9	227	149	1
4	30,57,38,41,50,62	163,190,161,155,192,161	26,25,21,53,32,12	139,104,114,155,201,81	273	149	1
5	24,22,20,7,20,24	127,218,126,144,153,190	14,11,16,16,26,17	109,98,90,168,137,47	246	149	1
6	11,22,31,25,30,38	15,7,6,13,13,23	28,18,32,41,16,14	12,3,9,19,13,7	296	149	1
7	31,46,28,38,27,38	8,4,6,2,8,5	26,19,24,33,34,17	2,1,2,8,8,5	241	149	1
8	501,649,540,454,687,479	105,138,128,95,135,127	420,321,353,465,463,140	99,92,76,113,141,54	238	149	1
9	8,14,14,7,11,1	0,0,0,0,0,0	11,16,8,20,13,1	1,3,1,2,1,2	242	149	1
10	154,213,153,155,272,240	488,645,620,493,752,680	142,111,115,172,174,105	562,447,518,619,724,294	228	149	1
11	182,295,200,211,347,254	3161,5367,4349,3931,5994,4628	353,264,224,253,351,151	5585,4017,4095,3816,6491,2509	212	149	1
12	58,60,57,35,59,45	74,101,108,55,107,124	53,40,29,75,57,33	65,59,75,93,114,33	255	149	1
13	82,143,100,91,124,85	333,486,414,320,498,408	98,75,68,131,136,32	401,337,374,478,601,182	225	149	1
14	0,8,1,4,7,2	57,67,51,48,48,71	4,6,7,5,4,2	42,42,28,63,57,20	232	149	1
15	31,24,21,14,35,26	66,78,90,71,85,89	16,9,17,35,36,11	41,39,45,59,84,24	246	149	1
16	14,4,14,10,8,14	61,101,97,65,80,79	6,5,6,14,8,4	55,50,47,81,104,23	247	149	1
17	153,249,204,188,265,188	38,29,39,44,44,32	125,92,121,216,198,61	26,30,27,66,37,4	272	149	1
18	2,0,2,0,0,1	63,98,97,84,100,116	0,0,0,3,2,0	69,63,51,93,89,41	251	149	1
19	45,72,64,61,72,53	100,120,168,127,173,159	42,29,37,96,78,26	98,79,106,122,149,43	232	149	1
20	11,2,9,4,8,12	50,83,88,81,93,73	7,1,5,9,22,5	81,55,58,88,108,36	298	149	1
21	1,1,2,0,3,1	40,48,37,27,26,42	1,2,0,1,1,1	27,16,16,30,24,18	225	149	1
22	13,24,25,14,23,35	168,318,235,188,258,243	12,6,8,26,26,14	189,145,174,172,300,89	298	149	1
23	7,10,2,2,6,0	10,18,18,8,17,5	7,3,3,3,2,2	5,9,6,13,6,1	244	149	1
24	10,6,4,10,14,11	12,20,24,19,14,15	1,3,3,18,9,1	12,12,4,33,24,4	215	149	1
26	81,116,84,105,130,81	79,129,72,83,103,98	85,73,65,109,167,41	78,52,84,99,106,38	287	149	1
27	7,7,16,4,0,6	365,569,521,456,578,515	10,14,7,12,16,4	524,396,405,596,591,192	231	149	1
28	12,11,12,14,23,17	0,0,0,0,0,0	29,21,24,41,31,13	4,0,0,0,1,1	241	149	1
29	46,75,66,33,93,70	2404,3999,3223,2754,4282,3786	36,33,36,42,63,27	2888,1948,2378,3200,4200,1301	224	149	1
30	62,98,82,68,101,98	2041,3131,2606,2216,3639,3050	55,46,54,69,136,32	2269,1557,1905,2562,3322,1035	240	149	1
31	14,6,12,12,18,17	170,241,202,187,303,207	17,6,12,11,16,10	171,154,195,234,249,87	237	149	1
32	88,164,125,87,221,121	0,6,2,0,2,3	121,92,132,180,214,113	4,2,4,7,0,3	259	149	1
33	140,229,177,124,306,168	0,0,2,0,0,1	174,142,186,261,293,140	0,0,1,0,0,1	294	149	1
34	8,10,14,10,15,7	33,35,41,20,46,21	48,53,61,112,66,62	12,17,14,20,28,8	298	149	0
35	55,93,51,66,104,69	463,656,444,410,663,599	85,65,77,116,133,51	481,336,453,552,636,226	230	149	1
36	14,12,21,5,12,20	81,92,105,63,72,79	3,10,5,7,6,2	62,44,66,95,92,35	277	149	1
37	10,8,5,7,8,5	58,125,117,82,153,110	1,0,3,4,2,0	92,56,109,118,103,43	221	149	1
39	0,0,1,0,0,0	0,0,0,0,0,0	0,4,2,1,0,2	1,0,2,1,0,0	238	149	1
40	25,29,38,20,45,39	202,374,345,247,352,341	28,14,18,48,25,8	265,219,230,279,354,126	220	149	1
41	193,258,157,125,214,261	15,25,38,14,33,28	184,107,183,158,256,65	19,11,26,19,21,10	227	149	1
43	8,12,13,14,7,9	5,17,18,11,11,13	13,7,14,17,28,4	10,13,7,19,21,5	246	149	1
44	7,15,8,12,3,12	6,22,20,8,9,14	17,15,7,13,12,3	12,29,3,16,22,3	222	149	1
45	2,10,8,2,3,1	5,6,6,1,5,3	0,0,0,0,1,0	0,1,2,0,1,1	227	149	1
46	4,10,9,3,3,2	10,11,6,1,7,1	0,0,0,0,1,0	5,0,0,1,3,0	239	149	1
47	5,15,4,0,4,7	8,25,18,5,21,10	1,0,0,0,2,0	1,4,0,1,0,1	298	149	1
48	5,15,3,0,11,4	4,5,2,0,1,0	0,0,0,0,5,0	0,0,0,0,1,0	298	149	1
49	7,7,0,0,11,2	7,21,16,6,15,8	1,0,0,0,4,0	0,4,0,1,0,1	253	149	1
50	76,121,79,101,150,105	515,779,686,607,703,721	46,33,25,79,94,17	505,380,447,607,674,215	251	149	1
51	281,355,282,250,361,303	2,1,0,1,6,3	255,227,243,468,329,109	1,5,4,3,7,6	240	149	1
52	11,20,8,11,12,8	0,1,0,0,3,2	6,9,12,16,23,4	0,0,0,0,0,0	267	149	1
53	7,17,9,12,16,4	16,16,9,16,10,10	3,8,7,10,20,2	13,5,9,19,23,5	298	149	1
54	2,9,1,12,7,1	2,2,2,5,1,0	0,4,5,6,9,4	0,3,1,5,7,1	253	149	1
56	141,183,175,126,172,160	1,1,1,0,0,1	120,102,148,210,197,85	0,0,0,3,0,0	245	149	1
59	9,27,14,27,12,22	18,48,38,40,46,34	20,22,17,19,48,5	48,19,27,17,33,10	247	149	0.917928852177
60	61,76,84,58,112,75	396,577,423,424,571,533	102,78,61,112,112,50	398,279,340,447,490,167	277	149	1
61	31,53,49,24,38,40	217,353,238,188,307,284	77,42,52,79,97,37	194,144,169,211,234,121	247	149	1
62	15,17,34,13,20,11	37,39,40,23,61,40	8,13,16,29,19,6	33,50,37,31,53,15	298	149	1
64	28,48,28,22,37,33	31,54,36,33,103,64	29,10,18,28,25,21	42,44,39,24,90,14	293	149	1
65	15,16,19,18,26,14	43,97,92,64,135,84	57,53,71,104,95,42	50,39,44,50,67,17	241	149	0
66	6,8,11,4,14,13	41,78,73,45,49,39	13,18,6,8,11,3	30,37,44,59,43,20	254	149	1
67	13,17,15,10,9,4	5,22,15,15,23,10	4,2,6,5,8,2	8,9,4,6,13,3	215	149	1
68	15,25,20,17,18,10	60,88,84,69,80,71	6,5,15,13,14,5	71,64,58,90,87,38	227	149	1
69	57,67,36,48,70,63	60,65,60,63,108,98	43,29,33,51,48,20	61,35,42,79,74,34	259	149	1
70	22,43,36,38,66,35	39,49,43,45,39,39	35,23,27,44,44,11	28,21,22,57,27,7	298	149	1
71	9,0,4,4,5,5	2,1,0,1,0,0	1,3,3,9,3,0	1,0,1,0,0,0	298	149	1
73	0,0,0,0,0,0	0,1,0,0,0,0	0,0,0,0,1,0	0,0,0,3,0,3	225	149	1
74	46,60,37,56,54,58	24,39,28,32,19,34	44,52,39,76,65,16	36,43,32,82,51,11	298	149	0.88958120626
75	34,42,27,31,36,39	169,207,176,201,242,248	29,43,24,55,42,10	202,125,162,283,204,79	298	149	1
76	29,47,26,22,43,44	2,3,0,0,0,0	31,45,26,63,41,11	0,0,0,0,0,0	283	149	1
77	11,9,13,10,18,11	133,160,208,132,149,164	16,4,12,26,18,6	143,117,122,244,176,70	298	149	1
78	14,16,21,16,35,11	112,203,126,98,152,136	27,33,23,46,23,10	70,78,75,114,108,31	244	149	1
79	25,40,21,12,32,27	117,159,144,121,242,156	16,7,10,25,14,3	75,70,83,125,143,42	228	149	1
80	0,0,0,0,2,1	134,220,167,142,231,200	0,0,0,2,1,0	105,64,108,105,169,38	230	149	1
81	28,42,50,20,50,31	43,62,39,37,69,59	16,19,25,18,12,9	27,36,26,48,47,16	298	149	1
82	27,75,66,27,50,59	178,234,231,186,278,223	44,25,55,64,77,21	200,151,193,187,250,96	247	149	1
83	81,167,160,108,139,61	1,0,0,0,0,1	59,48,61,95,88,18	0,0,0,0,0,0	298	149	1
84	36,77,58,30,68,49	223,356,302,264,411,354	80,43,64,121,134,49	239,146,211,279,360,130	235	149	1
85	419,660,636,544,692,632	205,249,276,215,315,263	542,386,420,540,756,201	244,186,234,273,345,102	228	149	1
86	13,17,6,9,19,11	69,123,107,70,102,71	6,10,16,23,11,5	54,26,49,97,115,34	298	149	1
89	4,0,0,1,0,0	11,8,28,4,11,13	0,0,0,0,3,0	4,1,4,4,15,1	281	149	1
90	9,11,7,12,14,12	42,76,51,45,84,52	17,9,9,22,36,16	86,79,56,95,133,39	244	149	1
