ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,1	16,12	0,0,3,2	12,10,18,23	225	149
1	47,66	98,135	37,45,55,44	101,114,106,144	252	149
2	11,19	139,176	18,14,15,44	114,140,148,147	251	149
3	17,20	36,30	3,9,6,17	23,37,32,34	227	149
4	14,14	65,96	11,16,12,19	92,73,71,112	273	149
5	6,15	81,102	10,14,17,24	71,89,99,106	246	149
6	5,13	3,2	11,16,21,23	3,8,1,3	296	149
7	34,62	0,0	33,31,46,46	0,0,1,2	241	149
8	210,202	24,17	145,116,149,177	21,10,22,23	238	149
9	2,1	0,1	1,2,2,3	3,0,0,3	242	149
10	61,52	242,275	44,46,40,85	310,314,270,368	228	149
11	287,304	2502,2867	363,369,535,674	3083,3015,4082,4592	212	149
12	31,41	38,31	43,31,27,63	68,59,60,66	255	149
13	43,48	202,184	62,49,22,56	223,218,237,334	225	149
14	0,3	7,4	2,0,0,2	14,13,17,20	232	149
15	10,12	39,52	5,13,8,13	53,58,49,56	246	149
16	3,8	31,58	11,5,7,13	54,31,35,43	247	149
17	41,64	19,15	58,57,55,68	24,24,27,36	272	149
18	0,0	26,46	2,0,1,0	37,38,54,69	251	149
19	36,30	69,48	67,59,50,42	57,58,62,96	232	149
20	2,2	29,22	3,4,0,2	25,25,20,45	335	149
21	0,1	33,22	3,0,2,0	31,36,32,44	225	149
22	25,28	99,98	17,10,16,35	101,89,67,110	457	149
23	12,15	24,20	10,8,5,4	11,22,23,20	244	149
24	4,12	15,10	8,5,6,11	16,24,20,21	215	149
26	37,21	23,16	35,29,30,31	17,12,20,38	287	149
27	3,2	113,131	2,7,2,5	130,128,199,267	231	149
28	35,42	0,0	27,38,76,75	1,2,0,0	241	149
29	14,13	1655,1779	19,13,6,7	1841,1682,1516,1920	224	149
30	51,44	1406,1454	50,39,56,45	1384,1425,1283,1520	240	149
31	4,3	139,94	7,13,6,10	90,90,145,131	237	149
32	38,71	0,0	59,45,65,52	0,1,1,0	259	149
33	11,8	66,28	66,80,89,71	18,16,26,18	319	149
34	24,29	119,104	23,26,30,19	114,107,109,141	230	149
35	7,15	55,47	2,1,4,6	50,43,25,49	277	149
36	2,7	94,112	15,2,2,0	99,92,107,116	221	149
39	19,41	222,210	16,31,14,8	213,273,249,250	220	149
40	57,61	14,5	58,47,66,94	8,4,12,16	227	149
42	0,1	10,8	3,4,0,2	16,9,17,14	246	149
43	3,1	5,10	6,3,1,2	8,12,16,20	222	149
44	1,1	3,5	0,0,0,4	0,2,1,2	227	149
45	3,1	2,5	0,0,0,4	1,1,7,6	239	149
46	13,7	6,9	0,1,0,3	3,3,0,4	416	149
47	19,15	1,7	2,2,0,3	0,2,2,0	562	149
48	7,10	10,9	2,2,0,0	2,7,2,1	253	149
49	37,45	193,214	33,28,48,41	159,157,262,312	251	149
50	99,116	0,0	97,90,114,167	0,0,2,1	240	149
52	0,5	1,0	4,3,1,3	3,1,3,3	483	149
53	0,0	2,0	0,0,2,3	0,0,4,0	253	149
55	50,69	1,0	56,38,82,89	0,0,0,0	245	149
58	20,13	14,20	14,21,12,33	20,17,8,14	247	149
59	37,44	172,181	51,50,36,37	144,163,171,184	277	149
60	115,122	518,600	116,114,114,135	383,350,319,466	247	149
61	101,92	36,28	98,141,132,173	34,32,22,54	1192	149
62	0,0	5,8	1,2,0,1	7,5,15,5	235	149
63	8,18	18,23	16,16,14,25	15,21,20,14	293	149
64	18,13	41,60	52,54,46,57	21,39,33,32	241	149
65	12,14	56,77	12,6,14,19	79,90,69,126	254	149
66	2,3	7,9	4,6,11,6	13,2,10,7	215	149
67	6,3	52,50	9,11,17,10	62,90,58,83	227	149
68	36,21	23,24	9,14,28,44	21,23,31,25	259	149
69	28,32	35,51	14,16,19,34	22,36,46,64	478	149
70	7,3	1,0	5,2,1,14	0,0,0,0	417	149
73	43,63	21,19	84,60,55,71	28,24,43,56	370	149
74	8,12	157,158	39,16,15,31	144,134,193,220	349	149
76	11,9	135,153	16,7,2,9	170,166,193,196	516	149
77	12,24	139,140	28,37,34,36	136,148,98,135	244	149
78	28,35	120,111	33,15,26,48	126,136,133,148	228	149
79	0,0	83,92	0,4,0,0	90,107,98,131	230	149
80	42,53	19,29	32,66,66,85	39,42,33,49	622	149
81	13,16	50,83	30,12,22,6	75,73,68,102	247	149
82	212,210	1,0	277,276,204,251	0,1,0,0	339	149
83	31,15	94,110	25,28,41,58	76,98,114,169	235	149
84	187,195	86,63	124,175,171,199	73,79,86,116	228	149
85	14,2	55,53	9,9,3,7	46,58,70,76	649	149
88	0,1	6,8	3,0,4,0	16,12,21,21	281	149
89	3,1	22,26	8,4,4,2	33,23,20,19	244	149
90	6,4	19,16	9,7,4,2	43,37,33,35	392	149
91	11,31	89,81	34,34,31,30	98,102,99,94	651	149
92	6,4	0,0	4,5,10,8	2,0,1,0	223	149
93	3,2	9,12	2,4,1,6	8,9,17,29	227	149
94	1,0	4,1	0,2,0,1	4,12,5,9	279	149
96	207,177	137,120	212,164,198,239	141,119,111,155	301	149
97	3,4	87,134	2,6,8,7	23,41,23,36	304	149
98	14,10	198,226	7,3,9,8	175,162,133,205	295	149
99	21,15	25,18	8,12,13,39	19,8,17,29	455	149
100	69,81	1203,1299	48,32,52,61	1404,1397,1422,1682	226	149
101	250,314	8,9	307,317,356,337	10,8,15,17	234	149
103	9,33	30,35	41,34,90,98	41,36,67,95	1757	149
104	2027,1778	25,16	2316,2192,1993,2989	11,16,21,16	202	149
105	272,311	33,30	266,280,310,359	23,53,52,62	239	149
106	18,22	156,115	17,12,22,26	79,102,114,102	474	149
107	16,12	10,4	15,9,19,19	12,9,3,13	435	149
108	2,2	15,12	0,3,0,2	9,14,17,17	229	149
109	14,16	3,5	5,16,12,22	1,8,10,7	238	149
111	78,81	38,42	55,50,79,67	33,50,54,37	258	149
112	0,0	6,3	1,0,0,2	10,14,9,9	253	149
113	1,9	11,16	3,2,6,13	24,5,29,26	228	149
114	8,11	14,10	16,6,17,36	12,9,18,24	1109	149
115	31,14	2,3	10,23,11,31	2,3,1,0	246	149
116	2,3	24,37	5,8,1,9	33,32,31,30	240	149
117	2,2	177,147	4,4,7,4	157,197,156,220	282	149
118	7,6	72,74	2,2,9,5	27,32,52,62	222	149
119	51,63	59,47	52,59,40,44	36,40,13,57	272	149
120	25,36	31,33	9,17,14,49	26,15,37,52	372	149
121	42,43	4,1	9,23,19,65	6,2,5,1	597	149
122	29,9	15,25	1,9,8,27	19,17,27,20	288	149
123	26,9	0,1	0,8,5,16	0,0,0,1	247	149
124	170,167	9,6	176,174,149,165	11,11,5,9	228	149
125	14,12	14,17	5,12,6,2	15,14,7,17	369	149
126	15,31	13,7	44,51,39,37	7,21,17,8	1013	149
127	0,0	14,12	0,0,2,1	20,21,49,48	231	149
128	37,43	39,51	41,48,60,49	55,80,64,72	305	149
129	14,19	69,107	27,30,52,60	73,75,93,124	271	149
131	2,11	0,5	16,19,39,47	0,0,2,3	498	149
132	13,12	52,56	7,9,22,24	44,39,110,111	244	149
133	4,2	8,14	6,7,11,6	4,6,7,19	301	149
134	4,2	6,16	6,6,11,6	11,9,10,13	298	149
135	57,60	136,138	19,20,56,56	130,137,104,151	275	149
136	5,6	8,13	11,13,14,22	5,6,5,8	834	149
137	21,11	4,0	19,23,28,23	2,1,4,2	503	149
138	30,22	2,2	34,42,50,52	0,1,0,0	1432	149
139	25,16	0,0	23,28,34,30	0,4,0,0	597	149
140	13,1	13,12	0,7,4,3	15,16,11,25	233	149
141	0,0	5,2	1,1,0,0	3,3,5,7	302	149
143	10,11	9,6	12,3,14,34	8,7,11,16	252	149
144	5,18	6,8	8,22,9,15	2,0,9,5	1519	149
