ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3	57,55	2,0	81,71,75,116	1,0,0,2	291	149	1	1.0
5	2,4	0,0	4,0,1,4	1,0,2,0	208	149	1	1.0
8	0,0	18,11	0,2,0,0	13,11,22,22	200	149	1	1.0
9	5,13	2,0	13,17,13,19	4,0,1,1	184	149	1	1.0
10	0,2	55,70	8,6,3,4	38,38,66,88	359	149	1	1.0
11	0,1	1,0	2,0,5,0	3,0,1,0	220	149	1	1.0
13	75,73	3,4	83,63,94,119	2,0,1,2	283	149	1	1.0
14	22,14	1,7	2,7,2,4	0,2,2,0	458	149	0.501491264851	1.0
15	2,0	1,0	0,1,4,2	4,0,0,3	242	149	1	1.0
16	0,0	1,0	0,0,1,1	3,1,3,3	365	149	1	1.0
18	0,0	1,0	0,0,1,1	3,1,3,3	184	149	1	1.0
19	19,15	1,0	28,30,14,24	0,0,0,0	155	149	1	1.0
20	8,11	73,45	14,19,23,15	42,57,63,91	734	149	1	1.0
21	192,209	21,19	189,178,233,260	28,24,43,56	170	149	1	1.0
22	38,54	21,19	52,49,40,54	28,24,43,56	236	149	0.588106037082	1.0
23	3,3	157,158	7,5,0,14	144,134,193,220	215	149	1	1.0
24	4,7	1,0	16,7,3,12	1,1,5,5	153	149	0.231216956608	1.0
25	99,136	0,1	111,117,129,166	0,3,0,0	152	149	1	1.0
26	1,0	47,45	0,4,0,0	71,44,43,74	293	149	1	1.0
28	311,314	1,4	231,242,378,430	0,0,0,0	161	149	1	1.0
29	14,12	26,22	6,3,4,2	34,31,31,67	179	149	0.00467273194493	0.08601086824214174
30	2,0	153,108	2,1,2,0	79,97,105,109	359	149	1	1.0
31	12,14	156,115	14,12,6,20	79,102,114,102	188	149	1	1.0
32	0,0	15,23	2,7,2,1	24,15,21,14	308	149	1	1.0
33	6,11	93,107	2,7,11,6	69,86,94,107	395	149	1	1.0
34	2,3	38,27	5,3,4,2	33,50,50,52	161	149	1	1.0
35	49,42	4,1	26,21,42,68	6,2,5,1	374	149	1	1.0
36	2,1	287,272	0,4,1,3	289,279,300,404	188	149	1	1.0
37	32,28	2,5	21,22,35,54	0,1,4,6	268	149	1	1.0
38	60,82	4,3	78,51,64,117	4,1,3,3	161	149	1	1.0
40	0,0	29,33	0,4,5,7	23,42,82,86	316	149	1	1.0
41	2,3	84,127	13,8,8,12	70,59,96,96	177	149	1	1.0
42	15,29	73,65	24,17,23,36	38,51,59,87	359	149	1	1.0
43	7,2	108,112	5,1,7,1	111,122,99,135	157	149	1	1.0
