ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	2183,2101	5,8	1927,2034,1833,2330	5,1,7,5	238	149	1	1.0	0.996,0.994	0.996,0.999,0.994,0.997	-0.001
1	48,36	0,0	32,50,45,54	2,2,1,2	215	149	1	1.0	1.0,1.0	0.917,0.945,0.969,0.949	0.055
2	70,101	1,0	98,88,76,138	4,0,0,1	346	149	1	1.0	0.968,1.0	0.913,1.0,1.0,0.983	0.01
3	277,336	1,4	237,295,277,396	0,0,0,0	237	149	1	1.0	0.994,0.981	1.0,1.0,1.0,1.0	-0.012
4	141,134	0,0	147,154,125,185	1,0,0,0	211	149	1	1.0	1.0,1.0	0.99,1.0,1.0,1.0	0.002
5	82,92	0,0	77,87,89,121	0,0,0,2	364	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.961	0.01
6	345,400	0,0	312,307,329,370	1,0,0,0	234	149	1	1.0	1.0,1.0	0.995,1.0,1.0,1.0	0.001
7	5217,5754	0,0	6499,6318,8410,9476	0,0,2,0	274	149	1	1.0	1.0,1.0	1.0,1.0,1.0,1.0	0.0
8	40,31	2,0	67,64,62,76	1,0,0,2	185	149	1	1.0	0.942,1.0	0.982,1.0,1.0,0.968	-0.017
9	84,103	0,0	103,78,129,117	0,2,2,2	190	149	1	1.0	1.0,1.0	1.0,0.968,0.981,0.979	0.018
10	24,23	0,0	21,26,19,30	0,3,3,0	199	149	1	1.0	1.0,1.0	1.0,0.866,0.826,1.0	0.077
11	56,55	1,0	52,53,72,73	0,2,0,0	238	149	1	1.0	0.972,1.0	1.0,0.943,1.0,1.0	0.0
12	58,44	0,0	84,67,66,87	0,1,0,0	207	149	1	1.0	1.0,1.0	1.0,0.98,1.0,1.0	0.005
13	519,486	0,0	468,515,537,727	1,0,0,0	285	149	1	1.0	1.0,1.0	0.996,1.0,1.0,1.0	0.001
14	276,266	0,0	273,320,312,391	0,0,0,1	210	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.996	0.001
15	243,266	6,2	240,247,315,393	3,4,2,2	229	149	1	1.0	0.963,0.989	0.981,0.976,0.99,0.992	-0.009
16	132,175	0,0	180,177,187,257	0,0,1,0	189	149	1	1.0	1.0,1.0	1.0,1.0,0.993,1.0	0.002
17	1,3	12,7	0,0,0,0	8,13,14,17	170	149	1	1.0	0.068,0.273	0.0,0.0,0.0,0.0	0.171
18	49,48	1,0	72,65,68,93	0,0,0,0	231	149	1	1.0	0.969,1.0	1.0,1.0,1.0,1.0	-0.016
19	258,273	0,0	247,307,333,376	0,0,0,3	213	149	1	1.0	1.0,1.0	1.0,1.0,1.0,0.989	0.003
