IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
25,25	186,162	13,20,18,43	163,178,181,204	218	252
8,7	186,162	7,12,7,15	163,178,181,204	215	252
10,11	205,158	8,6,7,7	183,179,209,265	222	247
10,11	1,0	8,6,7,7	0,0,0,0	222	286
0,0	39,27	1,0,0,0	18,22,33,32	283	298
17,25	2,3	10,9,22,12	1,5,3,4	262	219
2,3	35,25	3,0,6,0	15,21,33,32	262	298
2,3	39,27	3,0,6,0	18,22,33,32	262	298
18,11	65,77	22,15,16,12	93,68,66,88	230	230
18,25	114,77	37,23,33,49	125,139,156,161	187	277
239,261	239,213	283,306,345,405	227,244,236,374	244	298
210,167	136,157	148,98,102,155	106,67,64,111	254	298
351,338	56,49	440,431,419,536	71,58,56,35	216	167
564,566	117,120	669,624,656,816	143,147,95,82	224	298
567,564	157,211	669,626,656,817	248,278,177,206	224	216
82,103	262,291	106,97,78,111	236,329,271,314	185	224
10,9	26,20	2,5,4,13	17,22,25,34	198	266
3,3	29,17	3,2,7,6	25,36,24,35	266	259
120,158	70,78	178,198,186,201	74,68,94,95	199	183
15,24	35,33	18,13,11,18	28,27,27,31	230	230
13,9	28,26	20,13,2,16	32,20,32,33	230	230
0,0	3011,3265	0,0,0,1	3186,3099,2596,3161	298	251
30,35	22,30	107,76,89,121	77,94,83,96	226	201
41,52	64,70	49,66,73,71	91,86,80,76	225	244
12,12	12,7	14,17,9,11	6,4,6,3	251	260
138,113	184,218	184,167,163,139	272,289,219,259	198	225
224,288	50,61	259,258,284,449	59,73,79,91	298	175
571,574	268,340	574,601,530,585	314,308,281,264	182	196
15,19	22,19	32,33,33,42	27,33,22,46	197	218
20,19	20,12	15,19,33,27	16,14,21,26	169	202
98,96	52,47	92,79,100,124	37,51,77,76	247	225
27,39	74,81	32,31,25,36	79,104,72,101	220	290
56,58	138,137	28,43,41,34	129,126,105,118	218	263
55,76	34,31	43,48,36,34	24,30,14,25	208	218
2039,2309	2294,2509	2250,2181,2030,2461	2702,2647,2270,2578	298	250
247,222	127,130	151,198,173,141	109,114,81,143	257	241
19,15	16,19	48,44,39,48	51,60,39,45	298	298
153,143	0,1	211,258,186,252	1,1,2,0	232	158
26,30	11,8	3,13,28,26	1,0,0,0	223	185
29,19	40,58	22,33,20,35	48,42,24,47	238	298
44,41	56,57	32,27,44,55	54,63,55,73	273	298
5,3	22,26	5,0,4,6	19,27,16,14	193	266
425,411	173,145	381,386,429,567	152,174,138,198	230	193
120,140	228,193	89,107,90,120	193,178,173,201	198	243
4,8	10,7	3,7,2,1	5,2,2,5	185	202
200,214	103,116	196,175,192,236	107,89,81,114	229	209
1,0	190,154	3,2,2,5	145,143,187,226	175	268
1,0	52,35	3,2,2,5	31,29,86,73	175	173
20,35	0,1	25,12,34,33	0,0,0,0	209	209
21,35	58,57	26,12,34,30	55,59,51,84	209	209
34,36	51,45	28,21,33,54	39,29,67,81	186	235
950,1006	1148,1185	898,935,756,1036	1276,1231,889,1147	298	298
146,112	891,959	86,110,117,172	795,767,760,926	192	275
7,7	8,7	10,14,3,12	6,6,6,4	194	201
5,8	8,7	11,18,4,13	6,6,6,4	298	201
10,5	22,30	11,19,15,37	37,37,47,69	177	232
607,606	1002,1188	629,614,475,581	1172,1147,904,1169	232	272
336,337	13,19	302,283,288,453	13,4,7,13	298	298
5,3	5,3	2,5,4,1	3,8,8,2	242	242
115,138	184,171	110,130,138,186	155,155,212,267	221	221
31,26	16,17	24,20,22,16	19,9,13,24	231	191
11,10	35,52	4,6,4,11	28,31,61,63	217	238
488,563	79,89	630,647,595,853	91,87,101,109	267	166
99,117	211,225	47,75,91,127	115,125,159,166	209	215
32,46	21,17	27,23,34,33	28,18,22,50	273	247
10,4	108,90	10,10,9,8	56,72,72,137	183	278
