IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,1	16,12	0,0,3,2	12,10,18,23	225	149
47,66	98,135	36,45,55,44	101,114,106,144	252	149
11,19	139,176	18,14,15,44	114,140,148,147	251	149
17,20	36,30	3,9,6,17	23,37,32,34	227	149
13,14	65,96	11,16,12,19	92,73,71,112	273	149
6,15	81,102	10,14,17,24	71,89,99,106	246	149
5,12	3,2	10,16,19,23	3,8,1,3	296	149
34,62	0,0	33,31,45,46	0,0,1,2	241	149
209,201	24,17	145,116,148,177	21,10,22,23	238	149
2,1	0,1	1,2,2,3	3,0,0,3	242	149
61,52	242,275	44,46,40,85	310,314,270,368	228	149
286,304	2502,2867	363,369,534,674	3083,3015,4082,4592	212	149
31,41	38,31	43,31,27,63	68,59,60,66	255	149
43,48	202,184	61,49,22,56	223,218,237,334	225	149
0,3	7,4	2,0,0,2	14,13,17,20	232	149
10,12	39,52	5,13,8,13	53,58,49,56	246	149
3,8	31,58	11,5,7,13	54,31,35,43	247	149
38,63	19,15	56,57,55,68	24,24,27,36	272	149
0,0	26,46	2,0,1,0	37,38,54,69	251	149
36,30	69,48	67,59,50,42	57,58,62,96	232	149
2,2	29,22	2,4,0,2	25,25,20,45	298	149
0,1	33,22	3,0,2,0	31,36,32,44	225	149
12,13	99,98	7,6,8,12	101,89,67,110	298	149
12,15	24,20	10,8,5,4	11,22,23,20	244	149
4,12	15,10	8,5,6,11	16,24,20,21	215	149
36,21	23,16	34,29,30,31	17,12,20,38	287	149
3,2	113,131	2,7,2,5	130,128,199,267	231	149
35,42	0,0	27,38,76,74	1,2,0,0	241	149
14,13	1655,1779	19,13,6,7	1841,1682,1516,1920	224	149
51,44	1406,1454	50,39,56,45	1384,1425,1283,1520	240	149
4,3	139,94	7,13,6,10	90,90,145,131	237	149
38,71	0,0	58,44,63,52	0,1,1,0	259	149
11,8	66,28	62,79,86,65	18,16,26,18	298	149
24,29	119,104	23,25,29,19	114,107,109,141	230	149
7,15	55,47	2,1,4,6	50,43,25,49	277	149
2,7	94,112	15,2,2,0	99,92,107,116	221	149
19,41	222,210	16,31,14,8	213,273,249,250	220	149
57,61	14,5	58,47,66,94	8,4,12,16	227	149
