IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2176,2097	5,8	1922,2033,1832,2325	5,1,7,5	238	149
48,36	0,0	32,50,45,54	2,2,1,2	215	149
53,81	1,0	80,66,57,112	4,0,0,1	298	149
277,336	1,4	237,295,274,396	0,0,0,0	237	149
141,134	0,0	147,154,125,185	1,0,0,0	211	149
55,67	0,0	63,74,69,89	0,0,0,2	298	149
342,400	0,0	312,306,328,370	1,0,0,0	234	149
5195,5735	0,0	6482,6298,8386,9438	0,0,2,0	274	149
40,31	2,0	67,64,62,76	1,0,0,2	185	149
84,103	0,0	103,78,129,117	0,2,2,2	190	149
24,23	0,0	21,26,18,30	0,3,3,0	199	149
56,55	1,0	51,53,72,73	0,2,0,0	238	149
58,44	0,0	84,67,66,87	0,1,0,0	207	149
517,482	0,0	466,511,533,721	1,0,0,0	285	149
276,265	0,0	273,319,312,391	0,0,0,1	210	149
243,266	6,2	240,247,313,392	3,4,2,2	229	149
132,175	0,0	180,177,187,257	0,0,1,0	189	149
1,3	12,7	0,0,0,0	8,13,14,17	170	149
49,48	1,0	72,64,68,93	0,0,0,0	231	149
258,272	0,0	247,306,332,375	0,0,0,3	213	149
135,159	51,46	71,69,50,65	60,38,52,71	207	149
188,183	0,1	164,139,181,272	0,0,0,0	227	149
40,61	0,0	53,56,43,78	0,0,1,0	286	149
396,473	0,0	305,325,335,419	1,0,0,1	275	149
496,467	1,0	490,497,471,446	3,1,4,2	269	149
338,299	0,1	310,294,286,290	0,0,0,0	228	149
4994,5047	1,0	5122,4791,5158,6564	0,0,0,0	211	149
5,7	1,3	11,16,20,28	6,5,11,13	279	149
28,24	0,0	40,56,18,61	1,2,0,1	298	149
242,263	7,1	238,233,286,404	0,1,4,6	262	149
462,524	2,0	563,570,579,698	0,0,0,0	257	149
91,123	0,1	73,95,72,118	0,0,0,0	183	149
138,118	0,0	135,106,131,165	0,0,0,1	229	149
118,150	0,0	145,133,130,182	0,1,0,0	297	149
485,562	0,1	313,316,444,509	2,0,2,1	288	149
0,1	7,3	0,0,5,0	6,4,2,4	279	149
1,0	5,5	3,0,1,0	1,8,13,17	208	149
1,0	7,3	0,0,1,0	6,4,2,4	208	149
188,188	7,9	198,236,227,289	2,6,10,12	219	149
48,93	0,0	61,74,69,89	0,0,1,0	224	149
291,281	0,0	252,289,277,300	0,0,2,0	218	149
191,236	0,0	201,213,207,211	0,0,2,0	215	149
507,498	1,0	468,524,511,548	0,0,1,4	252	149
329,379	0,0	275,257,292,303	0,0,1,0	175	149
8,11	3,4	22,15,19,19	2,0,1,2	202	149
21,11	3,4	28,17,27,34	2,0,1,2	205	149
26,23	0,0	29,18,18,41	0,0,0,2	212	149
11,20	0,1	4,1,0,6	0,0,0,0	231	149
24,13	1,11	5,11,4,15	0,0,0,0	211	149
11,12	1,7	3,7,2,4	0,2,2,0	191	149
1,0	0,0	0,0,2,0	0,0,0,2	298	149
2,0	0,0	2,1,5,1	0,0,0,2	197	149
3258,3670	0,0	3567,3278,3361,4168	0,0,0,2	228	149
30,28	0,0	23,34,34,21	0,0,0,2	186	149
31,37	1,0	31,25,38,41	0,0,0,0	233	149
3,6	0,0	20,20,14,12	0,0,0,2	249	149
131,167	1,0	149,166,157,212	0,0,0,0	175	149
63,81	1,0	84,60,130,135	0,1,1,0	294	149
226,204	2,0	189,244,226,325	0,0,0,1	204	149
212,198	0,1	212,216,227,285	0,0,0,0	195	149
148,203	0,1	158,186,209,281	0,0,0,0	234	149
208,185	0,1	213,258,225,259	0,0,0,0	215	149
238,289	0,0	249,249,240,281	5,1,0,3	196	149
107,110	1,1	98,83,84,124	0,5,6,4	238	149
1,6	1,1	3,12,7,23	0,0,0,1	218	149
1,1	1,1	1,5,1,4	0,0,0,1	209	149
5874,6120	0,3	6785,6678,6252,7855	0,0,2,0	192	149
7,2	51,71	5,4,8,9	99,80,57,82	178	149
10,9	51,71	20,10,6,16	99,80,57,82	182	149
99,101	0,0	103,118,127,147	0,0,0,2	187	149
187,125	1,0	154,127,200,185	0,0,0,0	247	149
263,321	0,2	254,243,259,323	0,0,0,0	227	149
178,212	1,0	126,141,123,159	0,1,2,1	217	149
166,157	1,0	91,97,93,118	0,1,2,1	223	149
798,732	0,0	681,631,722,870	1,0,0,0	198	149
804,724	1,1	674,677,765,810	4,0,0,0	298	149
95,107	0,0	155,111,80,106	0,0,1,0	218	149
460,501	0,0	540,590,644,744	0,0,0,1	219	149
227,250	0,2	206,238,249,364	0,0,0,0	220	149
203,154	1,0	183,185,219,234	0,0,0,0	253	149
267,259	0,1	255,272,285,369	0,0,0,0	298	149
13,6	0,0	19,26,40,42	0,0,0,1	223	149
520,532	1,1	447,471,498,567	0,3,0,2	167	149
187,252	1,2	244,247,362,440	2,2,5,1	216	149
12,9	354,379	14,3,5,8	327,297,291,369	295	149
3,11	0,0	6,6,13,7	0,1,0,0	196	149
39,46	0,0	28,38,21,35	2,0,0,0	298	149
0,1	789,780	0,4,3,5	811,722,742,1077	214	149
39441,42338	0,0	32419,31129,31441,38469	0,0,0,1	298	149
220,269	2,0	257,273,214,362	0,0,0,0	222	149
414,417	0,0	437,445,418,619	0,1,0,0	247	149
132,150	0,0	148,170,119,220	0,1,0,0	286	149
847,844	0,0	695,793,718,943	0,2,0,1	281	149
494,576	0,0	570,528,498,643	0,4,0,1	181	149
37,58	1,0	73,50,47,52	0,0,0,0	188	149
39,36	4,11	22,38,26,33	20,21,22,32	298	149
12,25	73,65	16,10,13,23	38,51,59,87	207	149
9,30	73,65	19,11,15,25	38,51,59,87	210	149
42,50	1,0	17,29,42,40	0,0,0,0	298	149
231,227	3,0	238,221,232,311	2,0,2,2	245	149
12,13	8,9	7,7,9,10	13,2,0,7	298	149
8,13	2,2	5,10,5,8	0,1,0,0	298	149
41,36	2,0	44,24,20,46	0,0,3,0	287	149
35,35	1,0	23,29,38,40	0,0,0,0	219	149
992,1088	1,0	1061,1021,968,1480	0,1,0,2	258	149
92,102	0,1	136,122,109,150	0,0,0,0	211	149
4,6	0,0	2,0,7,4	0,0,0,2	283	149
8,11	0,0	3,0,15,5	0,0,0,2	262	149
17,25	4,2	10,9,22,12	3,1,0,0	262	149
2,3	4,2	1,5,3,4	3,1,0,0	219	149
5,11	15,22	1,5,12,7	9,9,16,12	219	149
37,30	0,0	17,21,42,34	2,0,0,0	298	149
50,47	0,0	24,30,49,44	2,0,0,0	298	149
163,154	0,0	148,135,149,170	1,0,0,0	208	149
12,30	0,2	10,14,9,27	0,0,0,0	204	149
404,444	0,5	442,338,400,583	0,0,0,1	227	149
349,389	0,2	428,369,356,537	0,1,0,0	220	149
446,501	0,0	418,444,375,416	1,0,0,0	298	149
958,1029	1,0	499,444,635,766	0,0,0,0	280	149
94,110	0,0	101,115,44,61	0,0,0,1	263	149
191,187	2,0	219,238,108,111	0,0,0,0	218	149
27,31	0,0	18,23,26,60	0,0,3,0	225	149
18,26	0,0	34,29,44,44	0,0,2,0	248	149
114,158	0,2	104,123,138,136	0,0,0,0	298	149
14,14	2,5	7,15,13,13	5,7,9,4	197	149
188,161	0,0	228,230,180,275	0,0,1,0	257	149
92,132	0,0	86,93,113,134	0,1,1,1	206	149
52,55	0,0	39,56,63,75	0,1,0,0	198	149
149,183	0,0	226,213,286,305	0,4,2,2	298	149
138,147	0,0	141,145,177,198	0,0,1,0	229	149
3,2	0,0	7,5,1,2	0,1,0,2	211	149
413,382	0,1	436,337,429,524	0,0,4,0	294	149
88,77	0,1	52,82,66,95	0,0,0,0	298	149
103,102	2,5	107,111,119,153	0,0,0,4	189	149
4,3	0,0	2,6,2,4	0,0,0,1	235	149
5,1	0,0	0,5,2,2	0,0,0,1	228	149
23,32	0,4	25,30,50,41	0,0,0,0	298	149
290,364	6,5	281,357,274,295	21,22,28,19	205	149
26,31	0,0	56,63,50,38	0,1,0,0	298	149
32,48	2,0	49,41,33,54	2,1,0,0	205	149
52,76	0,0	65,61,47,63	0,0,0,1	220	149
108,176	0,0	138,159,180,182	0,0,2,0	169	149
13,32	0,1	35,39,100,133	0,0,0,0	248	149
1233,1233	4,1	1104,1179,1176,1395	0,0,0,0	245	149
167,180	0,0	129,193,189,227	4,0,1,0	221	149
245,247	0,0	229,229,267,321	0,0,1,0	298	149
148,122	0,2	87,93,101,140	0,0,0,0	209	149
3197,3268	0,0	3260,3017,3383,3864	0,0,0,1	236	149
102,130	0,0	145,105,160,175	2,0,0,0	224	149
76,80	0,0	97,88,89,116	0,0,1,0	268	149
103,78	0,5	110,103,94,134	1,1,0,2	239	149
35,31	1,2	43,30,29,49	2,0,0,0	217	149
50,36	6,9	49,52,46,65	7,15,17,26	196	149
74,45	18,16	90,73,66,96	16,16,24,23	196	149
11,11	18,16	15,19,15,31	16,16,24,23	194	149
19,21	41,37	12,19,14,24	47,43,37,49	194	149
3,9	0,0	2,2,7,2	0,0,0,1	280	149
47,48	0,0	32,48,29,71	0,0,0,5	298	149
97,66	0,0	42,71,85,80	0,1,0,0	246	149
468,536	0,0	385,415,575,694	2,0,0,1	298	149
24,21	0,2	14,42,58,58	1,0,3,0	298	149
79,90	0,0	64,59,44,55	0,0,2,0	272	149
582,553	0,2	609,596,550,757	1,0,0,2	171	149
980,869	0,0	1005,978,831,975	1,0,0,0	194	149
460,425	17,27	425,357,455,594	11,17,23,10	245	149
8,2	13,10	5,6,12,4	7,4,5,13	238	149
25,22	21,10	15,26,38,45	5,3,6,5	210	149
74,89	1,0	51,76,88,80	1,0,0,0	193	149
121,103	0,0	151,151,112,120	0,1,0,0	207	149
