ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,2	4,0	0,0	4,7	225	149
1	10,13	92,102	9,26	116,81	252	149
2	13,14	119,137	19,24	100,138	251	149
3	25,20	20,9	28,27	11,8	227	149
4	6,14	52,43	3,4	47,35	273	149
5	2,4	36,30	3,4	38,46	246	149
6	13,19	2,0	7,20	0,0	296	149
7	14,19	0,0	24,12	0,5	241	149
8	140,119	50,53	183,174	37,117	238	149
10	35,24	178,174	38,48	252,277	228	149
11	81,77	1421,1500	113,149	1761,1798	212	149
12	12,8	24,6	10,14	8,6	255	149
13	74,42	241,241	73,50	420,399	225	149
15	6,1	35,74	0,8	24,53	246	149
16	6,2	39,47	3,8	37,29	247	149
17	48,18	6,2	46,51	11,7	272	149
19	16,26	31,41	19,41	65,59	232	149
20	4,6	19,39	0,2	28,34	335	149
21	0,14	26,14	0,0	35,37	225	149
22	2,22	71,55	5,30	92,107	457	149
23	0,2	33,20	0,2	11,31	244	149
24	4,0	15,16	2,2	26,13	215	149
26	12,2	4,12	34,25	0,6	287	149
27	2,4	91,60	0,10	111,62	231	149
29	12,13	915,820	16,23	1114,1232	224	149
30	25,22	837,840	18,34	1035,1099	240	149
31	0,4	118,90	2,2	139,149	237	149
33	21,4	20,24	16,19	10,22	319	149
34	6,6	96,115	2,2	94,99	230	149
35	2,13	36,36	2,2	31,49	277	149
36	10,4	117,93	0,6	153,132	221	149
38	0,6	0,0	2,2	2,0	238	149
39	6,8	130,111	28,16	124,183	220	149
40	32,28	8,0	38,44	0,0	227	149
42	0,1	5,12	0,2	2,4	246	149
43	6,2	2,7	0,0	2,0	222	149
44	0,2	0,4	0,0	8,2	227	149
45	1,2	0,2	0,4	0,4	239	149
46	0,2	6,2	0,0	27,8	416	149
47	0,2	4,2	2,0	2,5	562	149
48	0,0	6,8	2,0	16,14	253	149
49	64,29	302,331	61,79	389,400	251	149
50	88,75	0,4	52,93	0,0	240	149
52	8,8	11,2	5,6	0,0	483	149
53	0,1	2,10	0,0	0,2	253	149
58	26,4	10,14	8,12	32,22	247	149
59	13,10	121,133	10,19	166,194	277	149
60	10,10	92,102	58,42	160,226	247	149
61	62,95	23,11	126,136	24,54	1192	149
63	6,9	19,18	6,16	14,39	293	149
64	0,6	18,12	20,22	12,28	241	149
65	10,10	64,58	10,8	79,54	254	149
67	4,1	31,43	0,0	20,28	227	149
68	6,2	2,8	7,2	10,2	259	149
69	18,26	71,63	24,37	106,129	478	149
73	27,22	16,4	35,30	0,12	370	149
74	14,6	54,41	12,24	70,41	349	149
76	26,19	74,57	12,25	67,67	516	149
77	0,2	67,70	20,2	69,63	244	149
78	2,8	45,29	47,18	76,119	228	149
80	67,26	41,26	44,56	68,45	622	149
81	9,4	53,50	28,11	90,45	247	149
83	7,4	50,45	8,3	58,82	235	149
84	78,68	38,28	138,96	41,61	228	149
85	18,6	6,8	20,0	8,8	649	149
88	1,1	4,15	22,11	30,13	281	149
89	0,10	24,10	8,6	34,34	244	149
90	8,14	30,38	10,18	26,51	392	149
91	4,19	79,70	16,6	42,56	651	149
92	12,11	0,0	12,22	4,0	223	149
93	2,4	8,4	2,0	18,4	227	149
94	0,2	0,2	0,0	0,2	279	149
96	64,60	31,59	94,53	46,26	301	149
97	11,2	95,93	4,4	20,31	304	149
98	14,0	100,104	7,9	130,140	295	149
99	22,18	15,26	13,20	33,42	455	149
100	10,0	207,189	2,0	231,288	226	149
101	153,119	0,6	193,184	2,10	234	149
103	20,20	14,0	44,15	23,26	1757	149
104	9298,9058	11,9	12321,13013	18,18	202	149
105	432,435	161,100	693,692	228,224	239	149
106	4,2	46,47	11,20	70,32	474	149
107	4,2	0,0	11,20	6,2	435	149
108	0,1	8,10	2,0	4,8	229	149
109	19,16	0,3	29,18	4,13	238	149
111	30,39	37,21	40,38	62,43	258	149
112	0,1	2,5	4,0	6,0	253	149
113	6,6	18,18	8,8	21,17	228	149
114	16,24	16,14	20,21	22,18	1109	149
115	38,14	0,8	39,43	0,6	246	149
116	1,0	10,14	0,2	36,13	240	149
117	7,2	224,209	2,12	211,276	282	149
118	5,0	36,58	1,2	92,74	222	149
119	54,20	40,65	48,56	35,71	272	149
120	10,16	32,18	14,29	38,28	372	149
121	29,34	2,0	30,39	8,14	597	149
122	22,16	13,13	18,14	31,22	288	149
123	18,14	0,0	16,10	0,4	247	149
124	129,72	4,23	116,151	18,20	228	149
125	2,0	11,6	4,8	4,24	369	149
126	6,18	0,2	12,30	0,6	1013	149
127	0,2	4,6	0,0	1,5	231	149
128	31,24	19,15	36,6	55,30	305	149
129	6,2	122,121	16,32	144,127	271	149
131	23,12	0,2	13,21	0,0	498	149
132	12,12	59,51	30,18	93,34	244	149
133	3,8	14,18	24,20	15,12	301	149
134	3,8	8,9	20,20	12,50	298	149
135	53,88	104,135	76,123	130,119	275	149
136	10,12	1,0	12,4	2,10	834	149
137	23,12	0,2	27,28	0,0	503	149
138	33,20	0,0	28,46	2,0	597	149
139	16,0	6,0	4,14	22,9	233	149
140	1,0	2,16	6,13	8,4	302	149
142	10,6	6,2	18,12	4,4	252	149
143	6,18	6,8	2,0	6,2	1519	149
144	6,23	10,8	10,7	4,3	1667	149
145	4,7	22,4	8,9	7,0	227	149
147	4,5	12,19	14,9	20,11	218	149
148	0,6	4,8	10,8	18,34	283	149
149	3,2	49,29	2,6	11,37	267	149
151	3,0	0,1	0,6	1,1	439	149
154	16,20	176,154	15,4	203,162	224	149
155	55,55	0,2	62,59	0,2	259	149
156	8,14	13,16	14,8	56,18	1384	149
157	5,6	38,16	6,11	30,48	262	149
158	10,2	32,20	20,33	12,26	358	149
160	18,14	303,230	33,53	326,439	346	149
161	2,0	3,0	0,0	6,3	215	149
162	27,26	103,90	12,38	135,141	231	149
163	27,36	305,240	63,57	310,413	402	149
164	310,280	0,2	319,426	0,2	380	149
166	6,0	0,2	4,0	2,0	582	149
167	0,2	6,0	4,0	0,0	231	149
168	46,24	199,164	39,52	230,385	283	149
169	6,10	0,0	0,14	0,6	343	149
170	19,10	11,43	12,26	53,53	316	149
171	34,14	0,0	14,26	0,4	506	149
172	16,6	17,43	2,4	47,71	299	149
173	17,14	2,4	12,22	4,0	415	149
175	226,230	0,0	230,232	5,0	273	149
176	0,4	36,14	18,3	21,19	441	149
177	0,4	2,2	6,3	8,2	322	149
178	2,12	8,32	2,4	24,32	228	149
179	46,30	137,121	88,102	126,126	659	149
180	7,4	92,111	42,22	107,129	242	149
181	15,2	84,111	0,6	121,131	245	149
182	4,0	4,0	0,0	6,3	239	149
183	0,0	33,24	2,2	24,30	246	149
184	34,6	113,94	13,36	140,192	232	149
185	18,36	20,8	35,34	21,12	418	149
186	7,9	30,17	34,4	21,17	254	149
188	0,2	35,31	2,0	45,53	236	149
189	0,0	62,53	6,5	87,125	237	149
191	4,2	41,43	6,16	47,85	335	149
194	24,20	180,153	14,4	193,225	239	149
195	6,14	27,54	12,6	81,74	241	149
196	0,0	9,4	2,2	2,2	242	149
197	14,10	21,11	21,10	28,29	1237	149
198	26,12	0,2	12,25	2,2	239	149
199	2,2	11,10	1,2	17,26	222	149
200	25,35	0,2	34,28	3,0	233	149
206	2,0	8,10	4,0	34,12	221	149
207	8,0	57,42	6,1	76,60	251	149
209	4,10	14,17	0,8	50,32	236	149
210	12,10	22,18	4,6	19,27	247	149
211	0,2	0,12	6,12	2,8	239	149
212	0,0	0,2	2,4	4,0	218	149
214	0,4	2,2	3,7	4,12	283	149
215	24,41	175,114	28,28	163,190	340	149
216	6,4	47,31	7,7	42,44	333	149
217	4,9	128,98	9,16	182,118	246	149
218	354,308	118,82	413,360	99,106	218	149
220	13,19	308,224	14,32	278,344	253	149
221	16,6	8,2	21,4	0,0	334	149
222	0,0	26,26	2,2	11,33	274	149
223	17,0	1497,1481	10,19	1737,1976	342	149
225	4,8	0,0	6,4	6,2	356	149
226	0,4	18,27	2,4	25,24	223	149
227	4,0	9,25	0,4	13,20	264	149
228	4,0	15,34	0,0	21,32	237	149
229	2,0	16,18	8,2	20,24	411	149
230	6,18	46,10	12,10	10,16	237	149
231	10,5	2,6	5,10	0,25	410	149
233	65,60	10,4	46,75	2,4	245	149
234	104,94	0,0	133,105	2,0	218	149
235	90,59	1010,966	106,103	978,949	276	149
236	0,0	12,16	5,0	12,24	236	149
237	0,6	0,0	4,6	4,0	235	149
238	14,6	456,355	39,18	417,452	478	149
239	2,0	46,37	14,3	51,62	259	149
240	0,0	22,26	8,8	10,27	218	149
241	4,2	18,23	2,4	12,28	235	149
244	3,0	34,7	4,12	18,26	245	149
245	4,0	37,24	0,0	27,32	242	149
246	28,40	2,0	56,42	0,0	280	149
247	2,2	40,31	2,6	44,19	244	149
248	4,0	0,0	0,0	4,0	235	149
249	4,0	0,4	0,2	0,4	215	149
250	6,1	10,14	2,10	4,2	225	149
251	30,21	4,0	20,42	6,10	618	149
256	4,4	52,55	11,8	46,75	395	149
257	8,22	20,20	11,12	33,50	229	149
259	22,14	0,0	10,21	2,3	730	149
260	22,20	8,8	10,23	0,26	758	149
261	0,13	4,7	0,14	0,16	235	149
262	22,12	8,2	12,20	6,0	268	149
263	77,104	32,46	95,83	36,51	998	149
264	41,62	2,0	50,46	6,10	563	149
265	14,25	4,2	14,18	10,4	301	149
266	58,58	10,17	61,68	16,24	243	149
267	0,0	54,63	8,0	70,67	238	149
268	2,2	0,16	4,2	8,16	427	149
269	0,0	0,4	2,10	16,12	241	149
270	0,0	3,0	2,1	6,2	245	149
272	0,3	26,23	4,12	41,24	235	149
273	0,5	19,23	3,4	35,28	229	149
274	14,4	36,51	14,8	32,36	255	149
275	7,5	15,20	15,17	12,2	307	149
276	7,4	28,10	14,15	7,3	223	149
277	3,2	42,17	13,2	22,37	438	149
279	12,2	0,4	10,4	8,4	243	149
280	32,30	0,0	16,25	0,6	455	149
282	12,22	4,2	35,18	6,0	673	149
283	37,56	45,34	40,17	51,55	233	149
284	9,25	10,4	15,19	4,21	746	149
287	4,4	49,46	3,0	54,52	240	149
288	6,15	28,33	33,24	72,32	267	149
290	22,4	0,41	17,16	12,8	225	149
291	12,22	51,35	32,38	54,77	233	149
292	28,16	24,47	61,62	36,58	243	149
293	2,2	2,4	7,4	8,0	312	149
295	0,0	0,6	1,0	8,2	252	149
296	9,14	11,8	35,28	14,6	233	149
297	50,46	0,4	77,85	0,6	492	149
298	0,4	9,16	8,14	7,46	427	149
299	24,48	161,160	39,30	194,194	237	149
300	7,0	26,28	0,4	41,53	240	149
301	7,0	28,28	4,2	32,33	218	149
302	2,12	0,2	12,2	4,19	339	149
303	0,2	36,34	4,0	62,74	233	149
304	2,0	10,6	13,0	5,2	253	149
305	4,19	6,6	37,14	8,6	551	149
306	4,6	28,43	17,10	65,65	529	149
307	4,10	22,24	6,4	32,53	233	149
310	18,7	4,2	20,12	10,0	289	149
311	10,12	0,2	34,37	0,2	307	149
312	32,36	9,0	67,86	2,0	595	149
316	30,22	92,90	56,30	104,89	214	149
317	12,21	29,27	19,50	66,48	290	149
318	48,102	42,35	84,138	34,50	723	149
319	19,66	10,0	35,58	12,2	375	149
320	0,1	8,0	0,0	2,0	262	149
321	2,2	62,61	10,0	41,114	224	149
322	133,159	0,2	161,197	10,0	234	149
323	227,216	3,6	306,274	0,0	254	149
324	0,0	0,4	0,2	10,4	247	149
325	2,0	9,4	2,0	10,26	260	149
327	0,0	22,15	0,4	36,38	232	149
329	6,2	20,18	6,22	26,21	452	149
330	6,10	27,68	10,2	42,58	233	149
331	0,0	26,28	6,0	13,20	233	149
332	7,2	3,12	10,2	2,17	229	149
333	0,2	0,6	6,12	7,2	217	149
334	4,2	20,39	6,16	27,55	234	149
335	2,4	46,34	0,0	63,46	241	149
336	2,0	32,59	6,6	39,57	264	149
337	0,2	4,0	2,6	1,0	296	149
338	0,6	4,0	7,12	4,12	290	149
340	8,2	17,29	14,4	24,27	460	149
341	0,0	2,0	0,4	4,2	262	149
342	3,0	20,2	10,8	16,18	342	149
343	125,117	0,0	79,126	5,4	247	149
344	10,5	25,9	2,12	20,36	239	149
345	3,8	163,143	0,6	208,251	414	149
346	3,7	296,303	6,2	266,326	243	149
347	3,8	46,21	2,0	18,51	325	149
348	60,55	1143,1242	51,50	1199,1507	228	149
349	8,25	113,78	24,19	83,87	224	149
350	20,6	28,26	14,44	34,31	733	149
352	422,487	6,2	605,505	15,0	466	149
353	9,16	18,27	4,2	46,64	242	149
354	2,6	25,26	4,7	31,44	283	149
355	10,32	0,2	8,27	4,4	360	149
357	5,8	18,16	0,0	32,7	265	149
360	6,2	63,56	8,10	67,73	511	149
362	24,2	94,76	12,22	101,118	719	149
363	17,14	69,69	12,12	80,100	322	149
364	26,43	91,62	41,55	153,114	280	149
367	0,0	4,2	8,0	29,8	251	149
369	8,0	0,2	4,4	0,8	264	149
370	38,23	0,0	33,23	0,4	464	149
371	15,18	30,12	10,2	4,32	453	149
372	13,12	8,4	26,25	8,15	179	149
373	8,0	4,0	12,0	20,2	247	149
374	0,1	76,89	10,4	89,124	242	149
375	11,8	98,131	35,12	174,245	248	149
376	2,0	4,0	0,2	20,20	221	149
377	27,32	13,4	35,20	4,16	237	149
378	9,12	397,385	10,3	387,475	245	149
379	8,3	75,59	2,4	88,99	268	149
381	28,48	451,530	57,72	695,543	488	149
382	30,37	36,22	56,68	20,45	688	149
383	10,2	0,0	12,0	2,0	344	149
384	0,0	6,2	0,8	2,8	234	149
388	18,10	14,12	31,19	10,29	254	149
389	6,10	31,71	12,26	97,85	447	149
390	4,13	139,151	16,18	150,197	383	149
391	4,2	58,52	2,0	32,57	229	149
392	4,2	7,22	16,9	8,16	335	149
393	0,0	51,75	8,9	94,68	321	149
394	18,18	78,50	53,47	109,112	531	149
395	149,136	44,30	194,203	54,28	233	149
396	4,10	116,136	11,6	171,159	218	149
397	0,5	40,40	7,19	76,67	487	149
398	0,0	0,2	5,0	4,0	236	149
399	2,0	2,4	0,0	3,0	235	149
400	6,12	15,20	22,6	23,14	228	149
401	2,2	12,21	2,2	33,38	254	149
402	23,27	67,67	11,9	73,59	240	149
403	21,27	7,16	11,9	18,24	235	149
404	54,61	53,67	70,54	33,65	675	149
405	17,45	33,26	42,22	24,48	258	149
406	33,57	2,0	57,32	0,0	283	149
407	4,6	12,22	2,10	2,2	477	149
408	0,4	22,38	4,0	14,17	220	149
409	5,0	16,18	0,0	21,19	222	149
411	2,4	26,35	0,0	20,68	240	149
413	152,106	2,0	116,133	0,0	237	149
414	20,19	6,28	29,12	4,28	734	149
417	16,28	345,340	22,41	354,378	236	149
418	7,0	98,83	4,8	145,105	233	149
419	8,4	19,10	2,0	12,16	428	149
420	0,2	49,39	14,12	61,75	231	149
421	4,4	0,0	12,0	8,2	232	149
423	11,12	28,50	12,16	38,24	264	149
424	0,6	0,6	8,4	10,16	459	149
425	17,14	4,0	16,29	0,0	257	149
426	31,26	30,33	43,55	22,35	682	149
428	3,2	37,40	4,0	80,72	230	149
429	2,2	22,17	2,0	38,14	234	149
430	0,2	17,15	0,2	30,32	224	149
431	2,0	0,2	2,0	0,16	679	149
432	8,2	74,108	10,12	122,236	241	149
433	13,8	43,42	30,8	31,31	242	149
436	18,4	24,19	4,10	21,34	337	149
437	10,6	138,135	14,12	178,166	231	149
438	2,0	0,7	8,0	5,8	239	149
439	0,6	2,4	6,0	5,2	227	149
440	0,6	8,4	6,0	15,12	230	149
441	2,10	14,14	4,6	10,14	248	149
442	8,4	56,56	3,14	87,114	277	149
443	2,0	2,0	2,0	0,0	479	149
444	5,0	27,8	8,10	7,16	615	149
445	22,19	225,255	24,36	298,246	275	149
446	3,8	102,133	5,4	158,131	269	149
447	8,4	222,217	2,9	271,296	241	149
448	26,30	124,90	27,22	151,199	240	149
449	4,4	13,2	0,0	22,14	365	149
450	18,3	23,0	10,6	10,11	277	149
451	19,10	0,0	11,12	2,0	538	149
452	8,2	4,0	9,11	0,0	510	149
453	8,0	2,0	6,8	0,2	477	149
454	18,16	76,65	7,15	64,87	266	149
455	4,8	215,201	22,10	280,229	357	149
456	0,2	103,71	0,2	113,118	281	149
457	0,0	8,3	1,0	4,4	419	149
458	16,8	100,98	36,24	155,148	247	149
459	12,0	55,38	14,8	45,46	212	149
460	0,8	37,19	4,4	53,32	384	149
461	0,0	1,17	6,2	17,0	452	149
462	6,6	27,50	20,18	26,26	744	149
463	0,6	14,16	0,1	30,18	217	149
464	0,6	15,2	0,0	10,8	238	149
465	0,11	55,38	4,19	81,85	240	149
466	4,0	24,11	2,10	8,18	439	149
467	0,0	0,2	2,0	10,4	339	149
468	2,0	2,0	6,3	5,0	259	149
469	4,18	0,0	4,10	14,6	252	149
470	0,0	8,18	3,0	19,12	231	149
472	5,6	1049,1031	18,8	1275,1272	235	149
473	166,126	18,19	237,200	62,54	348	149
474	50,34	3210,3157	75,77	4219,4552	342	149
476	51,59	15,8	50,39	34,11	438	149
477	35,34	9,10	42,36	10,7	451	149
481	6,4	87,74	6,6	101,147	225	149
482	24,6	47,50	32,32	66,54	253	149
483	14,10	83,110	32,35	115,136	236	149
484	1,4	103,85	8,4	173,190	236	149
485	0,0	2,0	0,3	0,0	222	149
486	8,2	0,7	6,4	45,19	237	149
487	6,4	2,4	6,12	2,10	238	149
488	10,15	0,10	22,22	0,0	278	149
489	10,7	0,0	6,20	2,1	260	149
490	12,2	0,0	4,28	2,0	331	149
491	2,8	0,0	10,22	2,0	335	149
492	50,64	4,6	85,137	0,6	647	149
493	46,58	0,10	79,117	2,1	395	149
495	12,4	6,2	24,27	2,2	277	149
496	13,30	50,21	19,30	58,28	397	149
497	8,4	95,126	23,6	107,174	520	149
498	12,4	63,57	8,12	63,57	243	149
500	18,0	33,37	12,22	45,22	231	149
501	0,2	16,14	0,0	2,8	224	149
502	2,6	25,29	2,6	34,40	341	149
503	12,16	6,4	2,6	2,6	264	149
504	2,13	38,30	15,22	27,43	330	149
505	4,2	0,0	6,2	0,3	241	149
506	4,4	0,0	12,4	0,5	254	149
507	1,4	2,0	3,8	2,0	257	149
508	0,2	9,31	2,2	20,2	241	149
509	2,0	18,10	3,0	10,14	329	149
510	26,16	133,182	28,56	232,195	357	149
511	26,22	171,122	21,17	153,181	266	149
512	4,4	41,46	0,4	48,72	328	149
513	6,4	6,10	2,2	24,12	247	149
514	4,24	0,0	8,38	4,2	230	149
515	0,4	0,0	0,8	0,2	494	149
