ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1295,1328	0,0	1785,1961	4,4	238	149
2	166,230	0,0	224,291	0,2	211	149
3	2865,2902	0,0	3631,3729	0,2	223	149
4	20,32	0,0	21,40	0,10	199	149
5	236,227	0,0	271,321	4,0	229	149
6	0,2	34,31	0,2	40,22	170	149
7	29,27	10,0	23,21	14,14	207	149
9	186,114	2,0	146,198	0,0	269	149
10	10,6	2,6	14,20	0,10	279	149
13	80,84	0,0	97,129	0,1	297	149
14	4,0	6,2	0,0	4,0	279	149
15	0,0	2,2	0,2	4,6	208	149
16	4,0	6,2	0,0	4,0	208	149
17	148,121	6,18	203,140	0,8	219	149
19	209,166	0,0	214,153	2,0	218	149
20	45,57	0,0	52,80	0,2	224	149
21	250,238	2,0	297,250	0,0	252	149
22	2,27	8,0	21,20	0,0	202	149
23	10,27	8,0	21,18	0,0	205	149
24	16,12	0,2	23,15	0,0	211	149
25	6,10	4,2	29,18	2,5	191	149
28	216,251	0,2	355,334	0,0	238	149
29	173,156	2,0	239,196	0,0	215	149
30	51,44	0,5	33,59	0,0	236	149
31	8,7	46,84	0,7	59,90	178	149
32	22,23	46,84	28,31	59,90	182	149
33	269,188	0,6	315,331	0,0	227	149
34	1186,1162	0,0	1246,1452	2,0	221	149
35	28,51	0,0	28,24	0,2	231	149
36	721,577	0,0	787,876	0,2	219	149
37	62,60	3,0	57,61	0,0	224	149
38	201,174	0,2	103,99	0,0	266	149
39	18,8	0,0	0,7	0,2	223	149
40	374,376	0,0	412,456	4,2	167	149
41	67,95	3,0	162,159	4,0	216	149
42	8,11	309,294	0,16	363,407	295	149
43	0,5	0,0	6,8	2,0	196	149
44	2,0	269,323	0,0	368,439	214	149
45	22,17	6,16	32,48	2,6	492	149
46	14,26	55,67	38,16	62,76	207	149
47	8,19	55,67	33,55	62,76	210	149
48	167,174	1,3	197,265	4,2	245	149
51	22,20	1,0	16,27	0,0	219	149
52	101,101	0,1	126,124	0,0	211	149
53	15,10	4,0	6,3	0,0	283	149
54	17,14	4,0	12,13	0,0	262	149
55	21,14	0,6	10,14	0,1	262	149
56	22,2	0,6	7,0	0,1	219	149
57	20,8	10,8	13,0	4,3	219	149
58	34,32	4,0	31,26	0,0	248	149
59	11,4	4,1	34,14	8,8	197	149
60	158,217	0,0	288,258	0,4	384	149
62	287,369	0,1	386,422	0,0	556	149
63	19,53	0,0	68,81	0,4	189	149
64	190,181	4,0	156,205	12,1	205	149
66	128,158	4,0	146,151	0,0	224	149
67	53,43	2,0	72,79	0,0	239	149
68	30,41	4,12	62,45	15,0	196	149
69	12,40	1,6	60,60	8,6	196	149
70	4,17	1,6	21,10	8,6	194	149
71	8,11	2,14	15,17	9,22	194	149
72	62,82	0,0	55,71	0,2	365	149
75	1319,1322	0,0	1824,2134	0,4	210	149
76	7228,7191	10,2	6828,7435	0,0	3718	149
78	29,19	0,0	45,32	1,8	273	149
79	73,59	0,0	87,95	0,4	245	149
80	12,15	15,6	4,16	13,8	238	149
81	103,90	0,0	152,168	0,2	260	149
82	12,14	2,0	25,20	0,6	210	149
84	16,18	0,0	32,16	0,2	206	149
86	4498,4284	0,0	5437,5896	0,2	1042	149
87	6,8	76,59	18,23	45,61	230	149
88	71,66	34,29	77,86	10,12	230	149
89	51,55	0,0	58,64	0,2	201	149
90	143,103	8,2	184,128	1,0	191	149
91	8,32	2,0	39,59	0,0	285	149
92	0,0	2,0	0,4	0,0	212	149
94	112,125	4,12	133,198	2,12	190	149
95	68,29	0,2	67,58	0,0	232	149
96	54,57	0,2	67,43	0,2	263	149
97	119,129	0,2	189,188	0,0	278	149
98	99102,95454	6,0	118350,127452	2,3	299	149
99	155047,150089	6,0	189765,208366	2,3	284	149
100	128,112	2,2	168,157	0,6	367	149
101	84,77	0,0	79,107	2,0	234	149
104	0,3	6,0	2,5	2,2	220	149
105	8,8	6,0	0,20	2,2	192	149
106	0,8	10,4	0,12	8,2	192	149
107	53,23	2,0	36,49	6,2	195	149
109	53,50	6,0	29,37	0,2	255	149
110	11,14	2,0	29,36	0,0	240	149
112	1096,987	2,0	1202,1297	0,8	208	149
114	0,4	271,296	2,0	386,491	222	149
115	67,69	0,0	100,136	2,0	187	149
117	69,65	8,0	113,100	4,0	216	149
118	1404,1212	0,0	1492,1718	0,4	647	149
119	19,20	0,0	28,70	4,0	215	149
120	64,40	0,0	82,99	0,6	232	149
121	1196,1243	0,2	1714,1764	0,0	316	149
123	28,24	0,2	57,46	2,1	208	149
125	56,46	42,35	108,80	34,50	356	149
126	0,4	0,0	0,0	6,0	230	149
129	88,89	0,11	119,106	0,0	211	149
130	10,10	0,0	32,14	3,2	263	149
131	163,181	0,0	243,276	0,2	242	149
134	2,2	5,8	3,0	28,6	173	149
137	17,27	0,0	60,53	2,10	210	149
138	86,67	0,0	101,86	0,2	207	149
140	16,8	14,6	14,14	13,22	185	149
142	180,180	5,4	247,268	6,9	244	149
143	28,38	0,4	60,80	0,0	178	149
144	22,4	8,13	4,8	22,14	231	149
145	590,604	0,0	804,772	0,2	768	149
146	657,670	0,0	900,871	0,2	810	149
147	125,104	2,0	138,211	0,2	277	149
148	24,56	10,0	38,74	2,0	237	149
149	154,124	0,0	115,114	0,4	231	149
150	113,55	0,0	105,127	0,2	232	149
152	206,188	0,2	242,306	0,0	212	149
154	188,149	0,0	264,272	2,0	255	149
155	852,762	0,0	921,1019	0,2	221	149
156	196,190	2,0	283,242	0,0	221	149
160	0,0	6,0	18,6	2,6	229	149
161	516,448	0,0	612,732	0,4	201	149
163	10,6	6,13	6,10	2,0	268	149
165	78,97	0,0	60,143	0,1	184	149
166	40,39	68,111	50,60	142,98	155	149
167	44,58	0,0	63,53	0,2	368	149
168	3,10	0,2	15,6	0,2	211	149
170	2037,1999	6,0	2778,3331	6,0	231	149
172	73,84	4,0	69,113	0,0	226	149
173	76,87	0,8	79,77	6,4	238	149
174	150,159	0,8	164,179	6,4	247	149
175	71,62	0,2	79,98	0,0	176	149
176	149,163	0,0	219,146	4,0	219	149
177	343,370	0,0	516,481	4,0	216	149
178	43,66	0,6	82,81	0,2	208	149
179	55,39	0,2	48,77	0,0	382	149
180	6,0	0,2	0,2	0,2	209	149
181	518,513	0,2	581,643	0,0	219	149
182	4,0	83,57	4,0	53,43	276	149
183	183,110	0,2	134,207	0,0	196	149
185	17,56	0,0	47,28	12,0	191	149
186	74,40	0,4	26,61	0,0	216	149
187	704,716	0,0	815,886	0,8	266	149
188	375,399	0,0	405,551	4,0	266	149
189	292,267	0,0	343,375	4,0	249	149
190	502,503	0,0	604,659	4,0	218	149
193	202,121	0,2	234,258	4,0	199	149
195	246,311	21,24	421,321	22,16	190	149
196	104,118	0,5	75,112	0,0	206	149
197	128,86	0,0	129,140	2,0	257	149
198	52,64	0,12	96,110	0,0	254	149
202	129,86	411,306	140,141	301,433	574	149
203	8,10	0,0	10,13	8,0	378	149
206	20,0	0,0	20,14	2,0	194	149
207	2,8	4,6	4,1	0,6	215	149
208	8,2	0,0	9,14	0,2	220	149
210	220,166	2,0	207,223	0,0	232	149
211	113,63	2,0	151,137	0,0	229	149
212	87,79	0,4	52,101	0,0	215	149
213	6,4	25,29	2,6	34,40	151	149
214	48,78	0,0	111,86	0,2	187	149
215	559,597	0,0	677,731	0,2	248	149
216	443,480	8,10	503,604	6,1	209	149
219	2,0	15,16	0,0	11,24	267	149
220	2,0	15,16	2,0	11,24	279	149
221	200,209	0,4	241,333	6,2	193	149
222	10,14	2,0	28,14	0,0	224	149
223	2,2	8,8	0,2	8,10	236	149
224	22,15	0,0	22,22	2,0	241	149
225	6,0	832,766	2,0	757,743	248	149
227	296,239	0,0	328,456	4,0	167	149
228	238,256	4,2	291,332	0,0	205	149
229	136,117	2,0	189,150	0,0	480	149
230	21,48	12,14	32,76	34,12	247	149
231	20,41	4,0	31,25	2,4	250	149
232	29,44	4,0	39,61	2,0	266	149
233	759,792	0,0	795,992	0,2	212	149
234	13,3	0,0	19,18	6,0	254	149
236	235,264	0,2	292,356	0,0	224	149
237	64,70	0,0	50,40	0,4	300	149
238	3106,3300	0,8	3759,3831	0,0	265	149
239	116,109	0,0	96,160	0,2	284	149
240	791,742	8,0	958,1115	0,0	168	149
241	1136,1109	0,2	1281,1447	0,0	214	149
242	4,0	13,10	0,2	10,17	304	149
243	0,0	13,10	0,2	10,17	290	149
244	171,212	4,0	240,223	4,8	233	149
249	373,354	0,0	445,397	6,0	252	149
250	2,32	517,457	10,12	563,746	239	149
251	71,55	0,4	43,59	0,0	318	149
252	446,448	0,0	456,658	2,0	206	149
253	440,399	0,0	469,408	0,2	224	149
256	564,527	0,2	797,770	6,8	183	149
258	15,21	2,0	24,34	0,0	225	149
259	204,169	0,0	155,204	2,0	227	149
260	767,728	0,0	845,986	0,6	257	149
262	10,13	55,57	11,19	34,63	241	149
263	146,92	55,57	99,100	34,63	222	149
264	22,29	55,57	36,35	34,63	165	149
265	4,20	0,0	13,8	0,4	191	149
266	4,2	0,0	6,6	0,4	216	149
267	7246,7219	0,0	8886,10392	4,0	227	149
268	486,370	4,0	451,493	0,0	259	149
269	403,420	2,0	435,460	0,0	206	149
270	79,63	4,2	57,62	4,5	170	149
271	10,9	4,2	14,11	4,5	208	149
273	184,117	0,0	184,166	2,0	281	149
275	65,51	162,113	72,62	162,152	336	149
276	65,43	162,113	67,62	162,152	315	149
277	20,22	162,113	22,20	162,152	186	149
278	64,62	0,0	52,84	6,0	172	149
280	39,74	2,0	88,123	0,0	207	149
281	193,261	2,0	338,325	0,0	218	149
282	888,889	0,0	1297,1437	2,0	344	149
286	48,17	4,10	26,38	1,6	191	149
287	69,49	175,157	116,84	251,169	201	149
288	181,212	175,157	304,284	251,169	214	149
289	132,162	9,8	179,187	2,8	214	149
290	2,11	2,6	6,8	0,0	171	149
291	45,28	6,0	54,48	2,0	182	149
292	143,93	0,0	191,169	2,0	272	149
293	217,202	2,4	226,274	3,0	259	149
294	91,103	0,2	133,141	0,0	510	149
295	357,322	0,2	396,442	0,0	231	149
297	202,159	12,13	256,256	10,2	185	149
298	2,0	0,4	0,0	2,0	218	149
299	143,115	2,0	102,187	4,2	264	149
300	697,592	26,6	695,633	15,9	406	149
302	2599,2253	3,0	2557,2921	4,2	197	149
303	0,5	14,24	2,2	19,6	197	149
304	9,12	0,0	14,6	0,2	266	149
305	42,33	0,0	40,84	4,4	259	149
307	9,12	115,140	10,2	127,127	327	149
308	5,12	115,140	7,7	127,127	403	149
309	4,2	115,140	0,2	127,127	229	149
310	0,0	0,4	0,2	0,0	178	149
311	4,8	8,22	3,2	16,15	389	149
