IncLevel1	IncLevel2	IncLevelDifference
0.444,0.854	0.544,1.0	-0.123
0.212,0.226	0.152,0.167	0.059
0.595,0.344	0.47,0.497	-0.014
0.143,0.135	0.107,0.276	-0.052
0.793,0.663	0.807,0.745	-0.048
0.983,0.976	0.968,0.898	0.046
0.243,0.31	0.367,0.384	-0.099
0.435,0.356	0.308,0.402	0.04
0.941,1.0	0.974,1.0	-0.017
0.281,0.269	0.349,0.278	-0.038
0.931,0.935	0.94,0.939	-0.006
1.0,0.0	0.571,0.2	0.115
0.268,0.29	0.222,0.237	0.05
0.049,0.076	0.279,0.128	-0.141
0.765,0.83	0.619,0.758	0.109
0.513,0.503	0.603,0.35	0.032
0.554,0.346	0.432,0.653	-0.092
0.424,0.446	0.644,0.349	-0.061
0.189,0.45	0.304,0.383	-0.024
0.54,0.413	0.362,0.438	0.077
0.546,0.473	0.555,0.508	-0.022
0.55,1.0	0.5,0.5	0.275
0.515,0.68	0.0,0.0	0.598
0.188,0.108	0.184,0.297	-0.092
1.0,0.605	0.791,1.0	-0.093
0.429,0.449	0.333,0.51	0.018
0.808,0.771	0.798,0.886	-0.052
0.43,0.498	0.532,0.364	0.016
0.0,0.0	0.172,0.0	-0.086
