ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	33,14	9,10	12,18	20,8	232	149	0.507456351786	1.0	0.702,0.473	0.278,0.591	0.153
2	1,4	75,76	0,5	91,82	178	149	1	1.0	0.011,0.042	0.0,0.049	0.002
3	179,143	0,6	151,178	11,10	158	149	1	1.0	1.0,0.957	0.928,0.944	0.042
4	259,309	13,12	280,385	11,9	155	149	1	1.0	0.95,0.961	0.961,0.976	-0.013
8	107,72	2,0	129,122	0,2	159	149	1	1.0	0.98,1.0	1.0,0.983	-0.002
10	150,158	2,0	175,193	0,2	153	149	1	1.0	0.986,1.0	1.0,0.989	-0.001
11	8,17	8,3	10,10	0,7	182	149	0.803320263225	1.0	0.45,0.823	1.0,0.539	-0.133
13	16,4	31,21	4,16	42,44	160	149	1	1.0	0.325,0.151	0.081,0.253	0.071
14	0,0	35,27	0,3	54,55	298	149	1	1.0	0.0,0.0	0.0,0.027	-0.013
15	407,400	4,4	639,648	0,0	154	149	1	1.0	0.99,0.99	1.0,1.0	-0.01
16	85,88	0,0	183,115	2,0	156	149	1	1.0	1.0,1.0	0.989,1.0	0.006
17	21,2	67,53	0,16	75,59	152	149	1	1.0	0.235,0.036	0.0,0.21	0.03
18	30,52	12,8	31,26	10,16	157	149	0.806960453336	1.0	0.703,0.861	0.746,0.607	0.106
20	34,54	0,2	41,86	0,10	167	149	1	1.0	1.0,0.96	1.0,0.885	0.037
22	1,4	0,2	8,6	0,4	161	149	1	1.0	1.0,0.649	1.0,0.581	0.034
23	6,2	4,2	29,8	2,5	295	149	0.198070975076	1.0	0.431,0.336	0.88,0.447	-0.28
24	4048,4265	634,593	4786,4792	1003,1007	155	149	1	1.0	0.86,0.874	0.821,0.821	0.046
25	21,24	12,21	35,18	5,8	158	149	0.129321318957	1.0	0.623,0.519	0.868,0.68	-0.203
26	4,4	31,43	2,3	20,28	161	149	1	1.0	0.107,0.079	0.085,0.09	0.006
27	2,4	25,31	8,12	28,17	170	149	0.139879574746	1.0	0.066,0.102	0.2,0.382	-0.207
28	4,0	6,8	4,2	21,10	298	149	1	1.0	0.25,0.0	0.087,0.091	0.036
29	4,0	50,29	4,2	44,59	298	149	1	1.0	0.038,0.0	0.043,0.017	-0.011
30	6,8	50,29	21,10	44,59	161	149	1	1.0	0.1,0.203	0.306,0.136	-0.069
32	0,2	21,38	2,2	33,48	298	149	1	1.0	0.0,0.026	0.029,0.02	-0.012
33	61,69	41,26	68,52	68,45	156	149	0.411844751328	1.0	0.587,0.717	0.489,0.525	0.145
35	81,60	0,10	88,85	7,6	152	149	1	1.0	1.0,0.855	0.925,0.933	-0.002
36	18,2	30,38	0,14	26,51	186	149	1	1.0	0.325,0.04	0.0,0.18	0.092
