IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
33,14	9,10	12,18	20,8	232	149
1,4	75,76	0,5	91,82	178	149
179,143	0,6	151,178	11,10	158	149
259,309	13,12	280,385	11,9	155	149
107,72	2,0	129,122	0,2	159	149
150,158	2,0	175,193	0,2	153	149
8,17	8,3	10,10	0,7	182	149
16,4	31,21	4,16	42,44	160	149
0,0	35,27	0,3	54,55	298	149
407,400	4,4	639,648	0,0	154	149
85,88	0,0	183,115	2,0	156	149
21,2	67,53	0,16	75,59	152	149
30,52	12,8	31,26	10,16	157	149
34,54	0,2	41,86	0,10	167	149
1,4	0,2	8,6	0,4	161	149
6,2	4,2	29,8	2,5	295	149
4048,4265	634,593	4786,4792	1003,1007	155	149
21,24	12,21	35,18	5,8	158	149
4,4	31,43	2,3	20,28	161	149
2,4	25,31	8,12	28,17	170	149
4,0	6,8	4,2	21,10	298	149
4,0	50,29	4,2	44,59	298	149
6,8	50,29	21,10	44,59	161	149
0,2	21,38	2,2	33,48	298	149
61,69	41,26	68,52	68,45	156	149
81,60	0,10	88,85	7,6	152	149
18,2	30,38	0,14	26,51	186	149
33,41	6,0	26,33	2,0	152	149
0,8	6,2	4,2	8,10	169	149
10,10	89,120	26,15	139,127	236	149
21,42	4,2	60,52	0,0	180	149
2,0	8,2	0,6	12,6	159	149
8,0	10,14	6,6	7,2	164	149
4,0	10,12	4,0	16,12	166	149
10,6	0,10	4,6	4,12	167	149
13,17	2,0	35,23	8,14	298	149
0,4	2,0	4,5	8,14	298	149
4,2	13,13	2,8	31,22	190	149
8,9	14,18	16,50	15,12	152	149
10,8	0,0	1,18	2,0	243	149
18,11	0,4	17,39	0,0	227	149
10,16	16,34	10,27	16,24	152	149
0,0	0,2	0,2	0,0	175	149
18,10	8,2	12,8	6,4	152	149
847,817	0,2	915,1003	0,0	154	149
4,5	0,6	7,5	0,1	297	149
6,13	10,8	13,7	4,3	297	149
36,60	0,0	56,60	6,6	164	149
39,35	0,0	57,45	6,4	152	149
10,10	0,0	14,28	2,0	210	149
12,8	14,17	4,15	21,4	158	149
9,16	0,0	13,13	0,5	152	149
0,0	0,2	4,0	2,0	211	149
4,14	0,2	0,4	0,0	170	149
5,2	8,0	20,0	0,4	234	149
31,51	0,0	55,87	0,4	298	149
16,12	0,0	24,27	5,0	170	149
138,123	4,0	140,136	12,1	298	149
20,0	26,28	15,18	21,24	152	149
0,10	71,45	0,8	69,58	165	149
218,157	41,60	144,161	33,22	152	149
167,145	53,122	144,177	58,58	152	149
52,57	2,4	67,71	12,4	164	149
10,0	19,29	8,18	32,22	298	149
4,0	1,4	14,8	6,0	182	149
0,6	20,22	0,0	36,41	158	149
0,0	14,19	4,10	22,32	167	149
509,500	0,0	593,709	0,4	153	149
38,76	246,278	55,68	190,291	232	149
14,4	43,53	14,11	67,86	163	149
17,8	0,0	35,26	4,0	164	149
39,35	27,16	54,73	19,42	156	149
114,88	8,2	141,102	1,0	288	149
2,3	82,120	5,0	88,112	182	149
282,240	4,13	277,320	2,20	161	149
3,8	1104,1115	12,5	1416,1565	158	149
8,16	0,0	5,6	2,0	164	149
2,0	6,6	0,0	14,14	165	149
0,3	16,5	14,4	21,10	152	149
0,0	4,16	0,8	4,2	152	149
27,23	4,12	8,20	9,24	158	149
44,24	0,2	50,38	0,0	298	149
0,6	0,0	2,4	0,4	181	149
31,37	0,0	48,38	4,0	222	149
6,2	65,59	6,26	68,54	170	149
8,2	776,760	18,13	1143,1122	185	149
57531,56080	866,847	73030,82758	1031,1110	170	149
0,2	6,0	1,0	2,2	298	149
4,9	6,0	1,16	2,2	298	149
20,16	8,10	31,15	6,10	298	149
17,22	2,0	26,14	6,10	298	149
6,14	2,0	4,11	2,0	166	149
4,4	291,261	2,8	361,311	298	149
16,11	2,0	29,42	6,2	298	149
22,44	482,512	51,65	718,743	168	149
52,41	8,24	59,55	20,57	154	149
5,2	54,85	5,7	97,111	298	149
8,11	2,0	4,14	4,0	154	149
0,0	10,8	4,0	28,18	161	149
0,6	78,39	14,0	66,124	298	149
0,1	125,77	1,1	137,218	197	149
19,14	13,7	21,34	18,10	209	149
569,587	0,2	876,1024	0,0	218	149
28,56	6,6	85,69	8,6	171	149
18,4	2,8	6,19	2,0	158	149
36,31	13,9	30,60	26,31	157	149
0,2	9,0	12,8	2,0	298	149
4,4	0,0	10,6	2,2	161	149
31,33	42,35	75,64	34,50	298	149
1,4	36,50	1,6	60,28	179	149
21,12	2,0	30,20	2,0	158	149
0,2	47,77	4,0	69,51	298	149
7,2	4,6	3,0	3,2	164	149
2,0	42,27	2,2	40,73	161	149
21,25	0,8	22,44	2,3	210	149
101,120	20,5	157,243	0,2	188	149
4,6	20,39	7,6	27,55	166	149
27,6	72,86	13,23	71,127	152	149
21,19	2,0	17,14	0,0	156	149
117,115	14,6	83,117	13,22	283	149
53,51	4,6	78,74	4,2	152	149
0,9	24,33	2,9	16,54	190	149
6,12	2,0	27,28	2,0	152	149
18,27	0,0	14,29	5,0	161	149
24,37	0,0	50,67	2,8	298	149
942,946	11,24	908,1083	8,15	152	149
69,67	18,10	140,126	11,15	164	149
1,2	31,11	14,8	40,4	209	149
4,10	0,0	0,10	6,0	155	149
2,0	0,2	0,0	0,8	178	149
85,60	0,0	76,56	12,0	155	149
0,0	46,31	0,6	27,28	176	149
8,3	8,24	6,12	7,39	159	149
2,0	49,9	2,0	17,44	182	149
248,239	24,8	271,263	16,6	161	149
55,77	7,22	102,68	8,16	163	149
4,6	61,63	12,10	97,102	168	149
10,4	81,75	10,24	58,83	298	149
42,18	6,1	41,31	11,11	202	149
2,2	567,448	1,6	496,615	298	149
36,18	4,4	4,4	13,9	163	149
3,8	19,16	2,14	26,22	152	149
2,9	196,224	10,4	314,340	152	149
2,2	6,14	8,9	6,6	170	149
14,10	18,19	6,5	21,22	152	149
114,71	0,2	93,124	2,0	160	149
33,31	142,107	50,35	109,136	152	149
8,17	264,223	26,20	223,284	173	149
37,27	4,4	19,53	0,4	161	149
16,10	2,4	10,12	6,6	152	149
3,0	105,95	4,14	168,196	298	149
50,35	170,126	100,79	256,236	152	149
62,87	51,39	59,110	68,104	152	149
4,6	95,152	8,4	138,170	152	149
9,5	219,237	0,2	261,286	180	149
2,4	8,4	5,2	15,12	152	149
4,4	31,33	4,4	18,34	203	149
9,7	31,33	4,6	18,34	224	149
13,20	15,20	15,28	2,6	152	149
25,17	41,14	17,0	28,26	158	149
20,6	3,0	22,14	0,4	176	149
45,40	10,19	43,38	38,25	152	149
37,2	1,0	10,13	0,0	298	149
15,8	0,0	2,1	2,0	177	149
13,10	0,0	5,6	2,0	210	149
2,2	4,0	3,5	0,0	182	149
0,2	4,16	2,2	5,38	152	149
3326,3249	18,19	4381,4675	62,54	155	149
139,106	18,19	204,157	62,54	254	149
31,14	3210,3157	42,34	4219,4552	248	149
3,2	34,66	2,5	40,46	203	149
19,18	10,16	24,56	0,1	182	149
2,4	0,2	20,34	0,0	194	149
33,37	53,30	43,56	27,44	152	149
0,8	0,10	18,3	0,0	167	149
6,15	0,10	18,20	0,0	189	149
6,7	0,0	2,18	2,1	171	149
30,7	111,102	28,17	152,171	189	149
13,5	397,302	39,22	682,693	298	149
18,18	25,29	4,12	34,40	266	149
108,142	12,11	142,113	7,8	152	149
10,33	2,0	21,8	2,0	165	149
48,49	31,22	61,67	35,37	152	149
241,204	12,6	317,296	14,24	161	149
79,103	2,6	84,123	4,0	186	149
12,46	2,6	31,43	4,0	198	149
10,21	77,78	13,10	66,90	161	149
0,2	23,17	0,0	24,37	155	149
25,24	4,0	39,62	2,0	298	149
87,78	0,0	165,185	0,4	290	149
6,2	0,0	3,0	12,16	161	149
32,6	0,0	17,27	12,16	180	149
0,4	4,0	2,0	0,7	158	149
2,0	0,0	4,6	2,0	152	149
0,6	0,0	6,2	0,4	152	149
27,38	2,21	26,18	1,0	165	149
0,0	47,27	8,2	23,49	160	149
6,0	2,0	14,19	0,2	160	149
34,30	2,0	46,30	0,0	156	149
6,12	36,34	13,4	73,80	163	149
32,14	7,34	20,36	43,60	152	149
10,0	15,6	14,0	26,26	154	149
26,21	2,3	20,19	3,6	168	149
12,4	6,0	20,6	6,0	162	149
32,34	252,209	58,43	214,260	298	149
26,30	252,209	44,37	214,260	298	149
91,55	0,4	121,83	4,4	158	149
10,13	3,13	18,12	2,4	152	149
25,9	0,0	13,19	6,6	168	149
222,214	337,367	297,332	455,512	212	149
12,9	4,0	11,2	8,0	154	149
18,10	6,0	12,30	0,0	155	149
4,6	14,25	22,4	10,30	152	149
7,14	3,8	24,12	18,6	212	149
11,3	14,12	10,6	7,24	278	149
15,38	517,457	12,35	563,746	298	149
0,2	24,21	0,0	40,30	168	149
6,7	0,0	16,19	3,0	155	149
0,4	33,56	6,2	62,91	298	149
342,293	0,13	401,389	5,10	170	149
7,2	108,121	13,5	161,191	194	149
12,16	6,12	26,8	6,12	152	149
18,24	0,2	36,43	0,0	226	149
40,36	8,5	55,75	2,11	226	149
220,193	54,83	280,290	53,48	169	149
14,10	352,315	44,18	358,390	158	149
16,5	32,23	8,2	28,21	159	149
30,10	8,3	17,21	9,2	222	149
2,2	2,20	4,6	11,8	174	149
69,58	0,0	59,53	2,4	170	149
72,59	4,2	55,55	4,5	298	149
3,3	4,2	10,8	4,5	298	149
0,2	0,6	0,0	4,2	168	149
2,4	0,4	6,0	2,0	154	149
289,177	16,6	294,352	12,10	191	149
131,109	12,3	188,195	7,2	152	149
113,145	194,139	149,223	225,260	298	149
428,400	2,2	413,483	0,0	152	149
0,0	288,358	2,0	478,399	298	149
2,10	8,4	19,26	10,4	154	149
68,76	162,113	90,102	162,152	298	149
0,7	175,211	0,6	257,220	194	149
6,2	4,14	4,2	18,9	152	149
5,0	0,4	0,0	10,15	159	149
158,191	4,0	250,202	0,0	160	149
34,27	38,21	60,74	34,24	225	149
28,18	44,50	60,52	30,39	298	149
0,0	1229,1110	4,0	1448,1644	298	149
26,26	2,2	24,30	0,0	224	149
1,0	274,270	0,2	360,352	160	149
220,279	4,2	266,259	0,3	164	149
4,0	6,10	4,2	8,6	166	149
12,10	0,0	13,10	2,2	209	149
14,20	0,0	17,14	2,2	192	149
2,1	297,274	4,10	415,499	163	149
37,20	6,0	52,48	2,0	298	149
23,6	1,0	10,25	4,4	185	149
157,183	0,4	245,240	0,0	195	149
2,6	268,225	18,10	281,321	298	149
2,8	6,10	6,2	8,22	152	149
5,19	141,171	38,34	148,203	270	149
108,97	46,28	140,121	25,35	185	149
59,114	0,8	71,85	0,0	158	149
50,55	0,2	66,70	1,0	155	149
18,44	4,2	6,34	10,8	242	149
152,109	20,15	70,157	37,49	152	149
8,11	0,0	10,8	0,2	275	149
78,100	2,9	116,106	4,2	152	149
10,12	340,322	18,11	353,406	162	149
0,0	0,2	0,2	2,19	164	149
10,4	2,0	9,7	0,0	298	149
2,2	115,140	6,0	127,127	298	149
0,0	81,62	0,5	59,96	152	149
26,23	64,36	5,2	39,66	152	149
0,0	83,86	7,0	125,86	251	149
6,0	45,20	0,6	37,33	170	149
53,51	38,49	90,97	51,56	185	149
6,4	0,0	4,0	0,6	158	149
60,90	11,5	95,137	2,3	160	149
77,67	94,40	54,79	46,55	152	149
4,10	0,0	12,10	0,2	298	149
44,71	4,0	71,97	0,4	158	149
54,89	11,3	75,103	0,2	158	149
47,36	2,2	52,73	0,0	154	149
39,51	1,0	74,32	6,4	173	149
2,2	2,0	0,8	0,6	158	149
13,6	6,6	1,10	8,2	172	149
0,0	2,0	0,1	0,0	179	149
338,292	0,2	394,389	2,0	223	149
64,72	161,123	106,101	156,160	152	149
10,0	123,78	6,4	150,175	161	149
21,11	0,2	36,39	0,0	153	149
72,83	50,52	142,82	22,34	153	149
19,15	0,2	38,37	2,0	153	149
4,2	0,7	4,6	0,0	298	149
63,44	170,179	88,54	220,218	298	149
430,337	151,213	413,470	194,219	192	149
14,33	4,4	25,11	9,19	158	149
2,4	86,67	2,4	97,92	170	149
6,2	39,29	10,2	26,49	152	149
0,8	19,26	0,4	22,28	191	149
0,5	38,18	0,8	14,27	152	149
0,8	36,23	10,2	34,34	161	149
9,2	23,55	18,13	46,55	164	149
37,56	302,271	47,82	340,352	157	149
586,538	17,20	518,702	14,20	152	149
0,10	29,11	0,0	19,16	152	149
4,16	8,19	13,23	24,14	152	149
1,4	162,211	2,6	212,228	167	149
2,2	12,8	0,2	14,47	183	149
12,8	2,0	16,47	4,0	298	149
0,0	2,4	2,0	0,0	298	149
14,11	11,9	14,32	20,16	210	149
6,12	0,0	6,4	0,2	166	149
8,0	60,70	0,0	76,67	161	149
12,6	12,15	2,2	8,22	152	149
14,20	6,8	23,29	8,0	152	149
16,4	0,0	9,2	5,6	158	149
94,115	4,0	207,169	2,2	191	149
0,8	9,10	0,2	14,25	152	149
0,12	17,27	0,4	26,36	152	149
0,0	17,13	0,12	4,18	167	149
80,51	263,240	172,127	285,340	298	149
278,217	0,8	284,304	4,0	167	149
30,10	2,0	34,51	4,4	155	149
6,0	4,0	2,0	0,4	204	149
6,0	23,31	2,0	50,22	207	149
6,0	16,6	3,0	11,12	210	149
4,0	23,31	0,4	50,22	152	149
4,0	16,6	1,4	11,12	155	149
23,31	16,6	51,22	11,12	152	149
2,4	6,5	0,0	6,10	165	149
2,4	2,0	0,0	0,11	187	149
6,5	2,0	6,10	0,11	171	149
18,19	0,2	22,24	0,6	168	149
558,470	2,0	726,770	6,0	168	149
594,521	0,2	776,840	0,4	178	149
38,51	0,2	56,70	0,4	159	149
13,13	1791,1603	6,12	2178,2497	152	149
82,94	0,0	127,144	6,4	189	149
0,0	4,8	2,0	16,26	171	149
24,15	37,76	21,19	90,91	159	149
31,24	0,0	48,61	2,0	208	149
24,10	4,2	15,21	8,2	154	149
52,38	4,2	75,109	8,2	213	149
52,38	24,10	69,105	9,17	208	149
8,9	286,222	26,38	291,370	298	149
0,0	16,50	2,0	49,56	166	149
2,10	42,46	0,6	63,47	188	149
111,167	345,342	166,196	292,348	158	149
2,2	13,6	6,6	5,5	190	149
177,170	29,10	205,238	32,40	164	149
0,3	0,0	0,0	2,0	298	149
17,13	16,16	39,30	18,12	152	149
5,4	12,2	6,12	2,2	152	149
0,0	527,464	2,14	496,551	286	149
20,12	4,6	4,16	29,10	160	149
116,174	108,141	106,192	111,93	152	149
35,52	157,151	40,48	150,217	164	149
2,8	4,4	40,28	2,18	162	149
0,0	2,2	6,4	4,4	180	149
8,0	102,109	0,0	95,105	168	149
24,61	2,0	14,30	0,2	195	149
119,94	14,0	105,138	7,18	163	149
242,261	15,17	256,318	32,22	159	149
28,19	2,16	23,34	2,2	171	149
1,0	0,2	2,0	1,0	173	149
8,8	0,9	13,20	2,10	152	149
8,2	0,0	4,10	10,0	298	149
0,2	20,4	6,8	9,52	298	149
77,136	0,0	127,125	2,0	164	149
83,83	10,0	63,79	2,0	155	149
0,1	6,4	0,0	0,1	152	149
92,126	2,4	128,170	4,14	263	149
725,649	2,0	802,845	0,0	185	149
2,6	128,162	0,11	171,202	298	149
36,15	458,549	44,29	786,935	298	149
0,0	68,56	0,1	98,107	155	149
0,4	6,6	6,6	30,13	298	149
0,0	29,5	2,12	32,14	168	149
768,696	0,0	940,1117	2,0	155	149
559,504	39,34	709,757	112,125	158	149
175,175	12,4	296,288	12,8	232	149
16,36	47,85	34,33	94,91	298	149
0,4	2,0	0,1	0,0	158	149
6,6	0,0	10,9	0,2	298	149
30,26	2,2	34,33	0,0	255	149
94,69	21,22	96,118	29,48	275	149
33,43	1,7	60,41	0,0	155	149
4,29	0,2	11,14	2,0	155	149
16,25	0,2	12,20	2,0	158	149
16,17	4,21	12,18	11,12	152	149
0,1	6,0	4,2	4,16	171	149
0,10	0,0	2,0	4,0	170	149
128,79	6,0	171,114	0,0	298	149
0,2	0,4	2,0	0,1	161	149
61,58	0,2	89,76	0,4	298	149
117,140	2,0	148,141	0,0	164	149
31,16	4,2	24,31	4,9	282	149
6,5	100,92	4,4	82,109	298	149
59,49	0,0	24,59	2,2	212	149
0,2	20,22	1,0	32,18	155	149
32,24	274,305	67,57	320,456	298	149
17,26	30,19	56,62	17,49	160	149
31,41	55,36	26,39	92,57	152	149
62,59	4,0	97,88	10,0	152	149
6,14	4,0	10,10	0,4	169	149
22,34	8,2	40,69	2,19	184	149
103,99	33,35	112,79	16,33	152	149
2,0	0,6	2,2	0,0	224	149
18,7	6,4	38,28	2,0	160	149
4,6	2,0	29,22	0,0	162	149
17,36	4,8	36,25	3,13	298	149
2,2	0,4	2,4	0,0	171	149
6,4	47,30	16,0	52,50	163	149
40,52	8,8	36,56	4,5	152	149
2,2	49,34	0,3	61,62	160	149
0,0	2,0	0,2	0,0	180	149
25,17	4,6	10,41	14,4	298	149
6,0	50,93	0,0	84,89	221	149
33,86	0,0	63,72	0,2	298	149
26,24	4,0	34,54	2,0	161	149
16,4	0,10	4,2	0,4	152	149
2,0	6,3	0,2	8,26	161	149
6,1	13,24	2,0	28,44	165	149
2,0	0,0	5,0	0,6	200	149
2,0	0,2	2,2	0,0	298	149
0,0	0,2	0,8	0,0	298	149
0,0	41,33	4,2	60,38	173	149
2,1	4,16	3,8	6,0	195	149
65,69	29,26	144,117	46,45	152	149
4802,4652	31,40	6071,5830	40,17	152	149
4,3	6,6	8,33	12,7	160	149
12,24	0,0	21,26	4,6	155	149
24,22	32,58	42,32	43,64	152	149
4,18	54,64	7,33	71,83	222	149
93,100	25,45	98,106	19,37	179	149
201,176	0,0	226,258	4,0	155	149
0,2	2,0	4,2	0,2	188	149
114,128	13,2	114,120	11,6	152	149
20,16	38,37	19,21	33,47	152	149
6,0	31,41	19,1	69,81	160	149
30,33	12,33	30,42	14,20	298	149
15,0	23,36	0,0	47,63	250	149
4,6	10,6	6,6	2,5	154	149
45,60	12,12	72,95	4,13	152	149
79,38	2,2	76,48	6,12	160	149
70,83	4,4	127,121	2,6	175	149
2630,2506	4,2	3258,3191	0,0	159	149
13,2	2,2	10,16	8,8	155	149
48,60	4,2	66,63	2,6	161	149
6,12	24,14	11,12	22,31	152	149
16,14	10,13	24,48	8,29	173	149
4,2	36,50	12,14	72,40	162	149
18,17	9,8	14,28	30,20	165	149
4738,4845	6,0	5749,6182	6,8	152	149
22,8	21,13	35,41	27,28	164	149
2,6	403,412	3,9	462,532	169	149
9,3	0,0	15,10	0,2	152	149
18,17	71,73	23,30	100,64	155	149
135,77	10,6	102,98	4,0	155	149
126,154	0,2	154,203	4,0	182	149
0,13	2,0	6,4	0,12	160	149
0,0	4,0	0,2	1,0	152	149
8,2	56,57	10,2	59,61	197	149
20,26	16,26	32,18	16,12	214	149
22,30	4,10	74,64	10,12	157	149
16,13	0,0	34,22	2,2	159	149
2,16	0,8	6,2	6,10	152	149
147,176	9,12	127,215	4,4	232	149
88,91	15,8	116,147	4,0	194	149
12,7	56,41	4,2	81,85	182	149
59,85	12,0	121,94	4,0	184	149
4,14	33,30	1,0	21,42	152	149
10,6	4,4	20,12	3,6	155	149
6,1	8,18	4,8	13,51	181	149
10,10	0,0	9,12	2,0	157	149
59,72	0,0	87,151	2,0	179	149
51,66	2,4	85,147	7,8	171	149
0,2	123,144	1,4	199,195	298	149
6,0	4,0	4,23	0,0	168	149
143,166	14,44	178,216	21,48	298	149
20,4	14,44	34,29	21,48	163	149
60,68	14,44	97,100	21,48	298	149
46,68	6,4	69,87	6,14	298	149
129,166	6,4	150,203	6,14	298	149
123,152	26,50	152,183	59,63	298	149
9,16	48,33	57,31	44,52	152	149
16,36	131,127	35,40	155,171	180	149
