ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3	0,0	41,51	2,2	64,65	230	149	1	1.0
8	11,2	0,0	11,38	6,0	184	149	1	1.0
9	0,0	35,27	4,0	54,55	298	149	1	1.0
12	34,53	8,0	53,50	0,0	283	149	1	1.0
13	6,10	4,2	16,14	2,5	298	149	0.884554946695	1.0
14	4,16	11,2	2,4	0,0	242	149	0.0160333474897	0.2979735964239631
19	0,0	38,29	6,4	18,45	298	149	1	1.0
20	64,57	16,4	93,47	0,12	170	149	1	1.0
21	12,16	16,4	23,6	0,12	236	149	0.521424179627	1.0
22	2,0	54,41	0,0	70,41	215	149	1	1.0
23	43,38	0,5	31,49	0,0	298	149	1	1.0
26	4,0	35,74	0,0	93,137	293	149	1	1.0
28	87,71	0,2	68,68	0,0	298	149	1	1.0
29	403,357	4,2	387,473	0,0	161	149	1	1.0
30	6,0	9,8	2,0	5,10	179	149	0.93216882807	1.0
31	0,4	16,19	0,4	29,16	298	149	1	1.0
32	0,0	46,47	6,2	70,32	188	149	1	1.0
33	0,4	18,9	4,2	39,13	298	149	1	1.0
34	0,2	15,27	2,0	47,31	298	149	1	1.0
35	5,1	44,41	0,4	21,38	161	149	1	1.0
36	36,26	2,0	48,28	8,14	298	149	0.0017462931294	0.05859783611986666
37	0,2	160,115	1,0	109,109	188	149	1	1.0
38	15,6	8,0	35,25	2,0	268	149	0.215969693133	1.0
39	109,70	8,8	91,91	3,0	161	149	1	1.0
41	1,0	13,32	0,2	9,41	298	149	1	1.0
42	0,8	68,57	4,0	75,64	177	149	1	1.0
43	11,23	55,67	32,29	62,76	298	149	1	1.0
44	2,2	115,57	0,0	98,123	157	149	1	1.0
46	44,23	2,0	44,66	0,0	167	149	1	1.0
48	0,1	0,3	2,1	3,0	221	149	1	1.0
49	57,34	0,0	59,88	0,2	170	149	1	1.0
50	27,43	0,0	55,55	0,4	298	149	1	1.0
51	2,2	36,14	20,2	21,19	268	149	0.346651936223	1.0
52	100,111	4,0	134,143	12,1	298	149	1	1.0
53	5,0	106,77	0,0	92,100	298	149	1	1.0
55	6,0	71,87	0,0	78,62	151	149	1	1.0
56	4,16	22,40	10,8	59,43	204	149	1	1.0
57	6,12	4,12	15,8	15,0	204	149	0.385260309717	1.0
58	0,4	356,281	2,4	301,299	298	149	1	1.0
59	15,18	0,0	13,14	6,3	169	149	0.0532975114255	0.715371042244489
60	6,8	0,0	8,4	0,4	153	149	1	1.0
61	4,3	5,12	8,4	20,6	161	149	1	1.0
62	32,22	2,0	30,33	0,0	190	149	1	1.0
63	7,12	17,17	4,2	62,29	167	149	0.00600714183132	0.15775276809205566
65	2,4	24,28	10,0	54,37	298	149	1	1.0
66	6,7	4,13	0,4	10,13	233	149	0.102117851667	1.0
68	0,0	2,0	0,6	0,0	298	149	1	1.0
70	16,16	4,0	7,12	6,10	298	149	0.00643849741102	0.16548308239387574
71	8,11	405,381	6,14	470,514	153	149	1	1.0
72	0,6	8,8	2,5	0,26	177	149	0.479919901753	1.0
73	8,11	6,0	0,26	2,2	278	149	0.492955777684	1.0
74	2,0	2,0	6,0	2,0	181	149	1	1.0
76	9,3	430,408	1,12	415,556	153	149	1	1.0
77	106,72	0,4	162,151	7,0	298	149	1	1.0
78	6,4	219,180	3,12	251,292	152	149	1	1.0
80	0,0	78,39	2,2	66,124	298	149	1	1.0
81	2,0	2,4	1,2	8,0	167	149	0.312090316767	1.0
82	2,8	2,4	14,6	8,0	209	149	0.594287669179	1.0
84	217,211	0,4	292,355	0,0	189	149	1	1.0
85	29,29	0,4	26,38	0,6	298	149	1	1.0
89	0,6	14,19	0,0	23,18	155	149	1	1.0
91	2,0	9,2	0,2	2,2	206	149	1	1.0
92	0,0	61,65	1,0	58,59	242	149	1	1.0
93	49,28	0,2	26,36	0,2	191	149	1	1.0
95	33,46	0,4	54,69	0,0	271	149	1	1.0
96	38,74	8,0	50,97	0,0	272	149	1	1.0
97	15,14	396,388	49,33	469,523	298	149	1	1.0
98	34,88	10,0	45,100	2,0	298	149	1	1.0
99	2,0	10,6	2,2	22,26	169	149	1	1.0
101	222,189	0,0	244,272	0,2	176	149	1	1.0
102	6,0	6,3	4,0	4,7	171	149	1	1.0
103	0,10	47,32	0,6	43,48	154	149	1	1.0
104	2,0	418,507	2,7	546,598	298	149	1	1.0
107	4,0	10,3	2,10	10,8	165	149	0.518074577894	1.0
108	2,0	16,14	0,4	32,26	231	149	1	1.0
110	2,0	567,448	0,12	496,615	298	149	1	1.0
111	5,8	0,2	14,6	0,2	297	149	1	1.0
112	2,4	0,12	13,10	10,4	298	149	1	1.0
113	49,38	2,0	39,58	0,0	174	149	1	1.0
116	10,13	0,0	8,12	0,4	163	149	1	1.0
117	4,4	34,18	8,10	16,41	160	149	1	1.0
119	17,8	28,35	15,12	69,104	298	149	1	1.0
120	226,268	0,0	234,367	4,0	298	149	1	1.0
121	4,1	133,114	7,9	160,158	298	149	1	1.0
122	3,0	27,8	6,10	7,16	285	149	0.0255512862811	0.39571735676370257
123	83,106	0,0	82,128	4,2	153	149	1	1.0
126	0,0	10,4	6,2	6,4	245	149	0.048755922951	0.6848506386605582
128	2,0	166,142	6,2	165,210	298	149	1	1.0
129	61,105	24,36	53,72	61,143	214	149	6.7120440902e-06	0.0005405432840641066
130	18,5	11,10	7,5	16,8	298	149	0.743335517503	1.0
132	4,2	24,11	10,14	8,18	249	149	0.0173823130468	0.30431643710919426
133	20,2	16,41	2,8	59,35	158	149	0.745848583121	1.0
135	0,2	2,10	0,0	8,14	298	149	1	1.0
136	0,12	4,6	2,3	0,6	298	149	0.652537724103	1.0
137	2,8	208,169	0,8	224,265	298	149	1	1.0
138	10,1	254,248	4,6	305,354	180	149	1	1.0
140	2,5	15,16	9,18	11,24	298	149	0.162737271396	1.0
142	44,11	4,6	39,31	17,33	173	149	0.125442184213	1.0
143	6,0	832,766	2,0	757,743	298	149	1	1.0
145	242,208	0,0	273,412	4,0	258	149	1	1.0
146	2,15	2,12	4,16	2,4	230	149	0.206613992287	1.0
147	9,2	2,0	0,6	0,0	177	149	1	1.0
149	38,48	12,14	42,75	34,12	298	149	1	1.0
151	0,0	2,0	2,0	0,0	243	149	1	1.0
152	0,0	133,192	6,0	217,207	298	149	1	1.0
153	2,0	133,192	6,0	217,207	298	149	1	1.0
154	8,2	1,0	8,10	0,8	298	149	0.270766341628	1.0
155	1,2	2,0	12,0	2,0	191	149	1	1.0
156	14,21	0,6	71,33	8,5	159	149	1	1.0
158	2,1	0,10	19,7	19,3	175	149	1	1.0
159	765,700	0,0	1011,930	0,6	215	149	1	1.0
160	20,17	8,2	26,35	12,4	161	149	1	1.0
161	2,12	0,4	15,16	0,0	169	149	1	1.0
163	0,0	2,4	10,2	0,6	253	149	0.0206599702956	0.34134309983
164	0,0	6,4	3,0	8,10	161	149	1	1.0
166	2,2	0,4	9,8	8,0	154	149	1	1.0
167	6,2	19,22	39,29	6,0	298	149	3.09963166245e-12	9.360887620599e-10
168	6,6	19,22	47,29	6,0	298	149	2.67519340014e-12	9.360887620599e-10
171	14,24	0,2	28,37	0,0	298	149	1	1.0
172	49,39	29,18	54,46	7,11	171	149	0.057074063423	0.7576425122525714
174	9304,9126	73,52	14937,16495	113,138	251	149	1	1.0
176	2,6	138,85	3,2	93,85	168	149	1	1.0
177	10,13	22,33	11,19	38,35	225	149	1	1.0
178	146,92	22,33	101,102	38,35	206	149	1	1.0
179	2,2	16,16	6,6	14,20	163	149	0.445004691689	1.0
181	6,9	75,67	16,15	59,62	187	149	1	1.0
182	6,1	119,88	6,5	119,169	298	149	1	1.0
183	4,2	231,167	4,5	421,341	152	149	1	1.0
184	8,23	0,0	12,15	2,10	206	149	0.0080266226884	0.19301608331372863
185	35,33	0,0	45,54	2,10	260	149	0.377079435102	1.0
186	35,29	0,6	53,46	8,0	203	149	1	1.0
187	2,8	2,0	9,23	0,0	298	149	1	1.0
188	2,8	2,0	9,4	4,4	170	149	0.123403512384	1.0
189	38,27	5,4	56,38	10,8	298	149	1	1.0
190	40,21	5,4	53,42	10,8	278	149	1	1.0
191	36,61	2,2	92,80	0,0	166	149	1	1.0
192	6,10	6,14	0,8	0,12	164	149	1	1.0
195	55,40	36,35	63,47	37,28	264	149	1	1.0
196	18,24	51,46	12,15	57,73	182	149	0.729151563639	1.0
200	4,8	23,37	8,10	25,35	179	149	1	1.0
201	0,6	14,15	1,4	14,20	177	149	1	1.0
202	66,25	80,59	26,26	135,115	194	149	0.0722763909443	0.9001018583578804
203	44,24	175,157	28,30	251,169	194	149	1	1.0
204	138,169	6,5	206,220	18,18	162	149	1	1.0
205	7,8	297,274	13,12	415,499	153	149	1	1.0
206	1,2	2,1	7,4	4,10	153	149	1	1.0
210	30,46	2,0	57,46	0,0	275	149	1	1.0
211	49,46	141,125	82,93	116,190	157	149	0.933069885526	1.0
212	19,18	0,4	14,7	2,0	298	149	1	1.0
213	99,116	0,8	161,164	0,0	179	149	1	1.0
214	4,5	2,0	8,13	4,6	164	149	0.118366331177	1.0
216	81,50	2,0	48,75	0,0	179	149	1	1.0
218	0,5	14,24	2,6	19,6	298	149	1	1.0
219	26,3	2,0	19,18	0,2	154	149	1	1.0
220	4,12	110,118	12,52	159,136	160	149	1	1.0
222	2,0	6,4	0,2	0,14	163	149	1	1.0
223	10,0	81,51	1,3	97,94	298	149	1	1.0
224	0,0	15,26	1,0	22,43	298	149	1	1.0
226	21,24	2,0	35,26	0,0	174	149	1	1.0
227	4,0	70,107	4,0	82,79	289	149	1	1.0
228	7,2	115,140	9,8	127,127	298	149	1	1.0
229	4,2	115,140	6,8	127,127	298	149	1	1.0
230	5,2	7,2	0,7	3,2	225	149	0.948518500358	1.0
232	0,4	63,60	0,1	31,82	176	149	1	1.0
233	6,4	0,0	15,14	0,4	204	149	1	1.0
235	4,6	18,18	11,16	18,16	298	149	0.31989206809	1.0
236	0,0	11,3	0,2	0,2	298	149	1	1.0
241	18,32	771,862	26,24	923,1008	298	149	1	1.0
243	24,27	16,18	4,26	32,24	298	149	0.0884908389892	1.0
244	14,0	41,66	12,19	102,114	173	149	1	1.0
245	1,2	8,24	7,4	14,6	298	149	0.245731376872	1.0
246	6,10	76,75	6,15	119,93	166	149	1	1.0
247	132,137	0,4	132,123	0,4	209	149	1	1.0
248	6,0	4,9	2,4	2,6	298	149	0.59346237171	1.0
249	33,44	170,179	54,60	220,218	298	149	1	1.0
252	124,98	6,4	153,207	20,4	199	149	1	1.0
253	5,19	118,85	15,22	126,117	298	149	1	1.0
257	1,0	48,51	0,2	89,72	288	149	1	1.0
258	0,1	2,2	2,4	0,0	298	149	1.06693770496e-06	9.914313443012923e-05
259	6,6	2,0	27,28	4,0	298	149	1	1.0
260	2,5	2,0	4,4	4,0	298	149	0.69506933849	1.0
261	6,12	6,5	10,2	25,24	298	149	0.0215218147158	0.3417706412417662
262	2,5	2,0	2,4	4,0	298	149	0.595464725178	1.0
263	4,8	6,5	4,2	25,24	206	149	0.0171038306009	0.30431643710919426
264	8,8	2,4	6,0	0,0	298	149	1	1.0
265	32,58	0,6	58,30	0,0	298	149	1	1.0
268	0,0	12,14	6,0	19,45	212	149	1	1.0
269	0,4	18,20	2,0	10,16	153	149	1	1.0
271	2,0	120,84	2,2	139,171	298	149	1	1.0
274	210,220	0,10	185,203	6,10	298	149	1	1.0
276	1,2	44,40	0,0	29,41	197	149	1	1.0
277	0,0	24,10	2,0	9,17	298	149	1	1.0
285	14,2	286,222	1,5	291,370	298	149	1	1.0
287	2,0	16,15	3,8	26,36	298	149	1	1.0
289	13,4	141,92	27,19	144,118	175	149	1	1.0
291	0,0	74,42	4,4	31,67	298	149	1	1.0
292	0,4	37,26	0,8	64,55	180	149	1	1.0
294	126,127	8,0	198,156	0,4	153	149	1	1.0
295	2,0	34,29	11,14	9,43	259	149	0.0155222665357	0.2931758126286625
297	4,4	0,0	8,13	2,0	298	149	1	1.0
298	165,191	58,27	127,185	27,84	298	149	1	1.0
299	19,8	17,3	2,10	12,15	153	149	0.102324430501	1.0
300	39,30	4,8	39,60	8,0	298	149	0.713432070546	1.0
302	0,0	0,2	5,2	0,0	298	149	1	1.0
306	130,137	4,8	138,146	58,52	171	149	1.77580364635e-07	1.9501552770825456e-05
308	0,4	20,4	10,3	9,52	298	149	1	1.0
309	18,7	161,144	26,28	219,197	180	149	1	1.0
310	16,3	0,0	40,21	0,2	298	149	1	1.0
311	163,144	0,0	235,197	0,2	298	149	1	1.0
312	95,115	2,4	197,186	4,14	298	149	1	1.0
313	1170,1236	17,10	1379,1479	14,10	185	149	1	1.0
314	5,2	6,6	8,20	30,13	298	149	1	1.0
316	14,2	74,68	20,6	133,129	154	149	1	1.0
