IncLevel1	IncLevel2	IncLevelDifference
0.0,0.0	0.02,0.02	-0.02
1.0,1.0	0.598,1.0	0.201
0.0,0.0	0.036,0.0	-0.018
0.691,1.0	1.0,1.0	-0.155
0.429,0.714	0.8,0.583	-0.12
0.183,0.831	1.0,1.0	-0.493
0.0,0.0	0.143,0.043	-0.093
0.778,0.926	1.0,0.774	-0.035
0.321,0.716	1.0,0.24	-0.102
0.025,0.0	0.0,0.0	0.013
1.0,0.792	1.0,1.0	-0.104
0.055,0.0	0.0,0.0	0.028
1.0,0.947	1.0,1.0	-0.026
0.989,0.994	1.0,1.0	-0.008
0.357,0.0	0.25,0.0	0.053
0.0,0.095	0.0,0.111	-0.008
0.0,0.0	0.064,0.047	-0.056
0.0,0.182	0.049,0.071	0.031
0.0,0.036	0.021,0.0	0.007
0.095,0.022	0.0,0.089	0.014
0.9,1.0	0.75,0.5	0.325
0.0,0.014	0.007,0.0	0.004
0.51,1.0	0.907,1.0	-0.199
0.927,0.89	0.966,1.0	-0.074
0.037,0.0	0.0,0.024	0.006
0.0,0.106	0.043,0.0	0.032
0.091,0.146	0.205,0.16	-0.064
0.016,0.032	0.0,0.0	0.024
0.952,1.0	1.0,1.0	-0.024
NA,0.183	0.31,1.0	-0.472
1.0,1.0	1.0,0.975	0.012
1.0,1.0	1.0,0.873	0.064
0.03,0.074	0.346,0.055	-0.148
0.926,1.0	0.848,0.986	0.046
0.023,0.0	0.0,0.0	0.011
0.077,0.0	0.0,0.0	0.038
0.117,0.226	0.11,0.12	0.057
0.523,0.422	0.422,1.0	-0.238
0.0,0.007	0.003,0.007	-0.002
1.0,1.0	0.656,0.804	0.27
1.0,1.0	1.0,0.493	0.254
0.425,0.188	0.27,0.382	-0.02
0.926,1.0	1.0,1.0	-0.037
0.269,0.386	0.054,0.058	0.272
0.04,0.067	0.085,0.0	0.011
0.49,0.256	0.0,0.164	0.291
0.0,NA	NA,1.0	-1.0
0.667,1.0	0.368,0.375	0.462
0.019,0.027	0.012,0.026	0.004
0.0,0.387	1.0,0.139	-0.376
0.417,1.0	0.0,0.874	0.272
0.452,NA	0.712,NA	-0.26
0.02,0.007	0.002,0.021	0.002
1.0,0.9	0.92,1.0	-0.01
0.026,0.021	0.012,0.039	-0.002
0.0,0.0	0.015,0.008	-0.011
0.472,0.0	0.1,1.0	-0.314
0.416,0.588	0.555,1.0	-0.276
1.0,0.977	1.0,1.0	-0.012
1.0,0.784	1.0,0.76	0.012
0.0,0.233	0.0,0.0	0.117
0.138,0.0	0.0,0.42	-0.141
0.0,0.0	0.011,0.0	-0.005
1.0,0.916	1.0,0.934	-0.009
1.0,0.863	1.0,1.0	-0.069
0.722,1.0	1.0,1.0	-0.139
0.019,0.018	0.05,0.031	-0.022
0.63,1.0	0.918,1.0	-0.144
0.15,0.0	0.074,0.064	0.006
1.0,1.0	1.0,0.991	0.004
0.466,0.0	0.466,0.0	0.0
0.0,0.232	0.0,0.108	0.062
0.002,0.0	0.002,0.006	-0.003
0.265,0.0	0.153,0.53	-0.209
0.075,0.0	0.0,0.09	-0.007
0.002,0.0	0.0,0.01	-0.004
1.0,0.667	1.0,0.601	0.033
1.0,0.143	0.394,0.556	0.096
0.955,1.0	1.0,1.0	-0.022
1.0,1.0	1.0,0.733	0.133
0.099,0.171	0.318,0.185	-0.116
