ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	12,12	22,2	10,13	7,0	262	219	0.422460194221	1.0	0.313,0.834	0.544,1.0	-0.199
1	38,33	139,111	20,28	112,140	230	230	1	1.0	0.215,0.229	0.152,0.167	0.062
4	172,104	96,162	154,164	138,145	259	206	1	1.0	0.588,0.338	0.47,0.474	-0.009
5	7,3	50,23	2,14	19,44	169	202	1	1.0	0.143,0.135	0.112,0.276	-0.055
6	127,92	35,47	104,86	24,31	242	215	1	1.0	0.763,0.635	0.794,0.711	-0.053
7	127,92	2,2	104,86	2,9	242	188	1	1.0	0.98,0.973	0.976,0.881	0.048
9	21,30	71,65	58,36	103,80	248	271	1	1.0	0.244,0.335	0.381,0.33	-0.066
10	0,0	6,16	14,8	17,26	298	298	0.000272332207935	0.007352969614245	0.0,0.0	0.452,0.235	-0.344
12	32,21	80,57	37,32	68,83	209	209	1	1.0	0.286,0.269	0.352,0.278	-0.038
13	262,239	30,30	279,256	18,29	298	298	1	1.0	0.897,0.888	0.939,0.898	-0.026
14	2,0	0,6	8,2	6,8	242	242	0.590162947586	1.0	1.0,0.0	0.571,0.2	0.115
15	257,308	751,655	241,285	875,939	261	298	1	1.0	0.281,0.349	0.239,0.257	0.067
16	3,2	67,28	14,10	42,79	183	212	0.360807440595	1.0	0.049,0.076	0.279,0.128	-0.141
17	57,36	19,8	36,26	24,9	212	230	0.827982702136	1.0	0.765,0.83	0.619,0.758	0.109
18	32,41	29,40	20,12	13,22	212	209	1	1.0	0.521,0.503	0.603,0.35	0.036
19	22,12	18,20	18,31	23,16	209	203	1	1.0	0.543,0.368	0.432,0.653	-0.087
20	11,18	14,21	27,16	14,28	209	196	1	1.0	0.424,0.446	0.644,0.349	-0.061
22	10,28	35,30	31,35	58,46	230	188	1	1.0	0.189,0.433	0.304,0.383	-0.033
23	101,68	95,109	75,97	149,136	190	214	1	1.0	0.545,0.413	0.362,0.445	0.076
25	190,146	143,152	255,258	183,224	244	216	1	1.0	0.54,0.46	0.552,0.505	-0.028
26	8,20	0,0	6,6	0,3	298	298	1	1.0	1.0,1.0	1.0,0.667	0.166
28	2,2	2,0	0,0	4,0	298	298	1	1.0	0.5,1.0	0.0,NA	0.75
30	10,4	61,50	15,12	59,49	292	242	1	1.0	0.12,0.062	0.174,0.169	-0.08
31	13,13	0,8	16,22	4,0	214	202	1	1.0	1.0,0.605	0.791,1.0	-0.093
32	60,44	68,63	33,80	65,87	201	264	1	1.0	0.537,0.478	0.4,0.547	0.034
35	43,50	14,2	66,31	4,2	263	298	1	1.0	0.777,0.966	0.949,0.946	-0.076
36	0,0	5,24	2,0	12,20	208	260	1	1.0	0.0,0.0	0.172,0.0	-0.086
