IncLevel1	IncLevel2	IncLevelDifference
0.59,0.524,0.552,0.478,0.464,0.454,0.477,0.447,0.439,0.135,0.135,0.547,0.538	0.539,0.487,0.536,0.482,0.459,0.464,0.416,0.447,0.46,0.122,0.118,0.132,0.157,0.559,0.546	0.05
0.107,0.323,0.12,0.603,0.502,0.607,0.419,0.55,0.511,0.51,0.392,0.091,0.183	0.589,0.0,0.589,0.473,0.469,0.488,0.525,0.656,0.577,0.378,0.47,0.362,0.472,0.107,0.417	-0.06
0.0,0.85,0.531,0.392,0.475,0.513,0.443,0.507,0.46,0.415,0.586,0.476,0.654	0.335,0.531,0.43,0.428,0.611,0.561,0.648,0.594,0.466,0.694,0.667,0.602,0.684,0.502,0.481	-0.064
0.22,0.148,0.169,0.287,0.304,0.314,0.295,0.273,0.334,0.188,0.155,0.542,0.518	0.131,0.215,0.145,0.341,0.223,0.328,0.289,0.29,0.376,0.224,0.163,0.187,0.228,0.532,0.545	0.007
0.387,0.389,0.493,0.431,0.282,0.319,0.303,0.305,0.306,0.134,0.151,0.305,0.265	0.523,0.347,0.484,0.387,0.295,0.363,0.284,0.242,0.332,0.084,0.118,0.108,0.196,0.375,0.391	0.011
0.262,0.182,0.195,0.197,0.188,0.182,0.169,0.114,0.183,0.048,0.048,0.157,0.011	0.585,0.224,0.363,0.251,0.205,0.215,0.161,0.226,0.201,0.048,0.077,0.049,0.079,0.114,0.207	-0.051
0.3,0.373,0.204,0.388,0.37,0.476,0.326,0.438,0.421,0.401,0.583,0.158,0.322	0.13,0.166,0.196,0.414,0.45,0.352,0.45,0.405,0.359,0.355,0.459,0.484,0.427,0.473,0.385	-0.001
0.636,0.703,0.654,0.583,0.584,0.521,0.586,0.612,0.527,0.627,0.61,0.692,0.604	0.635,0.667,0.629,0.607,0.584,0.512,0.651,0.478,0.549,0.677,0.641,0.632,0.723,0.588,0.671	-0.006
0.076,0.063,0.097,0.077,0.059,0.099,0.129,0.064,0.104,0.056,0.071,0.128,0.162	0.079,0.121,0.076,0.102,0.057,0.051,0.06,0.059,0.132,0.051,0.036,0.036,0.032,0.164,0.046	0.018
0.9,1.0,0.921,0.967,1.0,1.0,0.982,0.975,1.0,0.825,0.876,0.514,0.466	1.0,1.0,0.885,0.976,1.0,1.0,1.0,0.973,1.0,0.853,0.885,1.0,0.912,0.512,0.199	-0.001
0.673,0.618,0.637,0.643,0.473,0.505,0.516,0.468,0.474,0.503,0.527,0.64,0.64	0.596,0.638,0.723,0.523,0.482,0.495,0.414,0.446,0.426,0.49,0.371,0.532,0.533,0.57,0.565	0.043
0.0,0.0,0.0,0.006,0.007,0.0,0.0,0.006,0.0,0.0,0.0,0.182,0.039	0.0,0.0,0.0,0.006,0.007,0.006,0.0,0.007,0.0,0.043,0.0,0.0,0.093,0.0,0.012	0.007
0.672,0.77,0.697,0.785,0.735,0.812,0.779,0.756,0.864,0.877,0.874,0.444,0.854	0.745,0.845,0.61,0.839,0.95,0.925,0.891,0.895,0.939,0.893,0.601,0.86,0.77,0.544,1.0	-0.057
0.145,0.151,0.103,0.114,0.08,0.135,0.246,0.137,0.104,0.06,0.112,0.274,0.154	0.082,0.101,0.155,0.185,0.142,0.238,0.125,0.118,0.055,0.181,0.0,0.189,0.128,0.143,0.158	0.006
0.115,0.119,0.079,0.085,0.063,0.104,0.187,0.106,0.08,0.045,0.082,0.227,0.115	0.072,0.074,0.137,0.143,0.113,0.188,0.095,0.093,0.042,0.126,0.0,0.147,0.1,0.119,0.125	0.003
0.678,0.774,0.839,0.426,0.453,0.439,0.521,0.479,0.595,0.557,0.507,0.302,0.275	0.681,0.866,0.735,0.556,0.444,0.403,0.421,0.32,0.386,0.591,0.536,0.681,0.551,0.288,0.424	0.001
0.292,0.371,0.448,0.633,0.582,0.558,0.576,0.587,0.585,0.563,0.465,0.371,0.518	0.373,0.291,0.353,0.541,0.56,0.526,0.524,0.561,0.613,0.496,0.396,0.576,0.512,0.356,0.357	0.035
0.216,0.127,0.227,0.068,0.146,0.084,0.072,0.095,0.145,0.217,0.125,0.212,0.226	0.288,0.206,0.125,0.177,0.132,0.168,0.172,0.135,0.176,0.191,0.181,0.195,0.12,0.152,0.167	-0.022
0.382,0.438,0.417,0.225,0.254,0.337,0.27,0.216,0.342,0.295,0.35,0.308,0.256	0.41,0.396,0.369,0.241,0.258,0.262,0.269,0.257,0.307,0.282,0.339,0.286,0.34,0.262,0.191	0.017
0.654,0.499,0.556,0.701,0.695,0.626,0.719,0.66,0.674,0.497,0.509,0.746,0.688	0.477,0.511,0.57,0.719,0.741,0.631,0.684,0.659,0.735,0.619,0.584,0.51,0.524,0.858,0.75	-0.006
0.554,0.515,0.518,0.635,0.581,0.496,0.529,0.549,0.505,0.673,0.804,0.271,0.379	0.53,0.383,0.518,0.384,0.487,0.547,0.627,0.624,0.413,0.73,0.787,0.735,0.652,0.362,0.492	-0.012
0.604,0.647,0.621,0.627,0.638,0.523,0.612,0.58,0.583,0.713,0.774,0.32,0.211	0.524,0.598,0.518,0.492,0.449,0.571,0.533,0.668,0.476,0.733,0.688,0.614,0.532,0.35,0.492	0.024
0.536,0.257,0.394,0.224,0.51,0.0,0.464,0.394,0.464,0.271,0.394,1.0,0.0	0.464,0.595,0.498,NA,0.0,1.0,0.0,0.286,0.0,0.565,0.565,0.722,0.565,0.0,0.302	-0.02
0.556,0.627,0.611,0.72,0.747,0.731,0.735,0.723,0.695,0.513,0.478,0.721,0.802	0.617,0.639,0.626,0.747,0.772,0.713,0.685,0.753,0.708,0.496,0.54,0.472,0.488,0.799,0.77	0.011
NA,NA,NA,0.516,0.467,0.436,0.482,0.463,0.461,0.401,0.445,0.754,0.601	NA,0.0,NA,0.442,0.48,0.428,0.346,0.412,0.405,0.356,0.376,0.462,0.455,0.268,0.131	0.152
0.197,0.286,0.296,0.443,0.462,0.398,0.357,0.416,0.409,0.187,0.325,0.287,0.28	0.255,0.268,0.197,0.425,0.407,0.469,0.395,0.385,0.375,0.3,0.194,0.239,0.309,0.384,0.267	0.009
0.474,0.418,0.441,0.498,0.52,0.493,0.473,0.485,0.471,0.545,0.578,0.486,0.553	0.285,0.38,0.321,0.539,0.466,0.49,0.503,0.511,0.477,0.572,0.584,0.613,0.543,0.468,0.524	0.01
