ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	6,23,29,59,67,45,33,65,48,32,16,33,14	13,17,14,47,63,55,52,73,81,12,9,9,10	30,16,19,38,19,29,54,56,11,17,16,13,27,12,18	27,11,19,48,47,59,81,71,22,16,29,20,53,20,8	232	149	0.00845789543006	0.05857620262175588	0.229,0.465,0.571,0.446,0.406,0.344,0.29,0.364,0.276,0.631,0.533,0.702,0.473	0.416,0.483,0.391,0.337,0.206,0.24,0.3,0.336,0.243,0.406,0.262,0.295,0.247,0.278,0.591	0.105
1	5,16,20,53,52,45,42,33,45,42,36,37,30	2,0,4,0,0,0,0,0,2,0,0,0,0	54,63,45,51,20,43,91,58,14,19,32,32,44,40,37	2,0,0,1,0,0,3,0,0,2,2,1,2,0,0	293	149	1	1.0	0.56,1.0,0.718,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0	0.932,1.0,1.0,0.963,1.0,1.0,0.939,1.0,1.0,0.829,0.891,0.942,0.918,1.0,1.0	-0.023
2	12,41,29,8,16,21,13,21,22,18,12,1,4	135,228,207,161,278,202,213,278,236,110,116,75,76	34,18,24,11,6,7,16,25,3,10,10,17,6,0,5	170,186,178,197,169,146,257,276,93,118,114,95,113,91,82	178	149	0.244246401041	0.802124205938771	0.069,0.131,0.105,0.04,0.046,0.08,0.049,0.059,0.072,0.12,0.08,0.011,0.042	0.143,0.075,0.101,0.045,0.029,0.039,0.05,0.07,0.026,0.066,0.068,0.13,0.043,0.0,0.049	0.007
3	136,195,213,614,878,745,667,894,698,242,277,179,143	18,13,6,60,81,56,73,80,57,21,12,0,6	202,173,168,790,477,592,761,811,283,233,241,233,310,151,178	10,13,13,54,38,27,48,63,16,17,17,7,25,11,10	158	149	0.0139221385771	0.08949500291602175	0.877,0.934,0.971,0.906,0.911,0.926,0.896,0.913,0.92,0.916,0.956,1.0,0.957	0.95,0.926,0.924,0.932,0.922,0.954,0.937,0.924,0.943,0.928,0.93,0.969,0.921,0.928,0.944	-0.006
4	270,343,404,615,1081,854,799,1110,865,200,243,259,309	9,18,13,26,45,23,37,60,48,8,11,13,12	270,286,212,674,531,588,813,971,341,184,161,163,209,280,385	9,5,15,46,33,35,50,45,10,11,3,2,5,11,9	155	149	0.569866657728	1.0	0.966,0.948,0.968,0.958,0.958,0.973,0.954,0.947,0.945,0.96,0.955,0.95,0.961	0.966,0.982,0.931,0.934,0.939,0.942,0.94,0.954,0.97,0.941,0.981,0.987,0.976,0.961,0.976	-0.002
5	10866,15439,16180,4665,7046,5422,4761,6114,6289,2876,3135,7370,6839	0,0,0,1,0,0,0,0,0,0,0,0,0	14595,15806,13752,5554,3864,5047,7237,8028,2734,2704,2645,2572,3335,8779,8881	2,0,0,0,0,0,1,0,0,0,0,0,0,0,0	154	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.0
6	166,203,183,264,414,376,271,395,364,110,129,79,110	0,0,0,0,0,0,0,0,6,0,0,0,0	157,165,148,239,212,219,320,360,109,102,127,125,157,116,103	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	155	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.983,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001
7	24,25,35,124,185,144,148,163,167,15,31,18,16	0,0,0,0,0,0,2,1,3,0,1,0,0	20,28,22,99,92,78,217,109,47,21,22,19,52,38,24	0,0,0,1,0,0,0,1,0,0,0,0,0,0,0	152	149	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.986,0.994,0.982,1.0,0.968,1.0,1.0	1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.004
8	109,87,102,223,301,283,191,281,332,128,134,107,72	0,0,2,1,3,0,2,0,0,0,1,2,0	70,80,77,181,114,180,380,272,89,100,98,127,152,129,122	3,0,0,0,1,2,5,0,0,0,1,0,1,0,2	159	149	1	1.0	1.0,1.0,0.98,0.995,0.989,1.0,0.989,1.0,1.0,1.0,0.992,0.98,1.0	0.956,1.0,1.0,1.0,0.991,0.988,0.986,1.0,1.0,1.0,0.989,1.0,0.993,1.0,0.983	0.002
9	81,92,171,73,93,98,80,102,105,15,38,48,31	0,0,0,0,2,0,0,0,0,0,0,0,0	138,113,126,53,51,68,96,104,29,19,22,38,45,30,61	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	158	149	1	1.0	1.0,1.0,1.0,1.0,0.978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.002
