IncLevel1	IncLevel2	IncLevelDifference
0.591,0.524,0.553,0.478,0.465,0.454,0.477,0.447,0.44,0.135,0.135,0.569,0.553	0.539,0.488,0.537,0.483,0.46,0.464,0.416,0.447,0.461,0.123,0.118,0.133,0.158,0.579,0.569	0.049
0.107,0.323,0.12,0.603,0.502,0.607,0.419,0.55,0.511,0.51,0.392,0.091,0.183	0.589,0.0,0.589,0.473,0.469,0.488,0.525,0.656,0.577,0.378,0.47,0.349,0.472,0.107,0.417	-0.059
0.0,0.85,0.531,0.392,0.475,0.513,0.443,0.507,0.46,0.415,0.586,0.476,0.654	0.335,0.531,0.43,0.428,0.611,0.561,0.653,0.594,0.466,0.709,0.667,0.602,0.684,0.502,0.481	-0.065
0.215,0.148,0.166,0.287,0.304,0.311,0.295,0.273,0.334,0.188,0.155,0.541,0.503	0.131,0.215,0.141,0.341,0.223,0.328,0.289,0.288,0.376,0.224,0.163,0.188,0.228,0.532,0.541	0.006
0.402,0.389,0.493,0.431,0.282,0.317,0.303,0.305,0.306,0.134,0.151,0.333,0.272	0.53,0.35,0.484,0.387,0.297,0.363,0.284,0.242,0.332,0.084,0.115,0.103,0.196,0.386,0.402	0.013
0.274,0.182,0.195,0.197,0.188,0.179,0.169,0.114,0.183,0.048,0.048,0.175,0.011	0.592,0.227,0.363,0.251,0.207,0.215,0.161,0.226,0.201,0.048,0.073,0.043,0.079,0.119,0.214	-0.05
0.3,0.373,0.204,0.388,0.37,0.476,0.327,0.438,0.421,0.401,0.583,0.163,0.322	0.13,0.166,0.196,0.414,0.45,0.352,0.45,0.405,0.359,0.355,0.459,0.484,0.427,0.473,0.385	-0.0
0.636,0.703,0.654,0.583,0.584,0.519,0.586,0.612,0.527,0.629,0.61,0.686,0.604	0.635,0.667,0.629,0.607,0.584,0.512,0.651,0.478,0.549,0.677,0.641,0.632,0.723,0.588,0.667	-0.006
0.066,0.057,0.098,0.078,0.059,0.099,0.13,0.064,0.104,0.051,0.072,0.137,0.203	0.079,0.121,0.077,0.102,0.057,0.051,0.06,0.059,0.132,0.046,0.036,0.036,0.029,0.198,0.048	0.018
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.928,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.006
0.663,0.607,0.617,0.638,0.47,0.499,0.515,0.465,0.471,0.496,0.525,0.641,0.626	0.582,0.623,0.71,0.52,0.473,0.483,0.412,0.431,0.421,0.487,0.376,0.532,0.53,0.562,0.571	0.042
0.0,0.0,0.0,0.007,0.004,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0	-0.002
0.672,0.77,0.697,0.785,0.733,0.812,0.779,0.756,0.864,0.877,0.874,0.313,0.834	0.745,0.845,0.61,0.839,0.949,0.924,0.891,0.895,0.939,0.893,0.601,0.86,0.715,0.544,1.0	-0.065
0.144,0.165,0.106,0.1,0.069,0.126,0.213,0.117,0.095,0.061,0.12,0.053,0.128	0.102,0.117,0.185,0.165,0.115,0.223,0.122,0.104,0.051,0.185,0.0,0.171,0.0,0.152,0.145	-0.007
0.141,0.159,0.1,0.097,0.069,0.123,0.201,0.113,0.091,0.055,0.112,0.058,0.109	0.102,0.11,0.185,0.16,0.115,0.215,0.114,0.103,0.05,0.159,0.0,0.171,0.0,0.152,0.143	-0.009
0.678,0.774,0.839,0.426,0.453,0.439,0.521,0.479,0.595,0.557,0.507,0.302,0.275	0.681,0.866,0.735,0.556,0.444,0.403,0.421,0.32,0.386,0.591,0.536,0.681,0.551,0.288,0.424	0.001
0.288,0.371,0.448,0.631,0.582,0.56,0.576,0.589,0.585,0.563,0.465,0.303,0.518	0.371,0.291,0.351,0.541,0.56,0.526,0.524,0.561,0.613,0.491,0.396,0.581,0.515,0.348,0.34	0.031
0.216,0.127,0.227,0.068,0.146,0.084,0.072,0.095,0.145,0.217,0.125,0.215,0.229	0.288,0.206,0.125,0.177,0.132,0.168,0.172,0.135,0.176,0.191,0.181,0.195,0.12,0.152,0.167	-0.021
0.382,0.438,0.417,0.225,0.254,0.337,0.27,0.216,0.343,0.288,0.35,0.31,0.256	0.41,0.396,0.369,0.241,0.258,0.262,0.269,0.257,0.307,0.282,0.339,0.288,0.34,0.264,0.191	0.016
0.654,0.492,0.556,0.701,0.695,0.625,0.718,0.66,0.674,0.497,0.509,0.746,0.684	0.477,0.511,0.57,0.719,0.741,0.628,0.684,0.659,0.735,0.615,0.584,0.51,0.524,0.858,0.75	-0.006
0.554,0.515,0.518,0.635,0.581,0.496,0.529,0.549,0.505,0.673,0.804,0.271,0.379	0.53,0.383,0.518,0.384,0.487,0.547,0.627,0.624,0.413,0.73,0.787,0.735,0.652,0.362,0.492	-0.012
0.649,0.671,0.687,0.689,0.7,0.591,0.671,0.649,0.648,0.764,0.81,0.295,0.264	0.587,0.649,0.59,0.56,0.514,0.64,0.604,0.729,0.545,0.766,0.747,0.641,0.597,0.419,0.505	0.016
0.644,0.312,0.379,0.274,0.475,0.0,0.531,0.43,0.694,0.245,0.274,1.0,0.0	0.522,0.728,0.564,NA,0.0,1.0,0.0,0.259,0.0,0.819,0.63,0.694,0.531,0.0,0.274	-0.026
0.556,0.626,0.611,0.719,0.747,0.731,0.735,0.723,0.695,0.514,0.478,0.711,0.794	0.616,0.639,0.625,0.747,0.773,0.713,0.685,0.752,0.708,0.493,0.537,0.472,0.483,0.792,0.769	0.011
NA,NA,NA,0.516,0.467,0.436,0.482,0.464,0.462,0.401,0.445,0.754,0.601	NA,0.0,NA,0.443,0.48,0.434,0.348,0.415,0.405,0.365,0.376,0.501,0.455,0.268,0.131	0.147
0.201,0.286,0.297,0.444,0.463,0.399,0.358,0.416,0.411,0.19,0.325,0.309,0.326	0.257,0.276,0.199,0.427,0.408,0.473,0.395,0.387,0.375,0.305,0.197,0.239,0.311,0.425,0.333	0.007
0.478,0.49,0.526,0.527,0.548,0.537,0.509,0.524,0.505,0.55,0.599,0.626,0.754	0.354,0.355,0.344,0.581,0.495,0.519,0.542,0.555,0.524,0.604,0.605,0.641,0.569,0.611,0.629	0.023
0.289,0.22,0.269,0.294,0.282,0.265,0.267,0.315,0.362,0.388,0.347,0.203,0.317	0.285,0.274,0.27,0.241,0.236,0.324,0.224,0.284,0.249,0.255,0.44,0.275,0.266,0.252,0.229	0.02
0.447,0.477,0.565,0.603,0.603,0.633,0.603,0.58,0.639,0.56,0.456,0.738,0.509	0.5,0.566,0.474,0.605,0.634,0.575,0.642,0.599,0.591,0.447,0.513,0.465,0.533,0.59,0.479	0.023
0.314,0.461,0.478,0.217,0.24,0.261,0.246,0.224,0.38,0.26,0.189,0.506,0.399	0.335,0.404,0.421,0.202,0.265,0.244,0.28,0.287,0.326,0.227,0.259,0.314,0.284,0.585,0.502	-0.008
0.548,0.561,0.579,0.668,0.7,0.674,0.697,0.631,0.65,0.682,0.696,0.585,0.571	0.564,0.574,0.557,0.701,0.7,0.677,0.672,0.693,0.676,0.664,0.671,0.734,0.69,0.623,0.609	-0.02
0.436,0.43,0.551,0.362,0.375,0.32,0.29,0.382,0.32,0.416,0.268,0.486,0.471	0.506,0.373,0.446,0.417,0.263,0.387,0.336,0.308,0.338,0.437,0.432,0.419,0.445,0.281,0.242	0.018
0.606,0.73,0.559,0.592,0.63,0.636,0.575,0.587,0.627,0.507,0.73,0.588,0.235	0.693,0.673,0.676,0.579,0.554,0.6,0.626,0.677,0.567,0.715,0.708,0.748,0.642,0.454,0.362	-0.033
0.617,0.645,0.617,0.562,0.61,0.585,0.597,0.599,0.61,0.553,0.576,0.634,0.692	0.606,0.61,0.619,0.581,0.604,0.537,0.574,0.588,0.644,0.594,0.57,0.543,0.539,0.724,0.643	0.009
0.867,0.865,0.835,0.488,0.479,0.391,0.418,0.371,0.376,0.264,0.399,0.291,0.412	0.726,0.85,0.824,0.574,0.458,0.462,0.412,0.356,0.385,0.368,0.285,0.232,0.318,0.259,0.306	0.042
1.0,0.987,0.891,0.964,0.983,0.978,0.977,0.967,0.97,0.971,0.943,0.972,1.0	1.0,1.0,1.0,0.983,0.971,0.97,0.972,0.979,0.953,0.938,0.974,0.953,0.98,1.0,0.983	-0.008
0.152,0.228,0.187,0.435,0.395,0.393,0.402,0.449,0.417,0.173,0.241,0.407,0.198	0.158,0.132,0.175,0.411,0.378,0.368,0.405,0.352,0.401,0.247,0.284,0.332,0.276,0.311,0.417	0.004
0.863,0.863,0.833,0.61,0.544,0.361,0.621,0.418,0.625,0.228,0.344,0.552,0.492	0.808,0.769,0.898,0.415,0.591,0.506,0.507,0.48,0.519,0.281,0.226,0.381,0.411,0.235,0.543	0.061
NA,NA,NA,0.196,0.407,0.098,0.375,0.135,0.307,0.327,NA,1.0,1.0	0.0,NA,NA,0.351,0.163,0.054,0.393,0.316,0.13,0.0,0.0,0.0,0.0,1.0,1.0	0.165
0.705,0.672,0.753,0.584,0.616,0.541,0.602,0.594,0.595,0.644,0.555,0.29,0.548	0.792,0.77,0.667,0.551,0.52,0.5,0.568,0.522,0.492,0.621,0.632,0.652,0.621,0.238,0.243	0.033
0.947,1.0,1.0,0.961,0.939,0.914,0.945,0.928,0.95,0.829,0.842,0.87,0.914	0.844,1.0,1.0,0.948,0.968,0.932,0.939,0.959,0.88,0.827,0.852,0.853,0.922,0.97,0.847	0.01
0.966,1.0,1.0,0.976,0.958,0.938,0.962,0.95,0.962,0.888,0.896,0.887,0.938	0.957,1.0,1.0,0.965,0.978,0.952,0.953,0.973,0.922,0.875,0.893,0.897,0.947,0.976,0.879	0.003
0.981,0.982,1.0,0.945,0.937,0.923,0.943,0.931,0.937,0.865,0.863,0.907,0.918	0.952,1.0,1.0,0.941,0.946,0.936,0.935,0.957,0.918,0.862,0.85,0.902,0.93,0.918,0.859	0.006
0.948,0.975,0.91,0.76,0.729,0.71,0.743,0.722,0.766,0.777,0.72,0.42,0.472	1.0,0.96,0.837,0.768,0.731,0.736,0.735,0.739,0.723,0.722,0.685,0.781,0.793,0.521,0.474	-0.005
0.116,0.131,0.182,0.599,0.654,0.586,0.602,0.487,0.489,0.62,0.659,0.557,0.38	0.156,0.135,0.065,0.586,0.593,0.59,0.508,0.472,0.583,0.531,0.591,0.55,0.588,0.463,0.656	-0.005
