UniqueCount	AmbigCount
83	0
0	128
0	88
6	102
0	95
0	109
0	38
30	94
0	94
69	1335
2	1335
307	723
0	723
1	3268
0	3131
0	3102
144	3038
0	2487
0	2480
33	3117
0	2944
47	149
0	149
4	1702
0	1226
20	1588
4553	3
0	1532
237	2046
36	950
1	1532
0	65
13	65
2875	0
7	0
0	1958
1	1730
0	1926
0	3
0	3
0	3
132	420
0	420
305	350
18	350
193	0
8	114
12	114
21	0
1	133
0	51
24	126
0	688
0	681
0	686
0	685
0	680
0	682
1	622
0	620
56	0
349	0
26	433
2	437
3	445
0	436
0	444
25	0
15	299
2	291
14	299
0	0
16	288
24	288
1606	1
0	0
0	0
0	13121
0	12776
0	13350
0	0
0	94
10	94
440	1
0	0
1	0
0	0
322	1
0	68
12	59
1	50
0	58
14	10
1	10
0	9
0	179
0	179
0	0
0	0
0	242
26	242
1837	0
497	2
0	0
0	0
0	0
0	0
566	0
4	19
0	19
218	2127
22	2130
10	1883
1	1868
308	2
855	0
0	106
0	89
1	92
0	98
4	82
0	0
11	1968
313	1968
435	1982
78	1982
0	47
7	64
0	50
0	61
0	19
3	19
0	44
0	44
24	0
222	0
1358	0
1303	3472
0	3472
1471	0
7	20
0	20
57	513
1	449
0	449
0	513
0	24
12	24
5	56
0	56
0	44
78	1
0	108
7	107
4	104
11	0
0	37
0	33
0	26
0	30
0	29
771	0
2	37
0	37
498	0
64	0
236	0
0	108
3	129
3	125
2	102
5	97
0	0
0	0
3	44
6	43
0	46
0	44
402	0
175	0
209	4457
21	4457
207	846
0	846
9	0
492	0
1	561
25	583
1	583
41	0
103	174
0	138
0	109
0	149
0	114
0	27
0	25
0	25
0	20
339	0
2	699
2	782
0	644
4	704
0	546
1	199
0	260
7	231
1	250
3	212
325	0
252	0
0	538
0	455
0	461
0	499
2105	2
681	1
3	0
512	0
288	0
1	280
0	229
3	260
0	275
0	270
0	231
3	456
2	354
4	406
5	1
0	0
103	0
140	0
11	93
3	93
0	0
3	0
1	2556
1	2673
11	2639
210	590
65	579
27	574
32	587
1	425
11	616
557	0
369	1640
22	1658
4	1606
659	0
1636	2
0	384
0	216
20	392
0	376
2266	1
62	156
9	156
619	0
120	0
4	14
0	14
3	3518
7	3846
3	3060
38	3710
33	3043
0	0
92	0
6	0
0	0
4	184
15	184
69	562
0	562
115	1037
15	1037
210	0
215	0
1371	0
0	0
0	0
0	0
560	1
155	0
7	19
0	19
9	0
0	52
0	52
0	52
124	0
81	0
111	0
2	17
0	17
6	0
61	432
3	433
0	432
80	0
0	0
0	0
1	0
0	0
49	0
35	0
2	11
0	11
1167	0
3	0
2065	5470
120	5470
0	0
2	14
0	14
0	14
0	8
0	8
0	0
0	0
4301	3
0	0
0	0
0	1
0	1
0	0
0	71
4	48
0	37
11	0
3	10
0	10
305	0
4	16
0	16
147	0
0	22
0	26
0	28
0	21
0	29
0	31
0	20
161	0
18	338
0	338
3	0
84	0
0	0
44	195
2	195
1608	0
161	0
90	121
0	121
11	0
15325	3
0	0
126	0
12	0
0	0
199	0
197	0
1	0
156	1277
2	1378
36	1249
0	1401
61	1139
14	91
2	90
11	85
1	82
0	98
42	89
0	89
0	76
321	0
0	355
0	376
4	392
5	359
5	363
1	356
280	1782
0	1782
28	0
201	756
6	756
627	3
265	2350
0	2350
0	33
1	35
0	35
0	34
0	80
0	64
0	70
0	40
0	80
4	223
5	233
3	238
16	247
4	253
2	227
0	0
97	0
0	1
0	1
3	476
0	511
0	512
0	538
2	495
0	514
706	0
0	21
1	21
0	21
5	0
100	266
5	266
0	817
9	692
13	670
0	0
26	174
14	174
0	1620
0	1662
0	1631
0	1615
0	8
0	8
2	8
42	2199
2	2193
4	2198
1	552
49	552
43	0
0	0
0	0
233	0
1	6
1	6
43669	12
885	0
288	0
0	1677
1	1494
5	1486
1	1564
2	0
22	0
0	39
0	34
0	32
2	34
0	34
0	32
19	236
0	236
55	1
57	158
2	158
1182	2
499	0
0	0
0	541
2	426
5	401
3	379
207	0
172	1
37	750
4	750
0	750
17	533
0	548
1	540
1	533
3	506
2	487
184	0
60	1746
66	1745
6	0
0	0
447	0
29	0
1164	1
216	0
18	478
4	478
40	749
10	749
1098	0
2	0
0	0
135	670
17	670
329	114
0	114
61	362
14	362
381	0
0	3
0	3
7	130
2	128
0	96
3	103
3	101
1	108
0	107
3806	1
0	0
198	38
24	0
78	138
0	138
355	0
45	0
20	93
0	60
0	63
0	70
0	63
0	53
0	50
275	0
546	1
7209	3
112	452
9	452
0	34
0	27
0	27
0	24
0	27
0	30
0	30
0	29
0	32
0	27
0	30
0	29
0	29
1579	4672
34	4672
14	0
4	3
0	3
0	0
5115	1
42	173
2	173
0	0
1	13
0	13
0	0
0	0
57	0
